Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-04-02,1.05,1.05,1.0,1.0,12800,0.0,0.0
1986-04-03,1.0,1.05,1.0,1.0,15700,0.0,0.0
1986-04-04,1.0,1.04,1.0,1.0,7900,0.0,0.0
1986-04-07,1.0,1.01,0.98,0.98,7500,0.0,0.0
1986-04-08,0.99,1.02,0.99,0.99,11800,0.0,0.0
1986-04-09,0.99,1.02,0.99,0.99,7500,0.0,0.0
1986-04-10,1.0,1.04,1.0,1.0,13100,0.0,0.0
1986-04-11,1.04,1.09,1.04,1.04,9400,0.0,0.0
1986-04-14,1.04,1.09,1.04,1.04,17000,0.0,0.0
1986-04-15,1.04,1.05,1.0,1.0,12500,0.0,0.0
1986-04-16,1.01,1.06,1.01,1.01,11100,0.0,0.0
1986-04-17,1.02,1.07,1.02,1.02,12900,0.0,0.0
1986-04-18,1.02,1.05,1.0,1.0,9200,0.0,0.0
1986-04-21,1.04,1.07,1.04,1.04,9600,0.0,0.0
1986-04-22,1.04,1.09,1.04,1.04,9000,0.0,0.0
1986-04-23,1.06,1.11,1.06,1.06,13400,0.0,0.0
1986-04-24,1.07,1.11,1.06,1.06,6300,0.142,0.0
1986-04-25,1.07,1.12,1.07,1.07,12000,0.0,0.0
1986-04-28,1.07,1.09,1.06,1.06,12200,0.0,0.0
1986-04-29,1.06,1.08,1.04,1.04,12200,0.0,0.0
1986-04-30,1.06,1.09,1.06,1.06,6300,0.0,0.0
1986-05-01,1.06,1.08,1.04,1.04,4200,0.0,0.0
1986-05-02,1.04,1.07,1.03,1.03,12500,0.0,0.0
1986-05-05,1.03,1.07,1.03,1.03,5600,0.0,0.0
1986-05-06,1.03,1.07,1.02,1.07,14000,0.0,0.0
1986-05-07,1.07,1.11,1.04,1.07,21300,0.0,0.0
1986-05-08,1.07,1.11,1.07,1.11,7600,0.0,0.0
1986-05-09,1.11,1.11,1.07,1.11,15200,0.0,0.0
1986-05-12,1.09,1.09,1.06,1.07,16900,0.0,0.0
1986-05-13,1.07,1.09,1.06,1.09,11800,0.0,0.0
1986-05-14,1.09,1.09,1.06,1.08,8400,0.0,0.0
1986-05-15,1.08,1.11,1.07,1.07,17100,0.0,0.0
1986-05-16,1.07,1.09,1.04,1.07,31200,0.0,0.0
1986-05-19,1.07,1.08,1.04,1.04,10600,0.0,0.0
1986-05-20,1.04,1.08,1.03,1.07,21800,0.0,0.0
1986-05-21,1.07,1.07,1.02,1.06,11300,0.0,0.0
1986-05-22,1.06,1.06,1.02,1.06,15300,0.0,0.0
1986-05-23,1.06,1.06,1.03,1.06,8200,0.142,0.0
1986-05-27,1.06,1.06,1.01,1.01,11200,0.0,0.0
1986-05-28,1.01,1.06,1.01,1.05,15500,0.0,0.0
1986-05-29,1.05,1.06,1.03,1.06,7400,0.0,0.0
1986-05-30,1.06,1.08,1.05,1.05,4500,0.0,0.0
1986-06-02,1.05,1.08,1.03,1.06,16900,0.0,0.0
1986-06-03,1.06,1.08,1.03,1.06,13200,0.0,0.0
1986-06-04,1.06,1.06,1.01,1.05,11700,0.0,0.0
1986-06-05,1.05,1.05,1.02,1.04,14000,0.0,0.0
1986-06-06,1.04,1.05,1.01,1.04,8000,0.0,0.0
1986-06-09,1.04,1.04,1.01,1.02,10900,0.0,0.0
1986-06-10,1.02,1.03,1.0,1.03,7300,0.0,0.0
1986-06-11,1.03,1.03,1.0,1.03,16900,0.0,0.0
1986-06-12,1.03,1.05,1.02,1.05,6500,0.0,0.0
1986-06-13,1.05,1.09,1.03,1.09,33100,0.0,0.0
1986-06-16,1.09,1.09,1.0,1.01,20700,0.0,0.0
1986-06-17,1.01,1.01,0.99,1.01,11900,0.0,0.0
1986-06-18,1.01,1.03,0.99,0.99,6800,0.0,0.0
1986-06-19,0.99,1.03,0.96,1.01,15500,0.0,0.0
1986-06-20,1.01,1.01,0.96,1.0,24400,0.0,0.0
1986-06-23,1.0,1.04,0.98,1.04,12100,0.0,0.0
1986-06-24,1.05,1.05,1.01,1.05,4300,0.142,0.0
1986-06-25,1.05,1.05,1.01,1.02,2600,0.0,0.0
1986-06-26,1.02,1.06,1.0,1.02,16400,0.0,0.0
1986-06-27,1.02,1.03,1.0,1.0,5100,0.0,0.0
1986-06-30,1.01,1.05,1.01,1.01,5700,0.0,0.0
1986-07-01,1.01,1.05,1.01,1.02,11700,0.0,0.0
1986-07-02,1.02,1.02,0.98,1.02,11300,0.0,0.0
1986-07-03,1.01,1.01,0.98,1.01,17900,0.0,0.0
1986-07-07,1.01,1.02,0.98,1.02,1300,0.0,0.0
1986-07-08,1.02,1.03,0.98,1.0,6400,0.0,0.0
1986-07-09,1.0,1.03,1.0,1.0,9200,0.0,0.0
1986-07-10,1.0,1.03,1.0,1.03,8100,0.0,0.0
1986-07-11,1.03,1.03,1.0,1.03,3900,0.0,0.0
1986-07-14,1.03,1.03,1.0,1.03,6200,0.0,0.0
1986-07-15,1.03,1.03,1.0,1.0,2700,0.0,0.0
1986-07-16,1.0,1.03,1.0,1.0,5000,0.0,0.0
1986-07-17,1.0,1.03,1.0,1.0,12300,0.0,0.0
1986-07-18,1.0,1.03,1.0,1.01,12000,0.0,0.0
1986-07-21,1.01,1.02,1.0,1.02,4400,0.0,0.0
1986-07-22,1.02,1.05,1.01,1.05,7700,0.0,0.0
1986-07-23,1.05,1.05,1.01,1.05,11900,0.0,0.0
1986-07-24,1.05,1.05,1.01,1.05,10100,0.0,0.0
1986-07-25,1.05,1.05,1.01,1.05,2200,0.142,0.0
1986-07-28,1.05,1.05,1.01,1.02,8400,0.0,0.0
1986-07-29,1.02,1.04,1.0,1.04,2900,0.0,0.0
1986-07-30,1.04,1.04,1.01,1.01,3600,0.0,0.0
1986-07-31,1.02,1.06,1.01,1.06,3400,0.1416,0.0
1986-08-01,1.06,1.06,1.01,1.03,7700,0.0,0.0
1986-08-04,1.03,1.05,1.01,1.05,9400,0.0,0.0
1986-08-05,1.05,1.05,1.01,1.05,1100,0.0,0.0
1986-08-06,1.05,1.05,1.02,1.03,7500,0.0,0.0
1986-08-07,1.03,1.06,1.02,1.02,6000,0.0,0.0
1986-08-08,1.02,1.05,1.01,1.01,5400,0.0,0.0
1986-08-11,1.01,1.05,1.01,1.01,14600,0.0,0.0
1986-08-12,1.02,1.06,1.02,1.05,11500,0.0,0.0
1986-08-13,1.05,1.07,1.02,1.03,30900,0.0,0.0
1986-08-14,1.03,1.09,1.03,1.09,21900,0.0,0.0
1986-08-15,1.09,1.09,1.05,1.06,5300,0.0,0.0
1986-08-18,1.06,1.1,1.05,1.09,13000,0.0,0.0
1986-08-19,1.09,1.1,1.06,1.09,18600,0.0,0.0
1986-08-20,1.09,1.11,1.05,1.09,34700,0.0,0.0
1986-08-21,1.09,1.09,1.05,1.09,15100,0.0,0.0
1986-08-22,1.09,1.09,1.03,1.07,20300,0.0,0.0
1986-08-25,1.08,1.11,1.04,1.09,17600,0.142,0.0
1986-08-26,1.09,1.09,1.05,1.09,14300,0.0,0.0
1986-08-27,1.09,1.09,1.05,1.07,15100,0.0,0.0
1986-08-28,1.07,1.09,1.05,1.09,11600,0.0,0.0
1986-08-29,1.1,1.11,1.06,1.11,11500,0.1416,0.0
1986-09-02,1.11,1.11,1.07,1.11,13300,0.0,0.0
1986-09-03,1.11,1.13,1.07,1.13,18400,0.0,0.0
1986-09-04,1.13,1.13,1.09,1.13,35100,0.0,0.0
1986-09-05,1.13,1.15,1.1,1.15,36100,0.0,0.0
1986-09-08,1.15,1.15,1.1,1.15,14800,0.0,0.0
