Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-06-12,105.6,105.6,101.04,102.0,13000,0,0.0
2006-06-13,100.92,101.52,98.4,100.8,5900,0,0.0
2006-06-14,100.8,101.28,99.72,99.72,6000,0,0.0
2006-06-15,99.48,100.2,97.68,97.8,2900,0,0.0
2006-06-16,99.0,99.0,95.04,95.04,4800,0,0.0
2006-06-19,97.56,100.8,94.8,96.84,9600,0,0.0
2006-06-20,95.88,99.0,88.32,89.52,21400,0,0.0
2006-06-21,88.8,88.8,85.92,87.48,18100,0,0.0
2006-06-22,87.48,87.6,82.92,85.56,10900,0,0.0
2006-06-23,85.08,85.32,84.6,84.6,2900,0,0.0
2006-06-26,88.44,88.44,81.0,82.68,8600,0,0.0
2006-06-27,82.68,84.0,79.2,79.32,4900,0,0.0
2006-06-28,83.28,83.28,71.76,75.6,12200,0,0.0
2006-06-29,75.24,84.24,75.0,76.2,5500,0,0.0
2006-06-30,78.0,78.72,74.4,75.6,2100,0,0.0
2006-07-03,78.72,83.64,76.8,77.16,1100,0,0.0
2006-07-05,75.96,77.76,74.4,74.52,300,0,0.0
2006-07-06,75.36,78.12,75.36,78.0,1500,0,0.0
2006-07-07,75.6,77.64,75.12,77.16,1000,0,0.0
2006-07-10,78.0,78.72,73.92,75.0,2300,0,0.0
2006-07-11,73.8,75.84,72.72,74.64,3500,0,0.0
2006-07-12,74.76,77.4,74.76,74.76,2300,0,0.0
2006-07-13,78.0,80.4,70.68,71.28,6400,0,0.0
2006-07-14,76.8,76.8,69.36,69.36,2500,0,0.0
2006-07-17,78.48,78.48,63.12,66.72,3800,0,0.0
2006-07-18,67.8,78.48,67.8,72.0,3300,0,0.0
2006-07-19,71.4,71.4,67.44,68.88,2700,0,0.0
2006-07-20,76.68,76.68,64.92,66.0,2300,0,0.0
2006-07-21,64.8,67.8,64.8,66.0,500,0,0.0
2006-07-24,65.52,67.2,65.52,66.0,400,0,0.0
2006-07-25,65.4,66.0,63.0,63.6,4400,0,0.0
2006-07-26,64.2,67.2,63.84,66.24,1600,0,0.0
2006-07-27,67.32,67.32,63.6,64.2,8000,0,0.0
2006-07-28,63.6,66.0,60.0,62.4,13700,0,0.0
2006-07-31,63.6,63.6,60.48,60.48,700,0,0.0
2006-08-01,60.48,60.48,55.8,56.88,14500,0,0.0
2006-08-02,57.0,60.24,57.0,57.84,11900,0,0.0
2006-08-03,58.2,59.28,57.6,58.2,4300,0,0.0
2006-08-04,57.72,60.24,57.72,58.2,9800,0,0.0
2006-08-07,57.6,61.2,57.6,61.2,5900,0,0.0
2006-08-08,61.2,72.48,61.2,71.4,16400,0,0.0
2006-08-09,72.24,73.56,67.08,73.08,6900,0,0.0
2006-08-10,71.16,75.12,65.4,72.84,3400,0,0.0
2006-08-11,65.4,73.32,65.4,69.96,3100,0,0.0
2006-08-14,71.64,76.2,67.92,73.68,4400,0,0.0
2006-08-15,75.6,76.32,73.92,74.28,1300,0,0.0
2006-08-16,76.44,77.4,73.2,73.2,1100,0,0.0
2006-08-17,73.2,74.76,69.72,69.72,1900,0,0.0
2006-08-18,70.44,70.44,67.44,68.4,300,0,0.0
2006-08-21,68.4,68.64,67.8,68.16,500,0,0.0
2006-08-22,66.72,67.8,66.0,67.8,3200,0,0.0
2006-08-23,67.2,67.2,63.6,63.6,2600,0,0.0
2006-08-24,66.12,71.4,60.84,62.4,5800,0,0.0
2006-08-25,66.0,66.0,59.76,61.2,2600,0,0.0
2006-08-28,61.8,70.2,61.8,66.0,2600,0,0.0
2006-08-29,65.4,69.6,62.04,64.92,1100,0,0.0
2006-08-30,64.32,66.96,63.12,66.24,700,0,0.0
2006-08-31,66.24,71.88,66.24,67.44,1200,0,0.0
2006-09-01,69.6,69.6,66.24,69.0,1000,0,0.0
2006-09-05,75.84,75.84,67.44,68.76,1300,0,0.0
2006-09-06,69.6,69.6,66.72,66.96,500,0,0.0
2006-09-07,66.84,66.84,62.16,63.48,14900,0,0.0
2006-09-08,61.8,65.76,61.32,65.76,17200,0,0.0
2006-09-11,63.84,64.08,63.24,63.48,400,0,0.0
2006-09-12,63.36,64.2,63.12,63.48,800,0,0.0
2006-09-13,64.2,64.44,62.04,63.6,3900,0,0.0
2006-09-14,64.8,66.48,63.0,65.88,14200,0,0.0
2006-09-15,66.0,66.12,64.92,66.0,8800,0,0.0
2006-09-18,67.2,69.0,66.12,68.88,3900,0,0.0
2006-09-19,69.0,74.04,68.04,70.68,900,0,0.0
2006-09-20,68.52,78.84,68.52,77.4,6700,0,0.0
2006-09-21,78.36,80.76,76.8,79.68,9700,0,0.0
2006-09-22,78.0,78.6,72.6,73.68,1300,0,0.0
2006-09-25,78.72,78.84,69.12,72.72,1400,0,0.0
2006-09-26,73.2,76.08,73.2,74.64,2400,0,0.0
2006-09-27,76.2,81.0,73.44,78.0,1700,0,0.0
2006-09-28,80.4,80.4,74.04,74.4,11400,0,0.0
2006-09-29,74.4,74.4,66.6,68.64,1100,0,0.0
2006-10-02,67.2,67.2,56.16,57.0,28800,0,0.0
2006-10-03,58.2,63.36,55.2,56.04,21500,0,0.0
2006-10-04,56.04,56.4,54.84,55.32,6700,0,0.0
2006-10-05,55.8,55.8,54.0,54.6,4500,0,0.0
2006-10-06,55.8,55.8,54.12,54.6,900,0,0.0
2006-10-09,48.0,48.72,42.0,43.56,13300,0,0.0
2006-10-10,47.16,47.16,38.4,38.52,28300,0,0.0
2006-10-11,40.08,40.2,33.84,36.6,49300,0,0.0
2006-10-12,38.04,38.04,33.24,33.24,20400,0,0.0
2006-10-13,33.6,36.36,33.6,36.0,9000,0,0.0
2006-10-16,37.8,46.8,36.0,42.48,33400,0,0.0
2006-10-17,42.6,43.8,40.08,42.36,9900,0,0.0
2006-10-18,42.48,42.96,39.48,39.84,3400,0,0.0
2006-10-19,39.6,40.08,37.68,39.0,6200,0,0.0
2006-10-20,38.76,42.36,38.76,40.44,7200,0,0.0
2006-10-23,40.56,45.6,40.2,40.44,10100,0,0.0
2006-10-24,40.44,42.0,39.48,40.68,9100,0,0.0
2006-10-25,40.2,41.88,39.12,39.6,2800,0,0.0
2006-10-26,42.0,42.0,40.08,40.68,7700,0,0.0
2006-10-27,40.8,41.64,40.68,41.28,5100,0,0.0
2006-10-30,40.8,41.64,40.44,41.28,4700,0,0.0
2006-10-31,41.16,43.08,41.16,41.28,10500,0,0.0
2006-11-01,41.16,41.64,40.08,40.2,2200,0,0.0
2006-11-02,40.32,40.92,36.72,37.08,3300,0,0.0
2006-11-03,38.4,39.96,37.56,39.6,4900,0,0.0
2006-11-06,39.24,39.72,36.6,37.2,6600,0,0.0
2006-11-07,37.56,38.52,37.56,38.52,7200,0,0.0
2006-11-08,37.44,38.4,37.2,37.44,23400,0,0.0
2006-11-09,37.08,38.4,36.0,36.0,4500,0,0.0
2006-11-10,37.2,39.96,35.4,35.76,15400,0,0.0
2006-11-13,36.0,40.44,36.0,39.72,13700,0,0.0
2006-11-14,40.92,44.4,40.56,43.56,30000,0,0.0
2006-11-15,44.4,45.84,43.2,44.64,28400,0,0.0
2006-11-16,44.28,44.76,43.32,43.92,3000,0,0.0
2006-11-17,43.32,44.88,42.84,44.28,1400,0,0.0
