Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-04-23,10.78,13.67,10.36,12.28,3096600,0.0,0
1999-04-26,12.28,12.28,11.43,12.07,395600,0.0,0
1999-04-27,12.23,12.39,11.96,11.96,273000,0.0,0
1999-04-28,11.85,12.17,11.1,11.16,456400,0.0,0
1999-04-29,11.48,12.17,11.32,11.96,208100,0.0,0
1999-04-30,12.39,15.48,12.28,13.67,387800,0.0,0
1999-05-03,14.36,14.63,13.77,14.09,131500,0.0,0
1999-05-04,13.99,14.52,13.99,14.09,96700,0.0,0
1999-05-05,13.99,14.74,13.99,14.36,204900,0.0,0
1999-05-06,14.31,14.52,14.25,14.25,62100,0.0,0
1999-05-07,14.25,14.52,13.99,14.09,36800,0.0,0
1999-05-10,13.93,14.2,13.88,14.09,157400,0.0,0
1999-05-11,13.99,14.47,13.99,14.2,60200,0.0,0
1999-05-12,14.15,16.23,14.15,16.02,125300,0.0,0
1999-05-13,16.23,18.05,16.18,17.19,232800,0.0,0
1999-05-14,17.19,18.05,17.08,17.08,328200,0.0,0
1999-05-17,17.08,17.08,16.87,16.87,26200,0.0,0
1999-05-18,17.19,17.62,17.19,17.46,240800,0.0,0
1999-05-19,17.62,17.62,17.08,17.19,74500,0.0,0
1999-05-20,17.08,17.3,16.66,16.76,31200,0.0,0
1999-05-21,16.66,16.66,15.22,15.91,49600,0.0,0
1999-05-24,15.59,15.8,15.38,15.59,85900,0.0,0
1999-05-25,15.8,15.8,15.38,15.8,10200,0.0,0
1999-05-26,15.86,16.23,15.59,15.59,379600,0.0,0
1999-05-27,15.59,15.86,13.99,14.15,49300,0.0,0
1999-05-28,13.99,14.31,13.88,13.93,213400,0.0,0
1999-06-01,14.31,14.84,13.99,14.84,122200,0.0,0
1999-06-02,14.74,15.38,14.74,15.38,46700,0.0,0
1999-06-03,15.38,15.48,15.38,15.48,17400,0.0,0
1999-06-04,15.38,15.38,15.06,15.27,24400,0.0,0
1999-06-07,15.38,15.48,15.16,15.38,13300,0.0,0
1999-06-08,15.16,15.54,15.16,15.27,89600,0.0,0
1999-06-09,15.54,16.87,15.38,16.55,73200,0.0,0
1999-06-10,16.66,16.98,16.55,16.82,67000,0.0,0
1999-06-11,17.08,17.19,16.82,16.82,113400,0.0,0
1999-06-14,16.87,17.08,16.23,16.44,50600,0.0,0
1999-06-15,16.02,16.02,14.36,14.63,142400,0.0,0
1999-06-16,14.84,15.91,14.84,15.38,36700,0.0,0
1999-06-17,15.8,15.8,15.38,15.8,6500,0.0,0
1999-06-18,15.75,15.91,15.48,15.7,15800,0.0,0
1999-06-21,15.8,16.02,15.59,15.8,52500,0.0,0
1999-06-22,15.64,16.23,15.64,16.12,116400,0.0,0
1999-06-23,16.23,16.23,15.91,15.96,77500,0.0,0
1999-06-24,15.91,16.23,15.91,16.02,71400,0.0,0
1999-06-25,16.23,16.23,16.02,16.12,18200,0.0,0
