Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-08-08,8.0,8.4,7.9,8.0,17800,0,0
2016-08-09,7.78,8.0,7.78,7.89,17000,0,0
2016-08-10,7.973,8.065,7.9,7.99,12100,0,0
2016-08-11,8.05,8.05,7.86,7.86,12500,0,0
2016-08-12,7.95,8.0,7.8,7.81,20100,0,0
2016-08-15,8.01,8.1,7.82,7.95,28100,0,0
2016-08-16,7.95,8.1,7.915,8.1,29300,0,0
2016-08-17,8.0,8.1,7.95,8.05,7800,0,0
2016-08-18,8.08,8.08,7.982,8.05,6600,0,0
2016-08-19,8.07,8.07,7.95,8.03,3900,0,0
2016-08-22,8.02,8.1,7.85,8.1,30800,0,0
2016-08-23,8.04,8.052,8.0,8.05,10500,0,0
2016-08-24,8.04,8.05,7.918,8.04,3900,0,0
2016-08-25,8.0,8.05,8.0,8.05,4100,0,0
2016-08-26,8.05,8.05,7.98,8.04,4500,0,0
2016-08-29,8.05,8.3,8.04,8.26,31900,0,0
2016-08-30,8.26,10.25,8.242,9.65,504300,0,0
2016-08-31,9.95,10.15,9.03,9.34,277100,0,0
2016-09-01,9.378,9.49,8.9,9.24,55000,0,0
2016-09-02,8.94,9.47,8.94,9.25,40800,0,0
2016-09-06,9.49,9.999,9.02,9.1,147500,0,0
2016-09-07,9.49,9.97,9.24,9.7,95900,0,0
2016-09-08,10.0,10.0,8.9,9.6,109200,0,0
2016-09-09,9.5,9.6,8.9,9.16,62400,0,0
2016-09-12,9.1,9.6,9.01,9.09,32300,0,0
2016-09-13,9.15,9.15,8.5,9.0,35800,0,0
2016-09-14,8.82,9.1,8.54,9.02,50900,0,0
2016-09-15,8.92,9.35,8.53,8.58,57600,0,0
2016-09-16,8.84,9.08,8.11,8.11,71400,0,0
2016-09-19,8.39,8.7,8.1,8.34,56000,0,0
2016-09-20,8.14,8.74,8.12,8.74,42900,0,0
2016-09-21,8.556,8.89,8.45,8.8,60600,0,0
2016-09-22,8.83,8.989,8.1,8.17,79900,0,0
2016-09-23,8.38,8.589,8.147,8.27,13300,0,0
2016-09-26,8.3,8.31,7.99,8.05,43300,0,0
2016-09-27,8.07,8.25,7.99,8.06,12900,0,0
2016-09-28,8.038,8.35,7.94,8.04,20500,0,0
2016-09-29,8.09,8.33,8.04,8.21,38300,0,0
2016-09-30,8.2,8.32,7.8,7.8,44200,0,0
2016-10-03,7.98,8.15,7.8,7.97,15900,0,0
2016-10-04,7.9,8.3,7.85,7.85,76500,0,0
2016-10-05,7.87,8.24,7.2,7.8,61300,0,0
2016-10-06,7.78,8.02,7.75,7.75,60900,0,0
2016-10-07,7.75,7.843,7.5,7.5,30400,0,0
2016-10-10,7.7,7.96,7.61,7.689,4600,0,0
2016-10-11,7.67,7.67,7.25,7.25,22200,0,0
2016-10-12,7.53,7.75,7.06,7.65,56600,0,0
2016-10-13,7.6,7.67,7.281,7.35,3100,0,0
2016-10-14,7.68,7.76,7.28,7.51,46200,0,0
2016-10-17,7.66,7.66,7.465,7.465,3800,0,0
2016-10-18,7.42,7.68,7.4,7.54,4300,0,0
2016-10-19,7.6,7.726,7.51,7.69,5800,0,0
2016-10-20,7.599,7.98,7.559,7.96,7200,0,0
2016-10-21,7.76,7.88,7.729,7.88,5200,0,0
2016-10-24,7.82,7.94,7.68,7.94,35200,0,0
2016-10-25,7.95,8.3,7.92,8.0,34600,0,0
2016-10-26,7.755,8.0,7.62,7.62,3300,0,0
2016-10-27,7.63,7.69,7.5,7.67,3400,0,0
2016-10-28,7.61,7.67,7.55,7.66,2000,0,0
2016-10-31,7.64,7.64,7.42,7.42,4400,0,0
2016-11-01,7.42,7.64,7.0,7.0,42700,0,0
2016-11-02,7.03,7.091,7.0,7.01,8200,0,0
2016-11-03,7.03,7.2,7.0,7.05,2600,0,0
2016-11-04,7.03,7.06,6.9,6.9,12700,0,0
2016-11-07,6.98,6.98,6.9,6.9,1900,0,0
2016-11-08,7.07,7.25,6.75,6.76,7400,0,0
2016-11-09,6.75,6.8,6.61,6.75,8400,0,0
2016-11-10,7.31,7.31,6.8,6.8,10200,0,0
2016-11-11,6.6,6.93,6.6,6.65,9600,0,0
2016-11-14,6.65,6.657,6.6,6.657,4000,0,0
2016-11-15,6.65,6.69,6.65,6.69,500,0,0
2016-11-16,7.005,7.005,6.82,6.95,4200,0,0
2016-11-17,7.5,7.5,7.05,7.2,2900,0,0
2016-11-18,7.8,7.8,6.9,7.2,2400,0,0
2016-11-21,7.15,7.19,6.6,6.61,4200,0,0
2016-11-22,7.05,7.05,6.902,6.98,1600,0,0
2016-11-23,7.05,7.05,6.7,6.85,5500,0,0
2016-11-25,6.66,7.05,6.66,7.05,500,0,0
2016-11-28,6.61,6.64,6.6,6.6,1900,0,0
2016-11-29,6.654,6.987,6.6,6.98,9200,0,0
2016-11-30,6.62,6.851,6.5,6.75,4500,0,0
2016-12-01,6.81,6.811,6.52,6.52,3800,0,0
2016-12-02,6.88,6.88,6.88,6.88,100,0,0
2016-12-05,6.787,6.787,6.5,6.5,4300,0,0
2016-12-06,6.5,6.512,6.5,6.512,3100,0,0
2016-12-07,6.51,6.824,6.5,6.824,2900,0,0
2016-12-08,6.79,6.8,6.45,6.797,8200,0,0
2016-12-09,6.82,7.05,6.82,7.0,16400,0,0
2016-12-12,6.91,7.02,6.91,7.01,9300,0,0
2016-12-13,7.02,7.05,6.99,7.05,3000,0,0
2016-12-14,7.05,7.309,6.77,6.9,24400,0,0
2016-12-15,7.0,7.0,7.0,7.0,200,0,0
2016-12-16,6.97,6.97,6.598,6.8,7700,0,0
2016-12-19,6.82,6.82,6.8,6.8,9300,0,0
2016-12-20,6.8,6.8,6.46,6.46,9800,0,0
2016-12-21,6.59,6.59,6.0,6.0,17900,0,0
2016-12-22,6.58,6.65,6.03,6.1,9900,0,0
2016-12-23,6.3,6.3,6.0,6.0,18800,0,0
2016-12-27,6.0,6.271,6.0,6.253,10500,0,0
2016-12-28,6.51,6.51,6.02,6.29,8600,0,0
2016-12-29,6.25,6.52,6.25,6.52,2100,0,0
2016-12-30,6.599,6.75,6.46,6.75,7400,0,0
2017-01-03,6.78,6.88,6.21,6.58,12100,0,0
2017-01-04,6.4,7.0,6.27,6.575,11700,0,0
2017-01-05,6.3,6.34,6.21,6.21,3700,0,0
2017-01-06,6.35,6.7,6.21,6.22,8100,0,0
2017-01-09,6.02,6.22,6.01,6.03,10800,0,0
2017-01-10,6.021,6.2,6.0,6.15,28200,0,0
