Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-28,7.09,8.67,7.0,8.03,7882400,0.0,0.0
1999-06-01,8.12,8.17,7.12,7.53,1467600,0.0,0.0
1999-06-02,7.53,7.59,7.12,7.32,588400,0.0,0.0
1999-06-03,7.47,8.09,7.23,7.97,744400,0.0,0.0
1999-06-04,8.0,8.29,7.88,7.88,653400,0.0,0.0
1999-06-07,8.12,8.12,7.82,8.12,879800,0.0,0.0
1999-06-08,8.0,8.2,8.0,8.12,283600,0.0,0.0
1999-06-09,8.23,8.35,8.17,8.23,535400,0.0,0.0
1999-06-10,8.29,8.29,7.85,8.17,637000,0.0,0.0
1999-06-11,8.06,8.17,7.94,8.06,410600,0.0,0.0
1999-06-14,8.2,8.44,8.06,8.35,261800,0.0,0.0
1999-06-15,8.47,8.76,8.29,8.67,136600,0.0,0.0
1999-06-16,8.82,10.12,8.76,9.94,293000,0.0,0.0
1999-06-17,10.03,11.17,9.94,10.47,176800,0.0,0.0
1999-06-18,10.23,10.7,10.23,10.29,77200,0.0,0.0
1999-06-21,10.47,11.06,10.26,11.06,144200,0.0,0.0
1999-06-22,11.23,11.47,10.76,10.88,176200,0.0,0.0
1999-06-23,11.06,11.94,10.94,11.94,431800,0.0,0.0
1999-06-24,12.41,12.76,12.0,12.41,322400,0.0,0.0
1999-06-25,12.67,12.73,12.0,12.17,84000,0.0,0.0
1999-06-28,12.47,12.47,11.76,11.82,314800,0.0,0.0
1999-06-29,11.82,12.35,11.82,12.17,798400,0.0,0.0
1999-06-30,12.38,12.82,12.26,12.7,510000,0.0,0.0
1999-07-01,12.85,13.06,12.47,12.85,34800,0.0,0.0
1999-07-02,12.82,12.85,12.47,12.47,14600,0.0,0.0
1999-07-06,12.67,12.85,12.64,12.64,76600,0.0,0.0
1999-07-07,12.82,12.82,12.64,12.82,30800,0.0,0.0
1999-07-08,12.85,13.85,12.76,13.35,110800,0.0,0.0
1999-07-09,13.35,17.05,13.35,14.58,364600,0.0,0.0
1999-07-12,15.41,17.05,14.64,15.26,139400,0.0,0.0
1999-07-13,15.35,15.35,14.06,14.23,344200,0.0,0.0
1999-07-14,14.29,15.11,14.11,14.7,118200,0.0,0.0
1999-07-15,14.88,15.82,14.53,15.58,437200,0.0,0.0
1999-07-16,15.88,16.05,15.53,15.58,136600,0.0,0.0
1999-07-19,16.0,16.23,13.23,14.11,454000,0.0,0.0
1999-07-20,14.08,14.17,12.82,12.91,323600,0.0,0.0
1999-07-21,13.04,13.14,11.76,11.76,965200,0.0,0.0
1999-07-22,11.82,13.06,11.59,12.53,184600,0.0,0.0
1999-07-23,12.59,12.64,12.11,12.41,115600,0.0,0.0
1999-07-26,12.06,12.26,11.76,12.0,214800,0.0,0.0
1999-07-27,11.82,12.44,11.82,12.29,60000,0.0,0.0
1999-07-28,12.29,13.88,12.29,13.0,93400,0.0,0.0
1999-07-29,12.7,13.47,12.7,13.47,91600,0.0,0.0
1999-07-30,13.58,14.23,13.58,14.11,331200,0.0,0.0
1999-08-02,14.0,14.11,12.35,12.73,73000,0.0,0.0
1999-08-03,12.73,12.73,10.7,11.64,712800,0.0,0.0
1999-08-04,11.59,11.88,11.41,11.7,151200,0.0,0.0
1999-08-05,11.76,11.76,10.82,11.23,147600,0.0,0.0
1999-08-06,11.17,11.23,11.06,11.09,29600,0.0,0.0
1999-08-09,11.11,11.11,10.17,10.17,136000,0.0,0.0
1999-08-10,10.06,10.26,9.06,9.23,144600,0.0,0.0
1999-08-11,9.76,10.17,9.67,9.94,985400,0.0,0.0
1999-08-12,10.0,10.23,9.97,10.06,929800,0.0,0.0
1999-08-13,10.12,11.23,10.12,11.2,268200,0.0,0.0
1999-08-16,11.29,12.82,11.2,11.94,284600,0.0,0.0
1999-08-17,11.94,13.0,11.88,12.23,76600,0.0,0.0
1999-08-18,12.41,12.94,12.23,12.35,290000,0.0,0.0
1999-08-19,12.7,13.11,12.23,13.06,362800,0.0,0.0
1999-08-20,13.36,13.76,13.06,13.58,91200,0.0,0.0
1999-08-23,13.58,14.11,13.47,13.88,112400,0.0,0.0
1999-08-24,13.64,13.94,13.64,13.88,182400,0.0,0.0
1999-08-25,13.64,13.82,13.41,13.44,54000,0.0,0.0
1999-08-26,13.17,13.29,12.94,12.94,121400,0.0,0.0
1999-08-27,13.17,13.17,12.97,13.06,48600,0.0,0.0
1999-08-30,13.0,13.17,13.0,13.17,52800,0.0,0.0
1999-08-31,13.23,13.7,13.0,13.7,138600,0.0,0.0
1999-09-01,13.76,14.23,13.64,13.85,37000,0.0,0.0
1999-09-02,13.47,13.88,13.17,13.29,81000,0.0,0.0
1999-09-03,13.35,13.7,13.23,13.58,66200,0.0,0.0
1999-09-07,14.06,14.08,13.58,13.64,194000,0.0,0.0
1999-09-08,13.79,15.17,13.79,14.7,342800,0.0,0.0
1999-09-09,14.73,17.41,14.64,15.7,552000,0.0,0.0
1999-09-10,16.47,17.7,16.35,17.17,707600,0.0,0.0
1999-09-13,17.11,18.33,16.94,17.88,292600,0.0,0.0
1999-09-14,18.14,18.94,17.58,18.7,221200,0.0,0.0
1999-09-15,18.7,19.38,18.23,18.23,320000,0.0,0.0
1999-09-16,17.7,17.76,16.7,17.35,202200,0.0,0.0
1999-09-17,16.94,18.11,16.94,17.76,125400,0.0,0.0
1999-09-20,17.29,17.88,17.29,17.88,12200,0.0,0.0
1999-09-21,17.91,18.0,17.53,17.64,147200,0.0,0.0
1999-09-22,17.7,17.7,16.64,17.17,202600,0.0,0.0
1999-09-23,16.94,18.35,16.94,17.05,293000,0.0,0.0
1999-09-24,17.05,17.47,16.94,17.41,270600,0.0,0.0
1999-09-27,17.17,18.11,17.05,17.88,37800,0.0,0.0
1999-09-28,17.58,17.7,17.58,17.58,50600,0.0,0.0
1999-09-29,17.73,17.73,17.47,17.47,72000,0.0,0.0
1999-09-30,17.47,17.7,17.35,17.7,50400,0.0,0.0
1999-10-01,17.7,18.64,17.7,18.47,55000,0.0,0.0
1999-10-04,18.58,21.05,18.52,20.97,933400,0.0,0.0
1999-10-05,22.29,22.52,21.64,21.99,535800,0.0,0.0
1999-10-06,20.99,20.99,19.79,20.58,641200,0.0,0.0
1999-10-07,20.55,20.64,20.47,20.64,86800,0.0,0.0
1999-10-08,20.41,20.61,20.35,20.35,20800,0.0,0.0
1999-10-11,20.35,21.23,20.35,20.94,63000,0.0,0.0
1999-10-12,21.29,22.94,20.94,22.35,96000,0.0,0.0
1999-10-13,22.52,22.76,21.64,21.7,54400,0.0,0.0
1999-10-14,19.76,20.99,19.29,20.17,2710600,0.0,0.0
1999-10-15,19.7,19.7,19.0,19.23,1231200,0.0,0.0
1999-10-18,19.55,19.58,19.0,19.17,254000,0.0,0.0
1999-10-19,19.29,21.88,19.29,21.88,388000,0.0,0.0
1999-10-20,21.99,22.67,20.64,22.35,2529400,0.0,0.0
1999-10-21,21.47,24.05,21.47,23.76,108600,0.0,0.0
1999-10-22,24.17,26.05,23.94,25.05,195600,0.0,0.0
1999-10-25,25.35,25.41,24.82,25.41,95000,0.0,0.0
1999-10-26,25.46,27.52,25.11,27.05,307000,0.0,0.0
1999-10-27,27.05,27.05,26.7,26.7,127400,0.0,0.0
1999-10-28,27.17,27.29,26.7,26.88,46600,0.0,0.0
1999-10-29,27.05,30.23,26.93,28.46,178800,0.0,0.0
1999-11-01,29.76,30.29,27.7,28.19,88400,0.0,0.0
1999-11-02,27.7,28.17,23.94,25.88,451000,0.0,0.0
1999-11-03,26.23,26.23,23.76,23.99,82200,0.0,0.0
1999-11-04,23.52,26.67,23.11,26.67,813400,0.0,0.0
1999-11-05,26.82,31.52,26.76,30.46,214000,0.0,0.0
1999-11-08,30.82,34.34,30.35,31.93,239200,0.0,0.0
1999-11-09,32.46,33.29,29.4,29.4,66600,0.0,0.0
1999-11-10,29.99,31.64,28.7,31.52,655600,0.0,0.0
1999-11-11,31.76,31.76,29.46,29.46,82400,0.0,0.0
1999-11-12,30.11,33.7,29.17,33.64,388000,0.0,0.0
1999-11-15,33.99,34.7,33.4,33.87,110000,0.0,0.0
1999-11-16,34.23,34.23,33.17,33.49,113200,0.0,0.0
1999-11-17,33.52,36.29,33.05,35.76,165000,0.0,0.0
1999-11-18,37.31,39.52,36.76,38.46,517400,0.0,0.0
1999-11-19,38.78,39.28,37.05,37.05,223600,0.0,0.0
1999-11-22,38.51,38.52,35.58,35.81,214000,0.0,0.0
1999-11-23,35.8,36.29,30.87,32.93,456600,0.0,0.0
1999-11-24,32.58,32.58,29.82,30.11,669000,0.0,0.0
1999-11-26,29.99,30.52,29.99,30.4,125200,0.0,0.0
1999-11-29,31.23,32.99,30.46,31.35,654000,0.0,0.0
1999-11-30,30.58,30.7,26.58,28.17,502800,0.0,0.0
1999-12-01,27.82,30.05,27.82,29.76,771200,0.0,0.0
1999-12-02,31.11,33.76,30.23,32.99,490200,0.0,0.0
1999-12-03,34.64,35.34,32.99,33.17,243600,0.0,0.0
1999-12-06,33.17,34.05,29.4,30.52,182600,0.0,0.0
1999-12-07,30.46,30.64,28.11,30.4,213000,0.0,0.0
1999-12-08,29.58,30.64,29.4,30.52,159200,0.0,0.0
1999-12-09,30.82,30.82,28.52,28.58,92400,0.0,0.0
1999-12-10,29.61,29.87,28.46,29.87,348600,0.0,0.0
1999-12-13,27.99,32.11,27.76,31.29,506400,0.0,0.0
1999-12-14,31.29,31.64,30.87,31.11,994200,0.0,0.0
1999-12-15,31.11,31.29,29.05,29.29,63400,0.0,0.0
1999-12-16,29.17,30.64,29.17,30.23,105600,0.0,0.0
1999-12-17,30.51,33.34,30.35,32.43,187000,0.0,0.0
1999-12-20,32.23,35.2,31.4,34.7,327000,0.0,0.0
1999-12-21,34.99,35.52,34.34,35.23,239600,0.0,0.0
1999-12-22,35.64,38.58,35.46,37.23,391000,0.0,0.0
1999-12-23,38.23,38.87,36.64,36.64,162800,0.0,0.0
1999-12-27,36.99,36.99,35.05,35.7,95400,0.0,0.0
1999-12-28,36.37,39.99,35.87,39.81,226400,0.0,0.0
1999-12-29,38.93,45.17,38.7,41.4,253800,0.0,0.0
1999-12-30,41.87,45.22,41.4,44.02,166600,0.0,0.0
1999-12-31,44.25,44.25,42.75,43.28,42200,0.0,0.0
2000-01-03,43.58,43.87,40.11,41.17,91200,0.0,0.0
2000-01-04,39.05,39.05,32.93,33.64,492200,0.0,0.0
2000-01-05,33.58,34.52,32.64,33.93,83600,0.0,0.0
2000-01-06,34.52,34.52,33.58,34.17,195200,0.0,0.0
2000-01-07,34.52,34.52,33.23,33.99,250200,0.0,0.0
2000-01-10,34.52,35.64,34.34,34.87,145400,0.0,0.0
2000-01-11,34.46,34.52,33.4,33.4,205400,0.0,0.0
2000-01-12,33.54,33.73,29.93,30.35,1163800,0.0,0.0
2000-01-13,30.58,33.58,30.14,32.99,728800,0.0,0.0
2000-01-14,34.52,37.99,33.7,37.64,127600,0.0,0.0
2000-01-18,37.87,38.34,35.87,37.4,175200,0.0,0.0
2000-01-19,37.64,38.76,36.93,38.05,716800,0.0,0.0
2000-01-20,37.58,39.52,36.87,37.17,237800,0.0,0.0
2000-01-21,37.26,38.34,33.82,34.87,4514400,0.0,0.0
2000-01-24,35.29,35.29,31.52,31.99,332000,0.0,0.0
2000-01-25,31.99,32.52,28.11,29.46,570000,0.0,0.0
2000-01-26,29.58,29.99,29.17,29.76,585400,0.0,0.0
2000-01-27,29.64,29.64,28.58,29.29,492400,0.0,0.0
2000-01-28,29.4,29.64,27.76,27.76,319800,0.0,0.0
2000-01-31,27.29,27.4,24.94,26.29,658400,0.0,0.0
2000-02-01,26.76,27.35,23.94,26.82,658000,0.0,0.0
2000-02-02,27.52,31.52,27.29,30.46,851400,0.0,0.0
2000-02-03,32.93,33.64,29.52,30.58,373200,0.0,0.0
2000-02-04,30.64,31.4,27.23,29.76,463000,0.0,0.0
2000-02-07,30.46,30.76,28.76,29.64,241000,0.0,0.0
2000-02-08,29.64,29.99,28.76,29.11,2855400,0.0,0.0
2000-02-09,29.11,29.99,28.99,29.52,732400,0.0,0.0
2000-02-10,29.76,35.58,29.76,34.9,1190800,0.0,0.0
2000-02-11,35.76,41.11,35.52,38.11,779200,0.0,0.0
2000-02-14,38.28,38.34,36.23,37.37,239600,0.0,0.0
2000-02-15,38.58,39.05,37.55,37.55,456400,0.0,0.0
2000-02-16,37.52,37.52,36.7,36.7,209000,0.0,0.0
2000-02-17,36.7,37.17,36.46,36.52,1048800,0.0,0.0
2000-02-18,36.46,36.7,36.23,36.23,313600,0.0,0.0
2000-02-22,37.17,37.34,35.93,35.99,237200,0.0,0.0
2000-02-23,36.17,36.17,34.87,35.76,222000,0.0,0.0
2000-02-24,35.64,36.7,35.64,35.76,561600,0.0,0.0
2000-02-25,35.61,36.99,35.29,36.4,349600,0.0,0.0
2000-02-28,36.87,36.87,35.58,35.7,80800,0.0,0.0
2000-02-29,35.58,39.99,35.58,36.34,720000,0.0,0.0
2000-03-01,36.7,40.23,36.34,39.31,315200,0.0,0.0
2000-03-02,39.11,41.87,39.11,41.4,484800,0.0,0.0
2000-03-03,41.87,44.87,41.87,44.72,1515400,0.0,0.0
2000-03-06,45.69,63.98,45.69,63.57,1898200,0.0,0.0
2000-03-07,60.46,63.51,59.75,61.31,748200,0.0,0.0
2000-03-08,60.63,62.4,60.22,62.1,374400,0.0,0.0
2000-03-09,61.16,69.87,61.16,65.72,343000,0.0,0.0
2000-03-10,68.62,71.51,67.04,69.39,233000,0.0,0.0
2000-03-13,64.45,68.87,62.57,65.28,387600,0.0,0.0
2000-03-14,65.43,67.57,64.34,64.34,663400,0.0,0.0
2000-03-15,63.75,64.51,58.22,58.57,660800,0.0,0.0
2000-03-16,58.75,60.22,58.57,59.75,714400,0.0,0.0
2000-03-17,60.01,63.28,59.51,60.34,608600,0.0,0.0
2000-03-20,60.4,60.4,57.69,58.04,257200,0.0,0.0
2000-03-21,57.46,57.46,40.7,48.69,593000,0.0,0.0
2000-03-22,48.87,52.28,48.72,50.05,648800,0.0,0.0
2000-03-23,50.58,50.58,48.93,49.43,714400,0.0,0.0
2000-03-24,49.4,49.46,47.46,48.05,479800,0.0,0.0
2000-03-27,47.52,48.34,47.52,47.87,403400,0.0,0.0
2000-03-28,48.52,61.16,48.22,61.16,524600,0.0,0.0
2000-03-29,58.91,67.75,58.1,66.22,1754200,0.0,0.0
2000-03-30,61.04,63.51,46.81,48.16,676800,0.0,0.0
2000-03-31,50.58,50.81,43.52,47.22,618600,0.0,0.0
2000-04-03,43.75,46.14,42.81,45.87,237800,0.0,0.0
2000-04-04,45.75,47.05,39.58,41.87,627600,0.0,0.0
2000-04-05,39.8,49.46,38.58,48.87,561600,0.0,0.0
2000-04-06,51.28,52.28,48.93,51.58,280400,0.0,0.0
2000-04-07,53.16,56.46,53.16,54.69,116200,0.0,0.0
2000-04-10,57.16,63.98,56.43,57.02,434400,0.0,0.0
2000-04-11,55.99,56.1,46.34,55.31,729600,0.0,0.0
2000-04-12,52.37,53.63,41.4,41.87,221400,0.0,0.0
2000-04-13,45.84,45.87,35.31,35.76,717000,0.0,0.0
2000-04-14,35.26,35.26,25.29,28.23,534200,0.0,0.0
2000-04-17,24.94,30.58,24.94,29.17,651200,0.0,0.0
2000-04-18,34.34,39.58,33.29,36.2,691400,0.0,0.0
2000-04-19,37.52,38.23,34.58,35.96,752200,0.0,0.0
2000-04-20,35.99,36.23,31.29,32.82,356600,0.0,0.0
2000-04-24,30.11,32.93,29.17,29.46,109800,0.0,0.0
2000-04-25,31.4,36.23,31.26,33.93,214400,0.0,0.0
2000-04-26,35.29,35.29,33.64,34.11,509400,0.0,0.0
2000-04-27,32.99,36.29,32.11,35.34,154600,0.0,0.0
2000-04-28,36.37,36.7,33.87,35.29,431200,0.0,0.0
2000-05-01,34.87,37.58,34.81,36.7,707000,0.0,0.0
2000-05-02,36.17,38.81,34.11,34.81,477600,0.0,0.0
2000-05-03,33.87,34.34,30.17,32.52,640000,0.0,0.0
2000-05-04,33.26,34.87,32.46,33.87,675200,0.0,0.0
2000-05-05,34.14,34.81,32.82,33.87,169200,0.0,0.0
2000-05-08,32.73,33.4,30.93,31.05,62000,0.0,0.0
2000-05-09,31.05,31.52,28.52,29.87,87200,0.0,0.0
2000-05-10,29.4,29.4,25.93,25.93,329600,0.0,0.0
2000-05-11,28.52,31.52,27.05,29.4,274000,0.0,0.0
2000-05-12,32.11,32.58,30.87,31.29,200600,0.0,0.0
2000-05-15,31.99,31.99,28.99,29.96,259000,0.0,0.0
2000-05-16,31.15,31.76,29.64,29.87,919600,0.0,0.0
2000-05-17,29.17,31.02,28.26,29.17,113800,0.0,0.0
2000-05-18,29.11,29.64,27.29,27.73,111200,0.0,0.0
2000-05-19,27.58,27.58,23.99,23.99,610800,0.0,0.0
2000-05-22,24.7,25.41,22.52,25.26,568000,0.0,0.0
2000-05-23,25.88,29.17,25.29,27.43,452600,0.0,0.0
2000-05-24,28.32,29.76,27.71,29.76,711200,0.0,0.0
2000-05-25,29.23,34.29,29.2,33.17,1081600,0.0,0.0
2000-05-26,32.93,35.34,32.93,34.84,387400,0.0,0.0
2000-05-30,34.87,39.75,34.87,36.23,2437200,0.0,0.0
2000-05-31,36.26,36.99,33.87,34.37,927400,0.0,0.0
2000-06-01,34.87,43.25,34.84,42.55,1367400,0.0,0.0
2000-06-02,44.4,51.75,44.37,46.75,1088000,0.0,0.0
2000-06-05,44.99,49.34,44.69,47.4,682400,0.0,0.0
