Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-08-06,13.7,14.04,12.92,13.43,24197800,0.0,0
2009-08-07,13.41,13.92,13.31,13.64,2454300,0.0,0
2009-08-10,13.81,13.81,12.96,13.26,2421000,0.0,0
2009-08-11,13.27,13.29,12.87,13.01,2305400,0.0,0
2009-08-12,13.41,13.45,13.0,13.29,1451300,0.0,0
2009-08-13,13.29,13.88,13.29,13.74,1150600,0.0,0
2009-08-14,13.7,14.12,13.49,13.78,637800,0.0,0
2009-08-17,13.51,13.59,13.45,13.47,254400,0.0,0
2009-08-18,13.68,14.28,13.58,14.17,1446700,0.0,0
2009-08-19,13.98,14.9,13.95,14.85,2070800,0.0,0
2009-08-20,14.9,14.9,14.36,14.75,1882100,0.0,0
2009-08-21,14.77,14.92,14.6,14.8,863600,0.0,0
2009-08-24,14.55,14.82,14.36,14.53,1021600,0.0,0
2009-08-25,14.66,14.86,14.57,14.82,530800,0.0,0
2009-08-26,14.69,14.82,14.24,14.82,708600,0.0,0
2009-08-27,14.82,15.12,14.57,15.08,1161100,0.0,0
2009-08-28,15.03,15.78,14.95,15.34,1295000,0.0,0
2009-08-31,15.24,15.28,14.79,15.11,1004800,0.0,0
2009-09-01,15.15,15.31,14.07,14.82,1383500,0.0,0
2009-09-02,14.75,15.15,14.51,14.68,1293400,0.0,0
2009-09-03,14.92,14.92,14.12,14.49,3657700,0.0,0
2009-09-04,14.74,14.95,14.52,14.75,1158600,0.0,0
2009-09-08,14.75,14.89,14.49,14.7,574900,0.0,0
2009-09-09,14.82,14.82,14.3,14.33,551200,0.0,0
2009-09-10,14.12,14.5,14.07,14.16,415200,0.0,0
2009-09-11,14.12,14.39,13.73,14.02,620300,0.0,0
2009-09-14,13.82,14.03,13.54,13.83,1614500,0.0,0
2009-09-15,14.32,14.41,13.81,14.27,1986900,0.0,0
2009-09-16,14.45,14.74,14.21,14.6,2021100,0.0,0
2009-09-17,14.66,14.86,13.73,13.82,1446400,0.0,0
2009-09-18,13.76,14.13,13.43,13.45,899900,0.0,0
2009-09-21,13.52,13.81,13.18,13.79,553000,0.0,0
