Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,1.3,1.3,1.26,1.3,30000.0,0.0,0.0
1973-05-04,1.3,1.34,1.3,1.3,26400.0,0.0,0.0
1973-05-07,1.3,1.34,1.3,1.3,18400.0,0.0,0.0
1973-05-08,1.3,1.34,1.3,1.34,13200.0,0.0,0.0
1973-05-09,1.34,1.35,1.3,1.3,15200.0,0.0,0.0
1973-05-10,1.3,1.3,1.28,1.28,18800.0,0.0,0.0
1973-05-11,1.28,1.28,1.26,1.28,19200.0,0.0,0.0
1973-05-14,1.28,1.28,1.23,1.23,32000.0,0.0,0.0
1973-05-15,1.23,1.24,1.19,1.23,49200.0,0.0,0.0
1973-05-16,1.23,1.24,1.19,1.19,31200.0,0.0,0.0
1973-05-17,1.19,1.19,1.15,1.15,83600.0,0.0,0.0
1973-05-18,1.15,1.19,1.12,1.15,67600.0,0.0,0.0
1973-05-21,1.13,1.13,1.04,1.06,116400.0,0.0,0.0
1973-05-22,1.06,1.08,1.02,1.02,145600.0,0.0,0.0
1973-05-23,1.02,1.06,1.01,1.04,104800.0,0.0,0.0
1973-05-24,1.04,1.15,1.04,1.15,42400.0,0.0,0.0
1973-05-25,1.15,1.23,1.13,1.23,72400.0,0.0,0.0
1973-05-29,1.23,1.23,1.17,1.17,20400.0,0.0,0.0
1973-05-30,1.17,1.17,1.13,1.15,10800.0,0.0,0.0
1973-05-31,1.12,1.12,1.1,1.1,42400.0,0.0,0.0
1973-06-01,1.1,1.1,1.06,1.06,52800.0,0.0,0.0
1973-06-04,1.06,1.08,1.04,1.06,31200.0,0.0,0.0
1973-06-05,1.06,1.1,1.04,1.1,45600.0,0.0,0.0
1973-06-06,1.1,1.1,1.06,1.06,22800.0,0.0,0.0
1973-06-07,1.06,1.12,1.06,1.08,28400.0,0.0,0.0
1973-06-08,1.1,1.13,1.1,1.12,19200.0,0.0,0.0
1973-06-11,1.12,1.15,1.12,1.13,21200.0,0.0,0.0
1973-06-12,1.13,1.15,1.08,1.08,48800.0,0.0,0.0
1973-06-13,1.13,1.17,1.13,1.15,30800.0,0.0,0.0
1973-06-14,1.19,1.23,1.19,1.19,57600.0,0.0,0.0
1973-06-15,1.19,1.19,1.17,1.17,28400.0,0.0,0.0
1973-06-18,1.17,1.17,1.12,1.12,25200.0,0.0,0.0
1973-06-19,1.12,1.12,1.06,1.08,75600.0,0.0,0.0
1973-06-20,1.08,1.12,1.08,1.12,28400.0,0.0,0.0
1973-06-21,1.12,1.13,1.06,1.06,23200.0,0.0,0.0
1973-06-22,1.06,1.12,1.06,1.06,33600.0,0.0,0.0
1973-06-25,1.06,1.1,1.04,1.04,60000.0,0.0,0.0
1973-06-26,1.04,1.1,1.04,1.1,46000.0,0.0,0.0
1973-06-27,1.1,1.1,1.06,1.06,25600.0,0.0,0.0
1973-06-28,1.06,1.1,1.06,1.08,22000.0,0.0,0.0
1973-06-29,1.08,1.1,1.06,1.08,15200.0,0.0,0.0
1973-07-02,1.08,1.08,1.06,1.06,12000.0,0.0,0.0
1973-07-03,1.06,1.08,1.06,1.08,24800.0,0.0,0.0
1973-07-05,1.08,1.08,1.06,1.06,14400.0,0.0,0.0
1973-07-06,1.06,1.08,1.06,1.08,12400.0,0.0,0.0
1973-07-09,1.08,1.08,1.06,1.06,18400.0,0.0,0.0
1973-07-10,1.08,1.1,1.08,1.08,25600.0,0.0,0.0
1973-07-11,1.08,1.13,1.08,1.13,56000.0,0.0,0.0
1973-07-12,1.13,1.17,1.12,1.13,66000.0,0.0,0.0
1973-07-13,1.13,1.15,1.12,1.15,27600.0,0.0,0.0
1973-07-16,1.15,1.15,1.1,1.13,275600.0,0.0,0.0
1973-07-17,1.13,1.13,1.1,1.1,113200.0,0.0,0.0
1973-07-18,1.1,1.26,1.1,1.24,141200.0,0.0,0.0
1973-07-19,1.23,1.23,1.15,1.19,72800.0,0.0,0.0
1973-07-20,1.19,1.24,1.19,1.23,58400.0,0.0,0.0
1973-07-23,1.23,1.28,1.23,1.28,62400.0,0.0,0.0
1973-07-24,1.28,1.3,1.24,1.3,77200.0,0.0,0.0
1973-07-25,1.3,1.3,1.23,1.28,151600.0,0.0,0.0
1973-07-26,1.28,1.3,1.26,1.26,62800.0,0.0,0.0
1973-07-27,1.26,1.28,1.26,1.28,14400.0,0.0,0.0
