Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-08-09,5.1396,6.7775,4.8572,6.6646,1494400,0.0,0
1996-08-12,7.0034,7.4553,6.5516,6.6081,772300,0.0,0
1996-08-13,6.8905,6.8905,6.4387,6.5516,153000,0.0,0
1996-08-14,6.4387,6.7775,6.0998,6.2127,202300,0.0,0
1996-08-15,5.9868,6.1563,5.8739,6.0998,220200,0.0,0
1996-08-16,6.0998,6.1563,5.8739,6.0998,34900,0.0,0
1996-08-19,5.9303,6.2127,5.8739,5.8739,77000,0.0,0
1996-08-20,5.8739,5.9868,4.9702,5.1961,241600,0.0,0
1996-08-21,4.9702,5.0831,4.7443,4.8008,417100,0.0,0
1996-08-22,4.8572,5.7609,4.8572,5.535,118100,0.0,0
1996-08-23,5.3655,6.2127,5.3655,5.9303,170800,0.0,0
1996-08-26,6.2127,6.6081,5.7609,6.4387,153400,0.0,0
1996-08-27,6.7211,6.8905,6.2692,6.5516,249700,0.0,0
1996-08-28,6.3257,6.6646,6.3257,6.3257,26100,0.0,0
1996-08-29,6.4387,6.6646,6.3257,6.3257,22100,0.0,0
1996-08-30,6.7775,7.0034,6.4387,6.7775,59200,0.0,0
1996-09-03,6.6646,7.1164,6.4387,6.8905,115700,0.0,0
1996-09-04,6.8905,7.4553,6.6646,6.7211,208700,0.0,0
1996-09-05,6.6646,6.8905,6.4951,6.7775,83700,0.0,0
1996-09-06,6.7775,7.0034,6.7775,7.0034,73000,0.0,0
1996-09-09,7.0034,7.0034,6.5516,6.7775,64900,0.0,0
1996-09-10,6.834,8.0201,6.6646,7.6812,399600,0.0,0
1996-09-11,7.7942,7.7942,7.3423,7.4553,129200,0.0,0
1996-09-12,7.5682,7.6812,7.4553,7.6812,101100,0.0,0
1996-09-13,7.4553,7.7942,7.3423,7.4553,73000,0.0,0
1996-09-16,7.4553,8.0201,7.3423,7.9071,178100,0.0,0
1996-09-17,8.133,8.1895,7.5682,7.7942,234000,0.0,0
1996-09-18,7.6247,7.7942,7.5682,7.7942,68700,0.0,0
1996-09-19,7.5965,7.7942,7.3423,7.4553,33800,0.0,0
1996-09-20,7.4553,7.6812,7.2294,7.4553,47900,0.0,0
1996-09-23,7.2294,7.4553,7.0034,7.1164,101300,0.0,0
1996-09-24,7.1164,7.9071,7.0034,7.5682,159700,0.0,0
1996-09-25,7.9071,7.9071,7.5682,7.7942,59800,0.0,0
1996-09-26,7.9071,8.5849,7.7942,8.359,221900,0.0,0
1996-09-27,8.5849,8.5849,7.6812,7.6812,144300,0.0,0
1996-09-30,7.6812,7.9071,7.5682,7.6247,61300,0.0,0
1996-10-01,7.4553,7.5682,7.2294,7.2294,36500,0.0,0
1996-10-02,7.3423,7.9071,7.2294,7.6812,92300,0.0,0
1996-10-03,7.9071,7.9071,7.4553,7.5682,40700,0.0,0
1996-10-04,7.7942,7.7942,7.3423,7.4553,58900,0.0,0
1996-10-07,7.5682,7.6812,6.6646,6.7775,302600,0.0,0
1996-10-08,6.7775,7.2294,6.7775,7.0034,201000,0.0,0
1996-10-09,7.4553,7.4553,6.8905,6.8905,60800,0.0,0
1996-10-10,7.1164,7.1164,6.6646,6.6646,110600,0.0,0
1996-10-11,6.8905,6.8905,6.6646,6.8905,50800,0.0,0
1996-10-14,6.8905,6.8905,6.4387,6.4951,62900,0.0,0
1996-10-15,6.7775,6.7775,5.7609,5.8739,167000,0.0,0
