Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-12-17,0.0,3.34,3.26,3.26,184800,0.0,0.0
1986-12-18,0.0,3.34,3.26,3.26,80500,0.0,0.0
1986-12-19,0.0,3.34,3.26,3.26,59300,0.0,0.0
1986-12-22,0.0,3.34,3.26,3.26,59100,0.0,0.0
1986-12-23,0.0,3.17,2.99,2.99,59300,0.0,0.0
1986-12-24,0.0,3.08,2.99,2.99,26900,0.0,0.0
1986-12-26,0.0,3.08,2.99,2.99,14500,0.0,0.0
1986-12-29,0.0,3.08,2.99,2.99,14300,0.0,0.0
1986-12-30,0.0,3.08,2.99,2.99,40500,0.0,0.0
1986-12-31,0.0,3.08,2.99,2.99,27300,0.0,0.0
1987-01-02,0.0,3.08,2.99,2.99,2800,0.0,0.0
1987-01-05,0.0,3.08,2.99,2.99,14800,0.0,0.0
1987-01-06,0.0,3.17,3.08,3.08,9500,0.0,0.0
1987-01-07,0.0,3.17,3.08,3.08,11700,0.0,0.0
1987-01-08,0.0,3.17,3.08,3.08,31000,0.0,0.0
1987-01-09,0.0,3.17,3.08,3.08,10200,0.0,0.0
1987-01-12,0.0,3.17,3.08,3.08,1500,0.0,0.0
1987-01-13,0.0,3.17,3.08,3.08,12700,0.0,0.0
1987-01-14,0.0,3.17,3.08,3.08,17600,0.0,0.0
1987-01-15,0.0,3.17,3.08,3.08,15200,0.0,0.0
1987-01-16,0.0,3.26,3.17,3.17,26000,0.0,0.0
1987-01-19,0.0,3.26,3.17,3.17,8400,0.0,0.0
1987-01-20,0.0,3.26,3.17,3.17,41600,0.0,0.0
1987-01-21,0.0,3.34,3.26,3.26,18200,0.0,0.0
1987-01-22,0.0,3.7,3.43,3.43,44200,0.0,0.0
1987-01-23,0.0,3.87,3.61,3.61,26200,0.0,0.0
1987-01-26,0.0,3.7,3.61,3.61,15100,0.0,0.0
1987-01-27,0.0,3.7,3.61,3.61,14100,0.0,0.0
1987-01-28,0.0,3.78,3.61,3.61,27900,0.0,0.0
1987-01-29,0.0,3.78,3.7,3.7,5800,0.0,0.0
1987-01-30,0.0,3.78,3.7,3.7,5600,0.0,0.0
1987-02-02,0.0,4.05,3.87,3.87,22000,0.0,0.0
1987-02-03,0.0,4.14,3.96,3.96,37900,0.0,0.0
1987-02-04,0.0,4.31,4.14,4.14,38400,0.0,0.0
1987-02-05,0.0,4.4,4.22,4.22,34400,0.0,0.0
1987-02-06,0.0,4.31,4.22,4.22,23200,0.0,0.0
1987-02-09,0.0,4.14,3.96,3.96,37200,0.0,0.0
1987-02-10,0.0,4.14,3.96,3.96,17800,0.0,0.0
1987-02-11,0.0,4.22,4.05,4.05,19400,0.0,0.0
1987-02-12,0.0,4.22,4.05,4.05,8600,0.0,0.0
1987-02-13,0.0,4.22,4.14,4.14,33400,0.0,0.0
1987-02-17,0.0,4.22,4.14,4.14,10200,0.0,0.0
1987-02-18,0.0,4.22,4.05,4.05,31700,0.0,0.0
1987-02-19,0.0,4.22,4.05,4.05,9200,0.0,0.0
1987-02-20,0.0,4.22,4.05,4.05,11200,0.0,0.0
1987-02-23,0.0,4.22,4.05,4.05,10700,0.0,0.0
1987-02-24,0.0,4.22,4.05,4.05,6700,0.0,0.0
1987-02-25,0.0,4.22,4.05,4.05,7700,0.0,0.0
1987-02-26,0.0,4.22,4.05,4.05,4200,0.0,0.0
1987-02-27,0.0,4.22,4.05,4.05,11100,0.0,0.0
1987-03-02,0.0,4.14,3.96,3.96,12600,0.0,0.0
1987-03-03,0.0,3.7,3.61,3.61,25400,0.0,0.0
1987-03-04,0.0,3.87,3.7,3.7,29700,0.0,0.0
1987-03-05,0.0,3.87,3.7,3.7,17700,0.0,0.0
1987-03-06,0.0,3.87,3.7,3.7,9000,0.0,0.0
1987-03-09,0.0,3.87,3.78,3.78,3200,0.0,0.0
1987-03-10,0.0,3.87,3.78,3.78,5000,0.0,0.0
1987-03-11,0.0,3.87,3.78,3.78,6100,0.0,0.0
1987-03-12,0.0,4.05,3.78,3.78,28600,0.0,0.0
1987-03-13,0.0,3.96,3.78,3.78,20400,0.0,0.0
1987-03-16,0.0,4.05,3.78,3.78,8200,0.0,0.0
1987-03-17,0.0,4.05,3.87,3.87,10500,0.0,0.0
1987-03-18,0.0,4.05,3.87,3.87,36600,0.0,0.0
1987-03-19,0.0,4.05,3.87,3.87,19500,0.0,0.0
1987-03-20,0.0,4.05,3.87,3.87,26600,0.0,0.0
1987-03-23,0.0,4.05,3.87,3.87,2500,0.0,0.0
1987-03-24,0.0,4.05,3.87,3.87,5300,0.0,0.0
1987-03-25,0.0,4.05,3.87,3.87,2700,0.0,0.0
1987-03-26,0.0,4.05,3.87,3.87,2500,0.0,0.0
1987-03-27,0.0,4.05,3.87,3.87,23200,0.0,0.0
1987-03-30,0.0,4.05,3.78,3.78,4700,0.0,0.0
1987-03-31,0.0,4.05,3.78,3.78,5100,0.0,0.0
1987-04-01,0.0,4.05,3.78,3.78,1900,0.0,0.0
1987-04-02,0.0,3.96,3.78,3.78,1400,0.0,0.0
1987-04-03,0.0,3.87,3.78,3.78,1900,0.0,0.0
1987-04-06,0.0,3.87,3.61,3.61,6000,0.0,0.0
1987-04-07,0.0,3.87,3.61,3.61,3400,0.0,0.0
1987-04-08,0.0,3.7,3.52,3.52,2900,0.0,0.0
1987-04-09,0.0,3.7,3.52,3.52,3400,0.0,0.0
1987-04-10,0.0,3.52,3.43,3.43,10700,0.0,0.0
1987-04-13,0.0,3.52,3.34,3.34,2600,0.0,0.0
1987-04-14,0.0,3.52,3.34,3.34,51300,0.0,0.0
1987-04-15,0.0,3.52,3.34,3.34,43100,0.0,0.0
