Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-06-13,26.23,28.56,26.11,27.61,15448800,0.0,0
2014-06-16,27.61,27.96,26.94,27.25,1702200,0.0,0
2014-06-17,27.21,27.46,26.52,27.23,1099100,0.0,0
2014-06-18,26.71,27.61,26.6,27.53,479900,0.0,0
2014-06-19,27.42,28.02,27.29,27.87,496400,0.0,0
2014-06-20,28.13,30.3,27.88,29.84,1064100,0.0,0
2014-06-23,29.84,29.84,28.52,29.26,525000,0.0,0
2014-06-24,28.62,29.17,28.04,28.65,306100,0.0,0
2014-06-25,28.4,29.08,27.24,28.52,286100,0.0,0
2014-06-26,28.46,28.8,27.96,28.47,264700,0.0,0
2014-06-27,28.31,28.54,27.99,28.4,261400,0.0,0
2014-06-30,28.59,28.69,27.74,28.22,206700,0.0,0
2014-07-01,28.35,28.44,27.77,27.9,928200,0.0,0
2014-07-02,27.83,28.22,27.28,27.83,407600,0.0,0
2014-07-03,28.09,28.43,27.61,27.81,327400,0.0,0
2014-07-07,27.98,28.17,27.73,27.9,950100,0.0,0
2014-07-08,28.39,29.08,27.79,27.9,667600,0.0,0
2014-07-09,27.95,27.99,27.75,27.89,215300,0.0,0
2014-07-10,27.94,27.98,27.71,27.92,358200,0.0,0
2014-07-11,28.09,28.13,27.88,27.95,222600,0.0,0
2014-07-14,28.12,29.51,28.02,28.82,1093400,0.0,0
2014-07-15,28.94,29.44,28.53,29.26,1116600,0.0,0
2014-07-16,29.61,30.26,29.52,30.13,746000,0.0,0
2014-07-17,30.13,30.32,29.83,29.94,297800,0.0,0
2014-07-18,29.81,29.97,29.69,29.77,192500,0.0,0
2014-07-21,29.56,30.19,29.55,30.08,340800,0.0,0
2014-07-22,30.58,30.58,29.46,29.61,426500,0.0,0
2014-07-23,29.59,29.99,28.88,29.69,313700,0.0,0
2014-07-24,29.5,30.25,29.5,29.9,300700,0.0,0
2014-07-25,29.9,30.37,29.55,29.69,1034400,0.0,0
2014-07-28,29.84,29.97,28.99,29.35,191500,0.0,0
2014-07-29,29.11,29.11,28.5,29.0,347300,0.0,0
