Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-03-16,8.65,8.69,8.62,8.69,24700,0.0,0
2004-03-17,8.65,8.69,8.65,8.69,2900,0.0,0
2004-03-18,8.67,8.69,8.67,8.69,200,0.0,0
2004-03-19,8.69,8.81,8.69,8.7,2400,0.0,0
2004-03-22,8.7,8.7,8.7,8.7,600,0.0,0
2004-03-23,8.7,8.83,8.64,8.64,900,0.0,0
2004-03-24,8.79,8.79,8.79,8.79,400,0.0,0
2004-03-25,8.74,8.74,8.74,8.74,400,0.0,0
2004-03-26,8.74,8.74,8.72,8.72,200,0.0,0
2004-03-29,8.72,8.72,8.72,8.72,1300,0.45,0
2004-03-30,8.72,8.81,8.72,8.79,20800,0.0,0
2004-03-31,8.79,8.79,8.72,8.72,6500,0.0,0
2004-04-01,8.72,8.78,8.72,8.77,5200,0.0,0
2004-04-02,8.74,8.78,8.7,8.74,12600,0.0,0
2004-04-05,8.77,8.77,8.77,8.77,1700,0.0,0
2004-04-06,8.77,8.77,8.77,8.77,600,0.0,0
2004-04-07,8.75,8.75,8.75,8.75,2000,0.0,0
2004-04-08,8.75,8.75,8.75,8.75,0,0.0,0
2004-04-12,8.69,8.69,8.69,8.69,200,0.0,0
2004-04-13,8.69,8.72,8.59,8.6,1700,0.0,0
2004-04-14,8.65,8.72,8.6,8.72,2200,0.0,0
2004-04-15,8.72,8.72,8.72,8.72,0,0.0,0
2004-04-16,8.72,8.74,8.72,8.74,900,0.0,0
2004-04-19,8.74,8.74,8.65,8.74,2000,0.0,0
2004-04-20,8.7,8.74,8.6,8.74,3900,0.0,0
2004-04-21,8.65,8.65,8.57,8.57,1800,0.0,0
2004-04-22,8.59,8.74,8.59,8.74,3900,0.0,0
2004-04-23,8.67,8.71,8.57,8.62,6200,0.0,0
2004-04-26,8.68,8.68,8.62,8.65,6800,0.0,0
2004-04-27,8.65,8.67,8.62,8.67,22600,0.0,0
2004-04-28,8.62,8.72,8.6,8.62,4400,0.0,0
2004-04-29,8.69,8.69,8.65,8.65,800,0.0,0
2004-04-30,8.69,8.69,8.62,8.62,5100,0.0,0
2004-05-03,8.62,8.62,8.62,8.62,300,0.0,0
2004-05-04,8.69,8.69,8.69,8.69,300,0.0,0
2004-05-05,8.65,8.65,8.64,8.64,1200,0.0,0
2004-05-06,8.64,8.64,8.64,8.64,0,0.0,0
2004-05-07,8.59,8.59,8.52,8.59,10700,0.0,0
2004-05-10,8.59,8.63,8.59,8.63,16600,0.0,0
2004-05-11,8.59,8.63,8.54,8.54,5100,0.0,0
2004-05-12,8.54,8.55,8.52,8.52,2000,0.0,0
2004-05-13,8.52,8.52,8.52,8.52,1500,0.0,0
2004-05-14,8.6,8.6,8.6,8.6,200,0.0,0
2004-05-17,8.6,8.6,8.6,8.6,0,0.0,0
2004-05-18,8.6,8.6,8.6,8.6,0,0.0,0
2004-05-19,8.57,8.57,8.57,8.57,500,0.0,0
2004-05-20,8.57,8.57,8.57,8.57,0,0.0,0
2004-05-21,8.59,8.59,8.56,8.56,1300,0.0,0
2004-05-24,8.52,8.59,8.52,8.58,1000,0.0,0
2004-05-25,8.58,8.58,8.58,8.58,0,0.0,0
2004-05-26,8.57,8.57,8.57,8.57,500,0.0,0
2004-05-27,8.57,8.57,8.57,8.57,0,0.0,0
2004-05-28,8.57,8.57,8.57,8.57,700,0.0,0
2004-06-01,8.57,8.57,8.57,8.57,0,0.0,0
2004-06-02,8.57,8.57,8.57,8.57,0,0.0,0
2004-06-03,8.57,8.57,8.57,8.57,0,0.0,0
2004-06-04,8.57,8.57,8.57,8.57,400,0.0,0
2004-06-07,8.57,8.57,8.57,8.57,0,0.0,0
2004-06-08,8.52,8.57,8.52,8.57,3300,0.0,0
2004-06-09,8.57,8.57,8.57,8.57,0,0.0,0
2004-06-10,8.52,8.52,8.52,8.52,1000,0.0,0
2004-06-14,8.52,8.52,8.52,8.52,200,0.0,0
2004-06-15,8.55,8.55,8.55,8.55,1000,0.0,0
2004-06-16,8.56,8.56,8.56,8.56,500,0.0,0
2004-06-17,8.56,8.56,8.55,8.55,2100,0.0,0
2004-06-18,8.52,8.56,8.52,8.56,400,0.0,0
2004-06-21,8.55,8.55,8.55,8.55,1100,0.0,0
2004-06-22,8.55,8.55,8.53,8.53,1600,0.0,0
2004-06-23,8.56,8.57,8.56,8.57,200,0.0,0
2004-06-24,8.53,8.53,8.52,8.52,1400,0.0,0
2004-06-25,8.54,8.55,8.54,8.55,1500,0.0,0
2004-06-28,8.68,8.68,8.61,8.61,2900,0.45,0
2004-06-29,8.67,8.67,8.66,8.66,2800,0.0,0
2004-06-30,8.61,8.73,8.61,8.73,5200,0.0,0
2004-07-01,8.76,8.76,8.76,8.76,300,0.0,0
2004-07-02,8.76,8.76,8.71,8.76,2700,0.0,0
2004-07-06,8.68,8.68,8.68,8.68,100,0.0,0
2004-07-07,8.76,8.76,8.76,8.76,100,0.0,0
2004-07-08,8.76,8.76,8.76,8.76,1800,0.0,0
2004-07-09,8.74,8.74,8.74,8.74,2700,0.0,0
2004-07-12,8.78,8.81,8.78,8.79,1200,0.0,0
2004-07-13,8.76,8.78,8.76,8.78,1200,0.0,0
2004-07-14,8.79,8.98,8.74,8.74,4300,0.0,0
2004-07-15,8.75,8.75,8.74,8.74,600,0.0,0
2004-07-16,8.74,8.74,8.74,8.74,0,0.0,0
2004-07-19,8.84,8.91,8.84,8.91,1100,0.0,0
2004-07-20,8.91,8.91,8.91,8.91,0,0.0,0
2004-07-21,8.75,8.75,8.75,8.75,100,0.0,0
2004-07-22,8.97,9.35,8.91,9.19,1800,0.0,0
2004-07-23,9.19,9.19,9.19,9.19,0,0.0,0
2004-07-26,9.19,9.37,9.19,9.37,700,0.0,0
2004-07-27,8.85,9.02,8.85,9.02,1300,0.0,0
2004-07-28,9.02,9.02,9.02,9.02,0,0.0,0
2004-07-29,8.89,8.89,8.89,8.89,300,0.0,0
2004-07-30,8.89,8.89,8.89,8.89,0,0.0,0
2004-08-02,8.89,8.89,8.89,8.89,0,0.0,0
2004-08-03,8.85,8.88,8.85,8.88,1800,0.0,0
2004-08-04,8.82,8.85,8.81,8.85,3000,0.0,0
2004-08-05,8.84,8.86,8.81,8.81,6400,0.0,0
2004-08-06,8.85,8.85,8.78,8.78,3500,0.0,0
2004-08-09,8.78,8.78,8.78,8.78,1300,0.0,0
2004-08-10,8.79,8.79,8.77,8.78,2000,0.0,0
2004-08-11,8.78,8.78,8.78,8.78,600,0.0,0
2004-08-12,8.78,8.79,8.75,8.75,3100,0.0,0
2004-08-13,8.81,8.81,8.81,8.81,1700,0.0,0
2004-08-16,8.81,8.84,8.79,8.84,900,0.0,0
2004-08-17,8.84,8.84,8.84,8.84,0,0.0,0
2004-08-18,8.84,8.84,8.84,8.84,500,0.0,0
2004-08-19,8.84,8.84,8.84,8.84,0,0.0,0
2004-08-20,8.88,8.88,8.88,8.88,400,0.0,0
2004-08-23,8.86,8.86,8.86,8.86,300,0.0,0
2004-08-24,8.78,8.85,8.78,8.85,1100,0.0,0
2004-08-25,8.85,8.85,8.85,8.85,0,0.0,0
2004-08-26,8.85,8.92,8.8,8.92,4400,0.0,0
2004-08-27,8.92,8.92,8.92,8.92,0,0.0,0
2004-08-30,8.87,8.87,8.85,8.85,700,0.0,0
2004-08-31,8.85,8.85,8.85,8.85,0,0.0,0
2004-09-01,8.85,8.85,8.85,8.85,0,0.0,0
2004-09-02,8.85,8.85,8.85,8.85,0,0.0,0
2004-09-03,8.85,8.85,8.85,8.85,0,0.0,0
2004-09-07,9.0,9.06,8.98,8.98,1200,0.0,0
2004-09-08,8.98,8.98,8.98,8.98,0,0.0,0
2004-09-09,8.98,8.98,8.98,8.98,0,0.0,0
2004-09-10,9.15,9.15,9.15,9.15,1000,0.0,0
2004-09-13,9.15,9.15,9.15,9.15,0,0.0,0
2004-09-14,9.15,9.15,9.15,9.15,0,0.0,0
2004-09-15,9.15,9.15,9.15,9.15,0,0.0,0
2004-09-16,9.14,9.14,9.14,9.14,1600,0.0,0
2004-09-17,9.14,9.14,9.14,9.14,0,0.0,0
2004-09-20,9.14,9.14,9.14,9.14,0,0.0,0
2004-09-21,9.19,9.19,9.19,9.19,700,0.0,0
2004-09-22,9.02,9.18,9.02,9.18,500,0.0,0
2004-09-23,9.03,9.16,9.03,9.16,300,0.0,0
2004-09-24,9.16,9.16,9.16,9.16,0,0.0,0
2004-09-27,9.16,9.16,9.16,9.16,0,0.0,0
2004-09-28,9.16,9.16,9.16,9.16,0,0.45,0
2004-09-29,9.14,9.14,9.14,9.14,1000,0.0,0
2004-09-30,9.14,9.14,9.14,9.14,0,0.0,0
2004-10-01,9.18,9.18,9.18,9.18,200,0.0,0
2004-10-04,9.18,9.18,9.18,9.18,0,0.0,0
2004-10-05,9.18,9.18,9.18,9.18,0,0.0,0
2004-10-06,9.26,9.26,9.26,9.26,2200,0.0,0
2004-10-07,9.26,9.26,9.26,9.26,0,0.0,0
2004-10-08,9.26,9.26,9.26,9.26,0,0.0,0
2004-10-11,9.26,9.26,9.26,9.26,0,0.0,0
2004-10-12,9.26,9.26,9.26,9.26,0,0.0,0
2004-10-13,9.26,9.26,9.26,9.26,0,0.0,0
2004-10-14,9.21,9.21,9.21,9.21,1600,0.0,0
2004-10-15,9.21,9.26,9.21,9.26,2200,0.0,0
2004-10-18,9.21,9.21,9.21,9.21,2000,0.0,0
2004-10-19,9.22,9.27,9.22,9.27,2800,0.0,0
2004-10-20,9.26,9.27,9.26,9.27,2600,0.0,0
2004-10-21,9.27,9.27,9.27,9.27,0,0.0,0
2004-10-22,9.28,9.35,9.28,9.29,1400,0.0,0
2004-10-25,9.29,9.29,9.29,9.29,0,0.0,0
2004-10-26,9.29,9.29,9.29,9.29,0,0.0,0
2004-10-27,9.3,9.53,9.3,9.53,1300,0.0,0
2004-10-28,9.3,9.34,9.28,9.34,1900,0.0,0
2004-10-29,9.34,9.34,9.34,9.34,0,0.0,0
2004-11-01,9.34,9.34,9.34,9.34,0,0.0,0
2004-11-02,9.34,9.34,9.34,9.34,0,0.0,0
2004-11-03,9.35,9.35,9.35,9.35,100,0.0,0
2004-11-04,9.35,9.35,9.3,9.3,1000,0.0,0
2004-11-05,9.3,9.35,9.3,9.35,1700,0.0,0
2004-11-08,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-09,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-10,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-11,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-12,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-15,9.35,9.35,9.35,9.35,400,0.0,0
2004-11-16,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-17,9.29,9.29,9.29,9.29,500,0.0,0
2004-11-18,9.36,9.36,9.36,9.36,200,0.0,0
2004-11-19,9.42,9.44,9.42,9.44,2500,0.0,0
2004-11-22,9.37,9.42,9.35,9.35,2000,0.0,0
2004-11-23,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-24,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-26,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-29,9.35,9.35,9.35,9.35,0,0.0,0
2004-11-30,9.35,9.35,9.35,9.35,0,0.0,0
2004-12-01,9.37,9.37,9.35,9.35,3200,0.0,0
2004-12-02,9.32,9.32,9.32,9.32,7000,0.0,0
2004-12-03,9.41,9.41,9.35,9.4,7300,0.0,0
2004-12-06,9.4,9.4,9.4,9.4,0,0.0,0
2004-12-07,9.32,9.32,9.32,9.32,700,0.0,0
2004-12-08,9.3,9.32,9.3,9.32,900,0.0,0
2004-12-09,9.35,9.37,9.35,9.37,600,0.0,0
2004-12-10,9.35,9.4,9.35,9.4,300,0.0,0
2004-12-13,9.4,9.4,9.4,9.4,0,0.0,0
