Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-02-11,10.4985,10.8485,9.7111,9.8861,7089100,0.0,0
2000-02-14,9.8861,9.8861,9.3612,9.4487,846200,0.0,0
2000-02-15,9.4487,9.4924,9.0987,9.1862,602500,0.0,0
2000-02-16,9.1862,9.7986,9.1862,9.3174,182300,0.0,0
2000-02-17,9.3174,9.7986,9.0987,9.0987,300800,0.0,0
2000-02-18,9.0987,9.1862,8.3551,8.4863,272700,0.0,0
2000-02-22,8.4863,8.5738,8.2238,8.3113,451500,0.0,0
2000-02-23,8.3113,9.0987,8.3113,8.9675,181000,0.0,0
2000-02-24,9.0112,9.4487,8.7488,8.8362,74400,0.0,0
2000-02-25,8.8362,9.1425,8.5738,9.0987,151400,0.0,0
2000-02-28,9.0987,9.0987,8.5738,8.5738,162600,0.0,0
2000-02-29,8.5738,8.705,8.3988,8.3988,152800,0.0,0
2000-03-01,8.9237,8.9237,8.3113,8.4426,112300,0.0,0
2000-03-02,8.4644,9.5361,8.3988,9.0112,120600,0.0,0
2000-03-03,9.3612,9.3612,8.5738,8.705,73100,0.0,0
2000-03-06,8.5738,9.2737,8.5738,9.2299,59700,0.0,0
2000-03-07,9.1425,9.5361,8.9237,9.0112,64400,0.0,0
2000-03-08,9.5361,9.5361,8.4863,8.7488,111900,0.0,0
2000-03-09,9.0987,9.0987,8.6613,8.8362,30700,0.0,0
2000-03-10,8.6613,8.7488,8.5738,8.5738,31200,0.0,0
2000-03-13,8.6613,8.705,8.3988,8.53,37000,0.0,0
2000-03-14,8.5738,8.7488,8.2238,8.4863,59200,0.0,0
2000-03-15,8.2676,8.4863,8.0926,8.1363,153600,0.0,0
2000-03-16,8.1363,8.3113,7.6989,7.6989,402800,0.0,0
2000-03-17,7.9614,8.2238,7.9614,8.0489,346800,0.0,0
2000-03-20,8.0051,8.5738,7.9614,8.5738,43500,0.0,0
2000-03-21,8.4863,8.6175,8.3113,8.3113,30600,0.0,0
2000-03-22,8.4863,8.4863,8.3113,8.3113,45300,0.0,0
2000-03-23,8.3113,8.88,8.3113,8.7488,147300,0.0,0
2000-03-24,8.5738,8.7488,8.0489,8.4863,87700,0.0,0
2000-03-27,8.4863,8.4863,8.1801,8.1801,34000,0.0,0
2000-03-28,8.1801,8.4863,8.1801,8.2238,82100,0.0,0
2000-03-29,8.1801,8.2238,7.6989,7.6989,105100,0.0,0
2000-03-30,7.6989,8.0926,6.999,7.3927,1494800,0.0,0
2000-03-31,6.999,7.349,5.6867,6.4741,435700,0.0,0
2000-04-03,6.4741,7.6114,6.4303,7.2615,46300,0.0,0
2000-04-04,7.2615,7.6989,6.2991,6.2991,71500,0.0,0
2000-04-05,6.2991,6.7365,6.1241,6.1679,14700,0.0,0
2000-04-06,6.1679,6.3866,6.0366,6.1241,41400,0.0,0
2000-04-07,6.1241,6.5616,6.1241,6.3429,11900,0.0,0
2000-04-10,6.2991,6.3866,6.2991,6.3866,17800,0.0,0
2000-04-11,6.2991,6.2991,5.8617,5.9492,19000,0.0,0
2000-04-12,5.8617,6.0804,5.8617,5.9492,72900,0.0,0
2000-04-13,5.9492,6.6928,5.9492,6.2116,96100,0.0,0
2000-04-14,6.2991,6.2991,5.4242,5.4242,245800,0.0,0
2000-04-17,5.643,5.7742,5.5992,5.5992,93700,0.0,0
2000-04-18,5.7304,5.7304,5.5992,5.5992,58100,0.0,0
2000-04-19,5.6867,5.8617,5.5555,5.643,282400,0.0,0
2000-04-20,5.643,5.7742,5.5117,5.7742,1626500,0.0,0
2000-04-24,5.6867,5.9929,5.5992,5.6867,141700,0.0,0
2000-04-25,5.6867,6.2991,5.6867,6.0366,19200,0.0,0
2000-04-26,6.2991,6.3866,6.0366,6.1241,22700,0.0,0
2000-04-27,6.3647,6.3647,5.9492,6.1241,12900,0.0,0
2000-04-28,5.9492,6.6491,5.9492,6.2991,9000,0.0,0
2000-05-01,6.4741,6.4741,6.1241,6.3866,33300,0.0,0
2000-05-02,6.3866,6.999,6.3866,6.9553,73400,0.0,0
2000-05-03,6.9115,6.9115,6.7365,6.824,146900,0.0,0
2000-05-04,7.0428,7.0428,6.6491,6.7803,97100,0.0,0
2000-05-05,6.7365,7.6114,6.7365,7.5677,27200,0.0,0
2000-05-08,7.349,8.0489,7.349,7.7864,9900,0.0,0
2000-05-09,7.8739,8.0489,7.5239,7.6989,16300,0.0,0
2000-05-10,7.5239,7.5239,6.824,6.999,21300,0.0,0
2000-05-11,7.0865,7.4364,6.9115,6.9115,9400,0.0,0
2000-05-12,6.999,7.174,6.999,6.999,6100,0.0,0
2000-05-15,7.174,7.8739,7.174,7.4364,13900,0.0,0
2000-05-16,7.5239,7.6989,7.349,7.349,33300,0.0,0
2000-05-17,7.2615,7.6989,7.2615,7.6989,4200,0.0,0
2000-05-18,7.5239,7.6114,7.4364,7.5677,9200,0.0,0
2000-05-19,7.4364,7.4364,6.824,7.1302,11700,0.0,0
2000-05-22,7.0865,7.0865,6.9115,7.0428,22000,0.0,0
2000-05-23,6.9115,7.0099,6.9115,6.999,11200,0.0,0
2000-05-24,6.999,6.999,6.7365,6.7365,41200,0.0,0
2000-05-25,6.9115,7.0865,6.824,6.824,2500,0.0,0
2000-05-26,6.7365,6.999,6.7365,6.824,47800,0.0,0
2000-05-30,7.174,7.7864,6.999,7.2615,30300,0.0,0
2000-05-31,7.5239,7.6989,7.0865,7.0865,26000,0.0,0
2000-06-01,7.0865,7.8739,7.0865,7.7864,74300,0.0,0
2000-06-02,8.0489,9.3612,8.0489,8.7488,266800,0.0,0
2000-06-05,9.0112,9.4487,8.7488,8.8362,41100,0.0,0
2000-06-06,8.8362,9.1425,8.8362,9.0987,99300,0.0,0
2000-06-07,9.0112,9.7111,9.0112,9.4487,130100,0.0,0
2000-06-08,9.7111,9.7111,9.4487,9.4487,12900,0.0,0
2000-06-09,9.1862,9.2737,8.4426,8.8362,19100,0.0,0
2000-06-12,9.0987,9.7986,9.0987,9.3612,58600,0.0,0
2000-06-13,9.1862,9.4487,8.9237,9.2299,14200,0.0,0
2000-06-14,9.2737,9.6236,9.0987,9.0987,19200,0.0,0
2000-06-15,9.0112,9.0112,8.705,8.9456,7700,0.0,0
2000-06-16,9.0112,9.1862,8.7488,9.0768,11000,0.0,0
2000-06-19,8.7488,9.4487,8.7488,9.3612,10100,0.0,0
2000-06-20,9.2299,9.8861,9.2299,9.6236,25000,0.0,0
2000-06-21,9.4487,9.4487,9.055,9.4487,18200,0.0,0
2000-06-22,9.1862,9.7986,9.1862,9.7986,19600,0.0,0
2000-06-23,9.3612,9.7877,9.1862,9.5799,28900,0.0,0
2000-06-26,9.7111,9.7986,9.5362,9.7111,29800,0.0,0
2000-06-27,9.7549,9.7549,9.5362,9.7111,20300,0.0,0
2000-06-28,9.7549,9.8424,9.7111,9.7111,62000,0.0,0
2000-06-29,9.7111,11.6359,9.2299,10.3235,487000,0.0,0
2000-06-30,10.3235,10.8047,9.5362,9.5362,322800,0.0,0
2000-07-03,9.5362,9.7111,9.1206,9.3612,28600,0.0,0
2000-07-05,9.3612,9.5799,9.3612,9.4487,57900,0.0,0
2000-07-06,9.5362,9.5362,9.1862,9.2737,14700,0.0,0
2000-07-07,9.2737,9.8424,9.2299,9.6236,15500,0.0,0
2000-07-10,9.4487,9.7986,9.4487,9.5362,3000,0.0,0
2000-07-11,9.5362,10.0611,9.5362,10.0611,22600,0.0,0
2000-07-12,9.6674,10.0173,9.6674,9.8861,36100,0.0,0
2000-07-13,9.7986,9.8424,9.4487,9.7986,5800,0.0,0
2000-07-14,9.5799,9.7111,9.5799,9.7111,48300,0.0,0
2000-07-17,9.5799,10.0173,9.5799,10.0173,11600,0.0,0
2000-07-18,9.7111,9.9736,9.7111,9.7986,12400,0.0,0
2000-07-19,9.7986,9.7986,9.5799,9.7111,10800,0.0,0
2000-07-20,9.5799,9.9298,9.5799,9.9298,3900,0.0,0
2000-07-21,9.5799,9.5799,9.5799,9.5799,3200,0.0,0
2000-07-24,9.6564,9.733,9.5361,9.5799,14800,0.0,0
2000-07-25,9.5799,9.8861,9.5799,9.8861,20700,0.0,0
2000-07-26,9.5799,10.0173,9.5799,10.0173,38600,0.0,0
2000-07-27,9.7549,10.5423,9.7549,10.4985,37100,0.0,0
2000-07-28,10.4985,10.8485,10.4548,10.586,42700,0.0,0
2000-07-31,10.4985,10.8485,10.3673,10.761,36900,0.0,0
2000-08-01,10.586,10.8047,10.5423,10.8047,9400,0.0,0
2000-08-02,10.7172,10.761,10.5423,10.6735,25700,0.0,0
2000-08-03,10.5423,10.8485,10.4985,10.5423,12900,0.0,0
2000-08-04,10.5423,10.8485,10.4985,10.586,39400,0.0,0
2000-08-07,10.586,10.8485,10.411,10.8047,12000,0.0,0
2000-08-08,10.6954,10.8485,10.586,10.8485,6500,0.0,0
2000-08-09,10.586,11.0234,10.586,10.8485,31900,0.0,0
2000-08-10,10.8047,11.1109,10.7172,11.0234,16000,0.0,0
2000-08-11,10.936,11.3734,10.936,11.0672,62200,0.0,0
2000-08-14,11.0672,11.0672,10.6735,10.6735,15500,0.0,0
2000-08-15,10.6735,10.7172,9.7111,9.7986,12300,0.0,0
2000-08-16,9.7111,9.7986,8.4863,8.7488,37000,0.0,0
2000-08-17,9.0112,9.7986,9.0112,9.4049,7800,0.0,0
2000-08-18,9.4049,9.8424,9.2737,9.3174,3300,0.0,0
2000-08-21,9.4487,9.4924,9.3174,9.3174,1000,0.0,0
2000-08-22,9.5362,9.6236,9.2737,9.4487,5700,0.0,0
2000-08-23,9.3612,10.0611,9.3612,9.7986,6600,0.0,0
2000-08-24,9.7986,9.7986,9.6236,9.6236,4100,0.0,0
2000-08-25,9.6236,9.6236,9.4487,9.4487,2100,0.0,0
2000-08-28,9.7111,9.7549,9.5362,9.6236,6900,0.0,0
2000-08-29,9.7111,9.7111,9.6236,9.6236,8900,0.0,0
2000-08-30,9.5799,9.5799,9.4487,9.4924,10600,0.0,0
2000-08-31,9.4924,9.5361,8.4426,8.6175,10700,0.0,0
2000-09-01,8.7488,8.9675,8.7488,8.7925,11600,0.0,0
2000-09-05,8.8362,9.0112,8.8362,8.8362,3000,0.0,0
2000-09-06,8.88,8.88,8.2238,8.2238,15800,0.0,0
2000-09-07,8.2676,8.2676,8.2238,8.2238,900,0.0,0
2000-09-08,8.3113,8.4863,8.3113,8.3113,3500,0.0,0
2000-09-11,8.3113,8.3988,8.2238,8.2238,46500,0.0,0
2000-09-12,8.1363,8.3113,8.1363,8.1363,319900,0.0,0
2000-09-13,8.2238,8.3988,8.1364,8.2238,29300,0.0,0
2000-09-14,8.2238,8.2238,8.0489,8.0926,5200,0.0,0
2000-09-15,7.9614,8.0926,7.9614,8.0489,10800,0.0,0
2000-09-18,7.9614,8.1801,7.9176,8.0926,24500,0.0,0
2000-09-19,7.9614,8.1363,7.9176,8.1363,2000,0.0,0
2000-09-20,7.8739,8.2238,7.6989,8.2238,11700,0.0,0
2000-09-21,8.2238,8.2238,7.8739,7.9176,9800,0.0,0
2000-09-22,7.6989,7.7864,7.6989,7.7427,37200,0.0,0
2000-09-25,7.9176,8.1364,7.7864,7.9176,36200,0.0,0
2000-09-26,7.9614,7.9614,7.5239,7.6989,10800,0.0,0
2000-09-27,7.5239,7.5239,7.0865,7.174,7900,0.0,0
2000-09-28,7.174,7.349,6.6491,6.824,56800,0.0,0
2000-09-29,6.6928,6.824,6.5178,6.7803,188500,0.0,0
2000-10-02,6.7365,6.7365,6.5616,6.5616,32600,0.0,0
2000-10-03,6.5616,6.5616,6.2991,6.4741,37400,0.0,0
2000-10-04,6.4741,6.6491,6.3429,6.6491,7900,0.0,0
2000-10-05,6.6491,6.6491,6.6491,6.6491,200,0.0,0
2000-10-06,6.2991,6.5616,6.2554,6.2554,1100,0.0,0
2000-10-09,6.2554,6.2991,6.2116,6.2991,1000,0.0,0
2000-10-10,6.4741,6.4741,6.3429,6.3429,900,0.0,0
2000-10-11,6.2116,6.5069,6.2116,6.2554,3700,0.0,0
2000-10-12,6.2554,6.2554,6.2554,6.2554,100,0.0,0
2000-10-13,6.2554,6.999,6.2554,6.9662,8700,0.0,0
2000-10-16,6.2991,6.5616,6.2991,6.2991,1300,0.0,0
2000-10-17,6.6053,6.6053,6.1679,6.2991,16000,0.0,0
2000-10-18,6.4303,6.6491,6.3429,6.3866,36500,0.0,0
2000-10-19,6.6491,6.6491,6.4741,6.5616,6500,0.0,0
2000-10-20,6.5616,6.5616,6.2991,6.2991,168200,0.0,0
2000-10-23,6.2991,6.2991,5.4242,5.9492,93500,0.0,0
2000-10-24,6.0366,6.2991,5.9929,6.2991,29300,0.0,0
2000-10-25,6.1241,6.1241,5.8179,5.9929,40700,0.0,0
2000-10-26,6.1241,6.4741,5.9492,5.9492,32500,0.0,0
2000-10-27,5.9492,6.2116,5.6867,5.6867,362400,0.0,0
2000-10-30,5.5992,5.6211,4.8118,5.293,174300,0.0,0
2000-10-31,5.2493,5.7742,5.118,5.7742,611000,0.0,0
2000-11-01,5.7304,5.7304,5.5117,5.5117,332300,0.0,0
2000-11-02,5.468,5.632,5.468,5.468,1400,0.0,0
2000-11-03,5.468,5.5555,5.468,5.5117,47800,0.0,0
2000-11-06,5.5117,5.8179,5.5117,5.5555,10300,0.0,0
2000-11-07,5.5555,5.6758,5.5555,5.643,3300,0.0,0
2000-11-08,5.7742,5.9492,5.7742,5.8617,125600,0.0,0
2000-11-09,5.643,5.7304,5.643,5.6867,1900,0.0,0
2000-11-10,5.6867,6.0366,5.5992,5.8617,419200,0.0,0
2000-11-13,5.9492,6.0695,5.9492,6.0695,4800,0.0,0
2000-11-14,6.0913,6.2991,5.9492,6.0366,27400,0.0,0
2000-11-15,6.1241,6.1241,5.5992,5.5992,4800,0.0,0
2000-11-16,5.643,5.643,5.643,5.643,600,0.0,0
2000-11-17,6.0366,6.0366,5.5555,5.643,6700,0.0,0
2000-11-20,5.4461,5.7304,5.1618,5.6867,34800,0.0,0
2000-11-21,5.7742,5.7742,5.2493,5.6867,9800,0.0,0
2000-11-22,5.7742,5.8179,5.5555,5.8179,7500,0.0,0
2000-11-24,5.8617,5.8617,5.8617,5.8617,500,0.0,0
2000-11-27,5.7742,5.8617,5.643,5.643,6300,0.0,0
2000-11-28,5.8289,6.1241,5.7304,5.7742,6900,0.0,0
2000-11-29,6.1241,6.1241,5.5992,5.6867,10800,0.0,0
2000-11-30,5.468,5.5117,4.8993,5.5117,15000,0.0,0
2000-12-01,5.5117,6.0366,5.5117,5.8617,47000,0.0,0
2000-12-04,6.0148,6.0257,5.5117,5.5117,4800,0.0,0
2000-12-05,5.5992,6.2554,5.5992,6.2554,15800,0.0,0
2000-12-06,6.2444,6.2444,5.8179,6.1679,2200,0.0,0
2000-12-07,5.9492,6.2116,5.643,5.643,1300,0.0,0
2000-12-08,6.2554,6.2554,5.3367,5.4242,31100,0.0,0
2000-12-11,5.5992,5.5992,5.4242,5.5555,17100,0.0,0
2000-12-12,5.9492,5.9492,5.5992,5.5992,5200,0.0,0
2000-12-13,5.5992,5.6867,5.5992,5.643,33400,0.0,0
2000-12-14,5.643,6.1241,5.643,6.0804,5800,0.0,0
2000-12-15,6.2116,6.2991,5.7304,5.9054,21000,0.0,0
2000-12-18,5.8617,6.2991,5.5992,6.2991,5300,0.0,0
2000-12-19,5.5992,5.9492,5.5992,5.7742,9200,0.0,0
2000-12-20,5.5992,5.5992,5.5992,5.5992,1100,0.0,0
2000-12-21,5.6867,5.8617,5.643,5.643,2900,0.0,0
2000-12-22,5.5992,5.8507,5.5992,5.7742,3400,0.0,0
2000-12-26,5.7742,5.7742,5.5992,5.7742,6200,0.0,0
2000-12-27,5.7523,6.0366,5.5992,6.0366,6400,0.0,0
2000-12-28,6.2335,6.2663,5.643,5.9492,7200,0.0,0
2000-12-29,6.2554,6.2554,5.6867,5.8179,42400,0.0,0
2001-01-02,5.9492,6.5178,5.7414,6.4741,43000,0.0,0
2001-01-03,6.2991,6.7365,6.2991,6.6491,6000,0.0,0
2001-01-04,6.7365,7.6989,6.6491,7.2615,133600,0.0,0
2001-01-05,7.349,7.5239,7.174,7.174,5100,0.0,0
2001-01-08,7.2177,7.5239,7.2177,7.4693,3200,0.0,0
2001-01-09,7.4693,7.4693,7.4693,7.4693,0,0.0,0
2001-01-10,7.349,7.9614,7.349,7.9614,24200,0.0,0
2001-01-11,7.9614,8.3113,7.8739,8.0489,21400,0.0,0
2001-01-12,7.7864,8.1364,7.7864,8.0926,28400,0.0,0
2001-01-16,8.3551,8.9675,8.3551,8.8362,334800,0.0,0
2001-01-17,8.8363,9.8424,8.8363,9.7111,61400,0.0,0
2001-01-18,9.4487,9.5799,9.0987,9.2299,152600,0.0,0
2001-01-19,9.4049,9.4487,9.0987,9.0987,2900,0.0,0
2001-01-22,9.2299,9.4487,9.1862,9.2737,31800,0.0,0
2001-01-23,9.2299,9.3612,8.8363,8.9675,121300,0.0,0
2001-01-24,8.9347,9.1862,8.9347,9.0112,59500,0.0,0
2001-01-25,8.9237,8.9675,8.5738,8.5738,554500,0.0,0
2001-01-26,8.5738,8.6175,8.5519,8.5519,1200,0.0,0
2001-01-29,8.6175,8.9237,8.6175,8.705,7200,0.0,0
2001-01-30,8.8363,9.8861,8.8363,9.6236,40600,0.0,0
2001-01-31,9.7111,10.936,9.6236,10.936,28600,0.0,0
2001-02-01,10.8047,10.8485,10.0611,10.1486,44400,0.0,0
2001-02-02,10.1048,10.1486,9.9736,10.0611,4500,0.0,0
2001-02-05,9.9736,9.9736,9.4487,9.6236,74200,0.0,0
2001-02-06,9.7877,9.7877,9.3174,9.4815,48300,0.0,0
2001-02-07,9.4049,9.4487,9.3721,9.4487,1000,0.0,0
2001-02-08,9.3612,9.3612,8.8362,9.0112,16700,0.0,0
2001-02-09,8.7488,8.8362,8.5738,8.7488,121700,0.0,0
2001-02-12,8.705,9.3612,8.705,9.1425,3300,0.0,0
2001-02-13,9.5252,9.7986,8.6613,9.3612,18500,0.0,0
2001-02-14,9.1425,9.5362,8.6613,9.5362,7500,0.0,0
2001-02-15,9.6236,9.6236,9.1862,9.4487,81900,0.0,0
2001-02-16,9.2956,9.3174,9.0987,9.0987,101600,0.0,0
2001-02-20,9.4487,9.4487,9.0112,9.4487,7100,0.0,0
2001-02-21,9.1862,9.7111,9.0112,9.7111,3900,0.0,0
2001-02-22,9.7986,9.7986,9.0987,9.0987,1400,0.0,0
2001-02-23,9.055,9.055,8.7488,8.9237,46100,0.0,0
2001-02-26,9.0878,9.0878,8.7925,8.88,35200,0.0,0
2001-02-27,9.1862,9.3612,9.1862,9.3612,3000,0.0,0
2001-02-28,9.0987,10.1923,9.0112,10.1923,22400,0.0,0
2001-03-01,9.8095,10.1486,9.0987,9.9736,18200,0.0,0
2001-03-02,9.897,10.0611,9.8861,10.0173,9300,0.0,0
2001-03-05,10.1704,10.1704,9.6236,9.6236,26900,0.0,0
2001-03-06,9.7111,10.0501,9.7111,10.0173,9700,0.0,0
2001-03-07,10.0173,10.2361,9.8861,9.8861,7000,0.0,0
2001-03-08,9.6236,9.7111,9.6236,9.6236,8100,0.0,0
2001-03-09,9.5362,9.5362,9.4487,9.4705,3200,0.0,0
2001-03-12,9.6236,9.7986,9.6236,9.6236,1300,0.0,0
2001-03-13,9.6674,9.6674,9.0112,9.1862,6200,0.0,0
2001-03-14,9.1862,9.8424,8.9237,9.2737,21300,0.0,0
2001-03-15,9.0112,10.4985,9.0112,10.1486,16700,0.0,0
2001-03-16,10.4548,11.1984,10.1486,10.1923,35600,0.0,0
2001-03-19,9.9298,10.761,9.9298,10.4985,3500,0.0,0
2001-03-20,10.761,10.761,10.1486,10.1486,13900,0.0,0
2001-03-21,10.5423,10.8485,10.0611,10.3235,65900,0.0,0
