Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-03-10,350.0,367.5,350.0,367.5,1200,0,0.0
1993-03-11,385.0,402.5,367.5,402.5,800,0,0.0
1993-03-12,402.5,402.5,367.5,402.5,100,0,0.0
1993-03-15,402.5,402.5,367.5,367.5,200,0,0.0
1993-03-16,402.5,402.5,347.8125,367.5,600,0,0.0
1993-03-17,367.5,367.5,367.5,367.5,0,0,0.0
1993-03-18,367.5,367.5,367.5,367.5,0,0,0.0
1993-03-19,385.0,385.0,367.5,385.0,1000,0,0.0
1993-03-22,385.0,385.0,385.0,385.0,0,0,0.0
1993-03-23,376.25,385.0,367.5,385.0,0,0,0.0
1993-03-24,385.0,385.0,367.5,367.5,600,0,0.0
1993-03-25,385.0,385.0,367.5,367.5,0,0,0.0
1993-03-26,385.0,385.0,367.5,385.0,500,0,0.0
1993-03-29,385.0,437.5,350.0,437.5,100,0,0.0
1993-03-30,455.0,525.0,437.5,463.75,1300,0,0.0
1993-03-31,472.5,472.5,437.5,437.5,300,0,0.0
1993-04-01,472.5,472.5,437.5,437.5,600,0,0.0
1993-04-02,437.5,472.5,437.5,455.0,700,0,0.0
1993-04-05,472.5,472.5,437.5,455.0,100,0,0.0
1993-04-06,455.0,455.0,420.0,420.0,200,0,0.0
1993-04-07,420.0,420.0,420.0,420.0,0,0,0.0
1993-04-08,420.0,420.0,402.5,411.25,0,0,0.0
1993-04-12,411.25,411.25,411.25,411.25,0,0,0.0
1993-04-13,411.25,411.25,411.25,411.25,0,0,0.0
1993-04-14,411.25,411.25,411.25,411.25,0,0,0.0
1993-04-15,393.75,393.75,393.75,393.75,100,0,0.0
1993-04-16,385.0,385.0,385.0,385.0,0,0,0.0
1993-04-19,437.5,437.5,402.5,402.5,0,0,0.0
1993-04-20,411.25,411.25,411.25,411.25,0,0,0.0
1993-04-21,420.0,420.0,385.0,393.75,0,0,0.0
1993-04-22,420.0,420.0,420.0,420.0,0,0,0.0
1993-04-23,420.0,420.0,420.0,420.0,0,0,0.0
1993-04-26,420.0,420.0,420.0,420.0,0,0,0.0
1993-04-27,420.0,420.0,420.0,420.0,0,0,0.0
1993-04-28,411.25,411.25,411.25,411.25,0,0,0.0
1993-04-29,420.0,420.0,420.0,420.0,0,0,0.0
1993-04-30,420.0,420.0,420.0,420.0,0,0,0.0
1993-05-03,437.5,437.5,437.5,437.5,0,0,0.0
1993-05-04,437.5,490.0,437.5,472.5,700,0,0.0
1993-05-05,490.0,507.5,455.0,498.75,600,0,0.0
1993-05-06,490.0,525.0,490.0,498.75,200,0,0.0
1993-05-07,490.0,533.75,490.0,507.5,600,0,0.0
1993-05-10,533.75,533.75,516.25,533.75,0,0,0.0
1993-05-11,533.75,533.75,533.75,533.75,0,0,0.0
1993-05-12,533.75,533.75,525.0,533.75,200,0,0.0
1993-05-13,507.5,507.5,507.5,507.5,0,0,0.0
1993-05-14,498.75,542.5,498.75,542.5,0,0,0.0
1993-05-17,542.5,542.5,490.0,533.75,300,0,0.0
1993-05-18,481.25,481.25,481.25,481.25,0,0,0.0
1993-05-19,533.75,533.75,533.75,533.75,0,0,0.0
1993-05-20,507.5,560.0,481.25,525.0,1000,0,0.0
1993-05-21,542.5,586.25,525.0,560.0,600,0,0.0
1993-05-24,560.0,560.0,560.0,560.0,0,0,0.0
1993-05-25,560.0,560.0,525.0,525.0,0,0,0.0
1993-05-26,560.0,577.5,560.0,560.0,200,0,0.0
1993-05-27,586.25,586.25,551.25,560.0,200,0,0.0
1993-05-28,542.5,586.25,542.5,560.0,0,0,0.0
1993-06-01,542.5,586.25,542.5,586.25,0,0,0.0
1993-06-02,586.25,586.25,542.5,577.5,100,0,0.0
1993-06-03,595.0,595.0,560.0,595.0,400,0,0.0
1993-06-04,595.0,595.0,577.5,595.0,200,0,0.0
1993-06-07,595.0,595.0,560.0,560.0,200,0,0.0
1993-06-08,603.75,603.75,560.0,560.0,100,0,0.0
1993-06-09,595.0,595.0,560.0,560.0,300,0,0.0
1993-06-10,516.25,577.5,516.25,568.75,2700,0,0.0
1993-06-11,568.75,568.75,568.75,568.75,0,0,0.0
1993-06-14,551.25,551.25,551.25,551.25,0,0,0.0
1993-06-15,525.0,568.75,525.0,568.75,0,0,0.0
1993-06-16,525.0,525.0,525.0,525.0,0,0,0.0
1993-06-17,568.75,568.75,568.75,568.75,0,0,0.0
1993-06-18,568.75,568.75,568.75,568.75,0,0,0.0
1993-06-21,525.0,568.75,525.0,568.75,0,0,0.0
1993-06-22,525.0,542.5,525.0,542.5,0,0,0.0
1993-06-23,542.5,542.5,542.5,542.5,100,0,0.0
1993-06-24,507.5,525.0,507.5,525.0,0,0,0.0
1993-06-25,525.0,525.0,525.0,525.0,0,0,0.0
1993-06-28,560.0,630.0,525.0,630.0,700,0,0.0
1993-06-29,630.0,630.0,595.0,612.5,200,0,0.0
1993-06-30,595.0,647.5,595.0,647.5,200,0,0.0
1993-07-01,612.5,665.0,612.5,647.5,1000,0,0.0
1993-07-02,630.0,647.5,595.0,647.5,300,0,0.0
1993-07-06,647.5,647.5,630.0,630.0,0,0,0.0
1993-07-07,595.0,612.5,595.0,612.5,0,0,0.0
1993-07-08,595.0,595.0,595.0,595.0,0,0,0.0
1993-07-09,621.25,630.0,612.5,630.0,300,0,0.0
1993-07-12,647.5,647.5,595.0,595.0,100,0,0.0
1993-07-13,630.0,630.0,612.5,630.0,0,0,0.0
1993-07-14,630.0,630.0,630.0,630.0,0,0,0.0
1993-07-15,647.5,647.5,595.0,595.0,300,0,0.0
1993-07-16,647.5,647.5,595.0,603.75,100,0,0.0
1993-07-19,595.0,630.0,595.0,630.0,0,0,0.0
1993-07-20,577.5,595.0,525.0,525.0,500,0,0.0
1993-07-21,560.0,560.0,525.0,551.25,0,0,0.0
1993-07-22,525.0,542.5,490.0,498.75,5000,0,0.0
1993-07-23,525.0,542.5,490.0,498.75,400,0,0.0
1993-07-26,560.0,560.0,525.0,525.0,0,0,0.0
1993-07-27,507.5,560.0,507.5,507.5,500,0,0.0
1993-07-28,560.0,560.0,494.375,525.0,300,0,0.0
1993-07-29,525.0,525.0,490.0,507.5,0,0,0.0
1993-07-30,525.0,525.0,490.0,507.5,200,0,0.0
1993-08-02,507.5,525.0,507.5,525.0,200,0,0.0
1993-08-03,525.0,525.0,516.25,525.0,200,0,0.0
1993-08-04,507.5,525.0,507.5,507.5,0,0,0.0
1993-08-05,507.5,507.5,490.0,490.0,0,0,0.0
1993-08-06,560.0,595.0,507.5,516.25,1100,0,0.0
1993-08-09,507.5,542.5,507.5,542.5,400,0,0.0
1993-08-10,542.5,542.5,481.25,525.0,400,0,0.0
1993-08-11,525.0,525.0,490.0,494.375,100,0,0.0
1993-08-12,490.0,525.0,490.0,498.75,700,0,0.0
1993-08-13,516.25,516.25,490.0,498.75,300,0,0.0
1993-08-16,507.5,507.5,490.0,507.5,100,0,0.0
1993-08-17,498.75,507.5,498.75,507.5,0,0,0.0
1993-08-18,490.0,490.0,446.25,472.5,200,0,0.0
1993-08-19,472.5,472.5,446.25,472.5,400,0,0.0
1993-08-20,455.0,490.0,455.0,472.5,600,0,0.0
1993-08-23,481.25,490.0,481.25,481.25,300,0,0.0
1993-08-24,490.0,490.0,490.0,490.0,200,0,0.0
1993-08-25,490.0,490.0,481.25,490.0,300,0,0.0
1993-08-26,481.25,490.0,472.5,472.5,400,0,0.0
1993-08-27,490.0,490.0,490.0,490.0,0,0,0.0
1993-08-30,490.0,490.0,490.0,490.0,0,0,0.0
1993-08-31,481.25,490.0,463.75,463.75,600,0,0.0
1993-09-01,472.5,490.0,455.0,481.25,1100,0,0.0
1993-09-02,455.0,490.0,455.0,490.0,0,0,0.0
1993-09-03,490.0,490.0,455.0,459.375,1200,0,0.0
1993-09-07,437.5,472.5,437.5,463.75,200,0,0.0
1993-09-08,490.0,490.0,490.0,490.0,0,0,0.0
1993-09-09,446.25,490.0,446.25,490.0,0,0,0.0
1993-09-10,490.0,490.0,455.0,472.5,0,0,0.0
1993-09-13,472.5,472.5,472.5,472.5,0,0,0.0
1993-09-14,455.0,472.5,455.0,472.5,200,0,0.0
1993-09-15,463.75,490.0,455.0,490.0,2200,0,0.0
1993-09-16,507.5,595.0,490.0,560.0,1800,0,0.0
1993-09-17,560.0,577.5,542.5,577.5,200,0,0.0
1993-09-20,577.5,612.5,542.5,577.5,1200,0,0.0
1993-09-21,542.5,577.5,507.5,542.5,500,0,0.0
1993-09-22,525.0,525.0,472.5,490.0,800,0,0.0
1993-09-23,507.5,507.5,490.0,490.0,1300,0,0.0
1993-09-24,525.0,595.0,525.0,568.75,3900,0,0.0
1993-09-27,595.0,595.0,560.0,560.0,700,0,0.0
1993-09-28,560.0,595.0,560.0,595.0,500,0,0.0
1993-09-29,595.0,595.0,560.0,560.0,1500,0,0.0
1993-09-30,577.5,647.5,560.0,595.0,2600,0,0.0
1993-10-01,647.5,647.5,595.0,595.0,300,0,0.0
1993-10-04,621.25,630.0,595.0,595.0,400,0,0.0
1993-10-05,630.0,630.0,595.0,595.0,300,0,0.0
1993-10-06,595.0,647.5,595.0,647.5,0,0,0.0
1993-10-07,647.5,647.5,595.0,630.0,1000,0,0.0
1993-10-08,630.0,630.0,577.5,586.25,800,0,0.0
1993-10-11,612.5,630.0,603.75,630.0,800,0,0.0
1993-10-12,630.0,717.5,612.5,717.5,2000,0,0.0
1993-10-13,717.5,770.0,682.5,708.75,800,0,0.0
1993-10-14,700.0,735.0,665.0,665.0,500,0,0.0
1993-10-15,665.0,822.5,665.0,787.5,2500,0,0.0
1993-10-18,840.0,997.5,822.5,910.0,1200,0,0.0
1993-10-19,918.75,997.5,892.5,892.5,1100,0,0.0
1993-10-20,910.0,927.5,857.5,857.5,700,0,0.0
1993-10-21,840.0,857.5,787.5,787.5,400,0,0.0
1993-10-22,822.5,840.0,787.5,805.0,900,0,0.0
1993-10-25,805.0,840.0,787.5,796.25,500,0,0.0
1993-10-26,805.0,805.0,770.0,805.0,200,0,0.0
1993-10-27,840.0,910.0,778.75,787.5,1200,0,0.0
1993-10-28,840.0,840.0,735.0,735.0,500,0,0.0
1993-10-29,717.5,770.0,717.5,752.5,0,0,0.0
1993-11-01,787.5,787.5,735.0,787.5,800,0,0.0
1993-11-02,787.5,787.5,708.75,770.0,700,0,0.0
1993-11-03,770.0,805.0,770.0,787.5,400,0,0.0
1993-11-04,787.5,787.5,752.5,752.5,0,0,0.0
1993-11-05,735.0,770.0,735.0,770.0,100,0,0.0
1993-11-08,787.5,787.5,735.0,735.0,0,0,0.0
1993-11-09,752.5,840.0,752.5,805.0,200,0,0.0
1993-11-10,840.0,892.5,822.5,875.0,1100,0,0.0
1993-11-11,875.0,875.0,857.5,857.5,0,0,0.0
1993-11-12,822.5,875.0,805.0,822.5,300,0,0.0
1993-11-15,805.0,910.0,805.0,866.25,1500,0,0.0
1993-11-16,857.5,892.5,857.5,892.5,200,0,0.0
1993-11-17,910.0,910.0,875.0,910.0,300,0,0.0
1993-11-18,875.0,927.5,875.0,892.5,200,0,0.0
1993-11-19,910.0,927.5,892.5,927.5,100,0,0.0
1993-11-22,892.5,927.5,875.0,875.0,0,0,0.0
1993-11-23,892.5,927.5,892.5,901.25,0,0,0.0
1993-11-24,910.0,910.0,875.0,892.5,0,0,0.0
1993-11-26,892.5,910.0,883.75,892.5,0,0,0.0
1993-11-29,875.0,910.0,875.0,910.0,0,0,0.0
1993-11-30,910.0,910.0,875.0,910.0,0,0,0.0
1993-12-01,927.5,945.0,892.5,945.0,700,0,0.0
1993-12-02,962.5,962.5,910.0,927.5,300,0,0.0
1993-12-03,962.5,997.5,936.25,980.0,700,0,0.0
1993-12-06,980.0,1067.5,980.0,1032.5,800,0,0.0
1993-12-07,1067.5,1067.5,1015.0,1067.5,0,0,0.0
1993-12-08,1050.0,1050.0,980.0,980.0,400,0,0.0
1993-12-09,1032.5,1032.5,980.0,1032.5,200,0,0.0
1993-12-10,980.0,1032.5,910.0,918.75,400,0,0.0
1993-12-13,892.5,945.0,770.0,770.0,300,0,0.0
1993-12-14,875.0,910.0,840.0,901.25,400,0,0.0
1993-12-15,910.0,945.0,910.0,918.75,3900,0,0.0
1993-12-16,910.0,945.0,910.0,945.0,0,0,0.0
1993-12-17,901.25,901.25,901.25,901.25,100,0,0.0
1993-12-20,892.5,945.0,892.5,945.0,0,0,0.0
1993-12-21,945.0,945.0,910.0,945.0,400,0,0.0
1993-12-22,910.0,918.75,910.0,910.0,100,0,0.0
1993-12-23,910.0,910.0,910.0,910.0,0,0,0.0
1993-12-27,945.0,945.0,945.0,945.0,0,0,0.0
1993-12-28,945.0,945.0,927.5,945.0,0,0,0.0
1993-12-29,910.0,997.5,910.0,997.5,600,0,0.0
1993-12-30,997.5,997.5,945.0,945.0,0,0,0.0
1993-12-31,997.5,997.5,945.0,945.0,0,0,0.0
1994-01-03,997.5,1155.0,980.0,1050.0,4100,0,0.0
1994-01-04,1085.0,1085.0,1032.5,1076.25,1000,0,0.0
1994-01-05,1085.0,1085.0,1050.0,1085.0,400,0,0.0
1994-01-06,1085.0,1085.0,1015.0,1050.0,500,0,0.0
1994-01-07,1067.5,1067.5,980.0,980.0,1200,0,0.0
1994-01-10,980.0,1032.5,927.5,980.0,600,0,0.0
1994-01-11,980.0,980.0,945.0,980.0,700,0,0.0
1994-01-12,945.0,1015.0,927.5,1006.25,800,0,0.0
1994-01-13,1015.0,1015.0,980.0,1015.0,600,0,0.0
1994-01-14,1050.0,1050.0,980.0,1050.0,100,0,0.0
1994-01-17,1050.0,1050.0,980.0,1015.0,200,0,0.0
1994-01-18,1050.0,1050.0,980.0,1050.0,200,0,0.0
1994-01-19,1050.0,1050.0,980.0,1015.0,100,0,0.0
1994-01-20,1032.5,1050.0,1015.0,1015.0,1000,0,0.0
1994-01-21,1015.0,1067.5,1015.0,1015.0,400,0,0.0
1994-01-24,1067.5,1067.5,997.5,1032.5,800,0,0.0
1994-01-25,1032.5,1067.5,1015.0,1050.0,400,0,0.0
1994-01-26,1015.0,1067.5,1015.0,1032.5,0,0,0.0
1994-01-27,1032.5,1067.5,1032.5,1050.0,200,0,0.0
1994-01-28,1050.0,1067.5,1050.0,1067.5,2600,0,0.0
1994-01-31,1085.0,1120.0,1050.0,1102.5,1400,0,0.0
1994-02-01,1120.0,1120.0,1067.5,1120.0,300,0,0.0
1994-02-02,1120.0,1120.0,1067.5,1120.0,600,0,0.0
1994-02-03,1102.5,1102.5,1032.5,1032.5,1400,0,0.0
1994-02-04,1032.5,1067.5,936.25,962.5,800,0,0.0
1994-02-07,945.0,945.0,910.0,927.5,1000,0,0.0
1994-02-08,945.0,945.0,892.5,927.5,500,0,0.0
1994-02-09,892.5,927.5,892.5,927.5,700,0,0.0
1994-02-10,910.0,927.5,910.0,927.5,100,0,0.0
1994-02-11,927.5,927.5,892.5,910.0,300,0,0.0
1994-02-14,892.5,927.5,883.75,910.0,400,0,0.0
1994-02-15,875.0,910.0,875.0,910.0,200,0,0.0
1994-02-16,875.0,910.0,875.0,875.0,0,0,0.0
1994-02-17,910.0,910.0,875.0,892.5,0,0,0.0
1994-02-18,910.0,910.0,822.5,840.0,700,0,0.0
1994-02-22,875.0,875.0,752.5,761.25,900,0,0.0
1994-02-23,752.5,805.0,630.0,700.0,3400,0,0.0
1994-02-24,717.5,805.0,682.5,805.0,2300,0,0.0
1994-02-25,805.0,857.5,752.5,857.5,800,0,0.0
1994-02-28,857.5,857.5,796.25,840.0,500,0,0.0
1994-03-01,840.0,840.0,761.25,822.5,1100,0,0.0
1994-03-02,770.0,840.0,770.0,787.5,600,0,0.0
1994-03-03,822.5,822.5,770.0,822.5,0,0,0.0
1994-03-04,805.0,840.0,770.0,840.0,900,0,0.0
1994-03-07,962.5,980.0,910.0,945.0,3800,0,0.0
1994-03-08,997.5,997.5,962.5,997.5,2000,0,0.0
1994-03-09,997.5,997.5,962.5,997.5,500,0,0.0
1994-03-10,997.5,997.5,945.0,945.0,600,0,0.0
1994-03-11,997.5,997.5,945.0,945.0,1100,0,0.0
1994-03-14,980.0,980.0,945.0,945.0,500,0,0.0
1994-03-15,980.0,980.0,927.5,927.5,900,0,0.0
1994-03-16,997.5,997.5,945.0,962.5,700,0,0.0
1994-03-17,997.5,997.5,945.0,997.5,400,0,0.0
1994-03-18,997.5,997.5,936.25,962.5,500,0,0.0
1994-03-21,980.0,980.0,927.5,980.0,200,0,0.0
1994-03-22,927.5,980.0,927.5,980.0,600,0,0.0
1994-03-23,980.0,980.0,945.0,980.0,0,0,0.0
1994-03-24,980.0,980.0,927.5,927.5,400,0,0.0
1994-03-25,962.5,962.5,910.0,927.5,300,0,0.0
1994-03-28,945.0,945.0,875.0,910.0,300,0,0.0
1994-03-29,892.5,910.0,840.0,857.5,900,0,0.0
1994-03-30,892.5,892.5,787.5,805.0,700,0,0.0
1994-03-31,840.0,840.0,787.5,822.5,900,0,0.0
1994-04-04,770.0,822.5,752.5,778.75,500,0,0.0
1994-04-05,770.0,822.5,770.0,805.0,700,0,0.0
1994-04-06,822.5,822.5,735.0,735.0,1300,0,0.0
1994-04-07,770.0,770.0,682.5,700.0,1500,0,0.0
1994-04-08,717.5,752.5,700.0,726.25,600,0,0.0
1994-04-11,735.0,787.5,717.5,770.0,500,0,0.0
1994-04-12,787.5,857.5,770.0,848.75,700,0,0.0
1994-04-13,857.5,857.5,805.0,840.0,300,0,0.0
1994-04-14,787.5,857.5,787.5,857.5,300,0,0.0
1994-04-15,805.0,857.5,805.0,822.5,0,0,0.0
1994-04-18,857.5,857.5,717.5,735.0,600,0,0.0
1994-04-19,770.0,770.0,717.5,717.5,100,0,0.0
1994-04-20,770.0,770.0,682.5,700.0,700,0,0.0
1994-04-21,682.5,735.0,682.5,735.0,400,0,0.0
1994-04-22,735.0,735.0,700.0,708.75,100,0,0.0
1994-04-25,735.0,735.0,682.5,735.0,0,0,0.0
1994-04-26,735.0,735.0,700.0,735.0,100,0,0.0
1994-04-28,735.0,735.0,682.5,735.0,200,0,0.0
1994-04-29,717.5,735.0,682.5,726.25,200,0,0.0
1994-05-02,735.0,770.0,717.5,735.0,200,0,0.0
1994-05-03,770.0,787.5,743.75,787.5,1300,0,0.0
1994-05-04,735.0,787.5,735.0,735.0,500,0,0.0
1994-05-05,787.5,787.5,752.5,752.5,600,0,0.0
1994-05-06,752.5,805.0,752.5,770.0,300,0,0.0
1994-05-09,752.5,787.5,752.5,787.5,600,0,0.0
1994-05-10,752.5,787.5,752.5,787.5,200,0,0.0
1994-05-11,787.5,787.5,752.5,752.5,0,0,0.0
1994-05-12,752.5,770.0,752.5,770.0,0,0,0.0
1994-05-13,770.0,787.5,770.0,787.5,300,0,0.0
1994-05-16,770.0,805.0,770.0,787.5,200,0,0.0
1994-05-17,770.0,787.5,770.0,770.0,400,0,0.0
1994-05-18,805.0,805.0,770.0,770.0,0,0,0.0
1994-05-19,805.0,805.0,752.5,787.5,400,0,0.0
1994-05-20,787.5,787.5,752.5,787.5,0,0,0.0
1994-05-23,761.25,787.5,735.0,735.0,600,0,0.0
1994-05-24,787.5,787.5,717.5,717.5,300,0,0.0
1994-05-25,752.5,752.5,665.0,673.75,400,0,0.0
1994-05-26,717.5,752.5,665.0,682.5,600,0,0.0
1994-05-27,665.0,700.0,647.5,665.0,200,0,0.0
1994-05-31,647.5,700.0,647.5,700.0,100,0,0.0
1994-06-01,700.0,700.0,665.0,665.0,0,0,0.0
1994-06-02,700.0,700.0,673.75,682.5,1000,0,0.0
1994-06-03,717.5,717.5,682.5,717.5,0,0,0.0
1994-06-06,682.5,717.5,682.5,700.0,300,0,0.0
1994-06-07,682.5,735.0,682.5,717.5,700,0,0.0
1994-06-08,735.0,735.0,700.0,704.375,0,0,0.0
1994-06-09,700.0,735.0,700.0,735.0,200,0,0.0
1994-06-10,752.5,752.5,700.0,735.0,0,0,0.0
1994-06-13,752.5,752.5,717.5,717.5,0,0,0.0
1994-06-14,743.75,770.0,717.5,752.5,0,0,0.0
1994-06-15,717.5,717.5,717.5,717.5,0,0,0.0
1994-06-16,770.0,770.0,717.5,770.0,1100,0,0.0
1994-06-17,770.0,787.5,735.0,770.0,300,0,0.0
1994-06-20,787.5,787.5,752.5,752.5,0,0,0.0
1994-06-21,752.5,770.0,717.5,721.875,500,0,0.0
1994-06-22,735.0,752.5,717.5,717.5,0,0,0.0
1994-06-23,717.5,735.0,647.5,665.0,500,0,0.0
1994-06-24,647.5,665.0,595.0,612.5,900,0,0.0
1994-06-27,595.0,665.0,595.0,665.0,700,0,0.0
1994-06-28,665.0,665.0,612.5,647.5,1000,0,0.0
1994-06-29,612.5,647.5,612.5,630.0,200,0,0.0
1994-06-30,612.5,665.0,612.5,647.5,300,0,0.0
1994-07-01,612.5,665.0,612.5,665.0,0,0,0.0
1994-07-05,665.0,665.0,621.25,630.0,500,0,0.0
1994-07-06,647.5,665.0,630.0,656.25,700,0,0.0
1994-07-07,630.0,665.0,630.0,638.75,500,0,0.0
1994-07-08,665.0,665.0,612.5,630.0,200,0,0.0
1994-07-11,612.5,638.75,612.5,630.0,200,0,0.0
1994-07-12,612.5,665.0,612.5,665.0,0,0,0.0
1994-07-13,621.25,647.5,612.5,621.25,500,0,0.0
1994-07-14,647.5,647.5,612.5,612.5,100,0,0.0
1994-07-15,647.5,647.5,612.5,612.5,200,0,0.0
1994-07-18,612.5,630.0,560.0,595.0,500,0,0.0
1994-07-19,577.5,612.5,542.5,560.0,300,0,0.0
1994-07-20,542.5,577.5,533.75,533.75,1500,0,0.0
1994-07-21,560.0,560.0,525.0,525.0,200,0,0.0
1994-07-22,525.0,560.0,490.0,490.0,500,0,0.0
1994-07-25,490.0,542.5,437.5,490.0,900,0,0.0
1994-07-26,490.0,507.5,455.0,490.0,400,0,0.0
1994-07-27,507.5,507.5,472.5,507.5,0,0,0.0
1994-07-28,463.75,490.0,455.0,490.0,900,0,0.0
1994-07-29,490.0,507.5,472.5,481.25,400,0,0.0
1994-08-01,507.5,507.5,472.5,481.25,2000,0,0.0
1994-08-02,507.5,507.5,472.5,507.5,100,0,0.0
1994-08-03,507.5,507.5,490.0,507.5,200,0,0.0
1994-08-04,490.0,525.0,490.0,525.0,600,0,0.0
1994-08-05,525.0,525.0,498.75,525.0,0,0,0.0
1994-08-08,525.0,525.0,490.0,490.0,500,0,0.0
1994-08-09,525.0,525.0,490.0,525.0,100,0,0.0
1994-08-10,490.0,525.0,490.0,525.0,0,0,0.0
1994-08-11,525.0,560.0,490.0,560.0,300,0,0.0
1994-08-12,560.0,577.5,507.5,577.5,400,0,0.0
1994-08-15,577.5,595.0,542.5,595.0,400,0,0.0
1994-08-16,630.0,630.0,577.5,577.5,100,0,0.0
1994-08-17,577.5,612.5,577.5,595.0,100,0,0.0
1994-08-18,595.0,612.5,595.0,603.75,200,0,0.0
1994-08-19,595.0,612.5,577.5,603.75,0,0,0.0
1994-08-22,577.5,630.0,577.5,630.0,200,0,0.0
1994-08-23,630.0,638.75,595.0,630.0,400,0,0.0
1994-08-24,647.5,647.5,595.0,647.5,100,0,0.0
1994-08-25,665.0,665.0,647.5,647.5,0,0,0.0
1994-08-26,630.0,700.0,630.0,665.0,500,0,0.0
1994-08-29,717.5,717.5,665.0,665.0,0,0,0.0
1994-08-30,665.0,700.0,647.5,682.5,200,0,0.0
1994-08-31,647.5,682.5,647.5,647.5,0,0,0.0
1994-09-01,700.0,700.0,700.0,700.0,0,0,0.0
1994-09-02,700.0,700.0,647.5,647.5,100,0,0.0
1994-09-06,700.0,700.0,630.0,630.0,200,0,0.0
1994-09-07,630.0,682.5,630.0,665.0,0,0,0.0
1994-09-08,630.0,682.5,630.0,682.5,0,0,0.0
1994-09-09,682.5,682.5,630.0,682.5,100,0,0.0
1994-09-12,656.25,682.5,647.5,647.5,0,0,0.0
1994-09-13,647.5,682.5,647.5,656.25,100,0,0.0
1994-09-14,682.5,682.5,647.5,647.5,0,0,0.0
1994-09-15,656.25,682.5,647.5,665.0,300,0,0.0
1994-09-16,682.5,682.5,647.5,665.0,1600,0,0.0
1994-09-19,647.5,682.5,647.5,665.0,100,0,0.0
1994-09-20,647.5,665.0,647.5,647.5,0,0,0.0
1994-09-21,656.25,682.5,647.5,647.5,700,0,0.0
1994-09-22,647.5,682.5,647.5,656.25,200,0,0.0
1994-09-23,647.5,665.0,647.5,665.0,100,0,0.0
1994-09-26,647.5,682.5,647.5,682.5,1500,0,0.0
1994-09-27,647.5,682.5,630.0,630.0,200,0,0.0
1994-09-28,630.0,665.0,630.0,656.25,0,0,0.0
1994-09-29,682.5,682.5,630.0,665.0,200,0,0.0
1994-09-30,700.0,770.0,665.0,717.5,1100,0,0.0
1994-10-03,752.5,752.5,682.5,682.5,100,0,0.0
1994-10-04,682.5,700.0,612.5,638.75,600,0,0.0
