Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-06-11,1.93,2.19,1.86,2.09,1391400,0.0,0.0
1993-06-14,2.09,2.19,2.06,2.15,169200,0.0,0.0
1993-06-15,2.19,2.19,2.06,2.15,155100,0.0,0.0
1993-06-16,2.19,2.19,2.06,2.09,359100,0.0,0.0
1993-06-17,2.19,2.19,1.93,2.06,355800,0.0,0.0
1993-06-18,2.06,2.06,1.93,1.99,83100,0.0,0.0
1993-06-21,2.06,2.12,1.99,2.12,167100,0.0,0.0
1993-06-22,2.12,2.12,2.06,2.12,180000,0.0,0.0
1993-06-23,2.19,2.19,2.06,2.19,134700,0.0,0.0
1993-06-24,2.06,2.25,2.06,2.25,90900,0.0,0.0
1993-06-25,2.25,2.25,2.12,2.25,27900,0.0,0.0
1993-06-28,2.25,2.31,2.12,2.31,111000,0.0,0.0
1993-06-29,2.25,2.44,2.25,2.31,198300,0.0,0.0
1993-06-30,2.44,2.44,2.28,2.31,163200,0.0,0.0
1993-07-01,2.38,2.38,2.12,2.31,127500,0.0,0.0
1993-07-02,2.31,2.31,2.31,2.31,900,0.0,0.0
1993-07-06,2.12,2.31,1.99,2.19,45600,0.0,0.0
1993-07-07,2.06,2.19,2.03,2.19,17100,0.0,0.0
1993-07-08,2.12,2.19,1.99,2.01,35700,0.0,0.0
1993-07-09,2.19,2.19,1.99,2.12,9000,0.0,0.0
1993-07-12,2.19,2.19,1.99,1.99,99000,0.0,0.0
1993-07-13,2.19,2.19,1.99,2.19,24300,0.0,0.0
1993-07-14,1.99,2.19,1.99,2.19,9000,0.0,0.0
1993-07-15,2.06,2.19,1.99,2.19,83700,0.0,0.0
1993-07-16,1.99,2.19,1.99,2.19,53100,0.0,0.0
1993-07-19,2.19,2.19,2.09,2.19,57000,0.0,0.0
1993-07-20,2.03,2.19,2.03,2.15,87000,0.0,0.0
1993-07-21,2.15,2.19,1.99,2.15,84900,0.0,0.0
1993-07-22,2.19,2.19,1.99,2.12,67500,0.0,0.0
1993-07-23,1.99,2.19,1.99,2.19,46500,0.0,0.0
1993-07-26,1.99,2.19,1.99,1.99,60900,0.0,0.0
1993-07-27,1.99,2.19,1.99,2.19,126300,0.0,0.0
1993-07-28,2.19,2.19,1.99,2.19,60600,0.0,0.0
1993-07-29,2.15,2.19,2.15,2.19,22800,0.0,0.0
1993-07-30,2.03,2.19,2.03,2.15,15900,0.0,0.0
1993-08-02,2.03,2.19,1.99,2.06,77700,0.0,0.0
1993-08-03,2.06,2.19,2.06,2.19,9300,0.0,0.0
1993-08-04,2.06,2.19,2.06,2.06,45300,0.0,0.0
1993-08-05,2.06,2.38,2.06,2.33,197700,0.0,0.0
