Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-11-01,4.1978,4.3211,4.1696,4.3211,239800,0.0,0
2007-11-02,4.3458,4.3458,4.1766,4.2295,104600,0.0,0
2007-11-05,4.2295,4.2647,4.1414,4.2295,130300,0.0,0
2007-11-06,4.2471,4.2824,4.159,4.2295,215000,0.0,0
2007-11-07,4.1766,4.2647,4.1238,4.2295,197000,0.0,0
2007-11-08,4.2647,4.2647,3.8982,4.1802,230000,0.0,0
2007-11-09,4.0779,4.1766,4.0533,4.1238,179300,0.0,0
2007-11-12,4.159,4.1943,4.0533,4.0638,67200,0.0,0
2007-11-13,4.0462,4.1943,3.9652,4.159,192600,0.0,0
2007-11-14,4.2225,4.2295,4.0533,4.1943,144000,0.0,0
2007-11-15,4.1132,4.2295,4.1061,4.1414,67300,0.0,0
2007-11-16,4.0956,4.2119,4.0956,4.2119,79400,0.0,0
2007-11-19,4.2225,4.2225,4.1238,4.1273,51400,0.0,0
2007-11-20,4.1414,4.1943,4.1238,4.1661,30100,0.0,0
2007-11-21,4.1273,4.1943,4.0039,4.159,40000,0.0,0
2007-11-23,4.1061,4.2436,4.1061,4.2295,55800,0.0,0
2007-11-26,4.2295,4.307,4.1766,4.2295,183400,0.0,0
2007-11-27,4.2683,4.4057,4.2471,4.3,268600,0.0,0
2007-11-28,4.3388,4.3881,4.1449,4.2929,27300,0.0,0
2007-11-29,4.2929,4.3529,4.2119,4.3529,39800,0.0,0
2007-11-30,4.3705,4.3705,4.2788,4.3352,31900,0.0,0
2007-12-03,4.3388,4.3705,4.3,4.3705,105300,0.0,0
2007-12-04,4.3529,4.4057,4.1484,4.3,132500,0.0,0
2007-12-05,4.3282,4.3352,4.1414,4.3352,16900,0.0,0
2007-12-06,4.3282,4.4022,4.2647,4.3881,177700,0.0,0
2007-12-07,4.2965,4.4057,4.2225,4.4057,25900,0.0,0
2007-12-10,4.582,4.6736,4.5749,4.6102,145400,0.0,0
2007-12-11,4.6877,4.7476,4.515,4.5996,69200,0.0,0
2007-12-12,4.6348,4.6524,4.4938,4.5749,134600,0.0,0
2007-12-13,4.582,4.6524,4.4057,4.6102,25000,0.0,0
2007-12-14,4.5115,4.6278,4.4762,4.582,9900,0.0,0
2007-12-17,4.4586,4.5467,4.3352,4.5467,12300,0.0,0
2007-12-18,4.5467,4.6207,4.5115,4.6207,43600,0.0,0
2007-12-19,4.6172,4.6278,4.5467,4.5784,75400,0.0,0
2007-12-20,4.582,4.582,4.3529,4.4057,59600,0.0,0
2007-12-21,4.441,4.4833,4.3775,4.4656,34400,0.0,0
2007-12-24,4.5185,4.5643,4.4903,4.5643,2500,0.0,0
2007-12-26,4.582,4.6102,4.4163,4.5432,60100,0.0,0
2007-12-27,4.5115,4.5115,4.3388,4.3881,10100,0.0,0
2007-12-28,4.4057,4.5361,4.3916,4.4445,12800,0.0,0
2007-12-31,4.5467,4.589,4.4656,4.5679,27000,0.0,0
2008-01-02,4.582,4.6419,4.4304,4.4938,38800,0.0,0
