Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-09,10.41,10.5,9.6,9.6,212400,0,0
2019-01-10,9.55,10.1,9.46,10.0,272500,0,0
2019-01-11,10.0,10.0,9.85,9.86,23500,0,0
2019-01-14,9.99,9.99,9.76,9.9,18400,0,0
2019-01-15,9.85,10.03,9.75,10.03,33700,0,0
2019-01-16,10.03,10.03,9.95,10.0,5900,0,0
2019-01-17,9.7,9.93,9.69,9.84,15400,0,0
2019-01-18,9.78,9.9,9.71,9.82,16100,0,0
2019-01-22,9.85,9.85,9.68,9.76,9800,0,0
2019-01-23,9.82,9.82,9.69,9.74,11900,0,0
2019-01-24,9.61,9.75,9.61,9.64,21200,0,0
2019-01-25,9.67,9.68,9.58,9.59,3300,0,0
2019-01-28,9.61,9.62,9.56,9.57,14000,0,0
2019-01-29,9.54,9.54,9.45,9.46,19200,0,0
2019-01-30,9.5,9.5,9.45,9.45,8000,0,0
2019-01-31,9.45,9.47,9.45,9.45,8000,0,0
2019-02-01,9.47,9.47,9.45,9.45,7400,0,0
2019-02-04,9.41,9.47,9.41,9.44,6700,0,0
2019-02-05,9.45,9.45,9.33,9.36,10900,0,0
2019-02-06,9.36,9.47,9.16,9.47,22300,0,0
2019-02-07,9.44,9.45,9.3,9.45,8800,0,0
2019-02-08,9.48,9.5,9.48,9.48,13800,0,0
2019-02-11,9.46,9.5,9.46,9.49,1500,0,0
2019-02-12,9.4,9.41,9.3,9.31,11200,0,0
2019-02-13,9.35,9.48,9.27,9.48,2100,0,0
2019-02-14,9.27,9.3,9.27,9.28,600,0,0
2019-02-15,9.28,9.28,9.17,9.2,12900,0,0
2019-02-19,9.19,9.45,9.19,9.4,10700,0,0
2019-02-20,9.44,9.44,9.19,9.39,12300,0,0
2019-02-21,9.38,9.5,9.38,9.5,6500,0,0
2019-02-22,9.36,9.69,9.36,9.6,13400,0,0
2019-02-25,9.58,9.6,9.57,9.6,2200,0,0
2019-02-26,9.5,9.6,9.45,9.6,14100,0,0
2019-02-27,9.61,9.61,9.6,9.6,4300,0,0
2019-02-28,9.63,9.69,9.61,9.69,4700,0,0
2019-03-01,9.7,9.79,9.57,9.61,15200,0,0
2019-03-04,9.72,9.74,9.6,9.6,8200,0,0
2019-03-05,9.75,9.76,9.6,9.74,16700,0,0
2019-03-06,9.6,9.75,9.6,9.69,9000,0,0
2019-03-07,9.74,9.74,9.6,9.67,7900,0,0
2019-03-08,9.6,9.73,9.6,9.61,10500,0,0
2019-03-11,9.72,9.9,9.66,9.9,23700,0,0
2019-03-12,9.89,9.98,9.89,9.95,21100,0,0
2019-03-13,9.94,9.95,9.85,9.85,16600,0,0
2019-03-14,9.9,9.98,9.88,9.9,17400,0,0
2019-03-15,9.97,9.98,9.5,9.5,42200,0,0
2019-03-18,9.62,9.66,9.6,9.6,8000,0,0
2019-03-19,9.79,9.79,9.61,9.61,3200,0,0
2019-03-20,9.72,9.72,9.6,9.6,2700,0,0
2019-03-21,9.74,9.74,9.6,9.62,7500,0,0
2019-03-22,9.7,9.71,9.66,9.71,1900,0,0
2019-03-25,9.6,9.63,9.6,9.6,4700,0,0
2019-03-26,9.65,9.7,9.65,9.7,3300,0,0
2019-03-27,9.7,9.73,9.7,9.73,1200,0,0
2019-03-28,9.66,9.75,9.66,9.75,1400,0,0
2019-03-29,9.64,9.88,9.64,9.75,2800,0,0
2019-04-01,9.75,9.9,9.63,9.9,9100,0,0
2019-04-02,9.9,9.9,9.9,9.9,100,0,0
2019-04-03,9.9,9.9,9.85,9.85,3600,0,0
2019-04-04,9.7,9.7,9.7,9.7,2700,0,0
2019-04-05,9.7,9.7,9.7,9.7,100,0,0
2019-04-08,9.65,9.78,9.65,9.68,2100,0,0
2019-04-09,9.68,9.68,9.67,9.67,700,0,0
2019-04-10,9.65,9.71,9.65,9.7,2800,0,0
2019-04-11,9.75,9.75,9.71,9.71,1400,0,0
2019-04-12,9.73,9.75,9.7,9.74,3100,0,0
2019-04-15,9.74,9.74,9.74,9.74,0,0,0
2019-04-16,9.6,9.68,9.6,9.66,31400,0,0
2019-04-17,9.65,9.65,9.63,9.63,500,0,0
2019-04-18,9.63,9.68,9.63,9.68,700,0,0
2019-04-22,9.68,9.68,9.68,9.68,100,0,0
2019-04-23,9.5,9.51,9.49,9.51,11700,0,0
2019-04-24,9.51,9.51,9.51,9.51,100,0,0
2019-04-25,9.7,9.7,9.7,9.7,300,0,0
2019-04-26,9.65,9.69,9.65,9.65,1400,0,0
2019-04-29,9.64,9.65,9.64,9.65,2900,0,0
2019-04-30,9.68,9.69,9.57,9.61,21500,0,0
2019-05-01,9.61,9.61,9.61,9.61,100,0,0
2019-05-02,9.65,9.65,9.64,9.64,10100,0,0
2019-05-03,9.64,9.64,9.64,9.64,100,0,0
2019-05-06,9.64,9.65,9.57,9.57,1000,0,0
2019-05-07,9.6,9.64,9.6,9.64,5000,0,0
2019-05-08,9.64,9.64,9.64,9.64,0,0,0
2019-05-09,9.57,9.57,9.55,9.57,9500,0,0
2019-05-10,9.57,9.57,9.57,9.57,0,0,0
2019-05-13,9.55,9.55,9.5,9.51,9800,0,0
2019-05-14,9.5,9.5,9.36,9.36,6800,0,0
2019-05-15,9.41,9.48,9.41,9.48,3400,0,0
2019-05-16,9.5,9.5,9.42,9.43,2100,0,0
2019-05-17,9.5,9.5,9.4,9.4,11000,0,0
2019-05-20,9.4,9.4,9.4,9.4,0,0,0
2019-05-21,9.4,9.41,9.4,9.41,9300,0,0
2019-05-22,9.41,9.41,9.4,9.4,5100,0,0
2019-05-23,9.4,9.4,9.36,9.36,4900,0,0
2019-05-24,9.37,9.37,9.37,9.37,2000,0,0
2019-05-28,9.36,9.39,9.36,9.39,4000,0,0
2019-05-29,9.36,9.4,9.36,9.4,16000,0,0
2019-05-30,9.41,9.44,9.4,9.4,6500,0,0
2019-05-31,9.44,9.44,9.4,9.4,400,0,0
2019-06-03,9.45,9.45,9.4,9.45,400,0,0
2019-06-04,9.48,9.49,9.48,9.48,3400,0,0
2019-06-05,9.47,9.5,9.47,9.47,1600,0,0
2019-06-06,9.45,9.45,9.45,9.45,1400,0,0
2019-06-07,9.45,9.45,9.45,9.45,200,0,0
2019-06-10,9.45,9.51,9.45,9.5,9100,0,0
2019-06-11,9.54,9.54,9.51,9.51,3700,0,0
2019-06-12,9.5,9.5,9.5,9.5,200,0,0
2019-06-13,9.5,9.5,9.45,9.45,800,0,0
2019-06-14,9.42,9.42,9.4,9.4,12300,0,0
2019-06-17,9.42,9.45,9.4,9.45,8600,0,0
2019-06-18,9.36,9.36,9.17,9.35,21100,0,0
2019-06-19,9.35,9.35,9.35,9.35,100,0,0
2019-06-20,9.23,9.38,9.23,9.35,1500,0,0
2019-06-21,9.37,9.37,9.36,9.37,4000,0,0
2019-06-24,9.36,9.36,9.3,9.35,13700,0,0
2019-06-25,9.3,9.3,9.3,9.3,1300,0,0
2019-06-26,9.2,9.26,9.2,9.26,400,0,0
2019-06-27,9.25,9.25,9.25,9.25,300,0,0
2019-06-28,9.26,9.5,9.25,9.5,2600,0,0
2019-07-01,9.5,9.5,9.5,9.5,100,0,0
2019-07-02,9.45,9.45,9.45,9.45,2000,0,0
2019-07-03,9.25,9.26,9.25,9.25,1800,0,0
2019-07-05,9.25,9.25,9.25,9.25,300,0,0
2019-07-08,9.3,9.35,9.3,9.33,800,0,0
2019-07-09,9.44,9.45,9.3,9.3,2500,0,0
2019-07-10,9.25,9.25,9.21,9.24,7500,0,0
2019-07-11,9.23,9.23,9.2,9.2,1500,0,0
2019-07-12,9.2,9.22,8.66,9.05,35200,0,0
2019-07-15,9.0,9.21,9.0,9.21,4500,0,0
2019-07-16,9.1,9.1,9.1,9.1,100,0,0
2019-07-17,9.1,9.12,9.05,9.05,11100,0,0
2019-07-18,9.06,9.25,9.06,9.07,5700,0,0
2019-07-19,9.36,9.36,9.33,9.33,1000,0,0
2019-07-22,9.13,9.14,9.12,9.12,1700,0,0
2019-07-23,9.35,9.36,9.3,9.3,1200,0,0
2019-07-24,9.3,9.4,9.28,9.4,16200,0,0
2019-07-25,9.4,9.4,9.4,9.4,100,0,0
2019-07-26,9.33,9.4,9.33,9.4,700,0,0
2019-07-29,9.39,9.4,9.26,9.26,600,0,0
2019-07-30,9.38,9.38,9.37,9.37,500,0,0
2019-07-31,9.4,9.5,9.39,9.41,9000,0,0
2019-08-01,9.5,9.51,9.42,9.42,3000,0,0
2019-08-02,9.42,9.45,9.4,9.4,10200,0,0
2019-08-05,9.47,9.47,9.47,9.47,1500,0,0
2019-08-06,9.44,9.46,9.44,9.46,1100,0,0
2019-08-07,9.4,9.45,9.3,9.39,9600,0,0
2019-08-08,9.31,9.31,9.31,9.31,400,0,0
2019-08-09,9.31,9.31,9.31,9.31,400,0,0
2019-08-12,9.3,9.55,9.3,9.5,12100,0,0
2019-08-13,9.35,9.5,9.35,9.37,3100,0,0
2019-08-14,9.39,9.39,9.31,9.31,1000,0,0
2019-08-15,9.31,9.31,9.31,9.31,0,0,0
2019-08-16,9.31,9.31,9.31,9.31,0,0,0
2019-08-19,9.42,9.42,9.34,9.34,1100,0,0
2019-08-20,9.34,9.34,9.34,9.34,0,0,0
2019-08-21,9.55,9.55,9.55,9.55,900,0,0
2019-08-22,9.66,9.66,9.42,9.42,2100,0,0
2019-08-23,9.66,9.66,9.33,9.33,500,0,0
2019-08-26,9.55,9.55,9.55,9.55,1200,0,0
2019-08-27,9.69,9.69,9.35,9.35,500,0,0
2019-08-28,9.5,9.5,9.5,9.5,600,0,0
2019-08-29,9.45,9.45,9.41,9.41,1700,0,0
2019-08-30,9.44,9.45,9.42,9.42,1500,0,0
2019-09-03,9.41,9.45,9.37,9.4,13000,0,0
2019-09-04,9.4,9.4,9.4,9.4,0,0,0
2019-09-05,9.37,9.37,9.37,9.37,500,0,0
2019-09-06,9.31,9.31,9.31,9.31,5000,0,0
2019-09-09,9.5,9.74,9.48,9.7,19300,0,0
2019-09-10,9.32,9.51,9.32,9.51,600,0,0
2019-09-11,9.51,9.51,9.51,9.51,0,0,0
2019-09-12,9.39,9.6,9.39,9.53,2500,0,0
2019-09-13,9.38,9.65,9.38,9.65,3400,0,0
2019-09-16,9.7,9.74,9.42,9.43,11800,0,0
2019-09-17,9.65,9.7,9.52,9.66,20200,0,0
2019-09-18,9.45,9.45,9.45,9.45,400,0,0
2019-09-19,9.48,9.9,9.48,9.78,17700,0,0
2019-09-20,9.8,9.84,9.74,9.84,8900,0,0
2019-09-23,9.77,9.77,9.77,9.77,600,0,0
2019-09-24,9.71,9.9,9.71,9.77,8100,0,0
2019-09-25,9.71,9.71,9.71,9.71,200,0,0
2019-09-26,9.71,9.71,9.71,9.71,100,0,0
2019-09-27,9.71,9.71,9.71,9.71,100,0,0
2019-09-30,9.64,9.64,9.64,9.64,200,0,0
2019-10-01,9.64,9.64,9.64,9.64,0,0,0
2019-10-02,9.64,9.64,9.64,9.64,300,0,0
2019-10-03,9.64,9.64,9.64,9.64,100,0,0
2019-10-04,9.6,9.6,9.6,9.6,400,0,0
2019-10-07,9.69,9.69,9.62,9.62,400,0,0
2019-10-08,9.75,9.9,9.75,9.88,3800,0,0
2019-10-09,9.87,9.87,9.76,9.87,2700,0,0
2019-10-10,9.62,9.8,9.62,9.8,1100,0,0
2019-10-11,9.8,9.8,9.8,9.8,1400,0,0
2019-10-14,9.7,9.71,9.7,9.7,3200,0,0
2019-10-15,9.7,9.7,9.7,9.7,100,0,0
2019-10-16,9.7,9.7,9.7,9.7,100,0,0
2019-10-17,9.8,9.8,9.8,9.8,200,0,0
2019-10-18,9.8,9.8,9.8,9.8,0,0,0
2019-10-21,9.53,9.53,9.53,9.53,600,0,0
2019-10-22,9.61,9.61,9.61,9.61,500,0,0
2019-10-23,9.61,9.61,9.61,9.61,0,0,0
2019-10-24,9.61,9.61,9.61,9.61,0,0,0
