Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-05-22,2.08,2.08,2.08,2.08,5500,0.0,0.0
2000-05-23,2.08,2.08,2.08,2.08,0,0.0,0.0
2000-05-24,2.08,2.08,2.08,2.08,0,0.0,0.0
2000-05-25,2.08,2.08,2.08,2.08,0,0.0,0.0
2000-05-26,2.03,2.03,2.03,2.03,2400,0.0,0.0
2000-05-30,2.03,2.05,2.03,2.05,4000,0.0,0.0
2000-05-31,2.05,2.05,2.05,2.05,0,0.0,0.0
2000-06-01,2.05,2.05,2.05,2.05,0,0.0,0.0
2000-06-02,2.05,2.05,2.05,2.05,0,0.0,0.0
2000-06-05,2.03,2.03,2.03,2.03,2000,0.0,0.0
2000-06-06,2.03,2.03,2.03,2.03,0,0.0,0.0
2000-06-07,2.03,2.03,2.03,2.03,0,0.0,0.0
2000-06-08,2.05,2.08,2.03,2.08,2400,0.0,0.0
2000-06-09,2.08,2.08,2.08,2.08,0,0.0,0.0
2000-06-12,2.08,2.08,2.08,2.08,0,0.0,0.0
2000-06-13,2.08,2.08,2.08,2.08,0,0.0,0.0
2000-06-14,2.08,2.08,2.08,2.08,4000,0.0,0.0
2000-06-15,2.08,2.11,2.08,2.11,8100,0.0,0.0
2000-06-16,2.08,2.11,2.08,2.11,12200,0.0,0.0
2000-06-19,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-06-20,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-06-21,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-06-22,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-06-23,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-06-26,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-06-27,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-06-28,2.16,2.16,2.16,2.16,1200,0.0,0.0
2000-06-29,2.16,2.16,2.16,2.16,0,0.0,0.0
2000-06-30,2.16,2.16,2.16,2.16,0,0.0,0.0
2000-07-03,2.12,2.12,2.12,2.12,800,0.0,0.0
2000-07-05,2.12,2.12,2.12,2.12,0,0.0,0.0
2000-07-06,2.16,2.16,2.16,2.16,2000,0.0,0.0
2000-07-07,2.16,2.16,2.16,2.16,0,0.0,0.0
2000-07-10,2.16,2.16,2.11,2.11,5100,0.0,0.0
2000-07-11,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-07-12,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-07-13,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-07-14,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-07-17,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-07-18,2.11,2.11,2.11,2.11,0,0.0,0.0
2000-07-19,2.18,2.18,2.18,2.18,800,0.0,0.0
2000-07-20,2.23,2.23,2.23,2.23,1200,0.0,0.0
2000-07-21,2.23,2.23,2.23,2.23,0,0.0,0.0
2000-07-24,2.19,2.19,2.19,2.19,8100,0.0,0.0
2000-07-25,2.21,2.21,2.18,2.19,5300,0.0,0.0
2000-07-26,2.19,2.19,2.19,2.19,0,0.0,0.0
2000-07-27,2.19,2.19,2.19,2.19,0,0.0,0.0
2000-07-28,2.19,2.19,2.19,2.19,0,0.0,0.0
2000-07-31,2.23,2.23,2.23,2.23,4500,0.0,0.0
2000-08-01,2.23,2.23,2.23,2.23,0,0.0,0.0
2000-08-02,2.11,2.11,2.11,2.11,2800,0.0,0.0
