Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-23,13.37,13.75,11.5,12.0,988500,0,0
2019-05-24,12.03,13.19,11.87,13.05,179600,0,0
2019-05-28,13.15,13.15,12.03,12.28,74200,0,0
2019-05-29,12.27,12.75,12.05,12.34,128000,0,0
2019-05-30,12.44,12.7,11.51,11.93,136400,0,0
2019-05-31,11.9,12.0,10.77,11.69,191200,0,0
2019-06-03,11.5,11.98,10.6,11.2,108600,0,0
2019-06-04,11.21,12.03,11.21,11.7,66100,0,0
2019-06-05,11.7,11.98,10.91,11.32,49100,0,0
2019-06-06,11.17,11.9,11.16,11.6,57700,0,0
2019-06-07,11.6,11.91,11.27,11.75,17100,0,0
2019-06-10,12.2,12.28,11.8,11.9,22500,0,0
2019-06-11,12.0,12.42,11.3,11.9,95400,0,0
2019-06-12,11.46,12.11,11.46,11.93,60000,0,0
2019-06-13,11.95,12.4,11.95,12.4,44100,0,0
2019-06-14,12.4,13.2,12.4,13.1,65700,0,0
2019-06-17,13.2,13.4,12.6,13.24,154400,0,0
2019-06-18,13.38,14.91,13.28,14.57,155200,0,0
2019-06-19,14.8,14.8,14.1,14.63,31900,0,0
2019-06-20,14.89,14.89,14.0,14.19,75900,0,0
2019-06-21,14.15,14.15,11.14,11.64,141900,0,0
2019-06-24,11.71,12.27,11.28,11.37,27200,0,0
2019-06-25,11.3,11.7,10.5,10.65,27800,0,0
2019-06-26,10.7,10.73,10.01,10.48,16800,0,0
2019-06-27,10.41,10.5,10.18,10.31,11600,0,0
2019-06-28,10.45,10.47,9.82,10.06,23700,0,0
2019-07-01,11.0,11.0,9.0,9.9,61500,0,0
2019-07-02,9.9,10.47,9.16,9.75,44400,0,0
2019-07-03,9.66,9.99,8.99,9.11,51200,0,0
2019-07-05,9.21,9.85,8.51,9.0,20400,0,0
2019-07-08,9.0,9.65,8.81,8.91,29700,0,0
2019-07-09,9.2,9.6,8.91,9.0,19200,0,0
2019-07-10,9.05,9.17,8.92,9.0,9400,0,0
2019-07-11,9.15,9.25,8.56,8.64,15600,0,0
2019-07-12,8.69,8.85,7.77,7.79,32500,0,0
2019-07-15,7.91,8.31,7.91,8.26,16100,0,0
2019-07-16,8.27,9.55,7.56,8.77,25500,0,0
2019-07-17,8.99,9.5,8.9,8.98,28900,0,0
2019-07-18,9.25,9.25,8.8,9.0,13900,0,0
2019-07-19,9.1,9.15,8.98,9.15,2100,0,0
2019-07-22,9.22,9.22,8.94,8.94,3700,0,0
2019-07-23,8.93,9.05,8.24,8.52,14000,0,0
2019-07-24,8.13,8.94,8.13,8.41,26700,0,0
2019-07-25,8.43,9.0,8.36,9.0,6200,0,0
2019-07-26,8.99,9.23,8.21,8.45,12600,0,0
2019-07-29,8.73,8.85,8.4,8.79,4100,0,0
2019-07-30,8.43,8.43,8.1,8.1,2200,0,0
2019-07-31,8.16,8.82,8.14,8.26,4300,0,0
2019-08-01,8.72,8.8,8.2,8.38,1900,0,0
2019-08-02,8.2,8.33,8.0,8.0,4800,0,0
2019-08-05,8.0,8.16,7.64,8.0,49900,0,0
2019-08-06,8.0,8.01,7.36,7.36,16900,0,0
2019-08-07,7.45,7.97,7.26,7.26,15400,0,0
2019-08-08,7.32,7.73,7.26,7.49,3600,0,0
2019-08-09,7.47,7.69,7.4,7.69,1800,0,0
2019-08-12,7.29,7.55,7.29,7.5,10100,0,0
2019-08-13,7.62,7.96,7.25,7.65,12600,0,0
2019-08-14,7.5,7.65,6.9,6.9,32400,0,0
2019-08-15,7.5,8.3,7.41,7.53,26100,0,0
2019-08-16,8.09,8.09,7.24,7.67,5100,0,0
2019-08-19,7.56,7.8,7.49,7.8,5700,0,0
2019-08-20,7.63,7.63,7.63,7.63,700,0,0
2019-08-21,7.78,7.78,7.08,7.2,9400,0,0
2019-08-22,7.2,7.4,6.9,7.0,15100,0,0
2019-08-23,7.12,7.41,7.0,7.03,9500,0,0
2019-08-26,7.01,8.97,7.01,7.69,23800,0,0
2019-08-27,7.99,8.15,6.95,6.95,30900,0,0
2019-08-28,7.25,7.41,6.24,6.74,31000,0,0
2019-08-29,7.0,7.35,6.7,7.29,4100,0,0
