Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-19,18.0,18.65,17.68,17.7,1584100,0,0
2008-03-20,17.7,18.06,17.7,18.02,142100,0,0
2008-03-24,18.1,18.1,17.74,18.06,72000,0,0
2008-03-25,17.8,18.0,17.22,17.55,137600,0,0
2008-03-26,17.7,17.86,17.5,17.59,44100,0,0
2008-03-27,17.5,17.8,17.4,17.5,34300,0,0
2008-03-28,17.77,18.25,17.47,18.05,39500,0,0
2008-03-31,18.66,18.68,17.65,17.99,25900,0,0
2008-04-01,18.0,18.38,17.66,18.25,98000,0,0
2008-04-02,18.0,18.38,17.75,18.29,39600,0,0
2008-04-03,18.19,18.25,17.94,18.25,50900,0,0
2008-04-04,18.05,18.44,18.05,18.4,31200,0,0
2008-04-07,18.5,19.35,18.31,19.12,45900,0,0
2008-04-08,18.79,19.9,18.79,19.85,141400,0,0
2008-04-09,19.75,19.81,19.25,19.81,30200,0,0
2008-04-10,19.44,19.8,19.11,19.8,17500,0,0
2008-04-11,19.72,20.0,19.7,19.81,43800,0,0
2008-04-14,20.0,20.0,19.25,19.75,28700,0,0
2008-04-15,19.75,20.62,19.75,20.0,68100,0,0
2008-04-16,19.9,20.49,19.9,20.0,108900,0,0
2008-04-17,19.85,20.47,19.79,19.92,90300,0,0
2008-04-18,20.12,20.5,19.62,20.0,55400,0,0
2008-04-21,19.8,20.4,19.8,20.0,59200,0,0
2008-04-22,18.02,20.13,17.01,19.96,76000,0,0
2008-04-23,19.9,20.19,19.42,19.98,83400,0,0
2008-04-24,19.9,20.1,19.79,20.01,18100,0,0
2008-04-25,20.15,21.5,19.85,21.5,14600,0,0
2008-04-28,21.62,24.45,21.25,23.15,140800,0,0
2008-04-29,23.96,24.2,21.5,22.44,99800,0,0
2008-04-30,22.99,23.5,21.5,23.1,190000,0,0
2008-05-01,22.78,23.24,21.8,22.85,33000,0,0
2008-05-02,23.24,23.24,22.57,23.0,41700,0,0
2008-05-05,23.16,23.17,22.84,23.03,43600,0,0
2008-05-06,22.7,24.34,22.56,24.04,40200,0,0
2008-05-07,24.23,24.23,23.57,24.0,67500,0,0
2008-05-08,24.04,24.89,23.6,24.0,191900,0,0
2008-05-09,23.64,24.0,23.22,23.66,81200,0,0
2008-05-12,25.74,25.74,24.11,24.95,237300,0,0
2008-05-13,25.0,25.25,24.57,24.93,69600,0,0
2008-05-14,24.01,24.58,24.01,24.25,84000,0,0
2008-05-15,24.43,24.97,24.0,24.27,174600,0,0
2008-05-16,24.15,24.39,23.86,24.12,63900,0,0
2008-05-19,24.28,24.5,23.87,24.05,54000,0,0
2008-05-20,24.0,24.0,23.17,23.18,29500,0,0
2008-05-21,23.07,23.99,22.56,22.71,127400,0,0
2008-05-22,22.67,23.9,22.67,23.0,80100,0,0
2008-05-23,23.92,23.92,23.0,23.18,16000,0,0
2008-05-27,23.1,24.65,22.92,24.31,46900,0,0
