Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-09-23,9.67,10.93,9.5,10.66,13321300,0,0.0
2004-09-24,10.54,10.67,10.43,10.63,1075000,0,0.0
2004-09-27,10.53,10.67,10.52,10.53,576000,0,0.0
2004-09-28,10.53,11.0,10.53,10.63,1054300,0,0.0
2004-09-29,10.57,10.97,10.57,10.91,1097500,0,0.0
2004-09-30,10.87,11.0,10.71,10.93,566800,0,0.0
2004-10-01,10.83,11.0,10.7,10.97,553800,0,0.0
2004-10-04,11.0,11.0,10.5,10.83,412300,0,0.0
2004-10-05,10.73,10.83,10.6,10.67,408900,0,0.0
2004-10-06,10.6,10.83,10.6,10.69,44100,0,0.0
2004-10-07,10.8,10.88,10.7,10.8,263400,0,0.0
2004-10-08,10.87,11.45,10.73,11.32,966700,0,0.0
2004-10-11,11.39,11.53,11.22,11.53,214300,0,0.0
2004-10-12,11.33,11.63,11.27,11.59,252000,0,0.0
2004-10-13,11.54,11.58,11.33,11.39,297600,0,0.0
2004-10-14,11.53,11.53,11.32,11.33,334200,0,0.0
2004-10-15,11.3,11.45,11.3,11.45,287100,0,0.0
2004-10-18,11.47,11.5,11.3,11.45,64600,0,0.0
2004-10-19,11.33,11.55,11.33,11.46,156100,0,0.0
2004-10-20,11.37,11.37,11.27,11.33,380700,0,0.0
2004-10-21,11.33,11.67,11.27,11.56,437500,0,0.0
2004-10-22,11.63,11.63,11.46,11.55,104100,0,0.0
2004-10-25,11.57,11.58,11.33,11.58,107800,0,0.0
2004-10-26,11.6,12.29,11.6,12.17,486900,0,0.0
2004-10-27,12.17,12.3,12.0,12.3,202000,0,0.0
2004-10-28,12.3,12.67,11.88,12.43,179500,0,0.0
2004-10-29,12.57,12.67,12.4,12.5,187600,0,0.0
2004-11-01,12.33,12.49,11.87,12.13,235300,0,0.0
2004-11-02,12.07,12.07,11.84,11.91,121600,0,0.0
2004-11-03,12.0,12.13,11.7,11.87,268000,0,0.0
2004-11-04,11.96,12.0,11.67,11.85,33400,0,0.0
2004-11-05,12.03,12.03,11.45,11.85,62700,0,0.0
2004-11-08,11.81,12.01,11.67,12.0,37900,0,0.0
2004-11-09,11.8,12.37,11.8,12.2,143800,0,0.0
