Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,10.69,12.39,10.98,11.27,300,0.0,0
2000-01-04,10.82,10.9,10.82,10.94,100,0.0,0
2000-01-05,10.94,10.63,10.63,10.77,500,0.0,0
2000-01-06,10.86,10.86,10.86,10.86,0,0.0,0
2000-01-07,10.86,10.36,10.36,10.36,0,0.0,0
2000-01-10,10.77,10.77,10.77,10.36,75,0.0,0
2000-01-11,10.77,10.94,10.73,10.9,800,0.0,0
2000-01-12,10.69,10.69,10.65,10.53,100,0.0,0
2000-01-13,10.36,11.19,11.19,11.6,200,0.0,0
2000-01-14,11.6,11.44,11.44,11.42,100,0.0,0
2000-01-18,11.15,11.44,11.11,10.77,200,0.0,0
2000-01-19,11.19,12.02,11.19,12.02,200,0.0,0
2000-01-20,12.02,13.59,13.1,13.1,1100,0.0,0
2000-01-21,13.76,13.76,13.1,13.1,500,0.0,0
2000-01-24,12.85,13.1,13.1,13.1,70,0.0,0
2000-01-25,11.6,12.6,11.6,12.6,300,0.0,0
2000-01-26,12.43,12.85,12.31,12.27,900,0.0,0
2000-01-27,12.02,12.85,12.43,12.43,100,0.0,0
2000-01-28,12.43,12.43,12.43,12.27,100,0.0,0
2000-01-31,12.1,13.43,12.1,13.26,500,0.0,0
2000-02-01,13.26,13.76,13.68,13.26,200,0.0,0
2000-02-02,13.84,13.84,13.26,12.85,1200,0.0,0
2000-02-03,12.43,13.18,12.51,12.68,700,0.0,0
2000-02-04,12.43,12.43,12.43,12.43,0,0.0,0
2000-02-07,12.43,12.85,12.85,12.85,70,0.0,0
2000-02-08,12.85,12.85,12.85,13.26,100,0.0,0
2000-02-09,13.26,13.26,13.26,13.26,0,0.0,0
2000-02-10,12.76,13.26,13.1,13.26,300,0.0,0
2000-02-11,13.01,13.34,13.01,13.26,300,0.0,0
2000-02-14,13.26,13.51,13.18,13.26,200,0.0,0
2000-02-15,13.68,15.75,13.68,14.92,3300,0.0,0
2000-02-16,14.92,15.08,14.67,14.5,500,0.0,0
2000-02-17,14.5,14.5,14.5,14.26,100,0.0,0
2000-02-18,14.09,14.09,14.09,14.09,0,0.0,0
2000-02-22,13.68,14.09,13.68,13.68,100,0.0,0
2000-02-23,13.68,13.76,13.76,14.01,100,0.0,0
2000-02-24,14.09,14.09,14.09,14.09,50,0.0,0
2000-02-25,14.09,14.67,13.84,13.68,600,0.0,0
2000-02-28,13.68,13.92,13.26,13.59,300,0.0,0
2000-02-29,14.5,14.88,14.5,14.75,400,0.0,0
2000-03-01,15.33,16.41,15.33,15.75,1100,0.0,0
2000-03-02,15.75,15.75,15.5,15.08,300,0.0,0
2000-03-03,15.33,14.92,14.92,14.92,300,0.0,0
2000-03-06,15.33,15.33,15.25,15.25,200,0.0,0
2000-03-07,15.33,13.68,13.68,13.68,50,0.0,0
2000-03-08,13.59,14.01,14.01,13.68,70,0.0,0
2000-03-09,14.09,14.75,14.5,14.75,100,0.0,0
