Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-18,23.26,23.26,23.26,23.26,1290500,0.0,0
2019-03-19,23.49,23.59,23.45,23.55,1880800,0.0,0
2019-03-20,23.58,23.68,23.52,23.66,1193000,0.0,0
2019-03-21,23.58,23.82,23.58,23.78,952400,0.0,0
2019-03-22,23.69,23.92,23.68,23.73,609800,0.0,0
2019-03-25,23.82,23.87,23.68,23.82,386600,0.0,0
2019-03-26,23.82,23.96,23.78,23.92,675600,0.0,0
2019-03-27,23.92,24.9,23.84,24.62,1848200,0.0,0
2019-03-28,24.49,24.72,24.4,24.44,316200,0.0,0
2019-03-29,24.48,24.58,24.15,24.15,232600,0.0,0
2019-04-01,24.34,24.43,24.25,24.32,83200,0.0,0
2019-04-02,24.39,24.52,24.22,24.34,191100,0.0,0
2019-04-03,24.2,24.42,24.18,24.26,269900,0.0,0
2019-04-04,24.27,24.48,24.23,24.23,129700,0.0,0
2019-04-05,24.32,24.39,24.26,24.29,185600,0.0,0
2019-04-08,24.35,24.39,24.26,24.39,331400,0.0,0
2019-04-09,24.38,24.39,24.25,24.3,136000,0.0,0
2019-04-10,24.33,24.43,24.28,24.43,159800,0.0,0
2019-04-11,24.3,24.43,24.3,24.34,214700,0.0,0
2019-04-12,24.37,24.55,24.29,24.52,128000,0.0,0
2019-04-15,24.45,24.63,24.45,24.54,98700,0.0,0
2019-04-16,24.61,24.65,24.45,24.48,198100,0.0,0
2019-04-17,24.53,24.6,24.45,24.59,96100,0.0,0
2019-04-18,24.49,24.77,24.45,24.53,258400,0.0,0
2019-04-22,24.57,24.59,24.45,24.54,212100,0.0,0
2019-04-23,24.55,24.61,24.49,24.54,44700,0.0,0
2019-04-24,24.56,24.59,24.51,24.53,50900,0.0,0
2019-04-25,24.54,24.66,24.48,24.64,87300,0.0,0
2019-04-26,24.63,24.91,24.61,24.91,192300,0.0,0
2019-04-29,24.95,25.07,24.89,24.98,188900,0.0,0
2019-04-30,24.99,25.14,24.82,24.82,338800,0.0,0
2019-05-01,24.85,24.95,24.82,24.95,237400,0.0,0
2019-05-02,24.85,24.97,24.85,24.92,53500,0.0,0
2019-05-03,24.96,25.0,24.91,24.94,38300,0.0,0
2019-05-06,24.91,25.03,24.83,24.97,26200,0.0,0
2019-05-07,24.91,24.97,24.82,24.91,34600,0.0,0
2019-05-08,24.88,24.91,24.81,24.88,72500,0.0,0
2019-05-09,24.91,24.95,24.73,24.85,90400,0.0,0
2019-05-10,24.84,24.92,24.8,24.89,23700,0.0,0
2019-05-13,24.89,24.89,24.57,24.78,67400,0.0,0
2019-05-14,24.79,24.91,24.76,24.9,29400,0.0,0
2019-05-15,24.76,25.11,24.76,25.1,55300,0.0,0
2019-05-16,25.12,25.19,25.07,25.07,60100,0.0,0
2019-05-17,25.03,25.19,25.02,25.15,26500,0.0,0
2019-05-20,25.02,25.22,25.01,25.01,66100,0.0,0
2019-05-21,25.04,25.1,24.91,25.0,85400,0.0,0
2019-05-22,25.07,25.11,24.97,25.03,40500,0.0,0
2019-05-23,24.99,25.14,24.99,25.07,37000,0.0,0
2019-05-24,25.07,25.14,25.05,25.12,54500,0.0,0
2019-05-28,25.14,25.29,25.1,25.25,49400,0.0,0
2019-05-29,25.24,25.31,25.21,25.31,82700,0.0,0
2019-05-30,25.33,25.51,25.33,25.51,30200,0.0,0
2019-05-31,25.29,25.46,25.17,25.17,244500,0.0,0
2019-06-03,25.14,25.31,25.14,25.26,21700,0.0,0
2019-06-04,25.29,25.45,25.27,25.43,156300,0.0,0
2019-06-05,25.45,25.46,25.23,25.3,95000,0.0,0
2019-06-06,25.24,25.36,25.22,25.28,43800,0.0,0
2019-06-07,25.36,25.43,25.24,25.43,56000,0.413,0
2019-06-10,25.38,25.53,25.38,25.51,163800,0.0,0
2019-06-11,25.59,25.61,25.44,25.49,65500,0.0,0
2019-06-12,25.47,25.57,25.46,25.56,99900,0.0,0
2019-06-13,25.53,25.68,25.53,25.68,297000,0.0,0
2019-06-14,25.62,25.7,25.61,25.65,88900,0.0,0
2019-06-17,25.6,25.85,25.6,25.78,214500,0.0,0
2019-06-18,25.77,25.77,25.43,25.52,561100,0.0,0
2019-06-19,25.52,25.61,25.47,25.58,70800,0.0,0
2019-06-20,25.65,25.65,25.47,25.52,78400,0.0,0
2019-06-21,25.52,25.57,25.41,25.41,41400,0.0,0
2019-06-24,25.48,25.55,25.2,25.27,66000,0.0,0
2019-06-25,25.21,25.29,24.56,24.85,426700,0.0,0
2019-06-26,24.88,25.0,24.83,24.97,102000,0.0,0
2019-06-27,24.97,25.13,24.97,25.07,91500,0.0,0
2019-06-28,25.06,25.41,25.06,25.41,258000,0.0,0
2019-07-01,25.14,25.31,25.14,25.23,31200,0.0,0
2019-07-02,25.14,25.28,25.11,25.25,56200,0.0,0
2019-07-03,25.3,25.4,25.2,25.39,37700,0.0,0
2019-07-05,25.36,25.44,25.33,25.44,11700,0.0,0
2019-07-08,25.39,25.47,25.39,25.44,32100,0.0,0
2019-07-09,25.39,25.55,25.39,25.55,37900,0.0,0
2019-07-10,25.42,25.55,25.42,25.47,29600,0.0,0
2019-07-11,25.45,25.56,25.45,25.56,15800,0.0,0
2019-07-12,25.47,25.63,25.47,25.63,4000,0.0,0
2019-07-15,25.61,25.78,25.57,25.64,40500,0.0,0
2019-07-16,25.6,25.72,25.44,25.5,68100,0.0,0
2019-07-17,25.6,25.68,25.53,25.64,44100,0.0,0
2019-07-18,25.52,25.71,25.52,25.71,32500,0.0,0
2019-07-19,25.64,25.68,25.57,25.68,28800,0.0,0
2019-07-22,25.64,25.77,25.6,25.77,41400,0.0,0
2019-07-23,25.73,25.78,25.7,25.77,27200,0.0,0
2019-07-24,25.75,25.85,25.63,25.77,68400,0.0,0
2019-07-25,25.71,25.85,25.7,25.79,59000,0.0,0
2019-07-26,25.85,25.86,25.74,25.82,31500,0.0,0
2019-07-29,25.84,25.87,25.67,25.78,31200,0.0,0
2019-07-30,25.75,25.92,25.75,25.85,70500,0.0,0
2019-07-31,25.84,26.02,25.81,26.0,166200,0.0,0
2019-08-01,25.95,26.09,25.58,25.68,54200,0.0,0
2019-08-02,25.63,25.81,25.56,25.74,26500,0.0,0
2019-08-05,25.55,25.55,25.25,25.47,26000,0.0,0
2019-08-06,25.27,25.68,25.27,25.63,38800,0.0,0
2019-08-07,25.4,25.67,25.4,25.63,27200,0.0,0
2019-08-08,25.54,25.77,25.54,25.75,24400,0.0,0
2019-08-09,25.78,25.9,25.76,25.83,28900,0.0,0
2019-08-12,25.79,25.89,25.77,25.85,56200,0.0,0
2019-08-13,25.67,25.94,25.67,25.88,42900,0.0,0
2019-08-14,25.86,25.96,25.72,25.96,58900,0.0,0
2019-08-15,25.91,25.99,25.91,25.99,41600,0.0,0
2019-08-16,25.98,26.08,25.95,25.98,30200,0.0,0
2019-08-19,25.95,26.1,25.85,26.05,46600,0.0,0
2019-08-20,25.87,26.05,25.87,25.96,79200,0.0,0
2019-08-21,25.93,26.24,25.93,26.18,65900,0.0,0
2019-08-22,26.04,26.23,26.04,26.2,48000,0.0,0
2019-08-23,26.19,26.23,26.1,26.2,38700,0.0,0
2019-08-26,26.18,26.2,26.11,26.16,26200,0.0,0
2019-08-27,26.17,26.24,26.02,26.1,44700,0.0,0
