Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-05-06,37.375,37.5,37.375,37.5,93,0,0.0
2014-05-07,37.5,37.5,37.5,37.5,0,0,0.0
2014-05-08,37.5,37.5,37.5,37.5,0,0,0.0
2014-05-09,36.25,36.25,12.675,36.25,109,0,0.0
2014-05-12,23.75,36.25,23.75,36.25,43,0,0.0
2014-05-13,36.25,36.25,36.25,36.25,2,0,0.0
2014-05-14,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-15,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-16,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-19,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-20,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-21,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-22,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-23,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-27,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-28,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-29,36.25,36.25,36.25,36.25,0,0,0.0
2014-05-30,36.25,36.25,36.25,36.25,0,0,0.0
2014-06-02,36.25,36.25,36.25,36.25,0,0,0.0
2014-06-03,36.25,36.25,36.25,36.25,0,0,0.0
2014-06-04,36.25,36.25,36.25,36.25,0,0,0.0
2014-06-05,36.25,36.25,36.25,36.25,0,0,0.0
2014-06-06,35.0,35.0,35.0,35.0,3,0,0.0
2014-06-09,35.0,36.25,18.75,18.75,38,0,0.0
2014-06-10,18.75,18.75,18.75,18.75,0,0,0.0
2014-06-11,57.5,57.5,57.5,57.5,0,0,0.0
2014-06-12,31.25,32.5,31.25,31.25,86,0,0.0
2014-06-13,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-16,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-17,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-18,31.25,31.25,31.25,31.25,15,0,0.0
2014-06-19,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-20,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-23,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-24,31.25,36.25,31.25,31.25,47,0,0.0
2014-06-25,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-26,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-27,31.25,31.25,31.25,31.25,0,0,0.0
2014-06-30,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-01,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-02,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-03,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-07,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-08,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-09,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-10,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-11,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-14,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-15,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-16,31.25,31.25,31.25,31.25,0,0,0.0
2014-07-17,68.75,68.75,25.0,25.0,16,0,0.0
2014-07-18,25.0,25.0,25.0,25.0,0,0,0.0
2014-07-21,25.0,25.0,25.0,25.0,0,0,0.0
2014-07-22,25.0,25.0,25.0,25.0,136,0,0.0
2014-07-23,25.0,25.0,25.0,25.0,0,0,0.0
2014-07-24,25.0,25.0,25.0,25.0,0,0,0.0
2014-07-25,25.0,25.0,25.0,25.0,0,0,0.0
2014-07-28,25.0,25.0,25.0,25.0,0,0,0.0
2014-07-29,25.0,25.0,25.0,25.0,0,0,0.0
2014-07-30,25.0,25.0,25.0,25.0,0,0,0.0
2014-07-31,25.0,25.0,25.0,25.0,0,0,0.0
2014-08-01,25.0,25.0,25.0,25.0,0,0,0.0
2014-08-04,25.0,25.0,25.0,25.0,0,0,0.0
2014-08-05,25.0,25.0,25.0,25.0,0,0,0.0
2014-08-06,25.0,25.0,25.0,25.0,0,0,0.0
2014-08-07,25.0,25.0,25.0,25.0,0,0,0.0
2014-08-08,30.0,30.0,30.0,30.0,200,0,0.0
2014-08-11,58.75,58.75,58.125,58.125,14,0,0.0
2014-08-12,60.0,60.0,26.25,26.25,186,0,0.0
2014-08-13,26.25,26.25,26.25,26.25,4,0,0.0
2014-08-14,26.25,26.25,26.25,26.25,0,0,0.0
2014-08-15,26.25,26.25,26.25,26.25,0,0,0.0
2014-08-18,26.25,26.25,26.25,26.25,0,0,0.0
2014-08-19,26.25,26.25,26.25,26.25,0,0,0.0
2014-08-20,25.0,25.0,25.0,25.0,4,0,0.0
2014-08-21,25.0,25.0,25.0,25.0,0,0,0.0
2014-08-22,25.0,25.0,25.0,25.0,0,0,0.0
2014-08-25,37.5,37.5,37.5,37.5,1,0,0.0
2014-08-26,37.5,37.5,37.5,37.5,198,0,0.0
2014-08-27,37.5,37.5,37.5,37.5,0,0,0.0
2014-08-28,37.5,37.5,37.5,37.5,0,0,0.0
2014-08-29,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-02,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-03,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-04,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-05,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-08,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-09,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-10,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-11,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-12,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-15,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-16,37.5,37.5,37.5,37.5,2,0,0.0
2014-09-17,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-18,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-19,37.5,37.5,37.5,37.5,20,0,0.0
2014-09-22,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-23,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-24,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-25,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-26,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-29,37.5,37.5,37.5,37.5,0,0,0.0
2014-09-30,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-01,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-02,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-03,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-06,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-07,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-08,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-09,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-10,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-13,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-14,37.5,37.5,37.5,37.5,0,0,0.0
2014-10-15,43.75,43.75,43.75,43.75,8,0,0.0
