Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-06-27,3.5685,3.5924,3.3649,3.4847,0,0.0,0
2007-06-28,3.4966,3.5613,3.4727,3.5326,531900,0.0,0
2007-06-29,3.5326,3.5805,3.4847,3.5326,396100,0.0,0
2007-07-02,3.5206,3.5589,3.5206,3.5445,142200,0.0,0
2007-07-03,3.5206,3.5805,3.5206,3.5685,91300,0.0,0
2007-07-05,3.8295,3.8295,3.5326,3.626,165800,0.0,0
2007-07-06,3.6523,3.6523,3.5326,3.59,71100,0.0,0
2007-07-09,3.5805,3.5924,3.5445,3.59,62400,0.0,0
2007-07-10,3.5805,3.614,3.5541,3.5924,136800,0.0,0
2007-07-11,3.59,3.5924,3.5589,3.5924,251900,0.0,0
2007-07-12,3.5924,3.6164,3.5685,3.5948,127000,0.0,0
2007-07-13,3.5685,3.6164,3.5685,3.5828,80700,0.0,0
2007-07-16,3.5805,3.6284,3.5685,3.59,112200,0.0,0
2007-07-17,3.5709,3.5924,3.5685,3.5924,80400,0.0,0
2007-07-18,3.59,3.6044,3.4799,3.5541,205100,0.0,0
2007-07-19,3.5445,3.5613,3.4966,3.5326,142300,0.0,0
2007-07-20,3.5349,3.5445,3.499,3.5086,143900,0.0,0
2007-07-23,3.5182,3.5254,3.4966,3.5206,49600,0.0,0
2007-07-24,3.4751,3.5254,3.4487,3.5206,121000,0.0,0
2007-07-25,3.4607,3.523,3.4272,3.5206,75200,0.0,0
2007-07-26,3.4368,3.4368,2.9817,3.226,355300,0.0,0
2007-07-27,3.1542,3.2332,2.9937,3.1398,188300,0.0,0
2007-07-30,3.1542,3.3481,3.1278,3.1757,145100,0.0,0
2007-07-31,3.0823,3.2044,3.0248,3.1518,198000,0.0,0
2007-08-01,3.0895,3.1422,3.0368,3.111,240800,0.0,0
2007-08-02,3.0895,3.1565,3.0488,3.1015,161600,0.0,0
2007-08-03,3.0679,3.0895,3.0296,3.0631,126300,0.0,0
2007-08-06,3.0488,3.1422,2.9626,3.1158,495200,0.0,0
2007-08-07,3.0368,3.044,2.9697,3.02,83300,0.0,0
2007-08-08,3.0176,3.111,3.0176,3.0655,89700,0.0,0
2007-08-09,2.9937,3.1374,2.9937,3.0847,165500,0.0,0
2007-08-10,2.9386,3.0871,2.9386,3.0416,107400,0.0,0
2007-08-13,3.0536,3.1134,3.0536,3.0943,79000,0.0,0
2007-08-14,3.0943,3.1134,3.0847,3.1134,84100,0.0,0
2007-08-15,3.056,3.1134,3.0176,3.0536,197100,0.0,0
2007-08-16,2.9482,3.1134,2.8739,3.032,225600,0.0,0
2007-08-17,3.1134,3.2092,2.9937,3.1039,218500,0.0,0
2007-08-20,3.1422,3.3529,3.1015,3.3529,199200,0.0,0
2007-08-21,3.3529,3.4272,3.1853,3.2955,157900,0.0,0
2007-08-22,3.3505,3.4368,3.305,3.3649,200900,0.0,0
2007-08-23,3.3889,3.4727,3.2955,3.4224,220100,0.0,0
2007-08-24,3.3865,3.4727,3.2931,3.3817,222000,0.0,0
2007-08-27,3.4104,3.4703,3.3074,3.408,207300,0.0,0
2007-08-28,3.3625,3.3865,3.329,3.3505,125200,0.0,0
2007-08-29,3.3098,3.4535,3.2835,3.4487,30900,0.0,0
2007-08-30,3.42,3.4942,3.42,3.4942,38400,0.0,0
2007-08-31,3.4966,3.5086,3.3074,3.4727,42600,0.0,0
2007-09-04,3.487,3.5086,3.4128,3.4535,50200,0.0,0
2007-09-05,3.408,3.5086,3.3841,3.4391,38900,0.0,0
2007-09-06,3.4272,3.5038,3.3865,3.4679,76400,0.0,0
2007-09-07,3.4966,3.5469,3.4152,3.4487,106000,0.0,0
2007-09-10,3.5373,3.5373,3.4008,3.4511,125200,0.0,0
2007-09-11,3.4942,3.4942,3.4056,3.4631,82700,0.0,0
2007-09-12,3.5248,3.5272,3.4384,3.5248,74700,0.42,0
2007-09-13,3.5272,3.5766,3.5272,3.5519,59100,0.0,0
2007-09-14,3.5346,3.5346,3.5124,3.5223,34800,0.0,0
2007-09-17,3.5075,3.6604,3.4976,3.5914,60800,0.0,0
2007-09-18,3.621,3.621,3.5297,3.6111,110200,0.0,0
2007-09-19,3.6259,3.6678,3.51,3.5766,106200,0.0,0
2007-09-20,3.5766,3.5766,3.468,3.5124,87500,0.0,0
2007-09-21,3.5272,3.6999,3.5026,3.6999,54700,0.0,0
2007-09-24,3.6974,3.6974,3.579,3.584,28500,0.0,0
2007-09-25,3.5815,3.6086,3.5544,3.5618,71900,0.0,0
2007-09-26,3.5741,3.6974,3.5519,3.6777,74900,0.0,0
2007-09-27,3.6826,3.8849,3.6432,3.8676,395500,0.0,0
2007-09-28,3.8602,3.8602,3.5766,3.5766,676200,0.0,0
2007-10-01,3.5988,3.6851,3.5149,3.5914,159700,0.0,0
2007-10-02,3.6062,3.7295,3.5741,3.7073,103600,0.0,0
2007-10-03,3.6851,3.7517,3.6185,3.6851,150800,0.0,0
2007-10-04,3.695,3.7862,3.6333,3.7838,79600,0.0,0
2007-10-05,3.8109,3.8232,3.7764,3.7764,109600,0.0,0
2007-10-08,3.7764,3.843,3.7369,3.838,53100,0.0,0
2007-10-09,3.8306,3.8701,3.7838,3.8208,64300,0.0,0
2007-10-10,3.8208,3.8676,3.7418,3.7986,71200,0.0,0
2007-10-11,3.8232,3.8232,3.769,3.8208,58200,0.0,0
2007-10-12,3.8232,3.8257,3.6777,3.7344,104900,0.0,0
2007-10-15,3.7492,3.769,3.6802,3.769,48700,0.0,0
2007-10-16,3.7714,3.8356,3.6999,3.8232,33500,0.0,0
2007-10-17,3.8232,3.8479,3.7147,3.8134,30500,0.0,0
2007-10-18,3.8158,3.8232,3.7221,3.8084,26700,0.0,0
2007-10-19,3.8331,3.8331,3.579,3.6259,107500,0.0,0
2007-10-22,3.6826,3.69,3.579,3.6802,47600,0.0,0
2007-10-23,3.7098,3.7098,3.6407,3.6826,22000,0.0,0
2007-10-24,3.6629,3.7517,3.6407,3.732,40600,0.0,0
2007-10-25,3.7591,3.8208,3.616,3.6826,77800,0.0,0
2007-10-26,3.7591,3.7714,3.6333,3.69,45000,0.0,0
2007-10-29,3.6851,3.7073,3.6432,3.6654,35200,0.0,0
2007-10-30,3.6555,3.695,3.5815,3.616,43500,0.0,0
2007-10-31,3.616,3.6456,3.4779,3.5272,77600,0.0,0
2007-11-01,3.5001,3.5149,3.3422,3.3842,135800,0.0,0
2007-11-02,3.394,3.394,3.2362,3.2485,144600,0.0,0
2007-11-05,3.2559,3.3299,3.2164,3.2584,64500,0.0,0
2007-11-06,3.288,3.3028,3.2214,3.2584,59600,0.0,0
2007-11-07,3.2115,3.3028,3.2115,3.2559,154900,0.0,0
2007-11-08,3.2781,3.5963,3.246,3.5938,86500,0.0,0
2007-11-09,3.5568,3.5568,3.2682,3.3176,71900,0.0,0
2007-11-12,3.32,3.5001,3.2954,3.5001,58100,0.0,0
2007-11-13,3.4187,3.5864,3.4088,3.5396,121600,0.0,0
2007-11-14,3.5544,3.5642,3.4409,3.4779,61900,0.0,0
2007-11-15,3.4483,3.51,3.4039,3.4187,72900,0.0,0
2007-11-16,3.4187,3.4508,3.2978,3.4162,99200,0.0,0
2007-11-19,3.4064,3.4631,3.4064,3.4409,82800,0.0,0
2007-11-20,3.4162,3.4483,3.394,3.4483,76400,0.0,0
2007-11-21,3.436,3.4483,3.3348,3.4014,52000,0.0,0
2007-11-23,3.4236,3.5445,3.3916,3.5445,29100,0.0,0
2007-11-26,3.5371,3.6086,3.4409,3.4508,96600,0.0,0
2007-11-27,3.4532,3.4952,3.431,3.4483,59900,0.0,0
2007-11-28,3.4705,3.584,3.4557,3.5716,61900,0.0,0
2007-11-29,3.5642,3.5815,3.5075,3.5766,44600,0.0,0
2007-11-30,3.5889,3.6999,3.5223,3.5223,164500,0.0,0
2007-12-03,3.5174,3.5642,3.4261,3.4483,72700,0.0,0
2007-12-04,3.4434,3.51,3.3299,3.3299,75300,0.0,0
2007-12-05,3.4113,3.4532,3.3866,3.4064,66100,0.0,0
2007-12-06,3.3916,3.6012,3.3916,3.547,100000,0.0,0
2007-12-07,3.5593,3.69,3.5593,3.6086,51900,0.0,0
2007-12-10,3.6555,3.7492,3.5815,3.7172,163100,0.0,0
2007-12-11,3.7073,3.7542,3.579,3.6012,119200,0.0,0
2007-12-12,3.7105,3.7563,3.5479,3.6292,62700,0.43,0
2007-12-13,3.6089,3.6317,3.558,3.5885,47900,0.0,0
2007-12-14,3.5631,3.8757,3.558,3.7893,114100,0.0,0
2007-12-17,3.7715,3.7715,3.6749,3.6902,83900,0.0,0
2007-12-18,3.7131,3.8122,3.6495,3.6571,60700,0.0,0
2007-12-19,3.6495,3.769,3.6216,3.7385,44300,0.0,0
2007-12-20,3.774,3.774,3.6266,3.7563,79000,0.0,0
2007-12-21,3.9189,3.9316,3.7639,3.9164,342500,0.0,0
2007-12-24,3.9164,3.9189,3.6876,3.9138,30000,0.0,0
2007-12-26,3.9011,3.9011,3.7181,3.7664,44400,0.0,0
2007-12-27,3.7308,3.8376,3.6876,3.8223,97500,0.0,0
2007-12-28,3.83,3.8808,3.7893,3.8477,101900,0.0,0
2007-12-31,3.8249,3.9113,3.774,3.8833,115400,0.0,0
2008-01-02,3.8757,3.8757,3.8122,3.8452,75900,0.0,0
2008-01-03,3.8223,3.9011,3.8122,3.8147,84800,0.0,0
2008-01-04,3.774,3.8732,3.7435,3.7461,133600,0.0,0
2008-01-07,3.769,3.8706,3.6343,3.8605,140500,0.0,0
2008-01-08,3.863,3.863,3.7054,3.7308,39900,0.0,0
2008-01-09,3.7131,3.8096,3.6292,3.7715,74200,0.0,0
2008-01-10,3.7283,3.7995,3.6241,3.7766,86100,0.0,0
2008-01-11,3.7486,3.8071,3.7486,3.7563,46000,0.0,0
2008-01-14,3.7639,3.8249,3.7385,3.7868,148800,0.0,0
2008-01-15,3.7486,3.8122,3.7283,3.7283,66300,0.0,0
2008-01-16,3.708,3.7639,3.6597,3.68,48700,0.0,0
2008-01-17,3.7029,3.7613,3.525,3.5326,53400,0.0,0
2008-01-18,3.5326,3.5987,3.2531,3.3547,118200,0.0,0
2008-01-22,3.1946,3.3776,3.0675,3.3572,65600,0.0,0
2008-01-23,3.2708,3.5758,3.1921,3.5758,105500,0.0,0
2008-01-24,3.5707,3.6216,3.37,3.586,37900,0.0,0
2008-01-25,3.6266,3.7003,3.431,3.4919,49700,0.0,0
2008-01-28,3.4742,3.6012,3.4589,3.586,44200,0.0,0
2008-01-29,3.6089,3.6698,3.4335,3.5911,34900,0.0,0
2008-01-30,3.5707,3.6826,3.4869,3.5352,39300,0.0,0
2008-01-31,3.4919,3.8096,3.4919,3.7918,40200,0.0,0
2008-02-01,3.7868,3.7893,3.6063,3.7563,97600,0.0,0
2008-02-04,3.708,3.7613,3.4055,3.7461,47000,0.0,0
2008-02-05,3.6546,3.7613,3.6292,3.6724,57200,0.0,0
2008-02-06,3.7003,3.7461,3.4513,3.4538,30000,0.0,0
2008-02-07,3.4538,3.5809,3.3623,3.558,38200,0.0,0
2008-02-08,3.5453,3.6038,3.4716,3.4945,125000,0.0,0
2008-02-11,3.5097,3.7461,3.431,3.6063,90900,0.0,0
2008-02-12,3.6317,3.6673,3.4945,3.5097,136600,0.0,0
2008-02-13,3.5428,3.8071,3.497,3.6495,50200,0.0,0
2008-02-14,3.647,3.647,3.375,3.375,151000,0.0,0
2008-02-15,3.3649,3.4437,3.3649,3.4233,28400,0.0,0
2008-02-19,3.4564,3.4843,3.309,3.3166,53300,0.0,0
2008-02-20,3.3039,3.6393,3.3039,3.403,30400,0.0,0
2008-02-21,3.4259,3.4996,3.3039,3.3064,35100,0.0,0
2008-02-22,3.3039,3.3598,3.1819,3.3242,63800,0.0,0
2008-02-25,3.3115,3.4005,3.2429,3.4005,48900,0.0,0
2008-02-26,3.3877,3.5301,3.3877,3.4589,55900,0.0,0
2008-02-27,3.431,3.4462,3.3293,3.4462,41100,0.0,0
2008-02-28,3.4182,3.5097,3.309,3.3649,75700,0.0,0
2008-02-29,3.3344,3.342,3.1921,3.1921,161800,0.0,0
2008-03-03,3.2022,3.2022,3.0701,3.1184,132700,0.0,0
2008-03-04,3.1184,3.1921,3.0523,3.0955,57800,0.0,0
2008-03-05,3.1158,3.1412,3.0802,3.1082,57400,0.0,0
2008-03-06,3.0879,3.1895,3.0523,3.065,76800,0.0,0
2008-03-07,3.0523,3.1082,2.9709,3.0497,60100,0.0,0
2008-03-10,3.0421,3.1921,2.821,2.821,82600,0.0,0
2008-03-11,3.0955,3.1921,2.8591,3.0218,145100,0.0,0
2008-03-12,3.0116,3.0116,2.8617,2.9074,108600,0.0,0
2008-03-13,2.9365,2.9761,2.7727,2.8836,147100,0.43,0
2008-03-14,2.8995,2.9523,2.8044,2.8123,155000,0.0,0
2008-03-17,2.8123,2.9417,2.8123,2.8704,72300,0.0,0
2008-03-18,2.9734,3.2322,2.8784,3.2322,156200,0.0,0
