Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-08-08,10.58,11.93,10.55,11.32,10939900,0.0,0
2012-08-09,11.43,12.47,11.41,12.31,1560700,0.0,0
2012-08-10,12.77,12.77,11.68,11.73,1070500,0.0,0
2012-08-13,11.78,11.95,11.4,11.78,395100,0.0,0
2012-08-14,11.91,11.91,11.73,11.8,490400,0.0,0
2012-08-15,11.86,11.86,11.4,11.83,540600,0.0,0
2012-08-16,11.64,11.81,11.49,11.65,301400,0.0,0
2012-08-17,11.63,12.08,11.63,11.91,559400,0.0,0
2012-08-20,11.95,11.95,11.77,11.86,137200,0.0,0
2012-08-21,11.89,12.17,11.63,12.17,188500,0.0,0
2012-08-22,12.06,12.27,11.86,12.16,299700,0.0,0
2012-08-23,12.21,12.26,11.84,11.86,503600,0.0,0
2012-08-24,11.86,11.86,11.54,11.76,408700,0.0,0
2012-08-27,11.68,11.74,11.57,11.67,180400,0.0,0
2012-08-28,11.63,11.71,11.4,11.71,137500,0.0,0
2012-08-29,11.67,11.94,11.53,11.88,148800,0.0,0
2012-08-30,11.79,11.96,11.49,11.91,290100,0.0,0
2012-08-31,11.92,12.0,11.63,11.84,83500,0.0,0
2012-09-04,11.91,12.31,11.77,12.27,574100,0.0,0
2012-09-05,12.0,13.16,11.95,12.64,961600,0.0,0
2012-09-06,12.92,13.3,12.72,13.15,292500,0.0,0
2012-09-07,13.23,13.23,12.8,13.18,213400,0.0,0
2012-09-10,13.22,13.23,13.02,13.15,158200,0.0,0
2012-09-11,13.14,13.21,12.77,13.17,395600,0.0,0
2012-09-12,13.2,13.23,12.86,13.18,192600,0.0,0
2012-09-13,12.93,13.13,12.88,13.0,206700,0.0,0
2012-09-14,13.09,13.31,12.79,13.14,485600,0.0,0
2012-09-17,14.28,14.45,13.41,13.73,1183300,0.0,0
2012-09-18,14.0,14.0,13.55,13.78,933900,0.0,0
2012-09-19,13.96,13.96,13.66,13.78,390900,0.0,0
2012-09-20,13.72,14.08,13.68,13.95,617400,0.0,0
2012-09-21,14.05,14.76,13.82,14.57,729900,0.0,0
2012-09-24,14.6,14.82,14.14,14.37,535900,0.0,0
2012-09-25,14.44,14.63,13.78,13.88,429000,0.0,0
2012-09-26,13.87,13.96,13.23,13.67,734200,0.0,0
2012-09-27,13.94,14.47,13.74,14.43,351500,0.0,0
2012-09-28,14.44,15.08,14.14,15.01,2946000,0.0,0
2012-10-01,15.14,15.19,14.65,14.93,442000,0.0,0
2012-10-02,15.03,15.49,14.76,14.8,414000,0.0,0
2012-10-03,14.8,14.82,14.04,14.3,467600,0.0,0
2012-10-04,14.32,14.5,14.05,14.26,373000,0.0,0
2012-10-05,14.27,14.49,13.91,14.03,268700,0.0,0
2012-10-08,13.94,14.21,13.79,13.88,288800,0.0,0
2012-10-09,13.84,14.0,13.38,13.5,434500,0.0,0
2012-10-10,13.57,13.7,12.93,13.05,569600,0.0,0
