Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-02-13,150.0,153.75,120.15,134.55,101900,0,0.0
2015-02-17,134.85,138.9,131.25,138.6,2600,0,0.0
2015-02-18,147.45,147.45,135.75,138.6,2900,0,0.0
2015-02-19,138.75,142.5,136.05,138.6,1200,0,0.0
2015-02-20,150.0,150.0,135.0,141.3,1300,0,0.0
2015-02-23,138.75,145.95,138.6,144.15,2400,0,0.0
2015-02-24,136.8,146.4,136.8,140.85,6300,0,0.0
2015-02-25,141.75,145.18,141.15,142.35,4300,0,0.0
2015-02-26,147.0,177.75,139.65,171.75,5300,0,0.0
2015-02-27,179.1,193.8,165.0,180.0,11200,0,0.0
2015-03-02,180.0,180.0,167.4,179.1,7900,0,0.0
2015-03-03,174.45,179.1,171.6,175.35,3700,0,0.0
2015-03-04,176.1,176.25,150.15,169.8,3800,0,0.0
2015-03-05,176.25,176.25,159.9,174.75,2500,0,0.0
2015-03-06,168.9,176.25,168.9,174.6,2600,0,0.0
2015-03-09,169.8,169.8,157.65,161.25,900,0,0.0
2015-03-10,153.9,155.25,145.35,148.05,1700,0,0.0
2015-03-11,147.0,162.15,145.5,152.4,1400,0,0.0
2015-03-12,147.75,153.3,146.7,153.3,300,0,0.0
2015-03-13,147.0,147.3,146.25,146.25,300,0,0.0
2015-03-16,165.0,172.35,157.5,168.0,10200,0,0.0
2015-03-17,168.3,172.5,167.1,170.7,5700,0,0.0
2015-03-18,166.95,171.9,163.2,166.05,2300,0,0.0
2015-03-19,161.25,165.0,156.15,161.7,1600,0,0.0
2015-03-20,159.75,168.0,159.75,166.5,1300,0,0.0
2015-03-23,166.8,166.8,153.0,153.0,2700,0,0.0
2015-03-24,151.65,162.45,151.07,154.35,7200,0,0.0
2015-03-25,150.98,157.5,150.0,151.35,3400,0,0.0
2015-03-26,150.0,157.65,150.0,155.4,1400,0,0.0
2015-03-27,155.55,155.55,148.5,150.0,900,0,0.0
2015-03-30,150.45,150.45,136.65,140.25,3100,0,0.0
2015-03-31,139.05,142.35,134.7,137.7,1000,0,0.0
2015-04-01,141.6,142.5,137.7,140.18,800,0,0.0
2015-04-02,140.25,147.45,137.4,144.75,800,0,0.0
2015-04-06,143.25,147.9,140.55,146.25,500,0,0.0
2015-04-07,149.4,151.5,147.75,151.2,500,0,0.0
2015-04-08,151.65,154.5,151.65,151.83,800,0,0.0
2015-04-09,152.7,153.3,147.0,147.0,200,0,0.0
2015-04-10,147.45,153.75,146.55,149.1,300,0,0.0
2015-04-13,149.85,153.45,149.85,152.85,500,0,0.0
2015-04-14,153.0,156.0,153.0,154.8,500,0,0.0
2015-04-15,155.1,158.7,155.1,156.75,200,0,0.0
2015-04-16,163.2,163.2,157.65,157.65,200,0,0.0
2015-04-17,159.04,159.15,153.3,154.95,1500,0,0.0
2015-04-20,157.5,157.5,141.91,155.55,1300,0,0.0
2015-04-21,154.65,154.65,139.77,150.9,800,0,0.0
