Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-20,43.47,43.47,43.47,43.47,0,0.0,0
2017-01-23,43.47,43.47,43.47,43.47,0,0.0,0
2017-01-24,43.47,43.47,43.47,43.47,0,0.0,0
2017-01-25,43.92,44.3,43.91,44.3,39000,0.0,0
2017-01-26,44.3,44.3,44.3,44.3,0,0.0,0
2017-01-27,44.3,44.3,44.3,44.3,0,0.0,0
2017-01-30,43.98,43.98,43.98,43.98,100,0.0,0
2017-01-31,43.98,43.98,43.98,43.98,0,0.0,0
2017-02-01,45.13,45.13,45.12,45.12,5600,0.0,0
2017-02-02,45.12,45.12,45.12,45.12,0,0.0,0
2017-02-03,45.12,45.12,45.12,45.12,0,0.0,0
2017-02-06,45.87,45.87,45.87,45.87,200,0.0,0
2017-02-07,45.92,45.92,45.67,45.67,700,0.0,0
2017-02-08,45.67,45.67,45.67,45.67,0,0.0,0
2017-02-09,45.67,45.67,45.67,45.67,0,0.0,0
2017-02-10,46.11,46.11,46.01,46.02,400,0.0,0
2017-02-13,46.02,46.02,46.02,46.02,0,0.0,0
2017-02-14,46.3,46.3,46.3,46.3,100,0.0,0
2017-02-15,46.3,46.3,46.3,46.3,0,0.0,0
2017-02-16,46.3,46.3,46.3,46.3,0,0.0,0
2017-02-17,46.3,46.3,46.3,46.3,0,0.0,0
2017-02-21,46.3,46.3,46.3,46.3,0,0.0,0
2017-02-22,45.28,45.28,45.28,45.28,100,0.0,0
2017-02-23,45.28,45.28,45.28,45.28,0,0.0,0
2017-02-24,45.28,45.28,45.28,45.28,0,0.0,0
2017-02-27,45.28,45.28,45.28,45.28,0,0.0,0
2017-02-28,45.28,45.28,45.28,45.28,0,0.0,0
2017-03-01,45.28,45.28,45.28,45.28,0,0.0,0
2017-03-02,45.28,45.28,45.28,45.28,0,0.0,0
2017-03-03,45.28,45.28,45.28,45.28,0,0.0,0
2017-03-06,46.05,46.05,46.05,46.05,300,0.0,0
2017-03-07,46.05,46.05,46.05,46.05,0,0.0,0
2017-03-08,44.91,44.91,44.4,44.4,700,0.0,0
2017-03-09,43.38,43.54,43.38,43.54,300,0.0,0
2017-03-10,43.54,43.54,43.54,43.54,0,0.0,0
2017-03-13,43.54,43.54,43.54,43.54,0,0.0,0
2017-03-14,43.54,43.54,43.54,43.54,0,0.0,0
2017-03-15,43.62,43.68,43.62,43.64,600,0.0,0
2017-03-16,43.64,43.64,43.64,43.64,0,0.0,0
2017-03-17,43.91,43.91,43.91,43.91,100,0.0,0
2017-03-20,43.91,43.91,43.91,43.91,0,0.0,0
2017-03-21,43.91,43.91,42.96,42.96,900,0.0,0
2017-03-22,42.96,42.96,42.96,42.96,0,0.0,0
2017-03-23,43.81,43.81,43.81,43.81,400,0.0,0
2017-03-24,43.07,43.07,43.07,43.07,300,0.776,0
2017-03-27,43.07,43.07,43.07,43.07,0,0.0,0
2017-03-28,43.07,43.07,43.07,43.07,0,0.0,0
2017-03-29,43.07,43.07,43.07,43.07,0,0.0,0
2017-03-30,43.68,43.68,43.68,43.68,100,0.0,0
2017-03-31,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-03,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-04,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-05,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-06,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-07,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-10,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-11,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-12,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-13,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-17,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-18,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-19,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-20,43.68,43.68,43.68,43.68,0,0.0,0
2017-04-21,43.05,43.05,43.05,43.05,100,0.0,0
2017-04-24,43.69,43.69,43.69,43.69,100,0.0,0
2017-04-25,43.36,43.36,43.36,43.36,200,0.0,0
2017-04-26,43.36,43.36,43.36,43.36,0,0.0,0
2017-04-27,42.76,42.76,42.76,42.76,300,0.0,0
2017-04-28,42.74,42.74,42.74,42.74,100,0.0,0
2017-05-01,42.74,42.74,42.74,42.74,0,0.0,0
2017-05-02,42.74,42.74,42.74,42.74,0,0.0,0
2017-05-03,42.69,42.69,42.67,42.67,6600,0.0,0
2017-05-04,42.67,42.67,42.67,42.67,0,0.0,0
2017-05-05,42.67,42.67,42.67,42.67,0,0.0,0
2017-05-08,42.67,42.67,42.67,42.67,0,0.0,0
2017-05-09,42.67,42.67,42.67,42.67,0,0.0,0
2017-05-10,42.67,42.67,42.67,42.67,0,0.0,0
2017-05-11,42.67,42.67,42.67,42.67,0,0.0,0
2017-05-12,42.67,42.67,42.67,42.67,0,0.0,0
2017-05-15,42.67,42.67,42.67,42.67,0,0.0,0
2017-05-16,42.94,42.94,42.94,42.94,16800,0.0,0
2017-05-17,42.94,42.94,42.94,42.94,0,0.0,0
2017-05-18,42.01,42.01,42.01,42.01,200,0.0,0
2017-05-19,42.01,42.01,42.01,42.01,0,0.0,0
2017-05-22,42.01,42.01,42.01,42.01,0,0.0,0
2017-05-23,42.01,42.01,42.01,42.01,0,0.0,0
2017-05-24,42.01,42.01,42.01,42.01,0,0.0,0
2017-05-25,42.88,42.88,42.88,42.88,100,0.0,0
2017-05-26,42.58,42.58,42.58,42.58,100,0.0,0
2017-05-30,42.58,42.58,42.58,42.58,0,0.0,0
2017-05-31,41.2,41.2,40.93,40.93,300,0.0,0
2017-06-01,40.93,40.93,40.93,40.93,0,0.0,0
2017-06-02,40.93,40.93,40.93,40.93,0,0.0,0
2017-06-05,40.93,40.93,40.93,40.93,0,0.0,0
2017-06-06,40.93,40.93,40.93,40.93,0,0.0,0
2017-06-07,40.66,40.66,40.66,40.66,300,0.0,0
2017-06-08,40.66,40.66,40.66,40.66,0,0.0,0
2017-06-09,40.66,40.66,40.66,40.66,0,0.0,0
2017-06-12,40.66,40.66,40.66,40.66,0,0.0,0
2017-06-13,40.66,40.66,40.66,40.66,0,0.0,0
2017-06-14,39.91,39.91,39.91,39.91,300,0.0,0
2017-06-15,39.91,39.91,39.91,39.91,0,0.0,0
