Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-12-23,4.25,4.35,4.25,4.35,10600,0.0,0.0
1999-12-27,4.35,4.91,4.35,4.35,10000,0.0,0.0
1999-12-28,4.35,4.35,4.35,4.35,0,0.0,0.0
1999-12-29,4.35,4.35,4.35,4.35,0,0.0,0.0
1999-12-30,4.39,4.72,4.39,4.72,10000,0.0,0.0
1999-12-31,4.72,4.72,4.72,4.72,200,0.0,0.0
2000-01-03,4.5,4.72,4.5,4.72,800,0.0,0.0
2000-01-04,4.72,4.72,4.72,4.72,0,0.0,0.0
2000-01-05,4.35,4.63,4.35,4.63,3600,0.0,0.0
2000-01-06,4.44,4.54,4.44,4.54,5200,0.0,0.0
2000-01-07,4.37,4.37,4.37,4.37,600,0.0,0.0
2000-01-10,4.37,4.37,4.37,4.37,0,0.0,0.0
2000-01-11,4.35,4.54,4.35,4.35,1400,0.0,0.0
2000-01-12,4.35,4.44,4.35,4.44,3000,0.0,0.0
2000-01-13,4.44,4.44,4.44,4.44,0,0.0,0.0
2000-01-14,4.44,4.44,4.44,4.44,0,0.0,0.0
2000-01-18,4.44,4.49,4.44,4.49,7600,0.0,0.0
2000-01-19,4.49,4.49,4.49,4.49,0,0.0,0.0
2000-01-20,4.49,4.49,4.49,4.49,0,0.0,0.0
2000-01-21,4.44,4.44,4.44,4.44,5800,0.0,0.0
2000-01-24,4.44,4.44,4.44,4.44,0,0.0,0.0
2000-01-25,4.35,4.35,4.35,4.35,800,0.0,0.0
2000-01-26,4.35,4.35,4.35,4.35,1200,0.0,0.0
2000-01-27,4.35,4.35,4.35,4.35,0,0.0,0.0
2000-01-28,4.35,4.35,4.35,4.35,0,0.0,0.0
2000-01-31,4.35,4.35,4.35,4.35,0,0.0,0.0
2000-02-01,4.35,4.35,4.3,4.35,3800,0.0,0.0
2000-02-02,4.35,4.35,4.35,4.35,11000,0.0,0.0
2000-02-03,4.37,4.37,4.37,4.37,2000,0.0,0.0
2000-02-04,4.37,4.37,4.25,4.25,3000,0.0,0.0
2000-02-07,4.25,4.25,4.25,4.25,0,0.0,0.0
2000-02-08,4.25,4.25,4.25,4.25,0,0.0,0.0
2000-02-09,4.3,4.3,4.3,4.3,7600,0.0,0.0
