Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-08-07,0.0,0.25,0.24,0.24,21600,0.0,0.0
1985-08-08,0.0,0.25,0.24,0.24,33600,0.0,0.0
1985-08-09,0.0,0.26,0.24,0.24,28800,0.0,0.0
1985-08-12,0.24,0.24,0.24,0.24,0,0.0,0.0
1985-08-13,0.0,0.26,0.24,0.24,4800,0.0,0.0
1985-08-14,0.24,0.24,0.24,0.24,0,0.0,0.0
1985-08-15,0.0,0.26,0.24,0.24,2400,0.0,0.0
1985-08-16,0.24,0.24,0.24,0.24,0,0.0,0.0
1985-08-19,0.0,0.26,0.25,0.25,2400,0.0,0.0
1985-08-20,0.0,0.26,0.25,0.25,7200,0.0,0.0
1985-08-21,0.0,0.26,0.25,0.25,48000,0.0,0.0
1985-08-22,0.25,0.25,0.25,0.25,0,0.0,0.0
1985-08-23,0.25,0.25,0.25,0.25,0,0.0,0.0
1985-08-26,0.25,0.25,0.25,0.25,0,0.0,0.0
1985-08-27,0.25,0.25,0.25,0.25,0,0.0,0.0
1985-08-28,0.0,0.26,0.25,0.25,19200,0.0,0.0
1985-08-29,0.0,0.26,0.25,0.25,26400,0.0,0.0
1985-08-30,0.0,0.26,0.25,0.25,9600,0.0,0.0
1985-09-03,0.25,0.25,0.25,0.25,0,0.0,0.0
1985-09-04,0.25,0.25,0.25,0.25,0,0.0,0.0
1985-09-05,0.0,0.27,0.26,0.26,16800,0.0,0.0
1985-09-06,0.0,0.27,0.26,0.26,2400,0.0,0.0
1985-09-09,0.26,0.26,0.26,0.26,0,0.0,0.0
1985-09-10,0.0,0.27,0.26,0.26,2400,0.0,0.0
1985-09-11,0.0,0.27,0.26,0.26,2400,0.0,0.0
1985-09-12,0.0,0.27,0.26,0.26,0,0.0,0.0
1985-09-13,0.26,0.26,0.26,0.26,0,0.0,0.0
1985-09-16,0.26,0.26,0.26,0.26,0,0.0,0.0
1985-09-17,0.26,0.26,0.26,0.26,0,0.0,0.0
1985-09-18,0.0,0.28,0.27,0.27,2400,0.0,0.0
1985-09-19,0.0,0.28,0.27,0.27,14400,0.0,0.0
1985-09-20,0.27,0.27,0.27,0.27,0,0.0,0.0
1985-09-23,0.27,0.27,0.27,0.27,0,0.0,0.0
1985-09-24,0.27,0.27,0.27,0.27,0,0.0,0.0
1985-09-25,0.27,0.27,0.27,0.27,0,0.0,0.0
1985-09-26,0.0,0.29,0.28,0.28,9600,0.0,0.0
1985-09-30,0.0,0.3,0.29,0.29,16800,0.0,0.0
1985-10-01,0.0,0.33,0.31,0.31,14400,0.0,0.0
1985-10-02,0.0,0.33,0.31,0.31,7200,0.0,0.0
1985-10-03,0.0,0.33,0.31,0.31,14400,0.0,0.0
1985-10-04,0.0,0.33,0.3,0.3,24000,0.0,0.0
1985-10-07,0.0,0.32,0.31,0.31,33600,0.0,0.0
1985-10-08,0.0,0.32,0.3,0.3,12000,0.0,0.0
1985-10-09,0.3,0.3,0.3,0.3,0,0.0,0.0
1985-10-10,0.0,0.32,0.3,0.3,0,0.0,0.0
1985-10-11,0.0,0.32,0.31,0.31,2400,0.0,0.0
1985-10-14,0.31,0.31,0.31,0.31,0,0.0,0.0
1985-10-15,0.0,0.32,0.3,0.3,7200,0.0,0.0
1985-10-16,0.0,0.35,0.33,0.33,2400,0.24,0.0
1985-10-17,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-18,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-21,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-22,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-23,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-24,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-25,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-28,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-29,0.0,0.35,0.33,0.33,14400,0.0,0.0
1985-10-30,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-10-31,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-01,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-04,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-05,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-06,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-07,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-08,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-11,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-12,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-13,0.33,0.33,0.33,0.33,0,0.0,0.0
1985-11-14,0.0,0.34,0.32,0.32,0,0.0,0.0
1985-11-15,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-11-18,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-11-19,0.0,0.34,0.32,0.32,7200,0.0,0.0
1985-11-20,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-11-21,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-11-22,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-11-25,0.0,0.34,0.32,0.32,12000,0.0,0.0
1985-11-26,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-11-27,0.0,0.34,0.32,0.32,24000,0.0,0.0
1985-11-29,0.0,0.34,0.32,0.32,2400,0.0,0.0
1985-12-02,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-12-03,0.0,0.34,0.32,0.32,12000,0.0,0.0
1985-12-04,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-12-05,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-12-06,0.0,0.34,0.32,0.32,12000,0.0,0.0
1985-12-09,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-12-10,0.0,0.34,0.32,0.32,64800,0.0,0.0
1985-12-11,0.32,0.32,0.32,0.32,0,0.0,0.0
1985-12-12,0.32,0.32,0.32,0.32,0,0.0,0.0
