Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-11-03,3.2,3.2,3.2,3.2,600,0.0,0.0
1999-11-04,3.2,3.2,3.2,3.2,0,0.0,0.0
1999-11-05,2.88,2.88,2.88,2.88,1200,0.0,0.0
1999-11-08,2.88,2.88,2.88,2.88,0,0.0,0.0
1999-11-09,2.88,2.88,2.88,2.88,0,0.0,0.0
1999-11-10,2.88,2.88,2.88,2.88,0,0.0,0.0
1999-11-11,2.88,2.88,2.88,2.88,0,0.0,0.0
1999-11-12,3.08,3.08,2.88,2.88,900,0.0,0.0
1999-11-15,2.88,2.88,2.88,2.88,0,0.0,0.0
1999-11-16,3.08,3.08,3.08,3.08,1500,0.0,0.0
1999-11-17,2.88,2.88,2.88,2.88,2400,0.0,0.0
1999-11-18,2.91,2.91,2.91,2.91,2400,0.0,0.0
1999-11-19,2.91,2.91,2.91,2.91,0,0.0,0.0
1999-11-22,3.08,3.08,3.08,3.08,2100,0.0,0.0
1999-11-23,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-11-24,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-11-26,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-11-29,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-11-30,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-01,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-02,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-03,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-06,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-07,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-08,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-09,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-10,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-13,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-14,3.08,3.08,3.08,3.08,0,0.0,0.0
1999-12-15,2.81,2.81,2.81,2.81,300,0.0,0.0
1999-12-16,2.81,2.81,2.81,2.81,0,0.0,0.0
1999-12-17,2.95,2.95,2.95,2.95,300,0.0,0.0
1999-12-20,2.81,2.95,2.81,2.95,1500,0.0,0.0
1999-12-21,2.95,2.95,2.95,2.95,300,0.0,0.0
1999-12-22,2.95,2.95,2.95,2.95,0,0.0,0.0
1999-12-23,2.95,2.95,2.95,2.95,0,0.0,0.0
1999-12-27,2.95,2.95,2.95,2.95,0,0.0,0.0
1999-12-28,2.95,2.95,2.95,2.95,0,0.0,0.0
1999-12-29,2.95,2.95,2.95,2.95,0,0.0,0.0
1999-12-30,2.95,2.95,2.95,2.95,0,0.0,0.0
1999-12-31,2.95,2.95,2.95,2.95,0,0.0,0.0
2000-01-03,2.81,2.81,2.81,2.81,1800,0.0,0.0
2000-01-04,2.81,2.81,2.81,2.81,0,0.0,0.0
2000-01-05,2.81,2.81,2.81,2.81,28800,0.0,0.0
2000-01-06,2.81,2.81,2.81,2.81,0,0.0,0.0
2000-01-07,2.81,2.81,2.81,2.81,0,0.0,0.0
2000-01-10,2.81,2.81,2.81,2.81,0,0.0,0.0
2000-01-11,2.81,2.81,2.81,2.81,0,0.0,0.0
2000-01-12,2.81,2.81,2.81,2.81,600,0.0,0.0
2000-01-13,2.81,2.81,2.81,2.81,0,0.0,0.0
2000-01-14,2.81,2.81,2.81,2.81,0,0.0,0.0
2000-01-18,2.81,2.81,2.81,2.81,0,0.0,0.0
2000-01-19,2.83,2.83,2.83,2.83,600,0.0,0.0
2000-01-20,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-01-21,2.95,2.95,2.83,2.83,13200,0.0,0.0
2000-01-24,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-01-25,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-01-26,2.83,2.83,2.83,2.83,1500,0.0,0.0
2000-01-27,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-01-28,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-01-31,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-01,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-02,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-03,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-04,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-07,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-08,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-09,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-10,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-11,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-14,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-15,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-16,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-17,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-18,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-22,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-23,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-24,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-25,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-28,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-02-29,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-03-01,2.83,2.83,2.83,2.83,0,0.0,0.0
2000-03-02,2.95,2.95,2.95,2.95,51600,0.0,0.0
2000-03-03,2.95,2.95,2.95,2.95,0,0.0,0.0
2000-03-06,2.95,2.95,2.95,2.95,0,0.0,0.0
2000-03-07,2.83,2.83,2.83,2.83,600,0.0,0.0
2000-03-08,2.68,2.83,2.68,2.68,8400,0.0,0.0
2000-03-09,2.68,2.68,2.68,2.68,0,0.0,0.0
2000-03-10,2.68,2.68,2.68,2.68,0,0.0,0.0
2000-03-13,2.54,2.54,2.54,2.54,600,0.0,0.0
2000-03-14,2.54,2.54,2.54,2.54,0,0.0,0.0
2000-03-15,2.54,2.54,2.54,2.54,0,0.0,0.0
2000-03-16,2.54,2.54,2.54,2.54,0,0.0,0.0
2000-03-17,2.54,2.54,2.54,2.54,0,0.0,0.0
2000-03-20,2.54,2.54,2.54,2.54,0,0.0,0.0
2000-03-21,2.54,2.54,2.54,2.54,0,0.0,0.0
2000-03-22,2.48,2.48,2.48,2.48,600,0.0,0.0
2000-03-23,2.48,2.48,2.48,2.48,0,0.0,0.0
2000-03-24,2.48,2.48,2.48,2.48,0,0.0,0.0
2000-03-27,2.48,2.48,2.48,2.48,3300,0.0,0.0
2000-03-28,2.48,2.48,2.48,2.48,0,0.0,0.0
2000-03-29,2.41,2.41,2.41,2.41,600,0.0,0.0
2000-03-30,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-03-31,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-03,2.54,2.54,2.54,2.54,600,0.0,0.0
2000-04-04,2.54,2.54,2.54,2.54,0,0.0,0.0
2000-04-05,2.44,2.44,2.44,2.44,600,0.0,0.0
2000-04-06,2.44,2.44,2.44,2.44,0,0.0,0.0
2000-04-07,2.44,2.44,2.44,2.44,0,0.0,0.0
2000-04-10,2.44,2.44,2.44,2.44,0,0.0,0.0
2000-04-11,2.44,2.44,2.44,2.44,0,0.0,0.0
2000-04-12,2.41,2.41,2.41,2.41,900,0.0,0.0
2000-04-13,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-14,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-17,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-18,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-19,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-20,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-24,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-25,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-26,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-04-27,2.41,2.41,2.41,2.41,300,0.0,0.0
2000-04-28,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-05-01,2.41,2.41,2.41,2.41,0,0.0,0.0
2000-05-02,2.41,2.41,2.41,2.41,0,0.0,0.0
