Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-11,25.19,25.38,25.19,25.35,1377100,0,0
2020-02-12,25.55,25.55,25.3,25.38,410800,0,0
2020-02-13,25.38,25.38,25.25,25.38,121600,0,0
2020-02-14,25.38,25.45,25.36,25.37,128100,0,0
2020-02-18,25.39,25.43,25.35,25.4,111800,0,0
2020-02-19,25.4,25.55,25.4,25.48,153800,0,0
2020-02-20,25.48,25.59,25.35,25.51,213900,0,0
2020-02-21,25.58,25.59,25.52,25.57,111200,0,0
2020-02-24,25.36,25.49,24.84,25.48,219300,0,0
2020-02-25,25.53,25.54,25.27,25.34,125100,0,0
2020-02-26,25.35,25.43,25.25,25.25,112400,0,0
2020-02-27,25.15,25.2,24.45,24.96,165500,0,0
2020-02-28,24.8,24.8,24.06,24.49,1133300,0,0
2020-03-02,24.4,24.48,24.0,24.24,75400,0,0
2020-03-03,24.32,24.68,24.25,24.3,170600,0,0
2020-03-04,24.36,24.74,24.35,24.72,112400,0,0
2020-03-05,24.62,24.73,24.35,24.58,32400,0,0
2020-03-06,24.03,24.5,23.82,24.1,29300,0,0
2020-03-09,23.47,24.0,21.38,21.38,30300,0,0
2020-03-10,22.6,22.5,21.46,21.81,34732,0,0
