Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-14,23.07,23.07,23.07,23.07,369000,0.0,0
2019-03-15,23.26,23.28,23.19,23.23,2741900,0.0,0
2019-03-18,23.23,23.31,23.21,23.25,677700,0.0,0
2019-03-19,23.28,23.31,23.23,23.28,375900,0.0,0
2019-03-20,23.28,23.28,23.05,23.25,67800,0.0,0
2019-03-21,23.21,23.26,23.19,23.22,197000,0.0,0
2019-03-22,23.19,23.24,23.06,23.23,122700,0.0,0
2019-03-25,23.23,23.25,23.17,23.21,82400,0.0,0
2019-03-26,23.23,23.28,23.21,23.25,117500,0.0,0
2019-03-27,23.25,23.31,23.24,23.26,430000,0.0,0
2019-03-28,23.31,23.34,23.25,23.28,335400,0.0,0
2019-03-29,23.31,23.33,23.23,23.26,272800,0.0,0
2019-04-01,23.27,23.35,23.22,23.28,143000,0.0,0
2019-04-02,23.28,23.33,23.26,23.32,145400,0.0,0
2019-04-03,23.35,23.47,23.31,23.39,102900,0.0,0
2019-04-04,23.46,23.51,23.35,23.44,249200,0.0,0
2019-04-05,23.45,23.5,23.39,23.39,61700,0.0,0
2019-04-08,23.4,23.5,23.4,23.44,35400,0.0,0
2019-04-09,23.43,23.46,23.33,23.34,46000,0.0,0
2019-04-10,23.33,23.6,23.33,23.51,236900,0.0,0
2019-04-11,23.55,23.59,23.5,23.5,49300,0.0,0
2019-04-12,23.59,23.59,23.5,23.54,43800,0.0,0
2019-04-15,23.53,23.58,23.5,23.58,79500,0.0,0
2019-04-16,23.61,23.61,23.47,23.49,94400,0.0,0
2019-04-17,23.49,23.56,23.4,23.46,71400,0.0,0
2019-04-18,23.45,23.5,23.45,23.5,80200,0.0,0
2019-04-22,23.5,23.51,23.45,23.47,33400,0.0,0
2019-04-23,23.5,23.5,23.46,23.5,22400,0.0,0
2019-04-24,23.5,23.56,23.5,23.56,49000,0.0,0
2019-04-25,23.53,23.6,23.53,23.6,57100,0.0,0
2019-04-26,23.61,23.62,23.53,23.61,17300,0.0,0
2019-04-29,23.62,23.69,23.57,23.6,66700,0.0,0
2019-04-30,23.61,23.65,23.5,23.51,91700,0.0,0
2019-05-01,23.5,23.54,23.44,23.51,16100,0.0,0
2019-05-02,23.5,23.55,23.48,23.51,8400,0.0,0
2019-05-03,23.5,23.55,23.48,23.5,20400,0.0,0
2019-05-06,23.49,23.51,23.43,23.49,10800,0.0,0
2019-05-07,23.43,23.49,23.41,23.47,28100,0.0,0
2019-05-08,23.47,23.5,23.43,23.49,16100,0.0,0
2019-05-09,23.54,23.54,23.43,23.47,12400,0.0,0
2019-05-10,23.59,23.59,23.46,23.47,17400,0.0,0
2019-05-13,23.45,23.49,23.39,23.39,32100,0.0,0
2019-05-14,23.45,23.49,23.42,23.45,22600,0.0,0
2019-05-15,23.5,23.55,23.47,23.54,310400,0.0,0
2019-05-16,23.5,23.58,23.5,23.54,67600,0.0,0
2019-05-17,23.59,23.59,23.5,23.54,15000,0.0,0
2019-05-20,23.52,23.56,23.47,23.51,14300,0.0,0
2019-05-21,23.59,23.59,23.51,23.58,15700,0.0,0
2019-05-22,23.58,23.6,23.51,23.6,10100,0.0,0
2019-05-23,23.6,23.65,23.53,23.63,52800,0.0,0
2019-05-24,23.64,23.64,23.49,23.63,22300,0.0,0
2019-05-28,23.64,23.72,23.62,23.7,28400,0.0,0
2019-05-29,23.7,23.74,23.65,23.7,37200,0.0,0
2019-05-30,23.79,23.84,23.77,23.82,55900,0.447,0
2019-05-31,23.81,23.84,23.62,23.8,119500,0.0,0
