Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-28,21.0,21.16,20.41,20.8,13771100,0,0
2018-08-29,20.8,20.93,20.57,20.64,3663700,0,0
2018-08-30,20.35,20.58,20.08,20.25,5911600,0,0
2018-08-31,20.0,20.42,19.9,20.02,10581800,0,0
2018-09-04,19.95,19.95,19.39,19.46,4864200,0,0
2018-09-05,19.29,19.54,19.22,19.26,7986600,0,0
2018-09-06,19.2,19.48,19.2,19.45,13394800,0,0
2018-09-07,19.49,19.51,19.19,19.49,7475500,0,0
2018-09-10,19.72,19.78,19.39,19.64,3825100,0,0
2018-09-11,19.63,19.9,19.57,19.61,5843800,0,0
2018-09-12,19.64,19.8,19.56,19.75,3338800,0,0
2018-09-13,19.76,19.84,19.57,19.66,4501100,0,0
2018-09-14,19.6,20.0,19.54,20.0,4257800,0,0
2018-09-17,19.8,20.2,19.8,20.16,3113300,0,0
2018-09-18,20.09,20.28,19.82,20.2,1788100,0,0
2018-09-19,20.24,20.3,20.09,20.16,1485600,0,0
2018-09-20,20.17,20.55,20.17,20.51,3677500,0,0
2018-09-21,20.45,21.09,20.45,20.84,5134400,0,0
2018-09-24,20.75,20.99,20.41,20.59,1991100,0,0
2018-09-25,20.56,21.0,20.5,20.81,2122700,0,0
2018-09-26,20.81,20.91,20.44,20.45,2061800,0,0
2018-09-27,20.49,20.82,20.39,20.65,1199400,0,0
2018-09-28,20.62,20.93,20.59,20.93,2338600,0,0
2018-10-01,20.95,20.99,20.63,20.63,1628500,0,0
2018-10-02,20.65,20.78,20.58,20.68,2648700,0,0
2018-10-03,20.62,20.9,20.36,20.46,2391900,0,0
2018-10-04,20.44,20.66,20.13,20.15,2528800,0,0
2018-10-05,20.16,20.34,19.89,19.91,1843600,0,0
2018-10-08,19.96,20.44,19.96,20.34,1780700,0,0
2018-10-09,20.36,20.41,20.1,20.24,1082500,0,0
2018-10-10,20.19,20.37,19.96,19.98,1457000,0,0
2018-10-11,20.03,20.18,19.4,19.45,2139300,0,0
2018-10-12,19.65,19.69,19.37,19.53,1935300,0,0
2018-10-15,19.63,19.95,19.57,19.78,1492400,0,0
2018-10-16,19.85,20.15,19.74,20.05,1401400,0,0
2018-10-17,20.02,20.08,19.78,19.89,764000,0,0
2018-10-18,19.88,19.89,19.6,19.68,419100,0,0
2018-10-19,19.74,19.89,19.63,19.7,395100,0,0
2018-10-22,19.71,19.8,19.52,19.53,478400,0,0
2018-10-23,19.45,19.45,19.17,19.36,656900,0,0
2018-10-24,19.44,19.51,19.23,19.23,726400,0,0
2018-10-25,19.27,19.51,19.19,19.31,703200,0,0
2018-10-26,19.23,19.24,18.72,18.87,1182800,0,0
2018-10-29,18.98,19.16,18.85,18.94,1171200,0,0
2018-10-30,18.95,19.2,18.92,19.17,569200,0,0
2018-10-31,19.25,19.37,19.19,19.29,900400,0,0
2018-11-01,19.19,19.36,18.68,18.74,1075800,0,0
2018-11-02,18.81,18.81,18.38,18.5,767200,0,0
2018-11-05,18.64,18.8,18.59,18.76,593700,0,0
2018-11-06,18.8,18.83,18.67,18.76,451600,0,0
2018-11-07,18.75,19.05,18.75,18.93,791100,0,0
2018-11-08,18.95,19.2,18.95,19.11,697700,0,0
2018-11-09,19.11,19.48,19.06,19.26,834100,0,0
2018-11-12,19.24,19.38,19.12,19.16,757400,0,0
2018-11-13,19.16,19.41,19.08,19.16,1261700,0,0
2018-11-14,19.22,19.25,18.41,18.71,3908800,0,0
2018-11-15,18.66,18.77,18.38,18.47,1971700,0,0
2018-11-16,18.46,18.57,18.21,18.42,1356200,0,0
2018-11-19,18.37,18.52,18.22,18.26,1237300,0,0
2018-11-20,18.2,18.2,17.63,17.83,1424600,0,0
2018-11-21,17.88,18.16,17.86,18.02,2383500,0,0
2018-11-23,18.06,18.38,18.0,18.08,1149900,0,0
2018-11-26,18.49,18.49,18.03,18.08,1712400,0,0
2018-11-27,18.08,18.24,17.95,17.95,1867500,0,0
2018-11-28,17.97,18.16,17.84,18.08,2199700,0,0
2018-11-29,17.87,17.87,17.36,17.49,2750400,0,0
2018-11-30,17.51,18.01,17.37,18.01,12704600,0,0
2018-12-03,18.18,18.18,17.47,17.63,2197500,0,0
2018-12-04,17.63,17.95,17.36,17.43,1770000,0,0
2018-12-06,17.37,17.52,17.1,17.5,1889200,0,0
2018-12-07,17.53,17.61,17.14,17.16,2561600,0,0
2018-12-10,17.15,17.16,16.38,16.53,3577200,0,0
2018-12-11,16.69,16.96,16.68,16.71,2151400,0,0
2018-12-12,16.88,16.96,16.67,16.76,1874300,0,0
2018-12-13,16.8,16.88,16.58,16.65,1929400,0,0
2018-12-14,16.6,16.62,16.4,16.44,1766700,0,0
2018-12-17,16.5,16.56,15.73,15.75,2704800,0,0
2018-12-18,15.87,16.01,15.73,15.76,2342800,0,0
2018-12-19,15.8,15.95,15.31,15.33,2976500,0,0
2018-12-20,15.33,15.45,15.08,15.21,3010100,0,0
2018-12-21,15.28,15.53,15.18,15.25,5476500,0,0
2018-12-24,15.18,15.24,15.01,15.01,1063100,0,0
2018-12-26,15.09,15.45,14.93,15.44,2240700,0,0
2018-12-27,15.36,15.54,15.06,15.5,2078000,0,0
2018-12-28,15.62,16.2,15.59,15.63,1056900,0,0
2018-12-31,16.7,16.8,15.75,16.1,2549500,0,0
2019-01-02,16.3,16.53,15.88,16.09,1963900,0,0
2019-01-03,16.1,16.67,16.1,16.52,1800800,0,0
2019-01-04,16.63,17.07,16.63,16.91,1917800,0,0
2019-01-07,17.13,17.41,16.96,17.17,1805700,0,0
2019-01-08,17.38,17.46,16.86,17.0,1473000,0,0
2019-01-09,17.05,17.16,16.92,17.09,853400,0,0
2019-01-10,16.98,17.39,16.9,17.36,851900,0,0
2019-01-11,17.36,17.64,17.28,17.55,1159000,0,0
2019-01-14,17.53,17.8,17.53,17.68,1497600,0,0
2019-01-15,17.81,17.81,17.53,17.57,1565600,0,0
2019-01-16,17.65,17.76,17.54,17.55,849200,0,0
2019-01-17,17.56,17.61,17.47,17.56,867900,0,0
2019-01-18,17.69,17.71,17.44,17.45,841300,0,0
2019-01-22,17.5,17.63,17.19,17.25,1110200,0,0
2019-01-23,17.36,17.39,17.24,17.31,861300,0,0
2019-01-24,17.31,17.6,17.25,17.58,729900,0,0
2019-01-25,17.64,17.84,17.64,17.81,1112500,0,0
2019-01-28,17.75,17.86,17.7,17.82,806600,0,0
2019-01-29,17.82,17.86,17.64,17.74,877400,0,0
2019-01-30,17.8,18.07,17.76,18.05,2113800,0,0
2019-01-31,18.07,18.37,17.99,18.2,1526100,0,0
2019-02-01,18.21,18.32,18.11,18.19,1089300,0,0
2019-02-04,18.38,18.61,18.29,18.57,1772500,0,0
2019-02-05,18.68,18.8,18.61,18.69,1360000,0,0
2019-02-06,18.82,18.84,18.67,18.69,1827600,0,0
2019-02-07,19.21,19.84,19.18,19.77,5482300,0,0
2019-02-08,19.77,20.07,19.69,19.95,1371900,0,0
2019-02-11,20.24,20.29,20.02,20.07,3144900,0,0
2019-02-12,20.1,20.37,19.96,19.97,1977800,0,0
2019-02-13,19.96,20.1,19.93,20.0,1562200,0,0
2019-02-14,20.06,20.07,19.93,19.97,1142500,0,0
2019-02-15,20.01,20.1,19.97,20.01,1317100,0,0
2019-02-19,20.07,20.07,19.9,20.03,1583200,0,0
2019-02-20,20.01,20.08,19.83,19.88,1463700,0,0
2019-02-21,19.88,20.0,19.71,19.86,1248800,0,0
