Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-02-02,7.54,8.33,7.14,7.94,1789900,0.0,0
1995-02-03,8.33,9.52,8.14,8.93,541500,0.0,0
1995-02-06,8.93,10.32,8.93,10.12,369400,0.0,0
1995-02-07,10.12,10.12,8.53,9.33,267400,0.0,0
1995-02-08,9.33,9.33,8.73,8.73,120900,0.0,0
1995-02-09,8.73,9.33,8.73,9.03,12400,0.0,0
1995-02-10,9.33,9.72,8.93,9.72,100500,0.0,0
1995-02-13,9.72,10.12,9.33,9.72,185000,0.0,0
1995-02-14,9.92,9.92,9.33,9.72,66200,0.0,0
1995-02-15,9.33,9.92,9.33,9.52,63000,0.0,0
1995-02-16,9.52,9.92,9.52,9.72,51200,0.0,0
1995-02-17,9.92,9.92,9.52,9.62,105800,0.0,0
1995-02-21,9.52,9.72,8.78,9.03,252100,0.0,0
1995-02-22,8.73,9.13,8.73,9.13,61900,0.0,0
1995-02-23,8.73,9.33,8.73,8.98,73800,0.0,0
1995-02-24,9.33,9.33,8.93,9.08,7400,0.0,0
1995-02-27,9.13,9.33,8.93,9.33,30000,0.0,0
1995-02-28,8.93,9.52,8.93,9.52,12900,0.0,0
1995-03-01,9.52,9.72,9.33,9.52,12800,0.0,0
1995-03-02,9.72,9.92,9.33,9.52,82800,0.0,0
1995-03-03,9.52,9.92,9.52,9.72,36500,0.0,0
1995-03-06,9.52,9.72,9.13,9.52,39400,0.0,0
1995-03-07,9.13,9.52,9.13,9.52,5000,0.0,0
1995-03-08,9.13,9.52,9.13,9.33,2600,0.0,0
1995-03-09,9.13,9.82,9.13,9.72,61500,0.0,0
1995-03-10,9.33,9.72,9.33,9.33,10800,0.0,0
1995-03-13,9.92,9.92,9.33,9.72,33400,0.0,0
1995-03-14,9.72,9.72,9.33,9.72,8500,0.0,0
1995-03-15,9.33,9.57,9.33,9.57,7000,0.0,0
1995-03-16,9.33,9.72,9.33,9.33,33600,0.0,0
1995-03-17,9.13,9.72,8.93,9.33,107100,0.0,0
1995-03-20,8.93,9.13,8.73,9.13,35700,0.0,0
1995-03-21,9.13,10.32,8.93,10.12,218300,0.0,0
1995-03-22,9.92,10.91,9.92,10.71,88100,0.0,0
1995-03-23,10.91,11.11,10.52,11.11,88500,0.0,0
1995-03-24,11.31,11.51,11.11,11.11,102700,0.0,0
1995-03-27,11.51,11.71,11.11,11.31,43300,0.0,0
1995-03-28,11.71,11.71,11.11,11.31,37800,0.0,0
1995-03-29,11.11,11.51,11.11,11.16,47000,0.0,0
1995-03-30,11.11,11.51,10.32,10.52,92700,0.0,0
1995-03-31,10.52,10.71,10.32,10.32,76300,0.0,0
1995-04-03,10.71,10.71,10.32,10.71,21500,0.0,0
1995-04-04,10.32,10.71,10.32,10.42,28400,0.0,0
1995-04-05,10.71,10.71,10.12,10.42,15800,0.0,0
1995-04-06,10.71,11.51,10.32,11.11,70000,0.0,0
1995-04-07,11.51,11.51,10.71,10.91,24200,0.0,0
1995-04-10,10.52,10.91,10.52,10.91,4200,0.0,0
1995-04-11,10.52,10.91,10.32,10.52,14800,0.0,0
1995-04-12,10.12,10.52,10.12,10.52,4600,0.0,0
1995-04-13,10.32,10.91,10.32,10.91,63500,0.0,0
1995-04-17,10.91,11.11,10.71,11.11,31000,0.0,0
1995-04-18,10.71,11.31,10.71,11.11,75600,0.0,0
1995-04-19,11.31,11.31,10.91,11.11,83600,0.0,0
1995-04-20,11.31,11.51,10.91,11.51,196400,0.0,0
1995-04-21,11.51,11.71,11.31,11.31,28000,0.0,0
1995-04-24,11.31,11.71,11.11,11.51,15700,0.0,0
1995-04-25,11.31,11.51,10.91,10.91,32000,0.0,0
1995-04-26,11.11,11.11,10.81,11.11,13300,0.0,0
1995-04-27,10.91,11.51,10.91,11.31,34700,0.0,0
1995-04-28,11.51,11.51,11.11,11.21,43600,0.0,0
1995-05-01,11.51,11.51,10.91,11.01,79500,0.0,0
1995-05-02,10.91,11.31,10.71,10.71,53100,0.0,0
1995-05-03,10.71,11.31,10.71,10.71,30000,0.0,0
1995-05-04,11.11,11.11,10.52,10.62,26500,0.0,0
1995-05-05,10.91,10.91,10.32,10.32,72500,0.0,0
1995-05-08,10.71,10.71,10.52,10.52,500,0.0,0
1995-05-09,10.71,10.71,10.32,10.71,19300,0.0,0
1995-05-10,10.42,10.71,10.32,10.32,28100,0.0,0
1995-05-11,10.32,11.11,10.32,10.71,45800,0.0,0
1995-05-12,11.11,12.1,10.91,12.0,92800,0.0,0
1995-05-15,12.1,13.1,12.1,13.1,134600,0.0,0
1995-05-16,13.1,13.1,12.5,12.9,59500,0.0,0
1995-05-17,13.1,13.89,12.9,13.89,232700,0.0,0
1995-05-18,13.89,14.88,13.69,14.29,257800,0.0,0
1995-05-19,14.48,16.47,14.09,16.07,264300,0.0,0
1995-05-22,16.47,17.06,15.87,17.06,142200,0.0,0
1995-05-23,17.06,17.06,16.47,16.67,197700,0.0,0
1995-05-24,16.87,16.87,15.87,16.07,126900,0.0,0
1995-05-25,15.68,16.07,15.08,15.28,107700,0.0,0
1995-05-26,15.28,16.07,15.28,16.07,22500,0.0,0
1995-05-30,16.07,16.07,15.28,15.28,48900,0.0,0
1995-05-31,15.08,15.48,15.08,15.08,9900,0.0,0
1995-06-01,15.08,15.48,14.48,14.68,49000,0.0,0
1995-06-02,14.68,15.08,14.68,14.73,29400,0.0,0
1995-06-05,15.08,15.08,14.68,14.88,20000,0.0,0
1995-06-06,14.68,14.88,14.09,14.88,37300,0.0,0
1995-06-07,14.48,14.98,14.48,14.88,8900,0.0,0
1995-06-08,14.88,14.88,14.48,14.48,20700,0.0,0
1995-06-09,14.88,15.08,14.48,14.88,45000,0.0,0
1995-06-12,15.08,15.28,14.68,14.88,70700,0.0,0
1995-06-13,15.08,15.08,14.29,14.29,47900,0.0,0
1995-06-14,14.68,14.68,13.89,14.29,41900,0.0,0
1995-06-15,14.48,15.28,14.48,14.88,47900,0.0,0
1995-06-16,14.68,15.28,14.09,14.68,25900,0.0,0
1995-06-19,14.29,14.68,14.29,14.29,30100,0.0,0
1995-06-20,14.68,15.68,14.29,15.68,82300,0.0,0
1995-06-21,15.68,15.68,15.08,15.48,26700,0.0,0
1995-06-22,15.48,15.48,14.88,14.88,23000,0.0,0
1995-06-23,14.88,15.28,14.88,15.08,6600,0.0,0
1995-06-26,15.48,15.48,14.29,14.29,28500,0.0,0
1995-06-27,14.09,14.68,13.69,14.68,60100,0.0,0
1995-06-28,14.29,14.48,13.49,13.49,2075900,0.0,0
1995-06-29,13.49,13.89,13.1,13.89,260700,0.0,0
1995-06-30,13.89,14.48,13.49,14.09,134200,0.0,0
