Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-24,17.3,17.8,15.84,16.37,6707400,0,0
2019-10-25,16.16,16.65,16.0,16.15,600700,0,0
2019-10-28,16.21,16.35,15.47,15.7,577800,0,0
2019-10-29,15.4,15.98,15.4,15.41,655100,0,0
2019-10-30,15.3,15.8,15.28,15.75,133300,0,0
2019-10-31,15.75,15.75,15.75,15.75,0,0,0
2019-11-01,16.2,16.47,15.97,16.14,142900,0,0
2019-11-04,16.06,16.3,15.51,15.87,208300,0,0
2019-11-05,15.95,16.22,15.56,16.06,132800,0,0
2019-11-06,16.18,16.45,15.76,16.3,143200,0,0
2019-11-07,16.27,16.73,16.25,16.55,193500,0,0
2019-11-08,16.5,16.8,16.41,16.58,226400,0,0
2019-11-11,16.6,16.82,16.36,16.76,104700,0,0
2019-11-12,16.77,16.92,16.51,16.84,60100,0,0
2019-11-13,16.69,17.15,16.47,17.02,67500,0,0
2019-11-14,17.14,17.55,16.95,17.52,109000,0,0
2019-11-15,17.55,17.55,17.23,17.47,184000,0,0
2019-11-18,17.41,17.55,17.01,17.1,102000,0,0
2019-11-19,17.05,17.05,16.79,16.93,48300,0,0
2019-11-20,17.12,17.43,16.65,17.0,121500,0,0
2019-11-21,16.91,17.0,16.76,16.9,57300,0,0
2019-11-22,16.96,17.12,16.84,16.89,85500,0,0
2019-11-25,16.83,17.46,16.8,17.0,291300,0,0
2019-11-26,16.86,17.44,16.86,17.02,264800,0,0
2019-11-27,17.0,17.38,16.95,17.25,121300,0,0
2019-11-29,17.39,17.5,17.11,17.22,36100,0,0
2019-12-02,17.3,17.35,16.7,16.8,232700,0,0
2019-12-03,16.54,16.99,15.02,16.0,479200,0,0
2019-12-04,16.05,16.1,14.61,14.81,382300,0,0
2019-12-05,14.73,14.88,12.92,13.62,713300,0,0
2019-12-06,13.54,16.94,13.54,14.78,1023900,0,0
2019-12-09,14.78,15.05,14.21,14.25,316400,0,0
2019-12-10,14.2,14.76,14.12,14.48,190800,0,0
2019-12-11,14.4,14.95,14.26,14.62,174500,0,0
2019-12-12,14.67,14.9,14.39,14.47,150700,0,0
2019-12-13,14.47,14.91,13.75,14.15,275900,0,0
2019-12-16,14.04,14.73,13.52,13.62,414600,0,0
2019-12-17,13.72,15.15,13.69,14.8,845100,0,0
2019-12-18,14.84,15.82,14.79,15.31,471100,0,0
2019-12-19,15.45,16.37,15.36,15.97,379400,0,0
2019-12-20,15.97,16.71,15.85,16.02,2855600,0,0
2019-12-23,16.16,16.27,15.12,15.47,343200,0,0
2019-12-24,15.44,15.82,15.41,15.61,126600,0,0
2019-12-26,15.57,15.67,15.42,15.55,299500,0,0
2019-12-27,15.49,15.8,15.18,15.56,303800,0,0
2019-12-30,15.54,15.97,15.34,15.74,112700,0,0
2019-12-31,15.71,16.15,15.65,16.05,245200,0,0
2020-01-02,16.09,16.37,15.81,16.32,159200,0,0
2020-01-03,16.17,16.81,16.13,16.68,248800,0,0
2020-01-06,16.59,16.67,16.27,16.43,170200,0,0
2020-01-07,16.3,16.42,16.01,16.23,239400,0,0
2020-01-08,16.19,16.51,16.02,16.14,715400,0,0
2020-01-09,16.1,16.27,16.01,16.1,427600,0,0
2020-01-10,16.07,16.22,15.97,16.03,139000,0,0
2020-01-13,16.0,16.58,15.83,16.34,165600,0,0
2020-01-14,16.23,16.43,16.08,16.16,105700,0,0
2020-01-15,16.16,16.29,16.08,16.22,237400,0,0
2020-01-16,16.15,16.57,16.12,16.51,216800,0,0
2020-01-17,16.6,16.67,16.25,16.47,86800,0,0
2020-01-21,16.41,16.69,16.29,16.45,103800,0,0
2020-01-22,16.43,16.68,16.27,16.46,352700,0,0
2020-01-23,16.37,16.44,16.12,16.33,229700,0,0
2020-01-24,16.19,16.43,16.02,16.25,142700,0,0
2020-01-27,16.05,16.7,15.8,16.37,195400,0,0
2020-01-28,16.44,16.67,16.31,16.37,52900,0,0
2020-01-29,16.39,16.39,15.8,15.84,54300,0,0
2020-01-30,15.73,16.12,15.0,15.64,71200,0,0
2020-01-31,15.51,15.76,14.99,15.08,98700,0,0
2020-02-03,15.12,16.11,15.12,15.86,108000,0,0
2020-02-04,16.09,16.76,15.97,16.68,152900,0,0
2020-02-05,16.72,16.85,16.2,16.77,101100,0,0
2020-02-06,16.8,17.02,16.45,16.92,69200,0,0
2020-02-07,16.85,17.0,16.43,16.99,206600,0,0
2020-02-10,17.03,17.08,16.34,16.44,174900,0,0
2020-02-11,16.53,16.99,16.24,16.47,140500,0,0
2020-02-12,16.55,16.73,15.45,16.34,52600,0,0
2020-02-13,16.23,16.94,16.2,16.84,62000,0,0
2020-02-14,16.84,16.93,16.1,16.68,34000,0,0
2020-02-18,16.57,16.91,16.27,16.51,79200,0,0
2020-02-19,16.57,16.95,16.27,16.93,117600,0,0
2020-02-20,16.87,17.52,16.58,17.31,162700,0,0
2020-02-21,17.03,17.53,16.82,17.42,70600,0,0
2020-02-24,17.05,17.38,17.0,17.11,108000,0,0
2020-02-25,17.12,18.5,16.97,17.19,130900,0,0
2020-02-26,17.26,17.49,16.97,17.17,123300,0,0
2020-02-27,16.94,16.94,16.01,16.4,86400,0,0
2020-02-28,16.05,16.16,15.34,15.44,86800,0,0
2020-03-02,15.6,16.76,15.01,16.18,132900,0,0
2020-03-03,16.07,16.67,15.52,16.08,80100,0,0
2020-03-04,16.29,16.52,15.88,16.47,88800,0,0
2020-03-05,16.12,16.55,15.85,16.51,105400,0,0
2020-03-06,15.99,16.76,15.63,16.19,164900,0,0
2020-03-09,15.32,15.85,13.26,14.51,146500,0,0
2020-03-10,14.81,14.87,13.64,14.23,64611,0,0
