Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-04,9.6,9.6,9.6,9.6,23900,0,0
2017-12-05,9.6,9.6,9.6,9.6,1900,0,0
2017-12-06,9.6,9.6,9.58,9.6,32200,0,0
2017-12-07,9.65,9.7,9.64,9.64,137400,0,0
2017-12-08,9.65,9.66,9.64,9.66,28700,0,0
2017-12-11,9.66,10.93,9.6,9.68,417900,0,0
2017-12-12,9.68,9.69,9.67,9.68,62600,0,0
2017-12-13,9.68,9.68,9.68,9.68,10700,0,0
2017-12-14,9.7,9.7,9.7,9.7,70000,0,0
2017-12-15,9.8,9.8,9.7,9.75,29300,0,0
2017-12-18,9.7,9.7,9.7,9.7,16100,0,0
2017-12-19,9.7,9.7,9.7,9.7,0,0,0
2017-12-20,9.7,9.7,9.7,9.7,17500,0,0
2017-12-21,9.7,9.7,9.67,9.67,5200,0,0
2017-12-22,9.72,9.72,9.68,9.68,7200,0,0
2017-12-26,9.68,9.68,9.68,9.68,0,0,0
2017-12-27,9.83,9.83,9.68,9.74,7200,0,0
2017-12-28,9.71,9.71,9.68,9.68,2700,0,0
2017-12-29,9.68,9.68,9.68,9.68,0,0,0
2018-01-02,9.7,9.7,9.69,9.69,20700,0,0
2018-01-03,9.73,9.73,9.73,9.73,300,0,0
2018-01-04,9.73,9.73,9.73,9.73,0,0,0
2018-01-05,9.76,9.76,9.7,9.7,4200,0,0
2018-01-08,9.7,9.7,9.7,9.7,87300,0,0
2018-01-09,9.68,9.98,9.68,9.68,44000,0,0
2018-01-10,9.68,9.68,9.68,9.68,0,0,0
2018-01-11,9.68,9.68,9.68,9.68,0,0,0
2018-01-12,9.68,9.68,9.68,9.68,0,0,0
2018-01-16,9.68,9.68,9.68,9.68,0,0,0
2018-01-17,9.68,9.68,9.68,9.68,0,0,0
2018-01-18,9.68,9.68,9.68,9.68,0,0,0
2018-01-19,9.68,9.68,9.68,9.68,0,0,0
2018-01-22,9.68,9.68,9.68,9.68,0,0,0
2018-01-23,9.68,9.68,9.68,9.68,0,0,0
2018-01-24,9.68,9.68,9.68,9.68,0,0,0
2018-01-25,9.7,9.7,9.7,9.7,165100,0,0
2018-01-26,9.7,9.7,9.68,9.7,257000,0,0
2018-01-29,9.7,9.7,9.7,9.7,7900,0,0
2018-01-30,9.71,9.72,9.69,9.72,61400,0,0
2018-01-31,9.72,9.72,9.72,9.72,0,0,0
2018-02-01,9.72,9.72,9.72,9.72,0,0,0
2018-02-02,9.72,9.72,9.72,9.72,0,0,0
2018-02-05,9.73,9.74,9.73,9.74,300,0,0
2018-02-06,9.74,9.74,9.74,9.74,300,0,0
2018-02-07,9.72,9.75,9.72,9.74,87300,0,0
2018-02-08,9.74,9.74,9.74,9.74,0,0,0
2018-02-09,9.75,9.75,9.75,9.75,500,0,0
2018-02-12,9.8,9.8,9.8,9.8,1100,0,0
2018-02-13,9.8,9.8,9.8,9.8,0,0,0
2018-02-14,9.8,9.8,9.8,9.8,0,0,0
2018-02-15,9.8,9.8,9.8,9.8,0,0,0
2018-02-16,9.8,9.8,9.8,9.8,0,0,0
2018-02-20,9.79,9.8,9.77,9.77,5900,0,0
