Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-11-20,10.02,10.03,10.01,10.01,726600,0,0
2017-11-21,10.03,10.03,10.01,10.02,225300,0,0
2017-11-22,10.02,10.03,10.02,10.02,43200,0,0
2017-11-24,10.01,10.05,10.01,10.03,14400,0,0
2017-11-27,10.01,10.01,10.01,10.01,54500,0,0
2017-11-28,10.01,10.01,10.0,10.01,165900,0,0
2017-11-29,10.0,10.0,10.0,10.0,42800,0,0
2017-11-30,10.0,10.02,9.99,10.01,51600,0,0
2017-12-01,10.0,10.0,9.99,10.0,34900,0,0
2017-12-04,10.0,10.01,10.0,10.0,76400,0,0
2017-12-05,10.01,10.01,10.01,10.01,27400,0,0
2017-12-06,10.01,10.01,10.01,10.01,100,0,0
2017-12-07,10.01,10.17,10.01,10.17,72100,0,0
2017-12-08,10.14,10.17,10.14,10.17,500,0,0
2017-12-11,10.15,10.5,10.15,10.15,123400,0,0
2017-12-12,10.2,10.24,10.19,10.24,29000,0,0
2017-12-13,10.29,10.29,10.23,10.23,73400,0,0
2017-12-14,10.25,10.3,10.23,10.25,101300,0,0
2017-12-15,10.35,10.35,10.25,10.25,1400,0,0
2017-12-18,10.25,10.25,10.25,10.25,100,0,0
2017-12-19,10.2,10.2,10.2,10.2,500,0,0
2017-12-20,10.35,10.35,10.34,10.34,300,0,0
2017-12-21,10.28,10.31,10.28,10.31,300,0,0
2017-12-22,10.31,10.31,10.31,10.31,100,0,0
2017-12-26,10.31,10.31,10.31,10.31,0,0,0
2017-12-27,10.31,10.31,10.31,10.31,0,0,0
2017-12-28,10.31,10.31,10.31,10.31,0,0,0
2017-12-29,10.23,10.23,10.23,10.23,100,0,0
2018-01-02,10.21,10.21,10.21,10.21,100,0,0
2018-01-03,10.24,10.25,10.24,10.25,23700,0,0
2018-01-04,10.24,10.24,10.24,10.24,300,0,0
2018-01-05,10.22,10.24,10.22,10.24,7300,0,0
2018-01-08,10.24,10.24,10.24,10.24,101200,0,0
2018-01-09,10.24,10.24,10.24,10.24,0,0,0
2018-01-10,10.3,10.3,10.3,10.3,200,0,0
2018-01-11,10.3,10.3,10.3,10.3,48400,0,0
2018-01-12,10.3,10.3,10.3,10.3,0,0,0
2018-01-16,10.25,10.25,10.24,10.25,700,0,0
2018-01-17,10.25,10.25,10.25,10.25,0,0,0
2018-01-18,10.25,10.25,10.25,10.25,0,0,0
2018-01-19,10.22,11.0,10.22,10.48,41900,0,0
2018-01-22,10.25,10.75,10.25,10.35,25400,0,0
2018-01-23,10.35,10.35,10.35,10.35,0,0,0
2018-01-24,10.58,10.58,10.45,10.5,4200,0,0
2018-01-25,10.44,10.44,10.44,10.44,1300,0,0
2018-01-26,10.44,10.44,10.44,10.44,0,0,0
2018-01-29,10.44,10.44,10.44,10.44,0,0,0
2018-01-30,10.5,10.59,10.5,10.59,1100,0,0
2018-01-31,10.59,10.59,10.59,10.59,0,0,0
2018-02-01,10.6,10.6,10.6,10.6,100,0,0
2018-02-02,10.6,10.6,10.6,10.6,0,0,0
2018-02-05,10.55,10.55,10.55,10.55,100,0,0
2018-02-06,10.55,10.55,10.55,10.55,0,0,0
2018-02-07,10.55,10.55,10.55,10.55,0,0,0
2018-02-08,10.5,10.5,10.5,10.5,200,0,0
2018-02-09,10.63,10.63,10.63,10.63,100,0,0
