Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-07-01,3.7438,5.3817,3.7438,3.7438,0,0.0,0
1987-07-02,3.7438,5.3817,3.7438,3.7438,0,0.0,0
1987-07-06,4.0948,5.3817,4.0948,4.0948,0,0.0,0
1987-07-07,4.0948,5.3817,4.0948,4.0948,2800,0.0,0
1987-07-08,4.2118,5.3817,4.2118,4.2118,0,0.0,0
1987-07-09,5.1477,6.2007,5.1477,5.1477,3200,0.0,0
1987-07-10,5.6157,6.2007,5.6157,5.6157,3600,0.0,0
1987-07-13,5.1477,6.0837,5.1477,5.1477,1200,0.0,0
1987-07-14,5.1477,6.4347,5.1477,5.1477,400,0.0,0
1987-07-15,5.1477,6.4347,5.1477,5.1477,0,0.0,0
1987-07-16,5.2647,6.4347,5.2647,5.2647,400,0.0,0
1987-07-17,5.6157,6.5517,5.6157,5.6157,1600,0.0,0
1987-07-20,5.6157,6.3177,5.6157,5.6157,2400,0.0,0
1987-07-21,5.9082,6.0837,5.4987,5.9082,10000,0.0,0
1987-07-22,5.9082,6.0837,5.4987,5.9082,0,0.0,0
1987-07-23,6.3177,6.3177,5.7327,6.3177,2400,0.0,0
1987-07-24,6.3177,6.3177,6.0837,6.3177,7200,0.0,0
1987-07-27,6.6687,6.6687,6.4932,6.6687,3200,0.0,0
1987-07-28,7.2244,7.2536,6.5517,7.2244,6800,0.0,0
1987-07-29,7.2244,7.2536,6.5517,7.2244,0,0.0,0
1987-07-30,6.5517,6.5517,6.5517,6.5517,400,0.0,0
1987-07-31,6.5517,6.5517,6.5517,6.5517,0,0.0,0
1987-08-03,6.4347,6.4347,6.4347,6.4347,8000,0.0,0
1987-08-04,7.0196,7.0196,6.4932,7.0196,2000,0.0,0
1987-08-05,7.0196,7.0196,6.4932,7.0196,0,0.0,0
1987-08-06,7.0196,7.0196,6.4932,7.0196,0,0.0,0
1987-08-07,7.0196,7.0196,6.4932,7.0196,0,0.0,0
1987-08-10,6.6102,6.6102,6.6102,6.6102,4000,0.0,0
1987-08-11,6.4932,6.5517,6.4932,6.4932,4800,0.0,0
1987-08-12,6.4932,7.0196,6.4932,6.4932,10000,0.0,0
1987-08-13,6.4932,7.0196,6.4932,6.4932,0,0.0,0
1987-08-14,6.4932,7.0196,6.4932,6.4932,0,0.0,0
1987-08-17,6.4932,7.0196,6.4932,6.4932,0,0.0,0
1987-08-18,6.3177,6.5517,6.3177,6.3177,5200,0.0,0
1987-08-19,6.6395,6.9027,6.4347,6.6395,4400,0.0,0
1987-08-20,6.5517,6.7857,6.5517,6.5517,4000,0.0,0
1987-08-21,6.4347,6.4347,6.4347,6.4347,1600,0.0,0
1987-08-24,6.4347,6.4347,6.4347,6.4347,0,0.0,0
1987-08-25,7.0196,7.0196,6.5517,7.0196,4800,0.0,0
1987-08-26,7.0196,7.3706,7.0196,7.0196,2000,0.0,0
1987-08-27,7.0196,7.8386,7.0196,7.0196,2800,0.0,0
1987-08-28,7.1366,7.8386,7.1366,7.1366,2000,0.0,0
1987-08-31,7.1366,7.8386,7.1366,7.1366,0,0.0,0
1987-09-01,7.1366,7.4876,7.1366,7.1366,800,0.0,0
1987-09-02,7.0196,7.0196,7.0196,7.0196,400,0.0,0
1987-09-03,7.0196,7.1366,7.0196,7.0196,1600,0.0,0
