Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-17,11.13,12.39,10.74,11.09,1286600,0,0
2019-04-18,11.03,11.45,10.8,11.25,165800,0,0
2019-04-22,11.4,11.5,11.3,11.5,50200,0,0
2019-04-23,11.55,11.55,11.04,11.31,26300,0,0
2019-04-24,11.22,11.28,11.0,11.25,20900,0,0
2019-04-25,11.2,11.2,11.0,11.0,20600,0,0
2019-04-26,10.82,11.14,10.81,11.01,12700,0,0
2019-04-29,11.0,11.02,10.87,10.87,8400,0,0
2019-04-30,10.88,10.95,10.79,10.87,14600,0,0
2019-05-01,10.83,11.04,10.83,11.0,22400,0,0
2019-05-02,11.0,11.14,11.0,11.03,30300,0,0
2019-05-03,11.01,11.08,11.0,11.08,11800,0,0
2019-05-06,10.81,11.1,10.81,11.03,19700,0,0
2019-05-07,10.97,11.01,10.79,11.01,6400,0,0
2019-05-08,10.92,11.01,10.78,10.86,3300,0,0
2019-05-09,10.83,10.88,10.75,10.82,7100,0,0
2019-05-10,10.82,10.88,10.5,10.8,14500,0,0
2019-05-13,10.66,10.81,10.3,10.38,18100,0,0
2019-05-14,10.53,10.8,10.5,10.71,18900,0,0
2019-05-15,10.73,10.87,10.73,10.8,7400,0,0
2019-05-16,11.03,11.1,10.8,10.82,12000,0,0
2019-05-17,10.81,10.99,10.8,10.88,5500,0,0
2019-05-20,10.89,10.99,10.52,10.55,23900,0,0
2019-05-21,10.83,10.88,10.67,10.85,3500,0,0
2019-05-22,10.84,10.89,10.58,10.83,8400,0,0
2019-05-23,10.5,10.7,10.38,10.68,17300,0,0
2019-05-24,10.76,10.88,10.37,10.88,6700,0,0
2019-05-28,10.21,10.55,10.08,10.55,11200,0,0
2019-05-29,9.73,10.24,9.5,10.18,14000,0,0
2019-05-30,9.86,10.12,9.85,10.06,5800,0,0
2019-05-31,9.8,10.27,9.75,10.27,5100,0,0
2019-06-03,9.88,10.54,9.8,10.1,30300,0,0
2019-06-04,9.93,10.05,9.84,9.91,25500,0,0
2019-06-05,9.81,9.94,9.8,9.94,4100,0,0
2019-06-06,9.8,9.93,9.71,9.93,5200,0,0
2019-06-07,9.55,9.83,9.5,9.68,1000,0,0
2019-06-10,9.66,9.83,9.55,9.55,2100,0,0
2019-06-11,9.4,9.4,9.1,9.1,4800,0,0
2019-06-12,8.0,9.5,8.0,8.89,10100,0,0
2019-06-13,8.99,8.99,8.57,8.7,5200,0,0
2019-06-14,8.59,8.69,8.53,8.66,9400,0,0
2019-06-17,8.91,9.0,8.85,9.0,8200,0,0
2019-06-18,9.1,9.29,9.02,9.29,8300,0,0
2019-06-19,9.37,9.5,9.0,9.41,9200,0,0
2019-06-20,9.77,10.28,9.77,10.25,23500,0,0
2019-06-21,10.35,10.35,9.83,10.25,15500,0,0
2019-06-24,10.35,10.5,10.25,10.49,12500,0,0
2019-06-25,10.47,10.47,10.17,10.31,10700,0,0
2019-06-26,10.24,10.38,10.2,10.38,9200,0,0
2019-06-27,10.31,10.47,10.25,10.26,2600,0,0
2019-06-28,10.25,10.49,10.2,10.49,3600,0,0
2019-07-01,10.8,10.8,10.26,10.55,62600,0,0
2019-07-02,10.45,10.85,10.45,10.8,1500,0,0
2019-07-03,10.27,10.27,9.99,10.2,4000,0,0
2019-07-05,10.1,10.27,10.03,10.27,800,0,0
2019-07-08,10.43,10.5,10.22,10.5,1700,0,0
2019-07-09,10.47,10.51,10.35,10.51,5700,0,0
2019-07-10,10.37,10.37,10.3,10.34,1100,0,0
2019-07-11,10.26,10.5,10.07,10.07,800,0,0
2019-07-12,10.41,10.41,10.41,10.41,200,0,0
2019-07-15,10.2,10.35,9.51,10.1,5800,0,0
2019-07-16,9.89,10.08,9.89,10.0,3200,0,0
2019-07-17,9.72,10.36,9.7,10.28,9100,0,0
2019-07-18,10.16,10.45,10.1,10.15,35500,0,0
2019-07-19,10.45,10.45,10.15,10.18,2100,0,0
2019-07-22,9.96,10.15,9.9,10.05,23200,0,0
2019-07-23,9.98,9.98,9.81,9.96,5000,0,0
2019-07-24,9.9,10.15,9.9,10.15,1600,0,0
2019-07-25,10.04,10.15,10.01,10.15,1600,0,0
2019-07-26,10.01,10.44,10.01,10.44,4600,0,0
2019-07-29,10.09,10.16,10.09,10.13,900,0,0
2019-07-30,10.27,10.3,9.55,10.3,3300,0,0
2019-07-31,10.42,10.42,9.88,9.89,9600,0,0
2019-08-01,10.33,10.33,10.1,10.19,9900,0,0
2019-08-02,10.05,10.23,10.02,10.03,700,0,0
2019-08-05,9.92,10.0,9.92,10.0,3100,0,0
2019-08-06,9.96,10.08,9.85,9.95,12500,0,0
2019-08-07,9.8,10.0,9.7,9.75,9500,0,0
2019-08-08,9.53,9.61,9.3,9.41,58500,0,0
2019-08-09,9.45,9.57,9.3,9.3,9400,0,0
2019-08-12,9.31,9.31,9.31,9.31,100,0,0
2019-08-13,9.21,9.3,9.17,9.3,1800,0,0
2019-08-14,8.83,8.98,8.5,8.55,7400,0,0
2019-08-15,8.5,8.8,8.31,8.79,17200,0,0
2019-08-16,9.0,9.01,8.85,9.0,16700,0,0
2019-08-19,9.24,9.25,9.2,9.25,3500,0,0
2019-08-20,9.37,10.22,9.34,10.19,11300,0,0
2019-08-21,9.63,10.17,9.63,10.17,10700,0,0
2019-08-22,10.25,11.0,9.95,10.05,10900,0,0
2019-08-23,10.01,10.71,10.01,10.25,30600,0,0
2019-08-26,10.0,10.39,9.86,10.34,18700,0,0
2019-08-27,10.0,10.13,9.8,10.0,32600,0,0
2019-08-28,10.23,10.23,9.94,10.0,9300,0,0
2019-08-29,9.98,10.1,9.98,10.0,3900,0,0
2019-08-30,10.0,10.07,10.0,10.07,7600,0,0
2019-09-03,10.16,10.16,10.0,10.0,12200,0,0
2019-09-04,10.34,10.53,10.34,10.39,3400,0,0
2019-09-05,10.64,10.64,10.31,10.31,900,0,0
2019-09-06,10.37,10.37,10.37,10.37,100,0,0
2019-09-09,10.5,10.7,10.5,10.5,6100,0,0
2019-09-10,10.51,10.55,10.5,10.5,3900,0,0
2019-09-11,10.67,10.68,10.5,10.5,400,0,0
2019-09-12,10.5,10.54,10.4,10.5,2800,0,0
2019-09-13,10.61,10.61,10.5,10.5,800,0,0
2019-09-16,10.63,10.63,10.5,10.57,3600,0,0
2019-09-17,10.57,10.57,10.57,10.57,100,0,0
2019-09-18,10.28,10.69,10.25,10.69,3000,0,0
2019-09-19,10.34,10.65,10.19,10.19,9500,0,0
2019-09-20,10.19,10.5,10.18,10.37,1200,0,0
2019-09-23,9.68,9.89,9.52,9.63,4600,0,0
2019-09-24,9.43,9.63,9.26,9.28,7400,0,0
2019-09-25,9.4,9.8,9.14,9.51,2400,0,0
2019-09-26,9.86,9.86,9.51,9.51,900,0,0
2019-09-27,9.52,9.52,9.51,9.51,900,0,0
2019-09-30,9.51,9.82,9.11,9.11,3700,0,0
2019-10-01,9.25,9.65,9.19,9.19,8300,0,0
2019-10-02,9.14,9.14,9.01,9.04,800,0,0
2019-10-03,9.0,9.13,8.92,9.12,5500,0,0
2019-10-04,9.1,9.16,8.96,9.03,1600,0,0
2019-10-07,8.83,9.29,8.83,9.18,36800,0,0
2019-10-08,8.61,8.63,8.32,8.32,2300,0,0
2019-10-09,8.67,9.29,8.67,9.12,3800,0,0
2019-10-10,8.9,9.08,8.5,9.0,1500,0,0
2019-10-11,8.81,9.0,8.81,9.0,8600,0,0
2019-10-14,9.09,9.09,9.09,9.09,1600,0,0
2019-10-15,9.09,9.09,9.09,9.09,0,0,0
2019-10-16,8.8,8.85,8.65,8.8,5200,0,0
2019-10-17,8.81,8.89,8.81,8.85,2500,0,0
2019-10-18,8.85,8.85,8.5,8.84,2400,0,0
2019-10-21,8.9,8.9,8.9,8.9,400,0,0
2019-10-22,8.53,8.53,8.41,8.53,3900,0,0
2019-10-23,8.5,8.57,8.46,8.55,7400,0,0
2019-10-24,8.56,8.69,8.53,8.53,13400,0,0
2019-10-25,8.56,8.56,8.51,8.56,3200,0,0
2019-10-28,8.56,8.67,8.49,8.65,3200,0,0
2019-10-29,8.78,8.78,8.48,8.48,4100,0,0
2019-10-30,8.63,8.85,8.63,8.72,2300,0,0
2019-10-31,8.66,9.0,8.58,8.9,6500,0,0
2019-11-01,9.0,9.89,8.74,9.31,37000,0,0
2019-11-04,9.18,9.74,8.5,9.74,12100,0,0
2019-11-05,9.75,9.77,9.49,9.77,3400,0,0
2019-11-06,9.7,9.94,9.22,9.35,6800,0,0
2019-11-07,9.65,9.67,9.35,9.35,9700,0,0
2019-11-08,9.22,9.29,9.15,9.29,4100,0,0
2019-11-11,9.07,9.07,9.0,9.0,1700,0,0
2019-11-12,9.25,9.25,9.06,9.06,1500,0,0
2019-11-13,9.07,9.07,9.07,9.07,1700,0,0
2019-11-14,8.76,9.19,8.76,9.13,2000,0,0
2019-11-15,8.67,9.04,8.67,8.95,1000,0,0
2019-11-18,8.72,8.9,8.3,8.3,15600,0,0
2019-11-19,8.68,8.7,8.5,8.7,1100,0,0
2019-11-20,8.54,8.54,8.5,8.5,1300,0,0
2019-11-21,8.57,8.57,8.3,8.55,1100,0,0
2019-11-22,8.59,8.62,8.31,8.35,5000,0,0
2019-11-25,9.2,9.46,8.9,9.4,8700,0,0
2019-11-26,9.16,9.42,9.06,9.06,3800,0,0
2019-11-27,9.06,9.41,9.06,9.41,3600,0,0
2019-11-29,9.21,9.41,8.79,9.23,2500,0,0
2019-12-02,10.09,11.24,10.09,10.8,187900,0,0
2019-12-03,10.05,10.52,10.05,10.47,37100,0,0
2019-12-04,10.97,10.97,10.5,10.56,7200,0,0
2019-12-05,10.56,10.83,10.51,10.83,4800,0,0
2019-12-06,10.5,10.79,10.5,10.65,3500,0,0
2019-12-09,10.53,10.95,10.53,10.74,12000,0,0
2019-12-10,10.62,10.67,10.5,10.5,7000,0,0
2019-12-11,10.51,10.57,10.07,10.16,8200,0,0
2019-12-12,10.48,10.5,10.37,10.37,4200,0,0
2019-12-13,10.42,10.44,10.42,10.44,600,0,0
2019-12-16,10.15,10.46,9.99,10.03,2800,0,0
2019-12-17,10.0,10.02,9.81,10.0,3000,0,0
2019-12-18,9.82,9.84,9.15,9.55,22300,0,0
2019-12-19,9.55,9.77,9.51,9.77,3300,0,0
2019-12-20,9.76,9.8,9.65,9.65,7600,0,0
2019-12-23,9.64,9.75,9.63,9.72,5000,0,0
2019-12-24,9.72,9.72,9.72,9.72,0,0,0
2019-12-26,9.65,9.73,9.56,9.61,8200,0,0
2019-12-27,9.6,9.75,9.36,9.69,4800,0,0
2019-12-30,9.89,9.89,9.74,9.75,3200,0,0
2019-12-31,9.79,9.88,9.75,9.75,2500,0,0
2020-01-02,10.3,10.3,9.96,9.96,2900,0,0
2020-01-03,10.17,10.2,10.17,10.2,400,0,0
2020-01-06,9.77,10.23,9.75,10.23,1700,0,0
2020-01-07,9.94,9.97,9.94,9.95,1100,0,0
2020-01-08,9.91,10.01,9.9,10.01,1900,0,0
2020-01-09,10.11,10.11,9.98,10.0,1500,0,0
2020-01-10,10.1,10.17,10.1,10.1,1900,0,0
2020-01-13,10.53,10.58,10.53,10.58,1700,0,0
2020-01-14,10.75,10.77,10.7,10.75,2300,0,0
2020-01-15,10.79,10.8,10.79,10.79,146200,0,0
2020-01-16,11.25,11.73,11.25,11.72,21900,0,0
2020-01-17,11.71,11.95,11.7,11.71,12600,0,0
2020-01-21,11.81,12.45,11.81,12.22,13200,0,0
2020-01-22,12.42,12.53,12.29,12.31,8200,0,0
2020-01-23,11.36,11.86,11.36,11.86,2000,0,0
2020-01-24,11.97,12.19,11.97,12.13,4300,0,0
2020-01-27,11.6,11.82,11.37,11.68,5400,0,0
2020-01-28,11.21,11.6,11.21,11.22,26800,0,0
2020-01-29,11.23,11.23,11.23,11.23,200,0,0
2020-01-30,11.07,12.07,11.07,11.84,2500,0,0
2020-01-31,11.35,11.8,11.1,11.25,2300,0,0
2020-02-03,11.0,11.3,10.8,11.18,3700,0,0
2020-02-04,11.0,11.0,10.84,11.0,5600,0,0
2020-02-05,11.0,11.0,10.85,10.89,7900,0,0
2020-02-06,10.88,12.0,10.5,11.99,33900,0,0
2020-02-07,12.0,12.0,11.0,11.9,20100,0,0
2020-02-10,11.95,12.24,11.84,12.0,38000,0,0
2020-02-11,11.9,12.1,11.76,12.03,6300,0,0
2020-02-12,12.0,12.23,11.9,12.04,12800,0,0
2020-02-13,11.91,11.99,11.25,11.98,5500,0,0
2020-02-14,12.0,12.0,11.98,11.98,2000,0,0
2020-02-18,11.75,11.88,11.75,11.8,3700,0,0
2020-02-19,11.79,12.16,11.73,12.09,7800,0,0
2020-02-20,11.98,12.03,11.93,12.0,8200,0,0
2020-02-21,12.18,12.19,12.0,12.0,6700,0,0
2020-02-24,11.65,11.65,11.35,11.5,10000,0,0
2020-02-25,11.57,11.64,11.5,11.52,4600,0,0
2020-02-26,11.64,12.17,11.54,11.55,2600,0,0
2020-02-27,11.25,11.37,10.95,11.37,3900,0,0
2020-02-28,11.08,11.08,10.59,10.59,4300,0,0
2020-03-02,10.79,10.9,10.79,10.9,3100,0,0
2020-03-03,10.79,10.93,10.75,10.75,20600,0,0
2020-03-04,10.53,10.99,10.53,10.96,16200,0,0
2020-03-05,10.32,10.35,9.85,10.3,15700,0,0
2020-03-06,10.0,10.37,9.75,10.1,19500,0,0
2020-03-09,7.99,8.41,7.99,8.13,35800,0,0
2020-03-10,8.75,8.95,8.51,8.85,23466,0,0
