Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-09,3.516,3.6431,3.3889,3.516,302600,0.0,0.0
1996-01-10,3.516,3.6431,3.4736,3.6431,18600,0.0,0.0
1996-01-11,3.5584,3.5584,3.3889,3.3889,17600,0.0,0.0
1996-01-12,3.5584,3.5584,3.3889,3.3889,139800,0.0,0.0
1996-01-15,3.3889,3.3889,3.3889,3.3889,52600,0.0,0.0
1996-01-16,3.3889,3.4736,3.3889,3.4736,82800,0.0,0.0
1996-01-17,3.4736,3.4736,3.3889,3.4525,91000,0.0,0.0
1996-01-18,3.4525,3.516,3.4313,3.4736,66800,0.0,0.0
1996-01-19,3.4736,3.4736,3.4736,3.4736,0,0.0,0.0
1996-01-22,3.4313,3.4525,3.4313,3.4313,71600,0.0,0.0
1996-01-23,3.4313,3.516,3.4313,3.4736,14200,0.0,0.0
1996-01-24,3.4313,3.4313,3.4313,3.4313,100800,0.0,0.0
1996-01-25,3.4313,3.4313,3.4313,3.4313,35200,0.0,0.0
1996-01-26,3.4313,3.4313,3.4313,3.4313,0,0.0,0.0
1996-01-29,3.4313,3.516,3.4313,3.4313,120200,0.0,0.0
1996-01-30,3.516,3.516,3.4313,3.4525,59800,0.0,0.0
1996-01-31,3.4736,3.4736,3.4313,3.4736,70800,0.0,0.0
1996-02-01,3.4736,3.4736,3.4313,3.4736,54800,0.0,0.0
1996-02-02,3.4313,3.4736,3.4313,3.4313,13000,0.0,0.0
1996-02-05,3.4313,3.4313,3.4313,3.4313,185400,0.0,0.0
1996-02-06,3.4313,3.4736,3.4313,3.4313,42600,0.0,0.0
1996-02-07,3.4525,3.4525,3.4313,3.4313,7800,0.0,0.0
1996-02-08,3.4313,3.4313,3.4313,3.4313,11600,0.0,0.0
1996-02-09,3.4736,3.4736,3.4313,3.4736,91400,0.0,0.0
1996-02-12,3.4736,3.4736,3.4736,3.4736,0,0.0,0.0
1996-02-13,3.4313,3.4736,3.4313,3.4736,38000,0.0,0.0
1996-02-14,3.516,3.516,3.516,3.516,64800,0.0,0.0
1996-02-15,3.516,3.516,3.516,3.516,0,0.0,0.0
1996-02-16,3.4313,3.4313,3.4313,3.4313,38400,0.0,0.0
1996-02-20,3.4313,3.6431,3.4313,3.6431,19800,0.0,0.0
1996-02-21,3.5584,3.5584,3.5584,3.5584,11800,0.0,0.0
1996-02-22,3.5584,3.5584,3.5584,3.5584,0,0.0,0.0
1996-02-23,3.6431,3.6431,3.6431,3.6431,200,0.0,0.0
1996-02-26,3.4313,3.4736,3.4313,3.4736,23600,0.0,0.0
1996-02-27,3.4736,3.4736,3.4736,3.4736,0,0.0,0.0
1996-02-28,3.4736,3.4736,3.4736,3.4736,53400,0.0,0.0
1996-02-29,3.4736,3.4736,3.4736,3.4736,19800,0.0,0.0
1996-03-01,3.4736,3.4736,3.4736,3.4736,0,0.0,0.0
1996-03-04,3.4736,3.4736,3.4736,3.4736,0,0.0,0.0
1996-03-05,3.4736,3.5584,3.4736,3.516,223200,0.0,0.0
1996-03-06,3.5584,3.5584,3.516,3.516,45000,0.0,0.0
1996-03-07,3.516,3.516,3.516,3.516,0,0.0,0.0
1996-03-08,3.4736,3.6431,3.4736,3.516,35800,0.0,0.0
1996-03-11,3.516,3.6431,3.516,3.5584,90600,0.0,0.0
1996-03-12,3.516,3.516,3.516,3.516,25800,0.0,0.0
1996-03-13,3.6431,3.6431,3.6431,3.6431,400,0.0,0.0
1996-03-14,3.5584,3.5584,3.5584,3.5584,10800,0.0,0.0
1996-03-15,3.516,3.516,3.516,3.516,2000,0.0,0.0
1996-03-18,3.5584,3.5584,3.516,3.516,42800,0.0,0.0
1996-03-19,3.516,3.516,3.516,3.516,18200,0.0,0.0
1996-03-20,3.516,3.516,3.516,3.516,7400,0.0,0.0
1996-03-21,3.516,3.516,3.516,3.516,0,0.0,0.0
1996-03-22,3.516,3.516,3.516,3.516,79400,0.0,0.0
1996-03-25,3.516,3.516,3.516,3.516,9600,0.0,0.0
1996-03-26,3.516,3.516,3.516,3.516,8600,0.0,0.0
1996-03-27,3.6431,3.6431,3.6431,3.6431,200,0.0,0.0
1996-03-28,3.6431,3.6431,3.6431,3.6431,0,0.0,0.0
1996-03-29,3.516,3.516,3.516,3.516,9400,0.0,0.0
