Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-05-20,10.0,10.0,10.0,10.0,0,0,0
2015-05-21,10.25,10.89,9.23,10.44,9553400,0,0
2015-05-22,10.8,11.22,10.5,11.08,2806600,0,0
2015-05-26,11.4,13.7,11.2,12.78,4898900,0,0
2015-05-27,13.58,14.77,12.05,12.24,4104300,0,0
2015-05-28,11.84,12.39,11.4,11.88,1768000,0,0
2015-05-29,12.06,12.45,11.88,12.22,831000,0,0
2015-06-01,12.39,13.09,11.37,11.49,1686600,0,0
2015-06-02,11.82,11.89,11.12,11.34,818500,0,0
2015-06-03,11.17,11.39,10.88,10.91,1128200,0,0
2015-06-04,10.65,11.34,10.61,10.76,1058400,0,0
2015-06-05,10.78,11.2,10.71,10.96,791100,0,0
2015-06-08,11.24,12.09,11.05,11.85,1392900,0,0
2015-06-09,11.85,11.87,11.25,11.37,477400,0,0
2015-06-10,11.31,11.74,11.31,11.59,385900,0,0
2015-06-11,11.65,11.99,11.6,11.85,623400,0,0
2015-06-12,11.7,12.7,11.51,12.48,1344600,0,0
2015-06-15,12.2,12.47,11.7,11.84,1092100,0,0
2015-06-16,11.66,12.0,11.4,11.93,562300,0,0
2015-06-17,11.97,12.35,11.78,11.89,790600,0,0
2015-06-18,12.4,12.5,11.86,12.09,1439000,0,0
2015-06-19,11.99,12.05,11.65,11.77,601500,0,0
2015-06-22,11.82,11.84,11.5,11.62,568900,0,0
2015-06-23,11.56,11.82,11.4,11.75,567400,0,0
2015-06-24,11.75,12.05,11.53,11.71,1070700,0,0
2015-06-25,11.69,11.69,11.31,11.44,473900,0,0
2015-06-26,11.2,11.39,10.32,11.06,906700,0,0
2015-06-29,10.52,10.8,9.95,10.12,1113000,0,0
2015-06-30,10.48,10.8,10.4,10.77,464000,0,0
2015-07-01,10.6,10.6,10.3,10.31,393400,0,0
2015-07-02,10.27,10.5,10.05,10.23,374400,0,0
2015-07-06,9.99,10.0,9.54,9.55,553700,0,0
2015-07-07,9.37,9.55,7.05,7.43,3467800,0,0
2015-07-08,6.66,7.57,6.65,7.16,1172000,0,0
2015-07-09,8.1,8.45,8.01,8.13,1115500,0,0
2015-07-10,8.84,8.94,8.15,8.33,693000,0,0
2015-07-13,8.35,8.59,8.15,8.15,453900,0,0
2015-07-14,8.1,8.16,7.8,8.09,397200,0,0
2015-07-15,7.99,8.04,7.67,7.67,409800,0,0
