Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-10-07,4.8507,4.8507,4.7037,4.8507,6300,0.0,0
2003-10-08,4.8017,4.8507,4.8017,4.8507,2200,0.0,0
2003-10-09,4.8017,4.8507,4.8017,4.8017,17700,0.0,0
2003-10-10,4.8997,4.8997,4.8017,4.8017,16600,0.0,0
2003-10-13,4.8997,4.8997,4.8997,4.8997,600,0.0,0
2003-10-14,4.8997,4.8997,4.8017,4.8017,300,0.0,0
2003-10-15,4.8017,4.8017,4.8017,4.8017,0,0.0,0
2003-10-16,4.8017,4.8997,4.8017,4.8997,5700,0.0,0
2003-10-17,4.8997,5.2916,4.8507,5.2916,72600,0.0,0
2003-10-20,5.2916,6.4676,5.2916,6.4676,283100,0.0,0
2003-10-21,6.5656,6.6635,5.4876,6.2716,86100,0.0,0
2003-10-22,6.3206,6.6635,6.0756,6.5656,58400,0.0,0
2003-10-23,6.9575,8.1334,6.9085,8.0355,425800,0.0,0
2003-10-24,8.6234,11.1712,8.0355,11.0242,278900,0.0,0
2003-10-27,11.6612,11.6612,9.4074,9.7013,235500,0.0,0
2003-10-28,9.7013,10.7793,9.2114,10.7597,118300,0.0,0
2003-10-29,10.6813,11.2202,10.3873,10.8871,79600,0.0,0
2003-10-30,11.5142,11.5632,10.5343,10.9753,64600,0.0,0
2003-10-31,10.7793,10.9752,10.1913,10.1913,30900,0.0,0
2003-11-03,10.5441,10.7793,10.1913,10.5833,44400,0.0,0
2003-11-04,10.5833,11.2692,10.5833,10.8773,44400,0.0,0
2003-11-05,10.9361,11.1712,10.3873,10.7303,28300,0.0,0
2003-11-06,10.7303,11.0242,10.2893,10.4853,33200,0.0,0
2003-11-07,10.4853,10.7793,10.1913,10.2893,21500,0.0,0
2003-11-10,10.6813,11.1222,10.4853,11.1222,59500,0.0,0
2003-11-11,11.6122,14.552,11.4162,14.454,111900,0.0,0
2003-11-12,14.601,18.1288,14.503,14.699,190800,0.0,0
2003-11-13,14.013,15.189,12.7391,13.5721,106700,0.0,0
2003-11-14,13.3271,13.7191,12.0532,12.9841,83900,0.0,0
2003-11-17,13.2291,14.307,13.1311,13.3271,84500,0.0,0
2003-11-18,14.601,14.699,13.3761,13.7191,58000,0.0,0
2003-11-19,13.7191,14.699,13.5231,13.8661,36800,0.0,0
2003-11-20,14.405,14.601,13.7681,13.7681,30400,0.0,0
2003-11-21,13.7191,13.7191,13.2781,13.3271,15300,0.0,0
2003-11-24,14.16,14.16,13.1801,13.3271,31600,0.0,0
2003-11-25,13.3271,13.3271,12.3472,12.3472,38700,0.0,0
2003-11-26,12.1512,12.2492,10.9263,10.9753,108200,0.0,0
2003-11-28,11.0732,12.2492,11.0732,12.0532,39300,0.0,0
2003-12-01,12.6901,12.9841,12.2492,12.7881,78600,0.0,0
2003-12-02,12.8861,14.16,12.7881,14.013,52300,0.0,0
2003-12-03,14.601,14.944,13.4741,13.5721,53200,0.0,0
2003-12-04,13.8171,14.405,12.6901,12.8371,32900,0.0,0
