Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-10-08,4.86,5.49,4.86,5.46,39600,0.0,0.0
1997-10-09,5.46,5.52,5.46,5.52,1300,0.0,0.0
1997-10-10,5.52,5.57,5.52,5.57,18900,0.0,0.0
1997-10-13,5.6,5.65,5.6,5.65,2200,0.0,0.0
1997-10-14,5.68,5.76,5.68,5.76,3600,0.0,0.0
1997-10-15,5.79,5.9,5.79,5.9,3100,0.0,0.0
1997-10-16,5.94,6.17,5.94,6.15,10800,0.0,0.0
1997-10-17,6.2,6.28,6.2,6.28,6700,0.0,0.0
1997-10-20,6.36,6.45,6.34,6.38,18900,0.0,0.0
1997-10-21,6.4,6.57,6.4,6.43,15700,0.07778,0.0
1997-10-22,6.37,6.54,6.37,6.54,16600,0.0,0.0
1997-10-23,6.43,6.44,6.37,6.4,4500,0.0,0.0
1997-10-24,6.46,6.46,6.46,6.46,900,0.0,0.0
1997-10-27,6.48,6.51,6.48,6.48,2200,0.0,0.0
1997-10-28,6.37,6.48,6.37,6.48,11200,0.0,0.0
1997-10-29,6.43,6.43,6.43,6.43,2200,0.0,0.0
1997-10-30,6.4,6.43,6.4,6.43,1800,0.0,0.0
1997-10-31,6.4,6.46,6.4,6.43,2200,0.0,0.0
1997-11-03,6.48,6.51,6.48,6.51,2700,0.0,0.0
1997-11-04,6.48,6.48,6.48,6.48,2700,0.0,0.0
1997-11-05,6.48,6.48,6.48,6.48,6700,0.0,0.0
1997-11-06,6.48,6.48,6.48,6.48,2700,0.0,0.0
1997-11-07,6.54,6.62,6.54,6.62,5800,0.0,0.0
1997-11-10,6.59,6.65,6.59,6.65,4000,0.0,0.0
1997-11-11,6.65,6.65,6.65,6.65,400,0.0,0.0
1997-11-12,6.68,6.68,6.57,6.68,11200,0.0,0.0
1997-11-13,6.62,6.62,6.51,6.54,8500,0.0,0.0
1997-11-14,6.57,6.65,6.57,6.61,2700,0.0,0.0
1997-11-17,6.64,6.64,6.59,6.59,2200,0.0,0.0
1997-11-18,6.65,6.65,6.62,6.62,1300,0.0,0.0
1997-11-19,6.51,6.54,6.48,6.54,7600,0.0,0.0
1997-11-20,6.54,6.54,6.54,6.54,0,0.0,0.0
1997-11-21,6.54,6.57,6.54,6.57,7600,0.0,0.0
1997-11-24,6.51,6.51,6.51,6.51,2200,0.0,0.0
1997-11-25,6.54,6.54,6.54,6.54,6700,0.0,0.0
1997-11-26,6.54,6.54,6.48,6.48,10300,0.0,0.0
1997-11-28,6.48,6.48,6.48,6.48,0,0.0,0.0
1997-12-01,6.48,6.48,6.48,6.48,0,0.0,0.0
1997-12-02,6.43,6.46,6.43,6.46,900,0.0,0.0
1997-12-03,6.46,6.46,6.43,6.43,900,0.0,0.0
1997-12-04,6.16,6.21,6.13,6.21,27900,0.0,0.0
1997-12-05,6.21,6.43,6.21,6.43,6700,0.0,0.0
1997-12-08,6.43,6.43,6.43,6.43,0,0.0,0.0
1997-12-09,6.43,6.43,6.43,6.43,0,0.0,0.0
1997-12-10,6.43,6.43,6.43,6.43,0,0.0,0.0
1997-12-11,6.37,6.4,6.37,6.37,3100,0.0,0.0
1997-12-12,6.4,6.4,6.4,6.4,6700,0.0,0.0
1997-12-15,6.36,6.36,6.36,6.36,900,0.0,0.0
1997-12-16,6.36,6.36,6.36,6.36,0,0.0,0.0
1997-12-17,6.37,6.37,6.37,6.37,900,0.0,0.0
1997-12-18,6.4,6.48,6.4,6.48,9400,0.0,0.0
1997-12-19,6.48,6.48,6.29,6.29,6300,0.0,0.0
1997-12-22,6.35,6.46,6.35,6.46,6300,0.0,0.0
1997-12-23,6.46,6.46,6.46,6.46,0,0.0,0.0
1997-12-24,6.46,6.46,6.46,6.46,0,0.0,0.0
1997-12-26,6.46,6.46,6.46,6.46,0,0.0,0.0
1997-12-29,6.44,6.44,6.44,6.44,900,0.0,0.0
1997-12-30,6.4,6.4,6.4,6.4,400,0.0,0.0
1997-12-31,6.43,6.48,6.43,6.44,7200,0.0,0.0
1998-01-02,6.4,6.4,6.4,6.4,900,0.0,0.0
1998-01-05,6.46,6.48,6.46,6.48,1300,0.0,0.0
1998-01-06,6.48,6.48,6.48,6.48,0,0.0,0.0
1998-01-07,6.54,6.54,6.54,6.54,400,0.0,0.0
1998-01-08,6.48,6.48,6.4,6.4,4500,0.0,0.0
1998-01-09,6.35,6.37,6.35,6.37,1300,0.0,0.0
