Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-05,2.33,2.79,2.33,2.71,4575000,0,0.0
1992-06-08,2.75,2.88,2.71,2.71,1802400,0,0.0
1992-06-09,2.67,2.79,2.62,2.69,1360200,0,0.0
1992-06-10,2.62,2.71,2.62,2.62,203400,0,0.0
1992-06-11,2.71,2.83,2.67,2.71,751800,0,0.0
1992-06-12,2.83,2.83,2.71,2.83,579000,0,0.0
1992-06-15,2.75,2.83,2.75,2.75,238800,0,0.0
1992-06-16,2.81,2.83,2.75,2.79,815400,0,0.0
1992-06-17,2.75,2.83,2.62,2.62,1240800,0,0.0
1992-06-18,2.62,2.75,2.62,2.67,666000,0,0.0
1992-06-19,2.62,2.67,2.62,2.67,30600,0,0.0
1992-06-22,2.62,2.67,2.62,2.67,252000,0,0.0
1992-06-23,2.71,2.71,2.62,2.62,123600,0,0.0
1992-06-24,2.67,2.79,2.67,2.67,12600,0,0.0
1992-06-25,2.79,2.88,2.67,2.83,573600,0,0.0
1992-06-26,2.88,2.88,2.71,2.88,50400,0,0.0
1992-06-29,2.88,3.08,2.83,2.96,237000,0,0.0
1992-06-30,2.96,3.08,2.96,2.96,23400,0,0.0
1992-07-01,3.08,3.08,2.96,3.04,19800,0,0.0
1992-07-02,3.0,3.08,2.96,3.0,180600,0,0.0
1992-07-06,3.0,3.04,3.0,3.04,169800,0,0.0
1992-07-07,3.08,3.08,3.0,3.06,97800,0,0.0
1992-07-08,3.0,3.04,3.0,3.0,43800,0,0.0
1992-07-09,3.0,3.08,3.0,3.08,150600,0,0.0
1992-07-10,3.08,3.25,3.04,3.25,93600,0,0.0
1992-07-13,3.33,3.42,3.21,3.21,351600,0,0.0
1992-07-14,3.27,3.33,3.21,3.33,718800,0,0.0
1992-07-15,3.33,3.33,3.12,3.12,274200,0,0.0
1992-07-16,3.12,3.25,3.12,3.25,21000,0,0.0
1992-07-17,3.25,3.25,3.19,3.19,5400,0,0.0
1992-07-20,3.12,3.12,3.12,3.12,2400,0,0.0
1992-07-21,3.12,3.21,3.12,3.21,41400,0,0.0
1992-07-22,3.25,3.25,3.12,3.12,3000,0,0.0
1992-07-23,3.12,3.19,3.12,3.12,15000,0,0.0
1992-07-24,3.12,3.12,3.12,3.12,6000,0,0.0
1992-07-27,3.25,3.25,3.21,3.21,18000,0,0.0
1992-07-28,3.29,3.46,3.29,3.4,300000,0,0.0
1992-07-29,3.5,3.71,3.46,3.62,336000,0,0.0
1992-07-30,3.62,3.75,3.62,3.62,259800,0,0.0
1992-07-31,3.62,3.71,3.62,3.71,51600,0,0.0
1992-08-03,3.62,3.71,3.62,3.67,13200,0,0.0
1992-08-04,3.62,3.71,3.62,3.62,27600,0,0.0
1992-08-05,3.62,3.62,3.62,3.62,2400,0,0.0
1992-08-06,3.62,3.67,3.62,3.67,39000,0,0.0
1992-08-07,3.62,3.71,3.62,3.71,74400,0,0.0
1992-08-10,3.67,3.75,3.62,3.67,361200,0,0.0
1992-08-11,3.62,3.71,3.62,3.71,12600,0,0.0
1992-08-12,3.62,3.62,3.62,3.62,16800,0,0.0
1992-08-13,3.62,3.71,3.62,3.62,34200,0,0.0
1992-08-14,3.62,3.71,3.62,3.71,43200,0,0.0
1992-08-17,3.62,3.71,3.62,3.67,487200,0,0.0
1992-08-18,3.71,3.71,3.62,3.71,121800,0,0.0
1992-08-19,3.62,3.71,3.62,3.71,211200,0,0.0
1992-08-20,3.62,3.62,3.62,3.62,30000,0,0.0
1992-08-21,3.79,3.92,3.71,3.92,120000,0,0.0
1992-08-24,3.88,4.0,3.79,3.85,244200,0,0.0
1992-08-25,3.75,3.88,3.62,3.69,162600,0,0.0
1992-08-26,3.62,3.79,3.62,3.71,37800,0,0.0
1992-08-27,3.79,3.79,3.79,3.79,3600,0,0.0
1992-08-28,3.79,3.83,3.67,3.75,450600,0,0.0
1992-08-31,3.83,3.83,3.83,3.83,10200,0,0.0
1992-09-01,3.83,3.88,3.75,3.88,92400,0,0.0
1992-09-02,3.88,3.88,3.75,3.79,130200,0,0.0
1992-09-03,3.79,3.98,3.79,3.88,58800,0,0.0
