Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-04,24.46,24.47,24.43,24.45,10100,0.0,0
2017-05-05,24.51,24.53,24.42,24.53,254300,0.0,0
2017-05-08,24.58,24.58,24.4,24.42,13600,0.0,0
2017-05-09,24.43,24.48,24.43,24.48,900,0.0,0
2017-05-10,24.51,24.51,24.42,24.46,10100,0.0,0
2017-05-11,24.46,24.46,24.35,24.43,11100,0.0,0
2017-05-12,24.48,24.48,24.36,24.36,41500,0.0,0
2017-05-15,24.46,24.52,24.46,24.5,1600,0.0,0
2017-05-16,24.52,24.52,24.45,24.45,1600,0.0,0
2017-05-17,24.3,24.3,23.99,24.0,13000,0.0,0
2017-05-18,23.98,24.16,23.96,24.13,2800,0.0,0
2017-05-19,24.25,24.38,24.25,24.33,5100,0.0,0
2017-05-22,24.42,24.47,24.42,24.47,600,0.0,0
2017-05-23,24.46,24.46,24.45,24.46,900,0.0,0
2017-05-24,24.6,24.6,24.53,24.55,2300,0.0,0
2017-05-25,24.61,24.7,24.6,24.6,5000,0.0,0
2017-05-26,24.73,24.73,24.64,24.65,4000,0.0,0
2017-05-30,24.66,24.66,24.62,24.62,4500,0.0,0
2017-05-31,24.64,24.64,24.47,24.64,8300,0.0,0
2017-06-01,24.78,24.87,24.77,24.87,4100,0.0,0
2017-06-02,24.93,25.01,24.91,25.01,1500,0.0,0
2017-06-05,25.05,25.05,24.97,25.0,45900,0.0,0
2017-06-06,24.89,24.96,24.89,24.93,400700,0.0,0
2017-06-07,24.97,24.97,24.83,24.89,5900,0.0,0
2017-06-08,24.94,24.94,24.79,24.85,5800,0.0,0
2017-06-09,24.84,24.9,24.71,24.71,2200,0.0,0
2017-06-12,24.56,24.63,24.56,24.59,2300,0.0,0
2017-06-13,24.79,24.85,24.77,24.85,3900,0.0,0
2017-06-14,24.78,24.78,24.66,24.66,1300,0.0,0
2017-06-15,24.62,24.62,24.53,24.59,8500,0.0,0
2017-06-16,24.62,24.62,24.53,24.61,1200,0.0,0
2017-06-19,24.83,24.93,24.83,24.9,11300,0.0,0
2017-06-20,24.82,24.82,24.76,24.76,1800,0.0,0
2017-06-21,24.89,24.89,24.89,24.89,7400,0.0,0
2017-06-22,25.03,25.05,24.97,25.01,6500,0.0,0
2017-06-23,25.06,25.1,25.03,25.08,9300,0.0,0
2017-06-26,25.19,25.19,25.05,25.05,4800,0.0,0
2017-06-27,25.04,25.04,24.78,24.78,7800,0.0,0
2017-06-28,24.87,25.03,24.87,25.03,5200,0.0,0
2017-06-29,24.81,24.83,24.55,24.76,5500,0.0,0
2017-06-30,24.76,24.79,24.76,24.79,500,0.0,0
2017-07-03,24.78,24.78,24.78,24.78,100,0.0,0
2017-07-05,24.85,24.87,24.85,24.87,300,0.0,0
2017-07-06,24.68,24.82,24.61,24.61,1500,0.0,0
2017-07-07,24.68,24.77,24.68,24.77,7200,0.0,0
2017-07-10,24.87,24.9,24.87,24.9,1100,0.0,0
2017-07-11,24.82,24.89,24.78,24.89,7800,0.0,0
2017-07-12,25.07,25.08,25.07,25.07,1700,0.0,0
2017-07-13,25.07,25.18,25.07,25.18,9700,0.0,0
2017-07-14,25.18,25.18,25.18,25.18,0,0.0,0
2017-07-17,25.33,25.34,25.29,25.33,1300,0.0,0
2017-07-18,25.24,25.31,25.24,25.31,1900,0.0,0
2017-07-19,25.49,25.59,25.48,25.58,3400,0.0,0
2017-07-20,25.64,25.64,25.63,25.63,1000,0.0,0
2017-07-21,25.58,25.61,25.57,25.59,8400,0.0,0
2017-07-24,25.54,25.61,25.54,25.61,2100,0.0,0
2017-07-25,25.66,25.66,25.61,25.62,1300,0.0,0
2017-07-26,25.73,25.73,25.57,25.6,2600,0.0,0
2017-07-27,25.56,25.57,25.29,25.39,4500,0.0,0
2017-07-28,25.35,25.4,25.35,25.37,2900,0.0,0
2017-07-31,25.3,25.3,25.3,25.3,200,0.0,0
2017-08-01,25.34,25.34,25.34,25.34,700,0.0,0
2017-08-02,25.18,25.18,25.1,25.1,1000,0.0,0
2017-08-03,25.26,25.26,25.16,25.2,1200,0.0,0
2017-08-04,25.19,25.19,25.19,25.19,200,0.0,0
2017-08-07,25.22,25.25,25.22,25.25,800,0.0,0
2017-08-08,25.31,25.31,25.08,25.1,9200,0.0,0
2017-08-09,25.06,25.06,25.02,25.03,900,0.0,0
2017-08-10,24.96,24.96,24.69,24.69,4600,0.0,0
2017-08-11,24.78,24.78,24.78,24.78,800,0.0,0
2017-08-14,24.78,24.78,24.78,24.78,0,0.0,0
2017-08-15,24.99,24.99,24.92,24.92,1200,0.0,0
2017-08-16,25.11,25.11,25.01,25.05,3700,0.0,0
2017-08-17,24.92,24.92,24.71,24.71,4200,0.0,0
2017-08-18,24.55,24.66,24.55,24.66,600,0.0,0
2017-08-21,24.66,24.66,24.66,24.66,0,0.0,0
2017-08-22,24.78,24.93,24.78,24.93,1000,0.0,0
2017-08-23,24.82,24.87,24.82,24.87,4300,0.0,0
2017-08-24,24.91,24.91,24.82,24.82,300,0.0,0
2017-08-25,24.9,24.91,24.88,24.89,80100,0.0,0
2017-08-28,24.84,24.88,24.84,24.88,600,0.0,0
2017-08-29,24.97,24.97,24.73,24.92,1800,0.0,0
2017-08-30,24.95,25.14,24.95,25.14,2000,0.0,0
2017-08-31,25.03,25.4,25.03,25.36,2300,0.0,0
2017-09-01,25.49,25.53,25.4,25.5,23500,0.0,0
2017-09-05,25.52,25.52,25.37,25.37,4700,0.0,0
2017-09-06,25.37,25.48,25.37,25.46,1600,0.0,0
2017-09-07,25.55,25.55,25.38,25.4,2300,0.0,0
2017-09-08,25.26,25.35,25.26,25.3,4700,0.0,0
2017-09-11,25.48,25.48,25.42,25.48,2900,0.0,0
2017-09-12,25.49,25.58,25.43,25.58,7900,0.0,0
2017-09-13,25.64,25.64,25.61,25.63,4400,0.0,0
2017-09-14,25.69,25.69,25.54,25.61,9000,0.0,0
2017-09-15,25.58,25.6,25.57,25.58,2400,0.0,0
2017-09-18,25.72,25.72,25.58,25.59,1100,0.0,0
2017-09-19,25.58,25.59,25.53,25.59,3400,0.0,0
2017-09-20,25.64,25.64,25.51,25.59,6600,0.0,0
2017-09-21,25.49,25.56,25.49,25.51,3100,0.0,0
2017-09-22,25.49,25.49,25.46,25.48,1200,0.0,0
2017-09-25,25.49,25.49,25.41,25.42,300,0.0,0
2017-09-26,25.52,25.52,25.47,25.49,1000,0.0,0
2017-09-27,25.51,25.67,25.51,25.62,4000,0.0,0
2017-09-28,25.58,25.62,25.58,25.59,3400,0.0,0
2017-09-29,25.66,25.72,25.52,25.72,5500,0.0,0
2017-10-02,25.83,25.85,25.82,25.85,1200,0.0,0
2017-10-03,25.94,25.94,25.82,25.88,5300,0.0,0
2017-10-04,25.93,25.93,25.93,25.93,100,0.0,0
2017-10-05,26.05,26.12,25.97,26.12,3400,0.0,0
2017-10-06,26.07,26.07,26.02,26.04,2600,0.0,0
2017-10-09,26.08,26.08,26.04,26.04,700,0.0,0
2017-10-10,26.04,26.04,25.99,26.02,15300,0.0,0
2017-10-11,26.1,26.1,25.94,26.01,202300,0.0,0
2017-10-12,26.05,26.07,26.05,26.05,800,0.0,0
2017-10-13,26.17,26.17,26.08,26.12,66100,0.0,0
2017-10-16,26.23,26.24,26.07,26.09,2900,0.0,0
2017-10-17,26.21,26.26,26.21,26.26,3000,0.0,0
2017-10-18,26.27,26.27,26.23,26.24,3700,0.0,0
2017-10-19,26.25,26.25,26.1,26.24,11300,0.0,0
2017-10-20,26.43,26.43,26.29,26.36,2600,0.0,0
2017-10-23,26.36,26.36,26.21,26.21,2500,0.0,0
2017-10-24,26.08,26.14,26.07,26.1,7000,0.0,0
2017-10-25,25.96,26.01,25.96,25.97,5900,0.0,0
2017-10-26,25.93,25.98,25.93,25.93,7300,0.0,0
2017-10-27,26.06,26.2,26.06,26.19,2500,0.0,0
2017-10-30,26.21,26.21,26.12,26.12,6700,0.0,0
2017-10-31,26.12,26.19,26.12,26.15,8700,0.0,0
2017-11-01,26.34,26.34,26.17,26.22,1100,0.0,0
2017-11-02,26.14,26.14,26.04,26.07,18100,0.0,0
2017-11-03,26.23,26.31,26.23,26.31,12000,0.0,0
2017-11-06,26.38,26.38,26.38,26.38,400,0.0,0
2017-11-07,26.45,26.45,26.41,26.41,2600,0.0,0
2017-11-08,26.43,26.5,26.4,26.47,4100,0.0,0
2017-11-09,26.42,26.45,26.3,26.39,3300,0.0,0
2017-11-10,26.39,26.39,26.39,26.39,300,0.0,0
2017-11-13,26.39,26.39,26.35,26.35,3200,0.0,0
2017-11-14,26.23,26.24,26.22,26.23,2500,0.0,0
2017-11-15,26.05,26.19,26.05,26.16,2000,0.0,0
2017-11-16,26.3,26.42,26.3,26.4,3100,0.0,0
2017-11-17,26.47,26.47,26.41,26.45,2600,0.0,0
2017-11-20,26.54,26.54,26.38,26.41,1400,0.0,0
