Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-20,9.0,9.0,9.0,9.0,100,0,0
2019-11-21,12.6,13.0,8.21,8.99,4070300,0,0
2019-11-22,8.05,8.98,7.5,8.98,663700,0,0
2019-11-25,8.88,8.98,7.36,8.29,1110400,0,0
2019-11-26,8.25,8.49,8.0,8.19,673600,0,0
2019-11-27,8.25,8.42,8.05,8.25,132500,0,0
2019-11-29,8.26,8.46,8.01,8.25,97100,0,0
2019-12-02,8.09,8.4,8.09,8.35,95300,0,0
2019-12-03,8.29,8.46,8.17,8.18,67100,0,0
2019-12-04,8.22,8.435,8.01,8.07,50200,0,0
2019-12-05,8.0,8.097,7.52,7.85,284600,0,0
2019-12-06,8.1,8.1,7.1,7.8,354900,0,0
2019-12-09,7.9,7.9,7.18,7.25,142800,0,0
2019-12-10,7.24,7.24,6.455,6.57,198400,0,0
2019-12-11,6.59,6.59,6.05,6.17,164000,0,0
2019-12-12,6.11,6.23,5.55,5.71,202200,0,0
2019-12-13,5.75,5.85,5.2,5.24,212200,0,0
2019-12-16,5.2,5.21,4.56,4.65,442300,0,0
2019-12-17,4.6,5.33,4.561,5.19,451700,0,0
2019-12-18,5.2,5.28,4.6,4.63,424800,0,0
2019-12-19,4.57,4.86,4.55,4.65,201800,0,0
2019-12-20,4.61,4.96,4.61,4.77,75800,0,0
2019-12-23,4.93,5.69,4.93,5.29,446400,0,0
2019-12-24,5.22,5.73,5.22,5.69,243600,0,0
2019-12-26,5.68,6.242,5.5,5.58,206800,0,0
2019-12-27,5.53,5.87,5.53,5.63,694000,0,0
2019-12-30,5.71,6.6,5.5,6.53,393000,0,0
2019-12-31,6.51,6.55,6.01,6.1,116700,0,0
2020-01-02,6.09,6.125,5.6,6.02,225500,0,0
2020-01-03,6.04,6.34,5.91,6.07,160600,0,0
2020-01-06,6.08,6.26,5.87,5.88,87300,0,0
2020-01-07,6.05,6.1,5.62,5.82,80000,0,0
2020-01-08,5.8,6.26,5.8,6.12,115900,0,0
2020-01-09,6.25,6.58,6.01,6.49,193300,0,0
2020-01-10,6.5,6.66,6.35,6.49,247100,0,0
2020-01-13,6.42,6.56,6.33,6.44,61100,0,0
2020-01-14,6.41,6.5,6.08,6.14,128900,0,0
2020-01-15,6.15,6.292,5.51,5.62,240700,0,0
2020-01-16,5.66,5.92,5.56,5.78,90700,0,0
2020-01-17,5.8,6.2,5.8,6.0,82400,0,0
2020-01-21,6.04,6.2,5.6,5.7,132700,0,0
2020-01-22,5.85,5.9,5.13,5.24,808500,0,0
2020-01-23,5.21,5.37,5.011,5.08,87800,0,0
2020-01-24,5.08,5.16,5.05,5.07,39500,0,0
2020-01-27,5.05,5.282,4.8,4.99,61800,0,0
2020-01-28,5.0,5.203,5.0,5.05,60400,0,0
2020-01-29,5.04,5.71,5.04,5.67,89800,0,0
2020-01-30,5.7,5.88,5.55,5.86,168500,0,0
2020-01-31,5.9,6.5,5.297,6.0,262400,0,0
2020-02-03,5.92,5.92,5.4,5.58,216800,0,0
2020-02-04,5.5,5.5,5.05,5.11,277500,0,0
2020-02-05,5.2,5.49,4.86,4.94,149300,0,0
2020-02-06,5.1,5.29,4.82,4.88,253700,0,0
2020-02-07,5.05,5.11,4.5,4.55,336400,0,0
2020-02-10,4.5,4.65,4.44,4.57,355400,0,0
2020-02-11,4.76,4.76,4.31,4.4,325400,0,0
2020-02-12,4.42,8.69,4.41,8.04,11997700,0,0
2020-02-13,7.06,7.46,6.03,6.64,4089200,0,0
2020-02-14,6.95,7.48,6.75,6.78,1932600,0,0
2020-02-18,6.83,6.84,5.7,5.75,1349700,0,0
2020-02-19,5.82,6.38,5.7,5.71,1029100,0,0
2020-02-20,5.5,5.65,5.11,5.32,745300,0,0
2020-02-21,5.26,5.95,5.188,5.86,580400,0,0
2020-02-24,5.99,6.09,5.47,5.65,494800,0,0
2020-02-25,5.62,5.62,5.31,5.5,326500,0,0
2020-02-26,5.4,5.57,5.35,5.5,332800,0,0
2020-02-27,5.23,5.6,5.05,5.36,451600,0,0
2020-02-28,5.23,5.23,4.8,5.09,314000,0,0
2020-03-02,5.13,5.48,4.93,5.04,225100,0,0
2020-03-03,5.02,5.28,4.83,4.9,291900,0,0
2020-03-04,4.9,4.97,4.66,4.66,229000,0,0
2020-03-05,4.63,4.889,4.61,4.83,311800,0,0
2020-03-06,4.7,4.83,4.2,4.26,418800,0,0
2020-03-09,4.05,4.05,3.3,3.38,594700,0,0
2020-03-10,3.64,3.65,3.42,3.43,456130,0,0
