Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-02,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-01-03,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-01-04,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-01-05,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-01-08,0.04,0.04,0.04,0.04,12000,0.0,0.0
1996-01-09,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-10,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-11,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-12,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-15,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-16,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-17,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-18,0.03,0.03,0.03,0.03,5800,0.0,0.0
1996-01-19,0.04,0.04,0.04,0.04,4300,0.0,0.0
1996-01-22,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-23,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-24,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-25,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-26,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-29,0.04,0.04,0.04,0.04,0,0.0,0.0
1996-01-30,0.03,0.03,0.03,0.03,3700,0.0,0.0
1996-01-31,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-01,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-02,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-05,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-06,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-07,0.03,0.03,0.03,0.03,36800,0.0,0.0
1996-02-08,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-09,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-12,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-13,0.03,0.03,0.03,0.03,17900,0.0,0.0
1996-02-14,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-15,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-16,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-20,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-21,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-22,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-23,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-26,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-27,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-28,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-02-29,0.03,0.03,0.03,0.03,0,0.0,0.0
1996-03-01,-0.04,-0.04,-0.04,-0.04,61700,0.22973,0.0
1996-03-04,-0.05,-0.05,-0.04,-0.04,66000,0.0,0.0
