Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-12-14,0.0,2.17,2.07,2.12,64800,0.0,0.0
1990-12-17,1.85,2.07,1.85,1.85,17200,0.0,0.0
1990-12-18,1.89,1.98,1.89,1.96,57600,0.0,0.0
1990-12-19,1.96,1.98,1.9,1.96,8400,0.0,0.0
1990-12-20,1.63,1.63,1.63,1.63,0,0.0,0.0
1990-12-21,2.01,2.01,2.01,2.01,400,0.0,0.0
1990-12-24,1.98,1.98,1.98,1.98,1200,0.0,0.0
1990-12-26,1.98,1.98,1.88,1.98,24000,0.0,0.0
1990-12-27,1.98,1.98,1.98,1.98,0,0.0,0.0
1990-12-28,1.94,1.96,1.9,1.9,46000,0.0,0.0
1990-12-31,1.96,1.98,1.96,1.98,4800,0.0,0.0
1991-01-02,1.9,1.98,1.9,1.98,40000,0.0,0.0
1991-01-03,1.92,1.98,1.92,1.98,8000,0.0,0.0
1991-01-04,1.98,1.98,1.98,1.98,0,0.0,0.0
1991-01-07,2.05,2.05,2.05,2.05,0,0.1252,0.0
1991-01-08,2.05,2.05,2.05,2.05,0,0.0,0.0
1991-01-09,2.05,2.05,2.05,2.05,0,0.0,0.0
1991-01-10,2.02,2.02,1.94,1.94,101200,0.0,0.0
1991-01-11,1.94,1.94,1.94,1.94,0,0.0,0.0
1991-01-14,1.94,1.94,1.94,1.94,0,0.0,0.0
1991-01-15,2.02,2.02,2.02,2.02,8800,0.0,0.0
1991-01-16,2.02,2.02,2.02,2.02,0,0.0,0.0
1991-01-17,1.97,1.97,1.97,1.97,400,0.0,0.0
1991-01-18,1.97,2.02,1.97,2.02,5600,0.0,0.0
1991-01-21,1.97,2.02,1.97,2.02,15600,0.0,0.0
1991-01-22,2.02,2.02,2.02,2.02,0,0.0,0.0
1991-01-23,1.94,2.02,1.94,2.02,2800,0.0,0.0
1991-01-24,2.14,2.14,2.02,2.11,17600,0.0,0.0
1991-01-25,2.02,2.08,2.02,2.05,28000,0.0,0.0
1991-01-28,2.05,2.05,2.05,2.05,2800,0.0,0.0
1991-01-29,2.05,2.14,2.02,2.02,11200,0.0,0.0
1991-01-30,2.02,2.02,2.02,2.02,0,0.0,0.0
1991-01-31,2.02,2.09,2.0,2.0,45600,0.0,0.0
1991-02-01,2.02,2.08,2.02,2.08,6400,0.0,0.0
1991-02-04,2.02,2.09,2.02,2.09,14800,0.0,0.0
1991-02-05,2.08,2.11,2.05,2.11,30400,0.0,0.0
1991-02-06,2.11,2.11,2.05,2.05,43200,0.0,0.0
1991-02-07,2.11,2.11,2.05,2.08,32000,0.0,0.0
1991-02-08,2.09,2.11,2.09,2.11,16000,0.0,0.0
1991-02-11,2.11,2.11,2.11,2.11,0,0.0,0.0
1991-02-12,2.05,2.08,2.05,2.08,14800,0.0,0.0
1991-02-13,2.08,2.08,2.08,2.08,0,0.0,0.0
1991-02-14,2.08,2.08,2.07,2.08,23200,0.0,0.0
1991-02-15,2.08,2.08,2.08,2.08,26400,0.0,0.0
1991-02-19,2.05,2.05,2.05,2.05,17200,0.0,0.0
1991-02-20,1.98,2.0,1.98,2.0,2800,0.0,0.0
1991-02-21,2.08,2.08,2.02,2.02,26400,0.0,0.0
1991-02-22,2.02,2.02,2.02,2.02,10800,0.0,0.0
1991-02-25,2.02,2.02,2.02,2.02,0,0.0,0.0
1991-02-26,2.0,2.08,2.0,2.08,62400,0.0,0.0
1991-02-27,2.02,2.08,2.02,2.02,33600,0.0,0.0
1991-02-28,2.05,2.05,2.05,2.05,1200,0.0,0.0
1991-03-01,2.02,2.05,2.02,2.05,29200,0.0,0.0
1991-03-04,2.05,2.05,2.02,2.05,5200,0.0,0.0
1991-03-05,2.05,2.05,2.05,2.05,2800,0.0,0.0
1991-03-06,2.11,2.14,2.08,2.14,70000,0.0,0.0
1991-03-07,2.14,2.14,2.14,2.14,0,0.0,0.0
1991-03-08,2.14,2.19,2.11,2.19,12000,0.0,0.0
1991-03-11,2.19,2.19,2.19,2.19,0,0.0,0.0
1991-03-12,2.19,2.19,2.19,2.19,0,0.0,0.0
1991-03-13,2.09,2.11,2.09,2.11,5600,0.0,0.0
1991-03-14,2.11,2.11,2.05,2.05,7600,0.0,0.0
1991-03-15,2.05,2.07,2.05,2.07,7600,0.0,0.0
1991-03-18,2.02,2.02,2.02,2.02,800,0.0,0.0
1991-03-19,2.07,2.08,2.07,2.07,25200,0.0,0.0
1991-03-20,2.07,2.07,2.07,2.07,0,0.0,0.0
1991-03-21,2.02,2.08,2.02,2.08,4800,0.0,0.0
1991-03-22,2.05,2.08,2.05,2.08,24400,0.0,0.0
1991-03-25,2.05,2.08,2.05,2.05,15600,0.0,0.0
1991-03-26,2.08,2.08,2.05,2.05,7600,0.0,0.0
1991-03-27,2.08,2.08,2.08,2.08,5200,0.0,0.0
1991-03-28,2.08,2.08,2.05,2.08,44000,0.0,0.0
1991-04-01,2.08,2.08,2.08,2.08,400,0.0,0.0
1991-04-02,2.05,2.08,2.05,2.08,67600,0.0,0.0
1991-04-03,2.05,2.05,2.05,2.05,4800,0.0,0.0
1991-04-04,2.05,2.05,2.05,2.05,0,0.0,0.0
1991-04-05,2.08,2.08,2.05,2.08,7600,0.0,0.0
1991-04-08,2.1,2.1,2.1,2.1,1200,0.03125,0.0
1991-04-09,2.1,2.1,2.1,2.1,0,0.0,0.0
1991-04-10,2.1,2.1,2.07,2.07,15200,0.0,0.0
1991-04-11,2.1,2.1,2.1,2.1,6400,0.0,0.0
1991-04-12,2.1,2.1,2.1,2.1,0,0.0,0.0
1991-04-15,2.1,2.1,2.07,2.07,17200,0.0,0.0
1991-04-16,2.07,2.1,2.07,2.07,17200,0.0,0.0
1991-04-17,2.1,2.1,2.1,2.1,3600,0.0,0.0
1991-04-18,2.1,2.1,2.07,2.07,3600,0.0,0.0
1991-04-19,2.04,2.07,2.04,2.07,9600,0.0,0.0
