Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-02-14,26.5,26.5,26.5,26.5,100,0,0.0
2005-02-15,27.5,27.5,27.5,27.5,0,0,0.0
2005-02-16,27.5,27.5,27.5,27.5,100,0,0.0
2005-02-17,28.75,28.75,28.75,28.75,200,0,0.0
2005-02-18,28.75,28.75,28.75,28.75,0,0,0.0
2005-02-22,28.75,28.75,28.75,28.75,0,0,0.0
2005-02-23,28.75,28.75,28.75,28.75,0,0,0.0
2005-02-24,28.75,28.75,28.75,28.75,0,0,0.0
2005-02-25,28.0,28.75,28.0,28.75,200,0,0.0
2005-02-28,28.75,28.75,28.75,28.75,0,0,0.0
2005-03-01,28.75,28.75,28.75,28.75,0,0,0.0
2005-03-02,28.75,28.75,28.75,28.75,0,0,0.0
2005-03-03,28.75,28.75,27.5,27.5,800,0,0.0
2005-03-04,28.75,28.75,28.5,28.5,1100,0,0.0
2005-03-07,29.0,32.5,28.75,31.5,2200,0,0.0
2005-03-08,32.0,32.0,31.75,31.75,2100,0,0.0
2005-03-09,32.5,32.5,32.2,32.5,1000,0,0.0
2005-03-10,33.0,33.0,32.0,32.0,400,0,0.0
2005-03-11,32.0,33.75,32.0,33.75,1000,0,0.0
2005-03-14,33.75,34.5,33.75,34.5,1700,0,0.0
2005-03-15,34.5,35.5,34.5,35.5,1500,0,0.0
2005-03-16,35.5,36.5,35.5,36.5,2900,0,0.0
2005-03-17,36.5,36.5,35.5,36.5,500,0,0.0
2005-03-18,36.5,36.5,35.25,35.5,1000,0,0.0
2005-03-21,35.5,35.75,32.5,35.0,700,0,0.0
2005-03-22,33.25,34.0,33.25,33.25,700,0,0.0
2005-03-23,33.25,33.25,33.25,33.25,0,0,0.0
2005-03-24,32.5,32.5,32.5,32.5,200,0,0.0
2005-03-28,32.5,32.5,32.5,32.5,0,0,0.0
2005-03-29,32.5,32.5,32.5,32.5,100,0,0.0
2005-03-30,33.25,33.25,32.5,32.5,100,0,0.0
2005-03-31,32.5,32.5,32.5,32.5,0,0,0.0
2005-04-01,32.5,32.5,32.5,32.5,0,0,0.0
2005-04-04,32.5,32.5,32.5,32.5,0,0,0.0
