Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-04-12,701.69,701.69,643.22,675.19,23200,0.0,0.0
2006-04-13,700.91,700.91,653.36,662.71,1700,0.0,0.0
2006-04-17,682.98,682.98,656.47,665.83,400,0.0,0.0
2006-04-18,648.68,666.61,612.81,635.42,1200,0.0,0.0
2006-04-19,647.12,647.12,580.85,605.02,3100,0.0,0.0
2006-04-20,604.24,612.03,594.88,594.88,700,0.0,0.0
2006-04-21,661.93,661.93,596.44,598.0,400,0.0,0.0
2006-04-24,627.63,627.63,594.88,605.02,300,0.0,0.0
2006-04-25,662.71,662.71,597.22,599.56,400,0.0,0.0
2006-04-26,623.73,623.73,596.44,599.56,200,0.0,0.0
2006-04-27,637.76,637.76,594.88,600.34,300,0.0,0.0
2006-04-28,601.9,605.8,573.05,584.75,300,0.0,0.0
2006-05-01,587.08,591.76,587.08,591.76,0,0.0,0.0
2006-05-02,582.41,585.53,569.15,583.19,700,0.0,0.0
2006-05-03,584.75,596.44,580.85,592.54,300,0.0,0.0
2006-05-04,600.34,619.83,584.75,588.64,0,0.0,0.0
2006-05-05,611.25,615.93,611.25,615.93,0,0.0,0.0
2006-05-08,639.32,639.32,560.58,582.41,100,0.0,0.0
2006-05-09,584.75,599.56,584.75,592.54,0,0.0,0.0
2006-05-10,584.75,600.34,583.19,600.34,100,0.0,0.0
2006-05-11,600.34,600.34,576.95,585.53,100,0.0,0.0
2006-05-12,576.95,588.64,576.95,584.75,0,0.0,0.0
2006-05-15,584.75,588.64,573.05,576.95,300,0.0,0.0
2006-05-16,576.17,588.64,575.39,577.73,100,0.0,0.0
2006-05-17,617.49,617.49,565.25,566.03,800,0.0,0.0
2006-05-18,554.34,588.64,554.34,576.17,200,0.0,0.0
2006-05-19,564.47,576.95,564.47,573.05,0,0.0,0.0
2006-05-22,580.85,596.44,553.56,580.85,400,0.0,0.0
2006-05-23,590.2,608.14,548.1,558.24,300,0.0,0.0
2006-05-24,566.03,588.64,565.25,574.61,100,0.0,0.0
2006-05-25,581.63,588.64,568.37,569.93,200,0.0,0.0
2006-05-26,588.64,588.64,566.03,579.29,0,0.0,0.0
2006-05-30,583.19,583.19,576.17,580.85,0,0.0,0.0
2006-05-31,576.95,580.07,572.27,573.05,0,0.0,0.0
2006-06-01,571.49,583.97,571.49,573.05,0,0.0,0.0
2006-06-02,580.85,580.85,560.58,565.25,0,0.0,0.0
2006-06-05,577.73,577.73,566.03,569.15,200,0.0,0.0
2006-06-06,567.59,573.05,566.81,569.15,200,0.0,0.0
2006-06-07,569.15,569.93,562.14,562.14,0,0.0,0.0
2006-06-08,569.93,569.93,560.58,561.36,0,0.0,0.0
2006-06-09,561.36,573.05,552.0,561.36,0,0.0,0.0
2006-06-12,560.58,560.58,560.58,560.58,0,0.0,0.0
2006-06-13,560.58,580.85,555.12,559.02,600,0.0,0.0
2006-06-14,569.15,571.49,558.24,561.36,0,0.0,0.0
2006-06-15,551.22,568.37,551.22,568.37,0,0.0,0.0
2006-06-16,580.85,580.85,545.76,552.0,0,0.0,0.0
2006-06-19,576.17,576.17,546.54,548.88,100,0.0,0.0
2006-06-20,546.54,557.46,541.08,555.9,900,0.0,0.0
2006-06-21,541.08,556.68,520.81,522.37,200,0.0,0.0
2006-06-22,544.2,544.98,523.15,525.49,0,0.0,0.0
2006-06-23,549.66,553.56,534.07,539.53,0,0.0,0.0
2006-06-26,544.98,552.78,526.27,527.83,0,0.0,0.0
2006-06-27,542.64,544.98,521.59,530.95,0,0.0,0.0
2006-06-28,539.53,565.25,519.25,519.25,100,0.0,0.0
2006-06-29,520.81,520.81,516.91,516.91,0,0.0,0.0
2006-06-30,522.37,544.98,522.37,537.19,0,0.0,0.0
2006-07-03,524.71,524.71,515.36,515.36,0,0.0,0.0
2006-07-05,514.58,569.15,514.58,530.17,400,0.0,0.0
2006-07-06,526.27,529.39,519.25,529.39,0,0.0,0.0
2006-07-07,518.47,533.29,518.47,527.83,0,0.0,0.0
2006-07-10,523.15,530.17,523.15,527.83,0,0.0,0.0
2006-07-11,530.95,537.97,530.95,535.63,100,0.0,0.0
2006-07-12,541.08,541.08,541.08,541.08,0,0.0,0.0
2006-07-13,545.76,561.36,530.17,534.07,0,0.0,0.0
2006-07-14,522.37,523.15,513.8,513.8,0,0.0,0.0
2006-07-17,526.27,526.27,514.58,520.03,0,0.0,0.0
2006-07-18,513.02,513.8,491.19,509.9,0,0.0,0.0
2006-07-19,510.68,510.68,505.22,505.22,0,0.0,0.0
2006-07-20,491.19,510.68,474.03,474.03,0,0.0,0.0
2006-07-21,469.36,510.68,463.12,467.8,200,0.0,0.0
2006-07-24,459.22,490.41,458.44,483.39,0,0.0,0.0
2006-07-25,487.29,487.29,487.29,487.29,0,0.0,0.0
2006-07-26,457.66,510.68,456.1,502.1,0,0.0,0.0
2006-07-27,509.9,522.37,481.83,481.83,0,0.0,0.0
2006-07-28,522.37,522.37,467.8,487.29,0,0.0,0.0
2006-07-31,456.88,522.37,453.76,520.81,0,0.0,0.0
2006-08-01,506.78,506.78,478.71,478.71,0,0.0,0.0
2006-08-02,477.93,477.93,472.47,472.47,0,0.0,0.0
2006-08-03,472.47,472.47,472.47,472.47,0,0.0,0.0
2006-08-04,467.8,467.8,467.8,467.8,0,0.0,0.0
2006-08-07,467.8,467.8,459.22,460.0,500,0.0,0.0
2006-08-08,460.0,461.56,449.86,452.2,0,0.0,0.0
2006-08-09,460.0,467.02,448.3,449.86,100,0.0,0.0
2006-08-10,449.08,452.2,431.93,442.85,0,0.0,0.0
2006-08-11,436.61,436.61,428.81,436.61,0,0.0,0.0
2006-08-14,428.81,451.42,410.88,441.29,100,0.0,0.0
2006-08-15,452.2,452.2,432.71,432.71,0,0.0,0.0
2006-08-16,436.61,436.61,432.71,436.61,100,0.0,0.0
2006-08-17,428.81,428.81,424.92,424.92,100,0.0,0.0
2006-08-18,425.69,464.68,425.69,430.37,100,0.0,0.0
2006-08-21,434.27,466.24,430.37,436.61,0,0.0,0.0
2006-08-22,432.71,436.61,432.71,434.27,0,0.0,0.0
2006-08-23,436.61,436.61,432.71,432.71,0,0.0,0.0
2006-08-24,434.27,436.61,434.27,434.27,0,0.0,0.0
2006-08-25,436.61,436.61,434.27,436.61,0,0.0,0.0
2006-08-28,436.61,436.61,436.61,436.61,0,0.0,0.0
2006-08-29,436.61,436.61,436.61,436.61,0,0.0,0.0
2006-08-30,436.61,436.61,436.61,436.61,0,0.0,0.0
2006-08-31,436.61,440.51,428.81,428.81,200,0.0,0.0
2006-09-01,423.36,424.92,417.12,421.02,200,0.0,0.0
2006-09-05,435.83,435.83,426.47,426.47,0,0.0,0.0
2006-09-06,434.27,436.61,434.27,436.61,0,0.0,0.0
2006-09-07,436.61,444.41,431.93,431.93,0,0.0,0.0
2006-09-08,428.81,452.2,410.1,426.47,0,0.0,0.0
2006-09-11,417.12,417.12,417.12,417.12,0,0.0,0.0
2006-09-12,435.05,436.61,428.81,436.61,0,0.0,0.0
2006-09-13,424.92,425.69,424.92,425.69,0,0.0,0.0
2006-09-14,436.61,436.61,435.83,435.83,0,0.0,0.0
2006-09-15,424.92,428.81,410.1,417.12,0,0.0,0.0
2006-09-18,431.15,435.83,421.8,428.81,100,0.0,0.0
2006-09-19,418.68,420.24,418.68,420.24,0,0.0,0.0
2006-09-20,428.81,448.3,428.81,445.97,200,0.0,0.0
2006-09-21,448.3,456.1,448.3,454.54,0,0.0,0.0
2006-09-22,460.0,460.0,453.76,453.76,0,0.0,0.0
2006-09-25,444.41,448.3,431.15,448.3,0,0.0,0.0
2006-09-26,428.81,429.59,428.81,429.59,0,0.0,0.0
2006-09-27,431.93,432.71,428.81,432.71,0,0.0,0.0
2006-09-28,432.71,447.53,432.71,447.53,0,0.0,0.0
2006-09-29,452.2,452.2,441.29,441.29,0,0.0,0.0
2006-10-02,451.42,456.1,428.81,456.1,0,0.0,0.0
2006-10-03,456.1,460.0,453.76,455.32,4800,0.0,0.0
2006-10-04,463.9,467.8,460.0,467.8,100,0.0,0.0
2006-10-05,467.8,467.8,467.8,467.8,0,0.0,0.0
2006-10-06,467.8,475.59,467.8,475.59,0,0.0,0.0
2006-10-09,467.8,506.78,453.76,506.78,0,0.0,0.0
2006-10-10,501.32,505.22,491.19,497.42,0,0.0,0.0
2006-10-11,491.97,492.75,444.41,456.1,400,0.0,0.0
