Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-06-04,125.0,125.0,10.0,25.0,300,0,0.0
2007-06-05,15.0,25.0,5.0,14.0,400,0,0.0
2007-06-06,5.0,30.0,5.0,20.0,600,0,0.0
2007-06-07,25.0,30.0,15.0,18.0,1100,0,0.0
2007-06-08,22.0,22.0,10.0,14.0,0,0,0.0
2007-06-11,12.0,15.0,11.0,12.0,500,0,0.0
2007-06-12,11.0,14.0,9.0,10.0,900,0,0.0
2007-06-13,7.0,9.0,7.0,7.0,900,0,0.0
2007-06-14,9.0,9.0,8.0,9.0,400,0,0.0
2007-06-15,8.0,8.0,7.0,7.0,1500,0,0.0
2007-06-18,6.0,6.0,5.0,6.0,1200,0,0.0
2007-06-19,6.0,8.0,6.0,8.0,1600,0,0.0
2007-06-20,8.0,8.0,8.0,8.0,0,0,0.0
2007-06-21,7.0,9.0,7.0,9.0,300,0,0.0
2007-06-22,8.0,9.0,8.0,9.0,200,0,0.0
2007-06-25,8.0,8.0,7.0,8.0,300,0,0.0
2007-06-26,7.0,8.0,7.0,8.0,100,0,0.0
2007-06-27,8.0,8.0,8.0,8.0,300,0,0.0
2007-06-28,7.0,9.0,7.0,7.0,100,0,0.0
2007-06-29,9.0,9.0,7.0,7.0,500,0,0.0
2007-07-02,7.0,8.0,7.0,8.0,300,0,0.0
2007-07-03,8.0,8.0,8.0,8.0,0,0,0.0
2007-07-05,8.0,8.0,6.0,8.0,1100,0,0.0
2007-07-06,6.0,7.0,6.0,7.0,700,0,0.0
2007-07-09,7.0,7.0,7.0,7.0,200,0,0.0
2007-07-10,6.0,7.0,6.0,7.0,200,0,0.0
2007-07-11,7.0,9.0,6.0,9.0,900,0,0.0
2007-07-12,8.0,9.0,7.0,8.0,500,0,0.0
2007-07-13,8.0,9.0,8.0,8.0,600,0,0.0
2007-07-16,8.0,8.0,8.0,8.0,500,0,0.0
2007-07-17,8.0,8.0,7.0,7.0,300,0,0.0
2007-07-18,7.0,8.0,7.0,8.0,200,0,0.0
2007-07-19,8.0,8.0,7.0,7.0,200,0,0.0
2007-07-20,7.0,8.0,7.0,8.0,200,0,0.0
2007-07-23,8.0,8.0,7.0,8.0,200,0,0.0
2007-07-24,6.0,7.0,6.0,7.0,400,0,0.0
2007-07-25,7.0,8.0,7.0,7.0,700,0,0.0
2007-07-26,7.0,8.0,7.0,7.0,200,0,0.0
2007-07-27,7.0,8.0,7.0,8.0,400,0,0.0
2007-07-30,7.0,8.0,7.0,8.0,400,0,0.0
2007-07-31,8.0,10.0,8.0,10.0,700,0,0.0
2007-08-01,12.0,12.0,10.0,10.0,400,0,0.0
2007-08-02,10.0,30.0,10.0,25.0,3400,0,0.0
2007-08-03,28.0,29.0,18.0,22.0,4900,0,0.0
2007-08-06,18.0,22.0,14.0,15.0,2800,0,0.0
2007-08-07,14.0,16.0,14.0,16.0,400,0,0.0
2007-08-08,16.0,20.0,14.0,20.0,100,0,0.0
2007-08-09,20.0,20.0,16.0,19.0,100,0,0.0
2007-08-10,19.0,19.0,14.0,18.0,900,0,0.0
2007-08-13,18.0,18.0,18.0,18.0,0,0,0.0
2007-08-14,18.0,18.0,14.0,15.0,800,0,0.0
2007-08-15,14.0,16.0,13.0,15.0,300,0,0.0
2007-08-16,13.0,14.0,12.0,13.0,300,0,0.0
2007-08-17,12.0,13.0,12.0,13.0,0,0,0.0
2007-08-20,13.0,18.0,12.0,18.0,300,0,0.0
2007-08-21,18.0,18.0,13.0,16.0,100,0,0.0
2007-08-22,13.0,15.0,13.0,14.0,300,0,0.0
2007-08-23,14.0,14.0,12.0,14.0,900,0,0.0
2007-08-24,12.0,13.0,12.0,13.0,100,0,0.0
2007-08-27,13.0,14.0,12.0,14.0,400,0,0.0
2007-08-28,14.0,14.0,11.0,13.0,2100,0,0.0
2007-08-29,13.0,13.0,11.0,13.0,300,0,0.0
2007-08-30,11.0,13.0,11.0,13.0,0,0,0.0
2007-08-31,11.0,13.0,9.0,12.0,1500,0,0.0
2007-09-04,11.0,12.0,9.0,12.0,800,0,0.0
2007-09-05,11.0,13.0,11.0,12.0,800,0,0.0
2007-09-06,12.0,12.0,11.0,12.0,300,0,0.0
2007-09-07,13.0,13.0,11.0,12.0,200,0,0.0
2007-09-10,11.0,12.0,10.0,11.0,200,0,0.0
2007-09-11,11.0,11.0,10.0,11.0,100,0,0.0
2007-09-12,10.0,11.0,9.0,11.0,100,0,0.0
2007-09-13,9.0,11.0,9.0,10.0,700,0,0.0
2007-09-14,10.0,10.0,9.0,10.0,100,0,0.0
2007-09-17,10.0,10.0,9.0,9.0,100,0,0.0
2007-09-18,9.0,10.0,8.0,10.0,1100,0,0.0
2007-09-19,8.0,10.0,8.0,10.0,100,0,0.0
2007-09-20,10.0,10.0,9.0,9.0,2000,0,0.0
2007-09-21,9.0,10.0,9.0,9.0,700,0,0.0
2007-09-24,8.0,8.0,8.0,8.0,100,0,0.0
2007-09-25,8.0,9.0,8.0,8.0,200,0,0.0
2007-09-26,8.0,9.0,8.0,8.0,100,0,0.0
2007-09-27,8.0,9.0,8.0,8.0,1000,0,0.0
2007-09-28,8.0,9.0,8.0,9.0,300,0,0.0
2007-10-01,9.0,9.0,8.0,8.0,0,0,0.0
2007-10-02,8.0,8.0,7.0,7.0,700,0,0.0
2007-10-03,7.0,7.0,7.0,7.0,100,0,0.0
2007-10-04,9.0,9.0,8.0,9.0,1000,0,0.0
2007-10-05,8.0,8.0,8.0,8.0,100,0,0.0
2007-10-08,8.0,13.0,8.0,13.0,4700,0,0.0
2007-10-09,13.0,13.0,9.0,10.0,1600,0,0.0
2007-10-10,9.0,11.0,9.0,10.0,1500,0,0.0
2007-10-11,10.0,10.0,9.0,9.0,200,0,0.0
2007-10-12,9.0,10.0,9.0,9.0,600,0,0.0
2007-10-15,8.0,9.0,8.0,8.0,1000,0,0.0
2007-10-16,8.0,8.0,8.0,8.0,300,0,0.0
2007-10-17,9.0,9.0,8.0,8.0,100,0,0.0
2007-10-18,8.0,11.0,8.0,10.0,2600,0,0.0
2007-10-19,8.0,10.0,8.0,10.0,600,0,0.0
2007-10-22,10.0,11.0,9.0,9.0,1100,0,0.0
2007-10-23,9.0,11.0,9.0,10.0,200,0,0.0
2007-10-24,9.0,10.0,9.0,10.0,0,0,0.0
2007-10-25,10.0,10.0,9.0,10.0,700,0,0.0
