Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-29,5.5,5.5,5.5,5.5,0,0,0
2008-01-30,5.5,5.5,5.5,5.5,0,0,0
2008-01-31,4.5,4.5,4.5,4.5,500,0,0
2008-02-01,4.5,4.5,4.5,4.5,0,0,0
2008-02-04,4.5,4.5,4.5,4.5,0,0,0
2008-02-05,3.5,4.55,3.5,3.75,1700,0,0
2008-02-06,4.0,4.1,4.0,4.01,21400,0,0
2008-02-07,4.75,5.54,4.75,5.26,9000,0,0
2008-02-08,4.95,5.0,4.9,5.0,25000,0,0
2008-02-11,5.0,5.0,5.0,5.0,500,0,0
2008-02-12,5.0,5.0,4.75,4.75,10500,0,0
2008-02-13,4.75,5.25,4.75,5.2,11000,0,0
2008-02-14,5.15,5.18,5.0,5.18,13000,0,0
2008-02-15,5.15,5.15,5.0,5.0,15300,0,0
2008-02-19,5.0,5.25,5.0,5.25,12700,0,0
2008-02-20,5.1,5.1,5.05,5.05,5900,0,0
2008-02-21,5.05,5.05,5.0,5.0,7500,0,0
2008-02-22,4.95,5.0,4.95,4.99,27500,0,0
2008-02-25,4.99,4.99,4.99,4.99,0,0,0
2008-02-26,4.75,4.95,4.7,4.95,36300,0,0
2008-02-27,5.0,5.0,5.0,5.0,24000,0,0
2008-02-28,4.9,4.9,4.9,4.9,1000,0,0
2008-02-29,5.0,5.85,5.0,5.85,2000,0,0
2008-03-03,5.85,5.85,5.85,5.85,0,0,0
2008-03-04,5.0,5.23,5.0,5.15,7500,0,0
2008-03-05,5.15,5.15,5.15,5.15,0,0,0
2008-03-06,5.15,5.15,5.15,5.15,0,0,0
2008-03-07,5.15,5.15,5.15,5.15,0,0,0
2008-03-10,5.15,5.15,5.15,5.15,0,0,0
2008-03-11,4.7,4.9,4.7,4.9,5500,0,0
2008-03-12,4.9,4.9,4.9,4.9,0,0,0
2008-03-13,4.9,4.9,4.9,4.9,0,0,0
2008-03-14,4.9,4.9,4.9,4.9,0,0,0
2008-03-17,4.9,4.9,4.9,4.9,0,0,0
2008-03-18,4.9,4.9,4.9,4.9,0,0,0
2008-03-19,4.7,4.7,4.7,4.7,2000,0,0
2008-03-20,4.7,4.7,4.7,4.7,0,0,0
