Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-10-25,20.26,20.55,19.5,20.37,9747200,0,0
2001-10-26,20.26,21.17,20.04,21.1,1491100,0,0
2001-10-29,21.05,21.15,20.2,20.25,488500,0,0
2001-10-30,20.29,20.3,19.65,20.0,1883000,0,0
2001-10-31,20.09,20.5,19.95,20.39,288800,0,0
2001-11-01,20.03,20.83,19.95,20.83,128300,0,0
2001-11-02,20.7,22.75,20.7,22.69,359600,0,0
2001-11-05,22.75,22.75,21.5,21.65,432500,0,0
2001-11-06,21.65,21.99,21.55,21.55,55600,0,0
2001-11-07,21.53,23.0,21.45,22.58,292700,0,0
2001-11-08,22.46,26.3,22.45,24.18,973500,0,0
2001-11-09,23.8,24.7,23.16,23.2,355800,0,0
2001-11-12,23.25,23.74,22.58,22.69,206200,0,0
2001-11-13,23.25,24.0,23.2,23.25,920700,0,0
2001-11-14,23.21,24.25,23.2,23.9,86900,0,0
2001-11-15,23.82,25.14,23.82,24.9,234700,0,0
2001-11-16,25.12,25.12,24.11,24.11,70800,0,0
2001-11-19,24.78,25.05,24.25,24.25,122500,0,0
2001-11-20,24.37,24.9,24.2,24.8,147200,0,0
2001-11-21,25.05,25.05,24.5,24.8,117200,0,0
2001-11-23,24.7,25.0,24.55,25.0,4400,0,0
2001-11-26,24.75,25.24,24.75,24.9,70700,0,0
2001-11-27,25.18,26.24,24.85,26.2,98200,0,0
2001-11-28,25.75,28.15,25.75,27.8,372100,0,0
2001-11-29,27.9,28.35,26.4,26.46,293800,0,0
2001-11-30,26.4,26.59,25.63,25.75,231500,0,0
2001-12-03,25.66,26.25,24.75,25.27,441900,0,0
2001-12-04,25.45,26.8,25.44,26.67,189100,0,0
2001-12-05,26.85,29.25,26.56,28.0,295200,0,0
2001-12-06,28.25,28.25,27.35,27.4,172000,0,0
2001-12-07,27.21,27.31,26.95,27.0,105700,0,0
2001-12-10,26.95,27.0,26.35,26.35,71000,0,0
2001-12-11,26.3,27.6,26.26,26.45,358100,0,0
2001-12-12,26.78,27.27,26.58,27.0,113900,0,0
2001-12-13,26.55,27.55,26.2,27.55,136000,0,0
2001-12-14,27.26,27.65,26.41,27.1,332900,0,0
2001-12-17,27.44,27.44,26.91,27.25,609400,0,0
2001-12-18,27.3,27.3,26.65,26.75,162600,0,0
2001-12-19,26.75,27.1,26.45,26.95,98300,0,0
2001-12-20,26.8,27.4,26.68,26.75,253000,0,0
2001-12-21,26.99,27.5,26.7,27.39,195500,0,0
2001-12-24,27.5,27.55,27.2,27.5,17500,0,0
2001-12-26,27.48,27.95,27.15,27.5,62700,0,0
2001-12-27,27.79,27.8,26.75,26.85,99200,0,0
2001-12-28,26.77,26.77,26.2,26.25,129000,0,0
