Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-09,12.1,13.9,11.1,13.37,3094900,0,0
2018-02-12,14.09,16.79,14.01,15.55,580300,0,0
2018-02-13,15.53,19.41,15.53,17.8,595400,0,0
2018-02-14,18.0,19.3,17.86,18.03,395200,0,0
2018-02-15,17.85,18.5,16.6,17.53,259700,0,0
2018-02-16,18.05,18.75,17.76,18.5,209200,0,0
2018-02-20,18.74,19.0,18.35,18.52,109100,0,0
2018-02-21,18.4,18.93,17.3,17.42,104700,0,0
2018-02-22,17.46,18.42,17.11,17.59,129100,0,0
2018-02-23,17.44,18.97,17.03,18.82,107300,0,0
2018-02-26,18.51,20.99,17.85,18.13,410000,0,0
2018-02-27,17.94,18.71,17.86,17.87,83100,0,0
2018-02-28,18.1,18.96,17.9,18.19,130300,0,0
2018-03-01,18.15,18.3,17.55,17.76,135200,0,0
2018-03-02,17.53,17.77,16.12,17.3,151400,0,0
2018-03-05,17.39,18.35,16.7,16.8,146600,0,0
2018-03-06,16.92,17.49,16.7,16.85,207500,0,0
2018-03-07,16.82,17.29,16.67,16.8,100400,0,0
2018-03-08,16.99,17.65,16.87,17.53,74100,0,0
2018-03-09,17.77,17.99,17.1,17.68,157100,0,0
2018-03-12,17.6,17.92,17.2,17.48,145300,0,0
2018-03-13,17.53,17.85,16.5,16.5,162400,0,0
2018-03-14,16.55,17.2,16.55,16.8,146600,0,0
2018-03-15,16.79,17.09,16.25,16.67,170500,0,0
2018-03-16,16.5,16.8,16.25,16.43,777400,0,0
2018-03-19,16.33,16.88,16.25,16.57,229800,0,0
2018-03-20,16.97,16.97,16.12,16.6,163400,0,0
2018-03-21,16.64,16.99,16.52,16.67,161300,0,0
2018-03-22,16.54,16.86,16.23,16.28,86200,0,0
2018-03-23,16.4,17.0,16.33,16.52,117000,0,0
2018-03-26,16.77,16.78,15.02,16.12,205900,0,0
2018-03-27,16.07,16.18,14.62,14.98,160100,0,0
2018-03-28,14.86,15.43,14.1,14.79,214700,0,0
2018-03-29,14.94,15.13,14.49,14.63,158000,0,0
2018-04-02,14.58,14.64,13.82,14.2,105600,0,0
2018-04-03,14.38,15.16,13.55,14.64,203400,0,0
2018-04-04,14.39,14.54,13.9,14.14,141900,0,0
2018-04-05,14.24,14.96,14.18,14.59,159100,0,0
2018-04-06,14.47,15.57,14.43,14.58,54200,0,0
2018-04-09,14.69,15.41,14.29,14.57,81500,0,0
2018-04-10,14.73,15.49,14.5,14.5,91000,0,0
2018-04-11,14.55,14.92,14.51,14.58,24800,0,0
2018-04-12,14.66,15.03,14.19,14.26,64700,0,0
2018-04-13,14.34,14.58,13.98,14.22,114300,0,0
2018-04-16,14.32,14.63,13.95,14.44,108700,0,0
2018-04-17,14.61,14.86,14.02,14.12,130200,0,0
2018-04-18,14.18,14.68,14.06,14.19,56000,0,0
2018-04-19,14.16,14.62,13.91,14.04,59500,0,0
2018-04-20,13.93,13.93,13.19,13.53,142700,0,0
2018-04-23,13.55,14.32,13.55,14.31,65700,0,0
2018-04-24,14.08,14.08,13.37,13.6,78500,0,0
2018-04-25,13.58,14.42,13.1,13.54,94700,0,0
2018-04-26,13.62,14.38,13.18,13.56,98800,0,0
2018-04-27,13.59,13.9,13.35,13.41,76800,0,0
2018-04-30,13.46,14.09,13.12,14.02,132000,0,0
2018-05-01,13.95,14.15,13.43,14.11,73700,0,0
2018-05-02,14.11,15.15,13.65,15.08,194500,0,0
2018-05-03,15.01,15.01,14.09,14.59,79500,0,0
2018-05-04,14.54,14.98,14.05,14.44,51700,0,0
2018-05-07,14.59,15.05,14.38,14.71,62500,0,0
