Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-02-27,12.81,12.81,12.74,12.81,2200,0.0,0
2014-02-28,12.79,12.79,12.78,12.79,2600,0.0,0
2014-03-03,12.81,12.81,12.8,12.8,2200,0.0,0
2014-03-04,13.3,13.3,12.86,12.99,600,0.0,0
2014-03-05,14.4,14.4,13.66,14.23,35800,0.0,0
2014-03-06,15.43,15.43,13.7,14.49,53300,0.0,0
2014-03-07,13.88,14.28,13.38,13.84,9400,0.0,0
2014-03-10,13.68,13.84,13.58,13.84,5900,0.0,0
2014-03-11,13.81,13.89,13.38,13.6,16400,0.0,0
2014-03-12,13.46,13.63,13.38,13.63,5800,0.0,0
2014-03-13,13.63,13.63,13.63,13.63,900,0.0,0
2014-03-14,13.45,13.74,13.42,13.57,5100,0.0,0
2014-03-17,13.79,13.79,13.51,13.58,5700,0.0,0
2014-03-18,13.6,13.6,13.5,13.5,7500,0.0,0
2014-03-19,13.54,13.71,13.54,13.69,4000,0.299,0
2014-03-20,13.63,13.63,13.58,13.58,3700,0.0,0
2014-03-21,13.58,13.66,13.46,13.46,1800,0.0,0
2014-03-24,13.53,13.62,13.02,13.02,12500,0.0,0
2014-03-25,13.13,13.13,13.03,13.03,1600,0.0,0
2014-03-26,13.04,13.04,13.04,13.04,1000,0.0,0
2014-03-27,12.88,13.01,12.88,13.01,400,0.0,0
2014-03-28,13.24,13.24,12.91,12.98,1400,0.0,0
2014-03-31,12.95,13.13,12.95,13.13,3600,0.0,0
2014-04-01,13.14,13.4,13.11,13.4,1800,0.0,0
2014-04-02,13.39,13.39,13.39,13.39,100,0.0,0
2014-04-03,13.22,13.22,13.01,13.01,3700,0.0,0
2014-04-04,13.01,13.06,13.01,13.01,4500,0.0,0
2014-04-07,13.39,13.4,12.88,13.01,5400,0.0,0
2014-04-08,12.96,12.96,12.95,12.96,2700,0.0,0
2014-04-09,13.06,13.06,13.06,13.06,1000,0.0,0
2014-04-10,13.06,13.06,12.88,12.91,4600,0.0,0
2014-04-11,13.0,13.0,13.0,13.0,600,0.0,0
2014-04-14,13.01,13.01,12.95,12.96,800,0.0,0
2014-04-15,12.98,13.04,12.97,13.01,3400,0.0,0
2014-04-16,13.01,13.01,13.01,13.01,400,0.0,0
2014-04-17,12.93,13.0,12.93,12.99,800,0.0,0
2014-04-21,12.96,12.96,12.91,12.96,2300,0.0,0
2014-04-22,12.93,13.0,12.93,12.96,1800,0.0,0
2014-04-23,12.96,12.96,12.91,12.91,1500,0.0,0
2014-04-24,12.98,13.0,12.98,13.0,2000,0.0,0
2014-04-25,13.19,13.19,12.93,13.0,2900,0.0,0
2014-04-28,12.98,13.0,12.98,13.0,400,0.0,0
2014-04-29,13.0,13.0,13.0,13.0,1100,0.0,0
2014-04-30,12.97,12.99,12.97,12.99,1800,0.0,0
2014-05-01,12.98,13.0,12.98,13.0,500,0.0,0
2014-05-02,13.0,13.0,12.98,13.0,4300,0.0,0
2014-05-05,12.95,13.22,12.95,13.21,5100,0.0,0
2014-05-06,12.97,13.01,12.97,13.01,400,0.0,0
2014-05-07,13.01,13.31,12.97,13.31,400,0.0,0
2014-05-08,13.22,13.22,13.01,13.01,1400,0.0,0
2014-05-09,13.01,13.01,13.0,13.01,1600,0.0,0
2014-05-12,13.21,13.21,13.01,13.11,6400,0.0,0
2014-05-13,13.09,13.09,13.05,13.06,3200,0.0,0
2014-05-14,13.14,13.14,13.09,13.11,1200,0.0,0
2014-05-15,13.09,13.09,13.05,13.07,3700,0.0,0
2014-05-16,13.05,13.05,12.97,12.97,1800,0.0,0
2014-05-19,12.98,12.98,12.97,12.97,1500,0.0,0
2014-05-20,12.99,12.99,12.98,12.98,1300,0.0,0
2014-05-21,12.98,12.98,12.98,12.98,100,0.0,0
2014-05-22,12.98,12.98,12.98,12.98,0,0.0,0
2014-05-23,13.21,13.21,13.21,13.21,2000,0.0,0
2014-05-27,13.14,13.14,13.14,13.14,100,0.0,0
2014-05-28,13.01,13.01,13.01,13.01,1800,0.0,0
2014-05-29,13.43,13.43,13.39,13.4,800,0.0,0
2014-05-30,13.37,13.37,13.37,13.37,100,0.0,0
2014-06-02,13.03,13.38,13.03,13.19,7700,0.0,0
2014-06-03,13.11,13.39,13.04,13.06,7600,0.0,0
2014-06-04,13.06,13.35,13.01,13.04,9100,0.0,0
2014-06-05,13.01,13.25,13.01,13.14,9100,0.0,0
2014-06-06,13.17,13.17,13.04,13.11,2000,0.0,0
2014-06-09,13.03,13.06,13.03,13.06,700,0.0,0
2014-06-10,13.06,13.06,13.06,13.06,0,0.0,0
2014-06-11,13.37,13.37,13.27,13.37,5500,0.0,0
2014-06-12,13.37,13.37,13.37,13.37,2600,0.0,0
2014-06-13,13.37,13.37,13.37,13.37,1300,0.0,0
2014-06-16,13.37,13.37,13.14,13.14,3500,0.0,0
2014-06-17,13.14,13.14,12.75,12.75,449400,0.0,0
2014-06-18,12.89,12.91,12.08,12.83,69000,0.656,0
2014-06-19,12.82,12.89,12.74,12.89,12100,0.0,0
2014-06-20,12.89,12.94,12.68,12.94,15200,0.0,0
2014-06-23,12.94,12.94,12.84,12.9,9400,0.0,0
2014-06-24,12.91,12.91,12.57,12.85,26300,0.0,0
2014-06-25,12.83,12.86,12.61,12.84,4500,0.0,0
2014-06-26,12.81,12.81,12.62,12.75,5700,0.0,0
2014-06-27,12.83,12.83,12.82,12.82,800,0.0,0
2014-06-30,12.83,12.94,12.83,12.9,4300,0.0,0
2014-07-01,12.84,12.92,12.84,12.89,5900,0.0,0
2014-07-02,12.91,12.91,12.75,12.81,7500,0.0,0
2014-07-03,12.86,12.92,12.86,12.9,2500,0.0,0
2014-07-07,12.97,13.02,12.94,13.02,6800,0.0,0
2014-07-08,12.9,12.96,12.89,12.89,4600,0.0,0
2014-07-09,12.89,12.94,12.89,12.93,2600,0.0,0
