Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-02,0.0,3.62,2.9,2.9,2500,0.0,0.0
1980-12-03,0.0,3.62,2.9,2.9,500,0.0,0.0
1980-12-04,2.9,2.9,2.9,2.9,0,0.0,0.0
1980-12-05,0.0,3.26,2.53,2.53,500,0.0,0.0
1980-12-08,0.0,2.9,1.81,1.81,1400,0.0,0.0
1980-12-09,1.81,1.81,1.81,1.81,0,0.0,0.0
1980-12-10,0.0,3.26,2.53,2.53,1000,0.0,0.0
1980-12-11,0.0,3.26,2.53,2.53,300,0.0,0.0
1980-12-12,2.53,2.53,2.53,2.53,0,0.0,0.0
1980-12-15,0.0,3.62,2.9,2.9,2300,0.0,0.0
1980-12-16,0.0,3.62,2.9,2.9,300,0.0,0.0
1980-12-17,2.9,2.9,2.9,2.9,0,0.0,0.0
1980-12-18,0.0,3.62,2.9,2.9,1000,0.0,0.0
1980-12-19,2.9,2.9,2.9,2.9,0,0.0,0.0
1980-12-22,2.9,2.9,2.9,2.9,0,0.0,0.0
1980-12-23,0.0,3.26,2.9,2.9,0,0.0,0.0
1980-12-24,2.9,2.9,2.9,2.9,0,0.0,0.0
1980-12-26,0.0,3.26,2.9,2.9,0,0.0,0.0
1980-12-29,2.9,2.9,2.9,2.9,0,0.0,0.0
1980-12-30,2.9,2.9,2.9,2.9,0,0.0,0.0
1980-12-31,2.9,2.9,2.9,2.9,0,0.0,0.0
1981-01-02,0.0,3.62,2.9,2.9,300,0.0,0.0
1981-01-05,2.9,2.9,2.9,2.9,0,0.0,0.0
1981-01-06,2.9,2.9,2.9,2.9,0,0.0,0.0
1981-01-07,0.0,3.26,2.9,2.9,300,0.0,0.0
1981-01-08,2.9,2.9,2.9,2.9,0,0.0,0.0
1981-01-09,2.9,2.9,2.9,2.9,0,0.0,0.0
1981-01-12,2.9,2.9,2.9,2.9,0,0.0,0.0
1981-01-13,0.0,3.26,2.53,2.53,100,0.0,0.0
1981-01-14,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-01-15,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-01-16,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-01-19,0.0,3.62,2.9,2.9,1200,0.0,0.0
1981-01-20,0.0,3.62,2.9,2.9,3600,0.0,0.0
1981-01-21,2.9,2.9,2.9,2.9,0,0.0,0.0
1981-01-22,0.0,3.26,2.53,2.53,500,0.0,0.0
1981-01-23,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-01-26,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-01-27,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-01-28,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-01-29,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-01-30,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-02-02,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-02-03,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-02-04,2.53,2.53,2.53,2.53,0,0.0,0.0
1981-02-05,0.0,2.9,2.17,2.17,0,0.0,0.0
1981-02-06,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-09,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-10,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-11,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-12,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-13,0.0,2.72,2.17,2.17,500,0.0,0.0
1981-02-17,0.0,2.9,2.17,2.17,0,0.0,0.0
1981-02-18,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-19,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-20,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-23,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-24,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-25,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-26,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-02-27,0.0,2.53,2.17,2.17,300,0.0,0.0
1981-03-02,0.0,2.9,2.17,2.17,900,0.0,0.0
1981-03-03,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-03-04,0.0,2.9,2.17,2.17,1800,0.0,0.0
1981-03-05,2.17,2.17,2.17,2.17,0,0.0,0.0
1981-03-06,0.0,2.53,2.17,2.17,2100,0.0,0.0
1981-03-09,0.0,2.35,1.81,1.81,2300,0.0,0.0
1981-03-10,0.0,2.17,1.45,1.45,100,0.0,0.0
1981-03-11,1.45,1.45,1.45,1.45,0,0.0,0.0
