Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-22,24.0,40.0,24.0,40.0,5000,0,0.0
2007-01-23,45.0,45.0,30.0,31.8,3100,0,0.0
2007-01-24,32.0,45.0,32.0,35.8,6800,0,0.0
2007-01-25,37.0,40.2,37.0,40.0,4100,0,0.0
2007-01-26,38.4,38.4,38.0,38.2,5400,0,0.0
2007-01-29,39.0,48.0,39.0,48.0,18000,0,0.0
2007-01-30,49.0,56.0,48.4,54.0,24200,0,0.0
2007-01-31,54.6,56.0,52.4,56.0,24200,0,0.0
2007-02-01,56.6,65.6,56.6,65.0,91200,0,0.0
2007-02-02,66.0,68.6,58.0,63.2,55700,0,0.0
2007-02-05,64.4,66.4,64.2,65.8,10200,0,0.0
2007-02-06,66.0,66.0,56.4,57.0,16300,0,0.0
2007-02-07,57.0,57.0,45.2,55.0,22100,0,0.0
2007-02-08,54.6,63.0,53.0,61.0,12900,0,0.0
2007-02-09,62.0,62.0,60.0,61.0,10900,0,0.0
2007-02-12,62.0,68.0,61.4,66.0,36400,0,0.0
2007-02-13,66.0,66.2,60.2,65.4,17200,0,0.0
2007-02-14,64.8,65.6,62.6,63.0,5200,0,0.0
2007-02-15,64.0,64.0,61.4,61.8,4200,0,0.0
2007-02-16,61.8,67.0,61.8,67.0,7700,0,0.0
2007-02-20,67.6,73.0,66.2,71.2,36700,0,0.0
2007-02-21,71.4,71.6,68.0,69.0,8600,0,0.0
2007-02-22,70.0,72.0,69.0,71.8,14900,0,0.0
2007-02-23,71.6,72.0,70.2,71.0,20600,0,0.0
2007-02-26,71.6,73.4,71.2,73.0,21200,0,0.0
2007-02-27,73.4,73.4,58.0,59.0,41000,0,0.0
2007-02-28,60.0,63.8,59.4,63.0,40100,0,0.0
2007-03-01,63.0,63.0,58.0,60.8,13700,0,0.0
2007-03-02,62.0,65.4,61.8,64.0,32100,0,0.0
2007-03-05,64.0,64.6,61.0,62.0,18200,0,0.0
2007-03-06,62.2,62.2,55.6,56.0,24000,0,0.0
2007-03-07,56.8,60.6,56.8,60.6,32500,0,0.0
2007-03-08,61.0,62.0,60.0,62.0,37600,0,0.0
2007-03-09,62.4,63.2,62.0,62.2,31400,0,0.0
2007-03-12,63.0,64.6,62.2,64.2,33300,0,0.0
2007-03-13,64.6,64.6,61.4,61.6,19900,0,0.0
2007-03-14,62.0,62.0,57.0,58.0,15000,0,0.0
2007-03-15,57.0,58.0,45.0,48.0,38900,0,0.0
2007-03-16,48.2,48.6,38.2,41.6,33300,0,0.0
2007-03-19,41.0,41.6,33.2,33.6,23600,0,0.0
2007-03-20,33.2,40.0,32.2,37.2,22100,0,0.0
2007-03-21,38.6,39.0,37.2,38.8,12500,0,0.0
2007-03-22,38.8,39.8,35.6,36.0,13000,0,0.0
2007-03-23,35.2,36.0,30.8,32.2,19500,0,0.0
2007-03-26,32.2,32.4,24.6,27.0,20900,0,0.0
2007-03-27,25.2,30.4,24.8,29.8,16200,0,0.0
2007-03-28,31.4,31.4,28.0,30.4,14000,0,0.0
2007-03-29,30.8,30.8,27.0,27.8,9000,0,0.0
2007-03-30,27.2,27.8,24.2,24.6,8800,0,0.0
2007-04-02,23.4,23.4,20.2,21.0,13200,0,0.0
2007-04-03,20.2,22.8,19.4,22.6,16300,0,0.0
2007-04-04,22.6,22.6,21.0,21.8,7300,0,0.0
2007-04-05,21.4,21.8,20.8,21.4,5800,0,0.0
2007-04-09,22.0,26.0,21.6,23.6,11400,0,0.0
2007-04-10,23.8,24.0,21.6,22.8,14000,0,0.0
2007-04-11,22.8,22.8,21.0,22.0,4800,0,0.0
2007-04-12,21.8,22.2,20.2,21.2,6600,0,0.0
2007-04-13,22.0,22.0,21.2,21.4,4600,0,0.0
2007-04-16,21.6,24.4,21.4,22.4,6700,0,0.0
2007-04-17,22.6,26.0,22.6,24.4,9800,0,0.0
2007-04-18,24.6,27.6,24.2,26.2,14100,0,0.0
2007-04-19,26.4,26.4,25.0,25.8,6700,0,0.0
2007-04-20,26.4,26.4,25.0,26.0,4100,0,0.0
2007-04-23,25.4,25.6,23.0,23.0,4600,0,0.0
2007-04-24,23.2,23.2,22.2,22.8,2600,0,0.0
2007-04-25,22.8,24.0,22.0,22.0,3400,0,0.0
2007-04-26,22.2,22.2,21.4,21.4,2000,0,0.0
2007-04-27,22.0,22.4,21.4,22.0,3600,0,0.0
2007-04-30,22.0,22.4,21.4,22.4,5500,0,0.0
2007-05-01,22.4,22.4,20.2,20.4,6700,0,0.0
2007-05-02,20.0,20.2,19.6,20.0,7900,0,0.0
2007-05-03,20.0,20.6,19.0,19.4,4500,0,0.0
2007-05-04,19.0,20.0,18.0,18.6,4300,0,0.0
2007-05-07,18.0,18.8,15.0,15.2,7800,0,0.0
2007-05-08,16.0,16.2,15.2,15.2,6600,0,0.0
2007-05-09,15.0,16.0,14.4,14.6,5400,0,0.0
2007-05-10,14.6,15.0,12.4,14.8,6300,0,0.0
2007-05-11,14.6,14.8,13.0,14.4,3100,0,0.0
2007-05-14,14.6,15.8,13.4,14.6,10900,0,0.0
2007-05-15,14.6,17.0,14.6,17.0,14200,0,0.0
2007-05-16,18.0,18.0,14.8,14.8,12300,0,0.0
2007-05-17,14.8,15.6,14.8,15.6,11000,0,0.0
2007-05-18,16.0,18.4,15.4,18.2,29600,0,0.0
2007-05-21,18.6,19.0,18.2,18.6,12000,0,0.0
2007-05-22,18.8,18.8,16.0,16.4,6200,0,0.0
2007-05-23,17.8,18.0,16.4,16.4,8500,0,0.0
2007-05-24,16.0,17.6,15.2,16.0,7600,0,0.0
2007-05-25,16.0,18.0,16.0,17.0,7400,0,0.0
2007-05-29,16.8,18.0,16.8,17.8,1700,0,0.0
2007-05-30,18.0,18.0,17.0,17.4,2100,0,0.0
2007-05-31,17.4,18.2,16.4,18.2,2800,0,0.0
2007-06-01,18.2,18.6,17.2,18.0,4200,0,0.0
2007-06-04,17.2,18.6,17.2,17.4,1000,0,0.0
2007-06-05,17.4,18.0,17.0,17.0,2600,0,0.0
2007-06-06,18.0,18.6,17.6,18.0,3300,0,0.0
2007-06-07,18.8,20.0,18.0,20.0,13900,0,0.0
2007-06-08,20.6,25.6,20.2,25.6,72900,0,0.0
2007-06-11,29.6,35.6,27.6,34.2,344500,0,0.0
2007-06-12,35.4,35.4,28.0,30.4,184000,0,0.0
2007-06-13,30.4,30.4,25.8,26.0,103600,0,0.0
2007-06-14,26.2,26.2,21.6,22.6,101900,0,0.0
2007-06-15,22.8,27.4,22.6,26.8,101300,0,0.0
2007-06-18,27.4,27.4,24.6,25.4,54800,0,0.0
2007-06-19,25.6,27.2,25.2,26.4,32200,0,0.0
2007-06-20,26.6,27.0,25.0,26.0,28500,0,0.0
2007-06-21,26.0,27.0,25.4,26.0,17200,0,0.0
2007-06-22,26.0,26.8,25.2,26.0,16000,0,0.0
2007-06-25,26.0,26.4,25.4,25.6,11800,0,0.0
2007-06-26,25.8,25.8,22.0,22.4,25300,0,0.0
2007-06-27,21.4,25.8,20.2,23.6,48400,0,0.0
2007-06-28,24.0,25.0,24.0,24.4,9400,0,0.0
2007-06-29,26.4,26.4,24.8,25.6,38100,0,0.0
2007-07-02,25.8,26.2,25.4,25.8,15900,0,0.0
2007-07-03,25.8,26.0,25.0,25.6,11500,0,0.0
2007-07-05,25.8,25.8,25.0,25.4,6100,0,0.0
2007-07-06,25.6,25.6,25.0,25.4,9000,0,0.0
2007-07-09,25.2,25.4,24.0,24.2,13800,0,0.0
2007-07-10,23.8,24.0,21.8,22.2,23000,0,0.0
2007-07-11,22.0,22.0,21.0,21.6,7700,0,0.0
2007-07-12,21.4,22.8,20.8,21.4,16000,0,0.0
2007-07-13,22.0,22.8,21.6,22.0,13300,0,0.0
2007-07-16,22.0,23.0,21.8,22.2,5900,0,0.0
2007-07-17,21.6,22.6,20.0,20.6,17700,0,0.0
2007-07-18,21.0,21.4,20.2,20.2,10800,0,0.0
2007-07-19,20.2,20.4,19.8,19.8,17800,0,0.0
2007-07-20,19.8,20.0,19.2,19.6,19800,0,0.0
2007-07-23,19.8,20.2,19.2,19.6,11900,0,0.0
2007-07-24,19.4,19.6,18.0,18.8,11200,0,0.0
2007-07-25,18.0,18.8,14.2,16.2,47000,0,0.0
2007-07-26,16.0,17.4,16.0,16.8,11000,0,0.0
2007-07-27,16.6,16.8,16.0,16.8,9700,0,0.0
2007-07-30,16.6,17.0,15.4,16.0,13500,0,0.0
2007-07-31,16.0,17.0,15.8,16.8,8400,0,0.0
2007-08-01,16.4,17.0,15.0,16.0,10100,0,0.0
2007-08-02,16.4,16.6,15.0,15.0,8000,0,0.0
2007-08-03,15.0,16.6,14.4,15.2,10400,0,0.0
2007-08-06,15.0,15.2,14.2,14.4,6700,0,0.0
2007-08-07,14.4,15.2,14.4,14.8,3200,0,0.0
2007-08-08,14.6,16.0,14.6,15.6,4200,0,0.0
2007-08-09,15.0,16.0,15.0,15.8,2200,0,0.0
2007-08-10,15.6,16.0,15.4,16.0,3700,0,0.0
2007-08-13,16.0,16.0,15.4,15.6,2800,0,0.0
2007-08-14,16.0,16.0,14.6,14.8,3400,0,0.0
2007-08-15,14.4,16.0,14.2,15.4,4600,0,0.0
2007-08-16,16.0,16.0,15.0,15.4,4700,0,0.0
2007-08-17,14.8,15.4,14.2,15.0,5200,0,0.0
2007-08-20,15.0,15.0,14.0,14.8,2400,0,0.0
2007-08-21,14.0,14.8,14.0,14.8,3100,0,0.0
2007-08-22,14.0,14.8,14.0,14.8,2200,0,0.0
2007-08-23,14.4,14.8,14.0,14.4,2600,0,0.0
2007-08-24,14.2,14.6,14.0,14.2,3500,0,0.0
2007-08-27,14.2,14.8,14.0,14.6,3900,0,0.0
2007-08-28,14.2,14.6,12.2,12.2,11100,0,0.0
2007-08-29,12.2,13.0,12.2,12.8,6600,0,0.0
2007-08-30,12.8,12.8,12.0,12.6,6300,0,0.0
2007-08-31,12.0,12.2,11.0,11.6,6900,0,0.0
2007-09-04,11.4,11.6,9.8,10.6,14900,0,0.0
2007-09-05,9.6,10.4,9.4,10.0,7100,0,0.0
2007-09-06,10.0,10.2,9.4,9.4,8600,0,0.0
2007-09-07,9.8,10.8,9.4,10.2,6200,0,0.0
2007-09-10,10.6,13.6,10.2,13.0,10900,0,0.0
2007-09-11,13.0,14.0,12.2,12.4,9000,0,0.0
2007-09-12,12.4,13.4,12.4,12.6,3100,0,0.0
2007-09-13,13.4,14.4,12.6,14.4,5900,0,0.0
2007-09-14,14.4,14.4,13.0,14.4,3800,0,0.0
2007-09-17,14.0,14.0,12.4,14.0,1600,0,0.0
2007-09-18,14.0,14.0,12.6,12.6,2400,0,0.0
2007-09-19,12.6,13.6,12.0,13.4,2900,0,0.0
