Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-18,170.0,170.0,144.5,153.0,0,0,0.0
2000-10-19,170.0,170.0,136.0,136.0,200,0,0.0
2000-10-20,136.0,170.0,136.0,140.25,100,0,0.0
2000-10-23,170.0,170.0,144.5,144.5,0,0,0.0
2000-10-24,170.0,238.0,136.0,153.0,300,0,0.0
2000-10-25,238.0,238.0,238.0,238.0,0,0,0.0
2000-10-26,272.0,272.0,272.0,272.0,0,0,0.0
2000-10-27,153.0,153.0,153.0,153.0,0,0,0.0
2000-10-30,306.0,306.0,153.0,153.0,0,0,0.0
2000-10-31,153.0,153.0,153.0,153.0,0,0,0.0
2000-11-01,153.0,153.0,153.0,153.0,0,0,0.0
2000-11-02,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-03,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-06,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-07,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-08,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-09,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-10,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-13,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-14,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-15,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-16,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-17,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-20,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-21,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-22,238.0,238.0,238.0,238.0,0,0,0.0
2000-11-24,238.0,238.0,238.0,238.0,0,0,0.0
2000-11-27,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-28,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-29,272.0,272.0,272.0,272.0,0,0,0.0
2000-11-30,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-01,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-04,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-05,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-06,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-07,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-08,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-11,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-12,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-13,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-14,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-15,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-18,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-19,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-20,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-21,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-22,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-26,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-27,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-28,272.0,272.0,272.0,272.0,0,0,0.0
2000-12-29,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-02,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-03,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-04,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-05,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-08,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-09,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-10,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-11,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-12,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-16,272.0,272.0,272.0,272.0,0,0,0.0
2001-01-17,289.0,306.0,289.0,306.0,0,0,0.0
2001-01-18,289.0,306.0,289.0,306.0,0,0,0.0
2001-01-19,306.0,306.0,306.0,306.0,0,0,0.0
2001-01-22,306.0,306.0,306.0,306.0,0,0,0.0
2001-01-23,306.0,306.0,306.0,306.0,0,0,0.0
2001-01-24,306.0,306.0,306.0,306.0,0,0,0.0
2001-01-25,306.0,306.0,306.0,306.0,0,0,0.0
2001-01-26,306.0,306.0,306.0,306.0,0,0,0.0
2001-01-29,306.0,306.0,306.0,306.0,0,0,0.0
2001-01-30,306.0,306.0,306.0,306.0,0,0,0.0
2001-01-31,306.0,306.0,306.0,306.0,0,0,0.0
2001-02-01,306.0,306.0,306.0,306.0,0,0,0.0
2001-02-02,306.0,306.0,306.0,306.0,0,0,0.0
2001-02-05,306.0,306.0,306.0,306.0,0,0,0.0
2001-02-06,306.0,306.0,306.0,306.0,0,0,0.0
2001-02-07,306.0,306.0,306.0,306.0,0,0,0.0
2001-02-08,306.0,306.0,306.0,306.0,0,0,0.0
2001-02-09,306.0,306.0,306.0,306.0,0,0,0.0
2001-02-12,255.0,272.0,255.0,272.0,0,0,0.0
2001-02-13,272.0,272.0,272.0,272.0,0,0,0.0
2001-02-14,272.0,272.0,272.0,272.0,0,0,0.0
2001-02-15,272.0,272.0,272.0,272.0,0,0,0.0
2001-02-16,272.0,272.0,272.0,272.0,0,0,0.0
2001-02-20,187.0,187.0,170.0,170.0,0,0,0.0
2001-02-21,170.0,170.0,170.0,170.0,0,0,0.0
2001-02-22,170.0,170.0,170.0,170.0,0,0,0.0
2001-02-23,170.0,170.0,170.0,170.0,0,0,0.0
2001-02-26,204.0,204.0,204.0,204.0,0,0,0.0
2001-02-27,204.0,204.0,204.0,204.0,0,0,0.0
2001-02-28,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-01,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-02,238.0,238.0,204.0,204.0,0,0,0.0
2001-03-05,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-06,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-07,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-08,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-09,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-12,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-13,204.0,204.0,204.0,204.0,0,0,0.0
2001-03-14,153.0,170.0,153.0,153.0,0,0,0.0
2001-03-15,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-16,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-19,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-20,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-21,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-22,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-23,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-26,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-27,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-28,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-29,153.0,153.0,153.0,153.0,0,0,0.0
2001-03-30,153.0,153.0,153.0,153.0,0,0,0.0
2001-04-02,153.0,153.0,153.0,153.0,0,0,0.0
2001-04-03,153.0,153.0,153.0,153.0,0,0,0.0
2001-04-04,153.0,153.0,153.0,153.0,0,0,0.0
2001-04-05,153.0,153.0,153.0,153.0,0,0,0.0
2001-04-06,153.0,153.0,153.0,153.0,0,0,0.0
2001-04-09,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-10,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-11,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-12,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-16,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-17,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-18,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-19,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-20,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-23,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-24,146.88,146.88,146.88,146.88,0,0,0.0
2001-04-25,149.6,153.68,137.36,153.68,0,0,0.0
2001-04-26,153.68,153.68,153.68,153.68,0,0,0.0
2001-04-27,153.68,153.68,153.68,153.68,0,0,0.0
2001-04-30,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-01,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-02,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-03,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-04,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-07,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-08,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-09,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-10,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-11,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-14,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-15,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-16,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-17,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-18,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-21,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-22,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-23,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-24,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-25,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-29,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-30,153.68,153.68,153.68,153.68,0,0,0.0
2001-05-31,153.68,153.68,153.68,153.68,0,0,0.0
2001-06-01,153.68,153.68,153.68,153.68,0,0,0.0
2001-06-04,176.8,374.0,176.8,204.0,100,0,0.0
2001-06-05,204.0,204.0,204.0,204.0,0,0,0.0
2001-06-06,199.92,201.28,195.84,199.92,200,0,0.0
2001-06-07,195.84,204.0,195.84,195.84,300,0,0.0
2001-06-08,197.2,197.2,190.4,197.2,200,0,0.0
2001-06-11,197.2,197.2,197.2,197.2,100,0,0.0
2001-06-12,197.2,197.2,195.84,197.2,0,0,0.0
