Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-12-05,0.0,0.27,0.26,0.26,33964800,0.0,0.0
1986-12-08,0.0,0.27,0.26,0.26,6041600,0.0,0.0
1986-12-09,0.0,0.25,0.25,0.25,8185600,0.0,0.0
1986-12-10,0.0,0.25,0.24,0.24,3500800,0.0,0.0
1986-12-11,0.0,0.25,0.24,0.24,2176000,0.0,0.0
1986-12-12,0.0,0.24,0.24,0.24,1760000,0.0,0.0
1986-12-15,0.0,0.24,0.23,0.23,2291200,0.0,0.0
1986-12-16,0.0,0.25,0.24,0.24,1849600,0.0,0.0
1986-12-17,0.0,0.25,0.24,0.24,755200,0.0,0.0
1986-12-18,0.0,0.24,0.24,0.24,1446400,0.0,0.0
1986-12-19,0.0,0.24,0.24,0.24,1132800,0.0,0.0
1986-12-22,0.0,0.24,0.24,0.24,1094400,0.0,0.0
1986-12-23,0.0,0.24,0.23,0.23,524800,0.0,0.0
1986-12-24,0.0,0.24,0.23,0.23,121600,0.0,0.0
1986-12-26,0.0,0.24,0.23,0.23,57600,0.0,0.0
1986-12-29,0.0,0.24,0.23,0.23,96000,0.0,0.0
1986-12-30,0.0,0.24,0.23,0.23,1408000,0.0,0.0
1986-12-31,0.0,0.24,0.24,0.24,1408000,0.0,0.0
1987-01-02,0.0,0.25,0.24,0.24,448000,0.0,0.0
1987-01-05,0.0,0.25,0.24,0.24,883200,0.0,0.0
1987-01-06,0.0,0.26,0.26,0.26,2188800,0.0,0.0
1987-01-07,0.0,0.28,0.28,0.28,3040000,0.0,0.0
1987-01-08,0.0,0.29,0.28,0.28,1260800,0.0,0.0
1987-01-09,0.0,0.3,0.29,0.29,1267200,0.0,0.0
1987-01-12,0.0,0.31,0.31,0.31,1235200,0.0,0.0
1987-01-13,0.0,0.31,0.31,0.31,1542400,0.0,0.0
1987-01-14,0.0,0.31,0.31,0.31,857600,0.0,0.0
1987-01-15,0.0,0.31,0.31,0.31,710400,0.0,0.0
1987-01-16,0.0,0.31,0.31,0.31,1420800,0.0,0.0
1987-01-19,0.0,0.31,0.3,0.3,1254400,0.0,0.0
1987-01-20,0.0,0.31,0.3,0.3,1209600,0.0,0.0
1987-01-21,0.0,0.3,0.29,0.29,684800,0.0,0.0
1987-01-22,0.0,0.3,0.3,0.3,422400,0.0,0.0
1987-01-23,0.0,0.31,0.3,0.3,1414400,0.0,0.0
1987-01-26,0.0,0.3,0.3,0.3,371200,0.0,0.0
1987-01-27,0.0,0.3,0.3,0.3,128000,0.0,0.0
1987-01-28,0.0,0.31,0.3,0.3,1913600,0.0,0.0
1987-01-29,0.0,0.31,0.31,0.31,422400,0.0,0.0
1987-01-30,0.0,0.31,0.3,0.3,179200,0.0,0.0
1987-02-02,0.0,0.31,0.3,0.3,339200,0.0,0.0
1987-02-03,0.0,0.31,0.31,0.31,1081600,0.0,0.0
1987-02-04,0.0,0.34,0.34,0.34,1401600,0.0,0.0
1987-02-05,0.0,0.36,0.36,0.36,870400,0.0,0.0
1987-02-06,0.0,0.36,0.36,0.36,832000,0.0,0.0
1987-02-09,0.0,0.36,0.36,0.36,454400,0.0,0.0
1987-02-10,0.0,0.36,0.36,0.36,422400,0.0,0.0
1987-02-11,0.0,0.36,0.36,0.36,108800,0.0,0.0
1987-02-12,0.0,0.35,0.34,0.34,448000,0.0,0.0
1987-02-13,0.0,0.35,0.34,0.34,44800,0.0,0.0
