Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-25,31.4085,32.2036,30.2953,31.0109,2000,0.0,0.0
2015-06-26,31.0109,31.0109,29.7387,30.3748,3100,0.0,0.0
2015-06-29,28.1484,30.6133,28.1484,30.1124,1900,0.0,0.0
2015-06-30,26.8761,30.6133,24.0136,25.0791,7800,0.0,0.0
2015-07-01,25.588,26.3752,25.2063,25.2063,7200,0.0,0.0
2015-07-02,25.2063,25.4448,25.0393,25.3097,1800,0.0,0.0
2015-07-06,25.3653,25.3653,24.8087,25.254,1500,0.0,0.0
2015-07-07,25.0473,25.2858,24.8087,25.1268,900,0.0,0.0
2015-07-08,24.8087,25.1665,24.7292,24.9996,100,0.0,0.0
2015-07-09,25.2222,25.2222,24.4589,24.5702,1000,0.0,0.0
2015-07-10,24.4907,25.1268,24.4907,25.0473,3600,0.0,0.0
2015-07-13,30.1362,30.1362,24.4907,24.8962,2000,0.0,0.0
2015-07-14,25.0473,25.0473,24.0136,24.0136,2100,0.0,0.0
2015-07-15,24.0136,24.3316,24.0136,24.2521,300,0.0,0.0
2015-07-16,24.936,27.8303,24.0931,25.6913,10400,0.0,0.0
2015-07-17,25.1268,26.9556,24.4907,25.8424,2800,0.0,0.0
2015-07-20,24.7292,25.6436,23.5365,23.608,4500,0.0,0.0
2015-07-21,23.6955,23.6955,23.2184,23.2184,800,0.0,0.0
2015-07-22,23.2184,23.5524,21.3101,21.5486,9900,0.0,0.0
2015-07-23,21.477,23.5365,21.4691,22.9799,900,0.0,0.0
2015-07-24,22.6618,22.6618,21.8667,22.5187,700,0.0,0.0
2015-07-27,21.6838,23.1389,21.6838,23.1389,600,0.0,0.0
2015-07-28,22.9004,23.1866,22.2563,22.2563,100,0.0,0.0
2015-07-29,21.4691,22.9799,21.4691,21.9462,1900,0.0,0.0
2015-07-30,24.3316,25.6198,22.7413,22.9004,6400,0.0,0.0
2015-07-31,22.6618,23.2979,22.6618,22.9799,2400,0.0,0.0
2015-08-03,22.4233,23.0594,21.4691,21.8667,4100,0.0,0.0
2015-08-04,21.4691,22.9799,20.6739,20.9125,2300,0.0,0.0
2015-08-05,22.6618,22.6618,20.7535,21.0715,1600,0.0,0.0
2015-08-06,22.1847,23.0594,22.1847,22.3438,400,0.0,0.0
2015-08-07,22.5744,22.5744,22.5744,22.5744,100,0.0,0.0
2015-08-10,22.9719,23.2184,22.5028,23.2184,800,0.0,0.0
2015-08-11,22.2642,22.6618,22.2642,22.463,700,0.0,0.0
2015-08-12,22.3438,22.3438,19.9583,20.2764,3200,0.0,0.0
2015-08-13,20.2764,21.2305,19.8788,19.9583,2900,0.0,0.0
2015-08-14,19.4017,22.8208,18.6861,20.3956,23000,0.0,0.0
2015-08-17,21.4691,21.6281,19.0836,19.7198,13800,0.0,0.0
2015-08-18,20.1173,20.5944,19.4017,19.8788,2100,0.0,0.0
2015-08-19,20.2764,21.0397,20.1173,20.1173,1200,0.0,0.0
2015-08-20,20.0378,20.1968,19.2427,19.2427,1100,0.0,0.0
2015-08-21,18.8451,21.8667,18.8451,19.6402,1700,0.0,0.0
2015-08-24,18.9246,22.0893,17.7319,17.7319,1600,0.0,0.0
2015-08-25,18.527,19.0041,17.9704,18.2885,2000,0.0,0.0
2015-08-26,18.209,18.209,17.5728,18.0658,1200,0.0,0.0
2015-08-27,18.9405,18.9405,18.1295,18.6861,2000,0.0,0.0
2015-08-28,18.9246,19.7993,18.2885,19.1632,700,0.0,0.0
2015-08-31,19.4017,19.4017,17.6524,18.0499,1300,0.0,0.0
2015-09-01,21.8667,21.978,18.6861,19.4812,4400,0.0,0.0
2015-09-02,19.0836,19.0836,17.9784,19.0836,1300,0.0,0.0
2015-09-03,19.0836,19.7993,18.7656,19.6402,3800,0.0,0.0
