Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-12-29,5.89,5.89,5.5,5.75,41840,0,0
2010-12-31,5.5,5.7,5.5,5.5,4000,0,0
2011-01-04,5.5,5.5,5.4,5.5,119000,0,0
2011-01-05,5.5,5.75,5.5,5.6,50150,0,0
2011-01-06,5.6,5.75,5.6,5.75,113600,0,0
2011-01-07,5.6,5.6,5.6,5.6,27380,0,0
2011-01-11,5.6,5.75,5.6,5.75,5000,0,0
2011-01-12,5.75,6.0,5.75,5.95,268600,0,0
2011-01-13,5.85,5.85,5.83,5.83,24570,0,0
2011-01-14,5.85,5.85,5.8,5.8,13600,0,0
2011-01-18,5.87,5.87,5.85,5.85,45400,0,0
2011-01-20,5.8,5.8,5.8,5.8,10900,0,0
2011-01-21,5.8,5.8,5.78,5.78,10600,0,0
2011-01-24,5.7,5.7,5.65,5.65,15900,0,0
2011-01-25,5.7,5.7,5.7,5.7,4000,0,0
2011-01-26,5.73,5.73,5.55,5.55,8635,0,0
2011-01-27,5.65,5.65,5.65,5.65,5050,0,0
2011-01-28,5.65,5.65,5.65,5.65,2510,0,0
2011-01-31,5.8,5.8,5.55,5.6,8950,0,0
2011-02-01,5.8,5.85,5.8,5.83,8400,0,0
2011-02-02,5.9,5.9,5.9,5.9,2900,0,0
2011-02-03,5.9,5.9,5.9,5.9,800,0,0
2011-02-04,6.0,6.0,6.0,6.0,5450,0,0
2011-02-07,6.0,6.0,5.86,5.95,8000,0,0
2011-02-08,5.82,5.82,5.6,5.6,38710,0,0
2011-02-09,5.7,5.7,5.7,5.7,2600,0,0
2011-02-10,5.7,5.8,5.6,5.65,7650,0,0
2011-02-11,5.65,5.65,5.65,5.65,6400,0,0
2011-02-14,5.7,5.7,5.7,5.7,1000,0,0
2011-02-15,5.6,5.65,5.6,5.6,40271,0,0
2011-02-16,5.56,5.56,5.55,5.55,4581,0,0
2011-02-17,5.6,5.6,5.6,5.6,52000,0,0
2011-02-18,5.69,5.7,5.6,5.7,2275,0,0
2011-02-22,5.65,5.65,5.6,5.65,5050,0,0
2011-02-23,5.68,5.68,5.6,5.6,7150,0,0
2011-02-24,5.58,5.58,5.45,5.45,24992,0,0
2011-02-25,5.45,5.52,5.4,5.52,6500,0,0
2011-02-28,5.41,5.5,5.41,5.5,3100,0,0
2011-03-01,5.5,5.5,5.5,5.5,1000,0,0
2011-03-02,5.5,5.5,5.5,5.5,550665,0,0
2011-03-04,5.5,5.5,5.5,5.5,129100,0,0
2011-03-07,5.5,5.5,5.5,5.5,900,0,0
2011-03-08,5.5,5.5,5.5,5.5,1000,0,0
2011-03-09,5.57,5.57,5.4,5.4,5500,0,0
2011-03-10,5.4,5.4,5.4,5.4,1000,0,0
2011-03-11,5.4,5.4,5.4,5.4,500,0,0
2011-03-14,5.4,5.4,5.35,5.35,7300,0,0
2011-03-15,5.41,5.41,5.0,5.0,40700,0,0
2011-03-16,5.0,5.0,4.8,5.0,36200,0,0
2011-03-17,5.0,5.0,5.0,5.0,4100,0,0
2011-03-18,4.75,4.75,4.75,4.75,1000,0,0
2011-03-22,4.9,5.0,4.9,5.0,151300,0,0
2011-03-23,5.0,5.0,5.0,5.0,10450,0,0
2011-03-24,5.0,5.0,5.0,5.0,8550,0,0
2011-03-29,5.0,5.0,5.0,5.0,13059,0,0
2011-03-31,5.0,5.0,5.0,5.0,3000,0,0
2011-04-01,5.0,5.25,5.0,5.25,116300,0,0
2011-04-06,5.25,5.25,5.25,5.25,200,0,0
2011-04-07,5.1,5.1,5.1,5.1,124487,0,0
2011-04-08,5.0,5.0,5.0,5.0,100,0,0
2011-04-11,4.9,4.9,4.8,4.8,6600,0,0
2011-04-12,4.75,4.75,4.75,4.75,6100,0,0
2011-04-13,4.8,4.8,4.8,4.8,34523,0,0
2011-04-14,4.8,4.8,4.8,4.8,20525,0,0
2011-04-15,4.8,4.8,4.8,4.8,621,0,0
2011-04-18,4.8,5.2,4.8,5.2,3454,0,0
2011-04-19,5.25,5.35,5.25,5.35,21525,0,0
2011-04-20,5.5,5.5,5.5,5.5,6340,0,0
2011-04-21,5.5,5.85,5.5,5.85,234960,0,0
2011-04-25,5.85,5.85,5.7,5.7,9500,0,0
2011-04-26,5.7,6.0,5.7,5.95,9800,0,0
2011-04-27,5.95,5.95,5.8,5.8,7200,0,0
2011-04-28,5.7,5.8,5.0,5.78,9900,0,0
2011-04-29,5.65,5.7,5.15,5.7,28800,0,0
2011-05-02,5.74,5.74,5.74,5.74,3000,0,0
2011-05-03,5.6,5.6,5.5,5.5,47768,0,0
2011-05-09,5.15,5.25,5.15,5.15,58800,0,0
2011-05-10,5.05,5.2,5.0,5.0,33500,0,0
2011-05-11,4.95,4.95,4.85,4.85,13000,0,0
2011-05-12,4.9,4.95,4.9,4.9,2100,0,0
2011-05-13,4.9,4.9,4.8,4.8,1150,0,0
2011-05-16,4.75,4.75,4.65,4.65,10450,0,0
2011-05-17,4.55,4.55,4.55,4.55,1000,0,0
2011-05-18,4.5,4.5,4.45,4.45,5900,0,0
2011-05-31,4.55,4.64,4.55,4.55,3200,0,0
2011-06-01,4.55,4.55,4.5,4.5,150000,0,0
2011-06-06,4.95,4.95,4.95,4.95,230,0,0
2011-06-09,4.65,4.65,4.5,4.58,5017,0,0
2011-06-15,4.6,4.75,4.5,4.5,59850,0,0
2011-06-16,4.5,4.65,4.5,4.6,13088,0,0
2011-06-20,4.5,4.5,4.5,4.5,510,0,0
2011-06-23,4.5,4.5,4.46,4.46,6000,0,0
2011-06-30,4.45,4.45,4.45,4.45,500,0,0
2011-07-05,4.45,4.75,4.45,4.75,7170,0,0
2011-07-06,4.5,4.5,4.5,4.5,77013,0,0
2011-07-07,4.4,4.4,4.4,4.4,3136,0,0
2011-07-08,4.4,4.4,4.4,4.4,626,0,0
2011-07-11,4.45,4.5,4.45,4.5,1133,0,0
2011-07-14,4.5,4.5,4.5,4.5,7000,0,0
2011-07-18,4.45,4.45,4.45,4.45,1700,0,0
2011-07-19,4.39,4.4,4.39,4.4,16628,0,0
2011-07-20,4.5,4.6,4.49,4.5,29653,0,0
2011-07-21,4.5,4.68,4.5,4.5,58530,0,0
2011-07-22,4.5,4.5,4.5,4.5,48165,0,0
2011-07-25,4.5,4.5,4.35,4.5,178571,0,0
2011-07-26,4.5,5.0,4.5,4.76,194350,0,0
2011-07-27,4.63,4.63,4.51,4.6,2368,0,0
2011-07-28,4.75,4.93,4.75,4.93,3133,0,0
2011-07-29,4.93,4.93,4.93,4.93,10000,0,0
2011-08-03,4.46,4.75,4.46,4.75,4900,0,0
2011-08-04,4.45,5.0,4.44,5.0,1800,0,0
2011-08-05,4.44,4.95,3.95,4.95,16036,0,0
2011-08-12,4.7,4.75,4.7,4.7,784,0,0
2011-08-16,4.7,4.7,4.09,4.45,5100,0,0
2011-08-17,4.75,4.75,4.75,4.75,1000,0,0
2011-08-18,4.28,4.85,4.28,4.65,3800,0,0
2011-08-22,4.85,4.85,4.7,4.7,3540,0,0
2011-08-24,4.5,4.5,4.5,4.5,31300,0,0
2011-08-25,4.59,4.6,4.59,4.6,5000,0,0
2011-08-26,4.49,4.49,4.49,4.49,400,0,0
