Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-06-27,2.48,2.48,2.48,2.48,203600,0.0,0
2002-06-28,2.48,2.48,2.48,2.48,781800,0.0,0
2002-07-01,2.48,2.48,2.48,2.48,73500,0.0,0
2002-07-02,2.48,2.48,2.48,2.48,109100,0.0,0
2002-07-03,2.48,2.48,2.48,2.48,120800,0.0,0
2002-07-05,2.48,2.48,2.48,2.48,11100,0.0,0
2002-07-08,2.48,2.48,2.48,2.48,79400,0.0,0
2002-07-09,2.48,2.48,2.48,2.48,94300,0.0,0
2002-07-10,2.48,2.48,2.48,2.48,107000,0.0,0
2002-07-11,2.48,2.48,2.48,2.48,175200,0.0,0
2002-07-12,2.48,2.48,2.48,2.48,151900,0.0,0
2002-07-15,2.48,2.48,2.33,2.48,305400,0.0,0
2002-07-16,2.48,2.48,2.48,2.48,75200,0.0,0
2002-07-17,2.48,2.48,2.48,2.48,59100,0.0,0
2002-07-18,2.48,2.48,2.48,2.48,53600,0.0,0
2002-07-19,2.48,2.48,2.48,2.48,79500,0.0,0
2002-07-22,2.48,2.48,2.48,2.48,177000,0.0,0
2002-07-23,2.48,2.48,2.48,2.48,214100,0.0,0
2002-07-24,2.48,2.48,2.48,2.48,168900,0.0,0
2002-07-25,2.48,2.48,2.48,2.48,59700,0.0,0
2002-07-26,2.48,2.48,2.48,2.48,100700,0.0,0
2002-07-29,2.48,2.48,2.48,2.48,162100,0.0,0
2002-07-30,2.48,2.48,2.48,2.48,78000,0.0,0
2002-07-31,2.48,2.48,2.48,2.48,90400,0.0,0
2002-08-01,2.48,2.48,2.48,2.48,58900,0.0,0
2002-08-02,2.48,2.48,2.48,2.48,61400,0.0,0
2002-08-05,2.48,2.48,2.42,2.43,160900,0.0,0
2002-08-06,2.44,2.44,2.43,2.43,88800,0.0,0
2002-08-07,2.43,2.43,2.41,2.41,59800,0.0,0
2002-08-08,2.41,2.43,2.41,2.41,46700,0.0,0
2002-08-09,2.43,2.45,2.42,2.43,55200,0.0,0
2002-08-12,2.41,2.47,2.41,2.47,71000,0.0,0
