Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-07-16,20.5,22.6,19.63,20.0,5424100,0,0
2015-07-17,20.32,21.782,19.0,20.0,826400,0,0
2015-07-20,20.0,21.58,20.0,21.03,352900,0,0
2015-07-21,22.0,23.89,22.0,22.66,273000,0,0
2015-07-22,23.02,23.95,22.68,23.2,260300,0,0
2015-07-23,24.68,24.86,22.94,23.21,644100,0,0
2015-07-24,23.05,23.62,22.12,23.35,478300,0,0
2015-07-27,23.61,24.67,23.15,23.31,111200,0,0
2015-07-28,23.5,23.96,22.63,23.79,175400,0,0
2015-07-29,24.2,24.2,23.5,24.05,71600,0,0
2015-07-30,24.25,24.44,22.9,23.17,116600,0,0
2015-07-31,22.99,24.09,22.99,23.57,226500,0,0
2015-08-03,24.0,24.86,23.0,24.12,235800,0,0
2015-08-04,23.82,24.445,23.33,23.82,158600,0,0
2015-08-05,24.0,24.68,23.9,24.32,186500,0,0
2015-08-06,24.52,24.78,23.81,24.6,155600,0,0
2015-08-07,24.6,24.63,23.67,23.83,95000,0,0
2015-08-10,24.04,24.68,23.51,24.12,140900,0,0
2015-08-11,24.13,24.59,23.56,24.35,140100,0,0
2015-08-12,24.54,27.41,24.36,26.65,331400,0,0
2015-08-13,27.05,30.52,24.29,24.71,725100,0,0
2015-08-14,24.8,28.69,24.8,28.27,385000,0,0
2015-08-17,30.48,30.48,27.45,27.72,554700,0,0
2015-08-18,27.49,27.545,26.13,26.63,159100,0,0
2015-08-19,26.5,27.81,25.08,26.34,219000,0,0
2015-08-20,26.32,27.74,25.03,25.2,124000,0,0
2015-08-21,24.7,25.52,23.11,24.05,210300,0,0
2015-08-24,21.48,23.83,21.0,23.83,190200,0,0
2015-08-25,24.82,24.95,23.17,23.32,140600,0,0
2015-08-26,23.59,24.49,23.25,24.12,122700,0,0
2015-08-27,24.4,27.19,24.24,25.92,95300,0,0
2015-08-28,26.01,26.94,25.0,25.42,78300,0,0
2015-08-31,25.56,27.71,25.3,25.96,87700,0,0
2015-09-01,25.11,26.67,24.57,26.02,155200,0,0
2015-09-02,26.37,28.4,26.37,28.28,210300,0,0
2015-09-03,27.84,28.64,27.7,28.45,272400,0,0
2015-09-04,28.52,28.6,27.79,28.45,190600,0,0
2015-09-08,28.3,29.56,27.6,28.51,150800,0,0
2015-09-09,28.51,28.95,27.98,28.64,53100,0,0
2015-09-10,28.01,28.94,26.82,28.4,79800,0,0
2015-09-11,28.1,28.11,27.5,28.05,58200,0,0
2015-09-14,28.09,28.4,27.57,28.34,32200,0,0
2015-09-15,28.24,28.5,27.81,28.32,144000,0,0
2015-09-16,28.22,28.46,26.79,27.14,289200,0,0
2015-09-17,27.3,27.53,25.83,26.06,230900,0,0
2015-09-18,26.1,27.374,25.13,25.51,444400,0,0
2015-09-21,25.7,26.721,25.25,26.05,225100,0,0
2015-09-22,25.75,26.05,25.0,25.29,128200,0,0
2015-09-23,25.33,26.19,24.29,25.74,87700,0,0
2015-09-24,24.94,25.13,23.62,24.37,326000,0,0
2015-09-25,24.84,25.12,22.34,22.57,189900,0,0
2015-09-28,22.63,23.602,19.23,19.83,222400,0,0
2015-09-29,19.72,21.2,18.64,18.82,288200,0,0
2015-09-30,19.02,20.458,17.13,19.88,1874200,0,0
2015-10-01,19.73,20.3,18.12,18.49,194600,0,0
2015-10-02,18.25,21.05,18.15,20.7,260500,0,0
2015-10-05,21.05,21.44,20.23,21.2,125700,0,0
2015-10-06,21.18,21.566,20.35,20.88,184400,0,0
2015-10-07,20.85,23.49,20.71,22.61,185700,0,0
2015-10-08,22.21,23.18,20.6,21.81,120000,0,0
2015-10-09,21.73,23.098,21.11,21.32,77900,0,0
2015-10-12,21.04,22.28,20.25,21.26,270400,0,0
2015-10-13,21.15,21.59,19.71,19.98,81300,0,0
2015-10-14,20.05,21.404,19.87,20.88,72300,0,0
2015-10-15,20.73,22.77,20.73,22.65,63000,0,0
2015-10-16,22.75,24.2,21.51,21.59,206900,0,0
2015-10-19,21.6,22.63,20.82,21.87,75000,0,0
2015-10-20,21.9,22.35,21.29,21.59,102300,0,0
2015-10-21,21.76,22.54,20.41,21.74,57300,0,0
2015-10-22,21.82,23.64,21.305,22.52,149100,0,0
2015-10-23,22.93,23.96,22.174,23.67,91100,0,0
2015-10-26,23.68,24.45,23.08,23.99,167200,0,0
2015-10-27,23.95,24.188,23.25,23.97,62100,0,0
2015-10-28,23.99,24.78,23.435,24.66,82400,0,0
2015-10-29,24.66,24.67,22.78,23.16,112100,0,0
2015-10-30,23.18,23.52,22.02,22.74,111800,0,0
2015-11-02,22.87,23.64,21.655,22.4,128500,0,0
2015-11-03,22.42,23.666,22.11,23.44,105300,0,0
2015-11-04,23.56,24.1,22.712,23.52,101100,0,0
2015-11-05,23.7,23.88,22.89,23.44,81200,0,0
2015-11-06,23.37,24.27,22.82,23.94,156900,0,0
2015-11-09,23.93,24.35,23.46,24.14,144100,0,0
