Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-04,13.18,13.84,13.18,13.42,5600,0.0,0
1999-01-05,13.78,13.78,13.78,13.78,100,0.0,0
1999-01-06,13.9,13.9,13.9,13.9,100,0.0,0
1999-01-07,13.9,13.9,13.9,13.9,0,0.0,0
1999-01-08,13.42,13.42,12.94,12.94,700,0.0,0
1999-01-11,12.94,12.94,12.94,12.94,0,0.0,0
1999-01-12,12.94,12.94,12.94,12.94,0,0.0,0
1999-01-13,13.66,13.66,13.66,13.66,1000,0.0,0
1999-01-14,13.66,13.66,13.66,13.66,0,0.0,0
1999-01-15,13.66,13.66,13.66,13.66,0,0.0,0
1999-01-19,13.18,13.18,13.18,13.18,200,0.0,0
1999-01-20,13.18,13.18,13.18,13.18,0,0.0,0
1999-01-21,13.24,13.24,13.18,13.18,700,0.0,0
1999-01-22,13.18,13.18,13.18,13.18,1000,0.0,0
1999-01-25,13.6,13.6,13.12,13.12,2800,0.0,0
1999-01-26,13.12,13.12,13.12,13.12,0,0.0,0
1999-01-27,12.94,12.94,12.7,12.82,5200,0.0,0
1999-01-28,12.7,12.7,12.7,12.7,700,0.0,0
1999-01-29,12.7,12.82,12.7,12.7,3300,0.0,0
1999-02-01,12.94,12.94,12.94,12.94,500,0.0,0
1999-02-02,12.94,12.94,12.94,12.94,0,0.0,0
1999-02-03,12.94,12.94,12.94,12.94,0,0.0,0
1999-02-04,12.94,12.94,12.94,12.94,0,0.0,0
1999-02-05,12.94,12.94,12.94,12.94,0,0.0,0
1999-02-08,12.94,12.94,12.94,12.94,0,0.0,0
1999-02-09,12.94,12.94,12.94,12.94,300,0.0,0
1999-02-10,12.7,12.7,12.7,12.7,1400,0.0,0
1999-02-11,12.7,12.7,12.7,12.7,500,0.0,0
1999-02-12,12.7,12.7,12.7,12.7,0,0.0,0
1999-02-16,13.06,13.06,13.06,13.06,100,0.0,0
1999-02-17,13.06,13.06,13.06,13.06,0,0.0,0
1999-02-18,13.06,13.06,13.06,13.06,0,0.0,0
1999-02-19,13.06,13.06,13.06,13.06,600,0.0,0
1999-02-22,13.06,13.06,13.06,13.06,1300,0.0,0
1999-02-23,13.06,13.06,13.06,13.06,0,0.0,0
1999-02-24,12.94,12.94,12.94,12.94,800,0.0,0
1999-02-25,12.94,12.94,12.94,12.94,0,0.0,0
1999-02-26,12.94,12.94,12.94,12.94,400,0.0,0
1999-03-01,12.94,12.94,12.94,12.94,0,0.0,0
1999-03-02,13.06,13.06,13.06,13.06,800,0.0,0
1999-03-03,12.88,12.88,12.88,12.88,1900,0.0,0
1999-03-04,12.88,12.88,12.88,12.88,0,0.0,0
1999-03-05,13.06,13.06,13.0,13.06,600,0.0,0
1999-03-08,13.06,13.06,13.06,13.06,0,0.0,0
1999-03-09,13.06,13.06,13.06,13.06,0,0.0,0
1999-03-10,12.82,12.82,12.82,12.82,1400,0.0,0
1999-03-11,12.82,12.82,12.82,12.82,0,0.0,0
1999-03-12,12.82,12.82,12.82,12.82,0,0.0,0
1999-03-15,12.82,12.82,12.82,12.82,0,0.0,0
1999-03-16,12.82,12.82,12.82,12.82,300,0.0,0
1999-03-17,12.9,12.9,12.9,12.9,0,0.17,0
1999-03-18,13.02,13.02,13.02,13.02,400,0.0,0
1999-03-19,12.9,12.9,12.9,12.9,2000,0.0,0
1999-03-22,12.9,12.9,12.9,12.9,0,0.0,0
1999-03-23,12.96,13.14,12.96,13.14,1800,0.0,0
1999-03-24,13.14,13.14,13.14,13.14,0,0.0,0
1999-03-25,13.14,13.14,13.14,13.14,0,0.0,0
1999-03-26,13.14,13.14,13.14,13.14,0,0.0,0
1999-03-29,12.96,12.96,12.96,12.96,200,0.0,0
1999-03-30,12.96,12.96,12.96,12.96,0,0.0,0
1999-03-31,12.96,12.96,12.78,12.78,2400,0.0,0
1999-04-01,12.9,12.9,12.9,12.9,200,0.0,0
1999-04-05,12.9,12.9,12.9,12.9,0,0.0,0
1999-04-06,12.9,12.9,12.9,12.9,0,0.0,0
1999-04-07,13.02,13.02,12.42,12.42,3800,0.0,0
1999-04-08,12.42,12.42,12.42,12.42,0,0.0,0
1999-04-09,12.6,12.6,12.6,12.6,200,0.0,0
1999-04-12,12.3,12.9,12.3,12.9,300,0.0,0
1999-04-13,12.66,12.66,12.3,12.3,300,0.0,0
1999-04-14,12.3,12.3,12.18,12.18,4300,0.0,0
1999-04-15,12.18,12.18,12.18,12.18,0,0.0,0
1999-04-16,12.06,12.42,12.06,12.42,1000,0.0,0
1999-04-19,12.42,12.42,12.42,12.42,0,0.0,0
1999-04-20,12.42,12.42,12.42,12.42,100,0.0,0
1999-04-21,12.42,12.54,12.36,12.54,1800,0.0,0
1999-04-22,12.06,12.3,12.06,12.3,14600,0.0,0
1999-04-23,12.3,12.42,12.3,12.42,600,0.0,0
1999-04-26,12.54,12.66,12.54,12.66,1400,0.0,0
1999-04-27,12.9,12.9,12.66,12.66,600,0.0,0
1999-04-28,12.06,12.06,12.06,12.06,100,0.0,0
1999-04-29,12.48,12.48,12.48,12.48,200,0.0,0
1999-04-30,12.06,12.06,12.06,12.06,1000,0.0,0
1999-05-03,12.12,12.12,11.94,11.94,400,0.0,0
1999-05-04,12.06,12.3,11.94,11.94,1200,0.0,0
1999-05-05,11.94,11.94,11.94,11.94,100,0.0,0
1999-05-06,11.94,11.94,11.94,11.94,100,0.0,0
1999-05-07,11.94,11.94,11.94,11.94,1200,0.0,0
1999-05-10,11.94,11.94,11.94,11.94,0,0.0,0
1999-05-11,11.94,11.94,11.94,11.94,0,0.0,0
1999-05-12,11.94,11.94,11.94,11.94,0,0.0,0
1999-05-13,11.94,11.94,11.94,11.94,100,0.0,0
1999-05-14,11.94,11.94,11.94,11.94,100,0.0,0
1999-05-17,12.06,12.06,12.06,12.06,1000,0.0,0
1999-05-18,12.06,12.06,12.06,12.06,400,0.0,0
1999-05-19,12.06,12.06,12.06,12.06,0,0.0,0
1999-05-20,12.06,12.06,12.06,12.06,0,0.0,0
1999-05-21,12.06,12.06,12.06,12.06,0,0.0,0
1999-05-24,11.94,12.18,11.94,12.18,400,0.0,0
1999-05-25,12.12,12.12,12.12,12.12,1200,0.0,0
1999-05-26,12.12,12.12,12.12,12.12,0,0.0,0
1999-05-27,12.12,12.12,12.12,12.12,0,0.0,0
1999-05-28,12.12,12.12,12.12,12.12,0,0.0,0
1999-06-01,12.12,12.12,12.12,12.12,0,0.0,0
1999-06-02,12.12,12.12,12.12,12.12,0,0.0,0
1999-06-03,12.12,12.12,12.12,12.12,0,0.0,0
1999-06-04,12.18,12.18,12.18,12.18,200,0.0,0
1999-06-07,11.94,12.06,11.94,11.94,4000,0.0,0
1999-06-08,11.94,11.94,11.94,11.94,0,0.0,0
1999-06-09,11.94,11.94,11.94,11.94,0,0.0,0
1999-06-10,11.94,11.94,11.94,11.94,0,0.0,0
1999-06-11,11.94,11.94,11.94,11.94,400,0.0,0
1999-06-14,12.18,12.18,12.18,12.18,100,0.0,0
1999-06-15,11.94,11.94,11.94,11.94,2500,0.0,0
1999-06-16,11.94,11.94,11.94,11.94,0,0.0,0
1999-06-17,12.03,12.03,12.03,12.03,0,0.19,0
1999-06-18,12.03,12.03,11.97,11.97,400,0.0,0
